# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 2.500000000000000000e-01 1.264808541344698334e+01
1.547771440847061503e-02 1.298069176105710962e-03 2.500000000000000000e-01 4.564354645876383954e-01
2.114153426598287117e-02 1.953452460535632252e-03 2.500000000000000000e-01 4.472135954999579277e-01
2.708829541553820289e-02 1.932501425123600049e-03 2.083333333333333426e-01 4.166666666666665741e-01
3.424760286937652415e-02 2.393094809829984012e-03 1.590909090909090884e-01 3.706706006886384963e-01
4.134659872356089005e-02 1.444308516548141333e-03 8.333333333333332871e-02 2.805418038433910577e-01
4.709622292726145520e-02 1.633576272088444088e-03 7.499999999999999722e-02 2.669269563007830026e-01
5.289360403025952090e-02 1.994215660312892175e-03 1.875000000000000000e-01 3.952847075210474403e-01
5.941266175682404643e-02 2.038777625163953021e-03 5.999999999999999778e-02 2.400000000000000466e-01
6.623959740571712385e-02 2.014614798769268252e-03 3.703703703703703498e-02 1.906598174256851075e-01
7.251770781946841049e-02 1.767162065969994948e-03 2.916666666666666852e-01 6.802011548881042868e-01
7.836204892921720677e-02 1.794558473909566021e-03 5.700000000000000178e+00 1.812192042803410885e+01
8.476368586159346852e-02 2.173163639586968114e-03 6.284375000000000000e+01 2.129556615108676851e+02
9.171767809022127182e-02 2.151270969520740432e-03 5.245441176470587834e+02 1.387418314562978594e+03
9.840741527280037759e-02 1.879523288412654567e-03 1.607766666666666652e+03 3.731490797925140214e+03
1.046713563714864598e-01 1.717715818177843919e-03 2.857860000000000127e+03 5.229375430928629612e+03
1.108696467093386595e-01 1.978629817275711061e-03 2.226830188679245111e+03 3.792848181307906543e+03
1.174911181025048434e-01 2.151142134119994175e-03 1.101114754098360663e+03 1.824172317641734480e+03
1.240901985761322518e-01 1.682567093931450772e-03 5.422999999999999545e+02 7.584821790919017985e+02
1.302695169190241364e-01 1.981638030988197227e-03 2.935932203389830306e+02 3.933703958277782817e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.633571428571428328e+02 3.142882609474743845e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.350645161290322562e+02 2.722303580536045615e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.359206349206349103e+02 2.634216405221660580e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.345964912280701640e+02 2.556733221230352626e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.401486486486486456e+02 2.476642101584843090e+02
1.693678508908615654e-01 1.711853084056604935e-03 2.478833333333333258e+02 2.576777725075339731e+02
1.755753172360756398e-01 1.940749690505284321e-03 2.627826086956521863e+02 2.544627338604918236e+02
1.819629297477835528e-01 1.792019476258344991e-03 2.809230769230769056e+02 2.714710790223558092e+02
1.883474920212158954e-01 1.982820530303366913e-03 3.294166666666666856e+02 3.190955733846894304e+02
1.949500334927739553e-01 1.985593967279970003e-03 5.876133333333333439e+02 5.333781322851547202e+02
