# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 1.666666666666666574e-01 2.326205301247620483e+01
1.547771440847061503e-02 1.298069176105710962e-03 1.666666666666666574e-01 3.908679799852857184e-01
2.114153426598287117e-02 1.953452460535632252e-03 1.499999999999999944e-01 3.674234614174767266e-01
2.708829541553820289e-02 1.932501425123600049e-03 3.333333333333333148e-01 4.859126579037749694e-01
3.424760286937652415e-02 2.393094809829984012e-03 5.227272727272727071e-01 5.112373581455450511e-01
4.134659872356089005e-02 1.444308516548141333e-03 6.666666666666666297e-01 5.443310539518173563e-01
4.709622292726145520e-02 1.633576272088444088e-03 7.249999999999999778e-01 6.461423991660043553e-01
5.289360403025952090e-02 1.994215660312892175e-03 2.145833333333333481e+00 4.486379850911722755e+00
5.941266175682404643e-02 2.038777625163953021e-03 9.660000000000000142e+00 2.393026535582085756e+01
6.623959740571712385e-02 2.014614798769268252e-03 2.857407407407407263e+01 6.422872580167683054e+01
7.251770781946841049e-02 1.767162065969994948e-03 6.700000000000000000e+01 1.191115548551021135e+02
7.836204892921720677e-02 1.794558473909566021e-03 9.912000000000000455e+01 1.596218280812495891e+02
8.476368586159346852e-02 2.173163639586968114e-03 1.211093750000000000e+02 1.789132708775225069e+02
9.171767809022127182e-02 2.151270969520740432e-03 1.491176470588235361e+02 2.051526037622964509e+02
9.840741527280037759e-02 1.879523288412654567e-03 1.950000000000000000e+02 2.155780214524043856e+02
1.046713563714864598e-01 1.717715818177843919e-03 2.403000000000000114e+02 2.384366079275579580e+02
1.108696467093386595e-01 1.978629817275711061e-03 2.880943396226414848e+02 2.436833942918831042e+02
1.174911181025048434e-01 2.151142134119994175e-03 3.258360655737704974e+02 2.504320920591773358e+02
1.240901985761322518e-01 1.682567093931450772e-03 3.536600000000000250e+02 2.798848648998369981e+02
1.302695169190241364e-01 1.981638030988197227e-03 4.087966101694915437e+02 2.904287408132610153e+02
1.366843399328758479e-01 1.885635125754002352e-03 4.680892857142857224e+02 3.575162494523136729e+02
1.431380625310322841e-01 2.037281709542672608e-03 6.669032258064515872e+02 5.905380586814881099e+02
1.497407916800755912e-01 2.013243134106564892e-03 1.068190476190476147e+03 1.208742544204854312e+03
1.560440161600273323e-01 1.800320108738214832e-03 1.636157894736842081e+03 1.815049125703359095e+03
1.626324968867556287e-01 2.166758397174068339e-03 2.145027027027027088e+03 2.125577991260745421e+03
1.693678508908615654e-01 1.711853084056604935e-03 2.582099999999999909e+03 2.118584966040619747e+03
1.755753172360756398e-01 1.940749690505284321e-03 2.750826086956521522e+03 1.889113866107025615e+03
1.819629297477835528e-01 1.792019476258344991e-03 3.193800000000000182e+03 2.002896733771825438e+03
1.883474920212158954e-01 1.982820530303366913e-03 3.739625000000000000e+03 2.171550471757193463e+03
1.949500334927739553e-01 1.985593967279970003e-03 4.069506666666666661e+03 2.668984816375777427e+03
2.014306324154557237e-01 1.750557958225071797e-03 3.276028985507246489e+03 2.507864811472779365e+03
2.076332073357673447e-01 1.865361520913360683e-03 2.054000000000000000e+03 1.497025320697953475e+03
2.140129245322099916e-01 1.882829286684015863e-03 1.211546666666666624e+03 5.861730135188566919e+02
2.204163405633874917e-01 1.951475208267544961e-03 8.625641025641025408e+02 1.491844385741657106e+02
2.268599176829277919e-01 1.954094669929957399e-03 7.527500000000000000e+02 5.249663679703681396e+01
2.335135695299082048e-01 1.986313139076756155e-03 7.154117647058823195e+02 6.525443415179222484e+01
2.400224779461884173e-01 1.823737618079871109e-03 6.985750000000000455e+02 7.383597742631974370e+01
2.464005577519743639e-01 1.894426896505377799e-03 6.860941176470588516e+02 7.969348199611030736e+01
2.528350385827773383e-01 1.829527638271931031e-03 6.829047619047619264e+02 7.714088401356676172e+01
2.590859102888302123e-01 1.817056121189442432e-03 6.791071428571428896e+02 7.688063900008391727e+01
2.654612130450557106e-01 1.918447197659697845e-03 6.781235955056180273e+02 7.273051413195321402e+01
2.718942366720529247e-01 1.942478483450333455e-03 6.760769230769230944e+02 7.023856822722336801e+01
2.784185743669774227e-01 1.921358219378808702e-03 6.767849462365591080e+02 6.773672022935389236e+01
2.849156375412667530e-01 1.882334819595186037e-03 6.779893617021276668e+02 6.300886282841352681e+01
2.911870294677750826e-01 1.766712284927822799e-03 6.765168539325842403e+02 6.313982535424391784e+01
2.976511517037133681e-01 2.019527329980297554e-03 6.767766990291262346e+02 6.192107729494062340e+01
3.043178155919494809e-01 1.919359421117726450e-03 6.768300000000000409e+02 6.097121779987669044e+01
3.108074081907638564e-01 1.815555258398614735e-03 6.801122448979591582e+02 5.842489313876165369e+01
3.170970610330232087e-01 1.826000353424227750e-03 6.839090909090908781e+02 6.080487843508914381e+01
3.235319739834495723e-01 1.908097576542081529e-03 6.995142857142857338e+02 8.751085608067599253e+01
3.300700059726238145e-01 1.867687188749142220e-03 7.478773584905660528e+02 1.602879273405249023e+02
3.365262003550894554e-01 1.808122422876843900e-03 8.466761904761905271e+02 2.784110641388388672e+02
3.429039324965278412e-01 1.810371451943152679e-03 9.594150943396226694e+02 3.494398907867430921e+02
3.492243179790229801e-01 1.835371710213073819e-03 1.057120370370370438e+03 3.370847315663289123e+02
3.555659880086458058e-01 1.813249007222180170e-03 1.143842592592592609e+03 3.145153851072087718e+02
3.620245372922214488e-01 1.918012235727336494e-03 1.245170940170940185e+03 3.296614133533986433e+02
3.685406119477664388e-01 1.798147481859587110e-03 1.261981981981982017e+03 4.162238433839594336e+02
3.750909242308860247e-01 1.967614233492519498e-03 1.134588709677419274e+03 4.146306033095391967e+02
3.816999037813160189e-01 1.752662604176019427e-03 8.903565217391304714e+02 2.555106862247590129e+02
3.880273799716012495e-01 1.749306826939258557e-03 7.255603448275861638e+02 9.784893960674327218e+01
3.942361145945514900e-01 1.745527907058957431e-03 6.557586206896551175e+02 2.734060388304646239e+01
4.006128291384035145e-01 1.852638254231622501e-03 6.300813008130081698e+02 1.610213041822579072e+01
4.070503578694664726e-01 1.848743254130127446e-03 6.180806451612903629e+02 1.781927060198258062e+01
4.135933781829447264e-01 1.871256654943844995e-03 6.091860465116278647e+02 1.903907058554835174e+01
4.202179442533061082e-01 1.832712641984981681e-03 6.017769230769230262e+02 2.014988217035747198e+01
4.266798115557093873e-01 1.759393680741872749e-03 5.943149606299213019e+02 2.174724465042180555e+01
4.330910535146235696e-01 1.771858374752960505e-03 5.882769230769230262e+02 2.021924210941869049e+01
4.395078467689783608e-01 1.772659720438770270e-03 5.825378787878787534e+02 1.857118745996320186e+01
4.457793319829173595e-01 1.654526338047628432e-03 5.767839999999999918e+02 1.884164578798784362e+01
4.521562795609589402e-01 1.887763445894669913e-03 5.722676056338028729e+02 1.831917693572666650e+01
4.587656575942579140e-01 1.769717907920350091e-03 5.680510948905109672e+02 1.807298533070614255e+01
4.652405449529313231e-01 1.746242423612376143e-03 5.635035971223021534e+02 1.686771463808748095e+01
4.716282944699034529e-01 1.704407088516023735e-03 5.585182481751825208e+02 1.803012941234253219e+01
4.780637153179891352e-01 1.798647074538550902e-03 5.540555555555555429e+02 1.876899243860718869e+01
4.844976548260259142e-01 1.723433333189145671e-03 5.519225352112675864e+02 1.855218570748189677e+01
4.908596034113225648e-01 1.665744062354685903e-03 5.497872340425532229e+02 2.091580627576627904e+01
4.972011979785150859e-01 1.734256865849588200e-03 5.511917808219178596e+02 2.709418149104931928e+01
5.036178995103413047e-01 1.747915368961153139e-03 5.641824324324323925e+02 5.527537064288049606e+01
5.101756467004687767e-01 1.800451491856020327e-03 6.074580645161290704e+02 1.207515694276922602e+02
5.166235656727934389e-01 1.648057805296297825e-03 6.780408163265306030e+02 1.870570104067254817e+02
5.229884928033705638e-01 1.714260039451578075e-03 7.491973684210526017e+02 2.025176612882355585e+02
5.293925748937229336e-01 1.756900675637705763e-03 8.188397435897435344e+02 1.882507505575212576e+02
5.357749724968067229e-01 1.647361260156582873e-03 8.740066225165562628e+02 1.843039348395768968e+02
5.422269581426349960e-01 1.797131621318817348e-03 9.005060975609756042e+02 2.353548631011601913e+02
5.488258977193463117e-01 1.752106618123457169e-03 8.143043478260869961e+02 2.598305753684509796e+02
5.552607346015674405e-01 1.711536068502800701e-03 6.713750000000000000e+02 1.765336525106473857e+02
5.616696921416424182e-01 1.713298320607429745e-03 5.609141104294478737e+02 7.683979476314323165e+01
5.680596363279470928e-01 1.671719726027721563e-03 5.091750000000000114e+02 2.481132239019113683e+01
5.744116486855085357e-01 1.773350792090137981e-03 4.885773809523809632e+02 1.045556682112549929e+01
5.808465417437830292e-01 1.706594120505047427e-03 4.782303030303030482e+02 9.734499345230636536e+00
5.872915480827241019e-01 1.773275249674210931e-03 4.715202312138728189e+02 1.043468521893672829e+01
5.936297343998458986e-01 1.608871723183330060e-03 4.666049382716049649e+02 1.054833700182351031e+01
6.000917821228005655e-01 1.852508397134843563e-03 4.613406593406593288e+02 1.058669592746236887e+01
6.066068710033430955e-01 1.719733697199352486e-03 4.560877192982455881e+02 1.072237970276197849e+01
6.129319261090041548e-01 1.700305612135823196e-03 4.517209302325581461e+02 1.078066895640745315e+01
6.193292159447265632e-01 1.792945791870086646e-03 4.469277777777778056e+02 1.142535895105680410e+01
6.257789288608107681e-01 1.769335618302108433e-03 4.420225988700564699e+02 1.210825282440986861e+01
6.322945183878984077e-01 1.883051681004075783e-03 4.380423280423280517e+02 1.183656421435497208e+01
6.387697914265673127e-01 1.734308686986089703e-03 4.347329545454545610e+02 1.136411362634132871e+01
6.450797878865883739e-01 1.812617312363664322e-03 4.308750000000000000e+02 1.028321764903336621e+01
6.514777522098027518e-01 1.807195130708317372e-03 4.272270270270270203e+02 9.832569126726141917e+00
6.579453254174412180e-01 1.840076954070700866e-03 4.231481481481481524e+02 1.002298944728156016e+01
6.642487788958216788e-01 1.761967380250493336e-03 4.182252747252747440e+02 1.047445584911714533e+01
6.707545140871414846e-01 1.952870522822350513e-03 4.149649999999999750e+02 1.243618108584785986e+01
6.772291234912055646e-01 1.844192786587162299e-03 4.160264550264550394e+02 1.865573577059606336e+01
6.834443396870620857e-01 1.745041746211572261e-03 4.258206521739130608e+02 3.601003046962666332e+01
6.899300657465672337e-01 1.988575045799213618e-03 4.470917874396135403e+02 6.221710266393107247e+01
6.965346490814943170e-01 1.967867873463197050e-03 4.747236180904522485e+02 7.619297513791651966e+01
7.030970487636396538e-01 2.020648629947002003e-03 4.974805825242718242e+02 6.662242919911706451e+01
7.095716427219228573e-01 1.946516927103622520e-03 5.136414141414140886e+02 5.927385433024018369e+01
7.160970279381224657e-01 2.044543341153194464e-03 5.170523809523809859e+02 7.087619911442085652e+01
7.226116891734091219e-01 2.004959656352403585e-03 4.856000000000000227e+02 7.588671916970362474e+01
7.291288619178314390e-01 2.011427705279334160e-03 4.356047619047619150e+02 5.142427627566760151e+01
7.356079106374427967e-01 1.973711099579897668e-03 3.972067307692307736e+02 2.162100533443340211e+01
7.419803430714648762e-01 1.939746738906150680e-03 3.779121951219512425e+02 1.000788267544385057e+01
7.484516812817442188e-01 2.022257641999446187e-03 3.677181818181817903e+02 1.089375247447850548e+01
7.549512183205485671e-01 1.898119824350936232e-03 3.624951923076923208e+02 1.150511808864767005e+01
7.613853957290165342e-01 1.973382858640895885e-03 3.580545454545454618e+02 1.172902382979930458e+01
7.678481984516135617e-01 1.903941598965435333e-03 3.543162790697674609e+02 1.222060960347658920e+01
7.743372045322526320e-01 1.915374251326664194e-03 3.505495495495495675e+02 1.234553289464343351e+01
7.807807857039134047e-01 1.872160005679921477e-03 3.467568807339449677e+02 1.312097409808891868e+01
7.871827117013717734e-01 1.874571936203420349e-03 3.427692307692307736e+02 1.313452843097431000e+01
7.935705088346153291e-01 1.846468364235832015e-03 3.388026905829596558e+02 1.241872610976611035e+01
7.999497029225959288e-01 1.794315080242126848e-03 3.361324200913242066e+02 1.213984199408262299e+01
8.063895263538338742e-01 1.919941342275102670e-03 3.335338983050847332e+02 1.217879908218257867e+01
8.129038415374738591e-01 1.785391972586650427e-03 3.308933333333333167e+02 1.321385356078709705e+01
8.193543447618309994e-01 1.828478467253065801e-03 3.276893617021276555e+02 1.365782649384554048e+01
8.257450256705209934e-01 1.731942097964038994e-03 3.246294642857142776e+02 1.412490123227162719e+01
8.321389716972604766e-01 1.845140229989535984e-03 3.223083333333333371e+02 1.377036244782411067e+01
8.386208936931099922e-01 1.751195931903918061e-03 3.202820512820512704e+02 1.334257158587566572e+01
8.449970631363269424e-01 1.723661030767332288e-03 3.190431034482758719e+02 1.452652331453090895e+01
8.513046230100612677e-01 1.773741526074865430e-03 3.209117647058823763e+02 2.060248606434758045e+01
8.578256185292513214e-01 1.822821089358022794e-03 3.307125506072874259e+02 3.742778761838565060e+01
8.643009097266359797e-01 1.747841479780405487e-03 3.489419087136929534e+02 5.679540805435786410e+01
8.706520843132705689e-01 1.718512007701664341e-03 3.725210084033613498e+02 6.461703329196882351e+01
8.770655084888429043e-01 1.823306464836067656e-03 3.923715415019763100e+02 5.496968070670685336e+01
8.835379301005906738e-01 1.720994191554163586e-03 4.063827160493827364e+02 4.621687068928967790e+01
8.899818591232092624e-01 1.816014583941305376e-03 4.051294117647058783e+02 5.451475277295305943e+01
8.963154830142930907e-01 1.686559403020368615e-03 3.752208333333333599e+02 5.444441035996665335e+01
9.027402481510985455e-01 1.849914512401526186e-03 3.343931297709923456e+02 3.196687818075933407e+01
9.092741475074460622e-01 1.818523953956779297e-03 3.056117647058823650e+02 1.147754439655346559e+01
9.156513574886713247e-01 1.799905876070713017e-03 2.925396825396825307e+02 9.123739934121724460e+00
9.219738414041327434e-01 1.816254378221876130e-03 2.869921875000000000e+02 1.166943399215513111e+01
9.284093843578240524e-01 1.864548344913183461e-03 2.834576923076922981e+02 1.231696645777252819e+01
9.348720171621091035e-01 1.939851900461452830e-03 2.797715355805243576e+02 1.244897228223547181e+01
9.413551784733346084e-01 1.927152036582965508e-03 2.763931297709923456e+02 1.201603584454540474e+01
9.478756351150825488e-01 2.022964964773094239e-03 2.735797101449275601e+02 1.244041247844702802e+01
9.544794314844599059e-01 1.995588314593873917e-03 2.706642066420664037e+02 1.290514743422762223e+01
9.609640598131067302e-01 1.976081289299603128e-03 2.685000000000000000e+02 1.249830870911081782e+01
9.673540511875814429e-01 1.900963898517757681e-03 2.662878787878788103e+02 1.289591330188781626e+01
9.738764300010358532e-01 2.020370959177093719e-03 2.640069444444444571e+02 1.273419405025571294e+01
9.803887395962943563e-01 1.868024915732807104e-03 2.620749063670411942e+02 1.305542445830908527e+01
9.867609507399704993e-01 1.907798179635916648e-03 2.601863799283154322e+02 1.273559269259745363e+01
9.931792738827067701e-01 1.861169570246367679e-03 2.580436363636363808e+02 1.249574764033385676e+01
9.997024529712079666e-01 1.929714342920701943e-03 2.559863013698630141e+02 1.221944491077913497e+01
1.006152710574202525e+00 1.760100644785859590e-03 2.541176470588235361e+02 1.271265478550808581e+01
1.012546487448541255e+00 1.858180627704414780e-03 2.526435986159169431e+02 1.272342664776636667e+01
1.018988798098918291e+00 1.803978976354649174e-03 2.518697183098591665e+02 1.371311304377379514e+01
1.025394048634321598e+00 1.775790568352827222e-03 2.528385964912280599e+02 1.663387096502222207e+01
1.031778999059903112e+00 1.783042104657854955e-03 2.558685121107266411e+02 2.293762204533256366e+01
1.038243195035333466e+00 1.800042721148124251e-03 2.628225255972696459e+02 2.955296014675490568e+01
1.044593270705168830e+00 1.728638088187854378e-03 2.705349650349650119e+02 3.003515919407761814e+01
1.051019473275584426e+00 1.807666001326826760e-03 2.766956521739130608e+02 2.270974331584510963e+01
1.057452118334604840e+00 1.764796907398143069e-03 2.795152542372881612e+02 1.426352425252151157e+01
1.063812741872586898e+00 1.735604614353873946e-03 2.722500000000000000e+02 1.430717321763639305e+01
1.070275566257694377e+00 1.860876787998901613e-03 2.581612903225806690e+02 1.263636543985874638e+01
1.076675486865225739e+00 1.737707282280460301e-03 2.441030927835051614e+02 8.113670596428493198e+00
1.083000003099001241e+00 1.811785629637566912e-03 2.354506578947368496e+02 8.647084716811962224e+00
1.089457558406981885e+00 1.875700427842611059e-03 2.315259740259740227e+02 9.818535046556007728e+00
1.095857128634095679e+00 1.865882195591197666e-03 2.289276315789473699e+02 1.063994081501826017e+01
1.102286980210992473e+00 1.937596539280167377e-03 2.267060702875399443e+02 1.122207781423840700e+01
1.108924588094037933e+00 2.035521144429528872e-03 2.243628048780487916e+02 1.169795023534067013e+01
1.115518250266801070e+00 1.963453062553008333e-03 2.222025316455696213e+02 1.230612183076779509e+01
1.121980766162010701e+00 1.920251373127695831e-03 2.202101910828025382e+02 1.219929223952274100e+01
1.128426312748922689e+00 1.950613960551148517e-03 2.187422360248447148e+02 1.214538583065293764e+01
1.134959239864979930e+00 1.915365560061970144e-03 2.173538461538461490e+02 1.140386729794381715e+01
1.141388067807542761e+00 1.819889318180962796e-03 2.162253968253968139e+02 1.088689648114565500e+01
1.147829738822878420e+00 1.877407927217479219e-03 2.146382978723404165e+02 1.061119952950452472e+01
1.154234759887723172e+00 1.796226287448233561e-03 2.128965517241379359e+02 1.082237360301332885e+01
1.160592008141087206e+00 1.784421184300352767e-03 2.113746130030959876e+02 1.092601724116650175e+01
1.167026991042843242e+00 1.836276795008287468e-03 2.102208955223880480e+02 1.138732925417029485e+01
1.173494023876834547e+00 1.758155136545365687e-03 2.086391437308868433e+02 1.109040664646806640e+01
1.179808164649816637e+00 1.732605827553653768e-03 2.026984615384615438e+02 1.468386321964538688e+01
1.186220583891021807e+00 1.881017850291822648e-03 2.029453376205787833e+02 1.192999625052436485e+01
1.192681073817049464e+00 1.793318889751105601e-03 2.019827586206896513e+02 1.265223117187774804e+01
1.199065629744253458e+00 1.797529783280079436e-03 2.021866197183098564e+02 1.368731495786527042e+01
1.205502001077074059e+00 1.899328588103967692e-03 2.054486301369863099e+02 1.699815442058743642e+01
1.211991242640565014e+00 1.826306843735066819e-03 2.129637681159420310e+02 2.224115207966322316e+01
1.218362901235649165e+00 1.888953249129523074e-03 2.240827338129496411e+02 2.512223211112058507e+01
1.224837827500277143e+00 1.938626244914326818e-03 2.336618705035971288e+02 1.873114185446505431e+01
1.231306496939841066e+00 1.935692192720165272e-03 2.362717391304347814e+02 1.268299262111853132e+01
1.237900180047003751e+00 1.954996484647400414e-03 2.247204301075268802e+02 1.373154205596544841e+01
1.244387829439413284e+00 1.881879514088832415e-03 2.071604477611940354e+02 1.097984265615144039e+01
1.250735832344970877e+00 1.818331757808236372e-03 1.954186046511627808e+02 7.851877102962173005e+00
1.257083335292831006e+00 1.905720956169173206e-03 1.897343173431734442e+02 8.429566040939890925e+00
1.263603115287416090e+00 1.841854869392088893e-03 1.864393939393939377e+02 9.089510624759315149e+00
1.270020777910819465e+00 1.832011672431217405e-03 1.842319391634981116e+02 8.440596191571062334e+00
1.276488051741652807e+00 1.832185980768075541e-03 1.826730038022813574e+02 9.059698777674649151e+00
1.282839323063532211e+00 1.758750693263018286e-03 1.818661417322834666e+02 9.276868820921757575e+00
1.289363492023574365e+00 1.805471412487298991e-03 1.777912457912457853e+02 1.247608466231186242e+01
1.295761563244195891e+00 1.749310907134910172e-03 1.794362416107382501e+02 1.225138327106012603e+01
1.302096506369333051e+00 1.727886103868702576e-03 1.794916943521594703e+02 1.300379716206008496e+01
1.308490604613926855e+00 1.841981469325142248e-03 1.782616822429906449e+02 1.291504476286823433e+01
1.314923371882378955e+00 1.783204890748409099e-03 1.778135048231511348e+02 1.241576075248363153e+01
1.321263162947042602e+00 1.883891353746835161e-03 1.771728395061728349e+02 1.248152880038899504e+01
1.327809252188654421e+00 1.990407611744629372e-03 1.768461538461538396e+02 1.228662212715125435e+01
1.334395055816720577e+00 2.005908808147741692e-03 1.758240469208211039e+02 1.272461153036662118e+01
1.340924575314278222e+00 1.937181998292608577e-03 1.748089552238805879e+02 1.271461517598115876e+01
1.347326738882997477e+00 1.911240937813023883e-03 1.733076923076923208e+02 1.216933138297263284e+01
1.353867248119903444e+00 1.925349651844857632e-03 1.721586402266289042e+02 1.229054252906439082e+01
1.360292180733798650e+00 1.777880213384871099e-03 1.722275449101796312e+02 1.311863579740058050e+01
1.366716033276369036e+00 1.860440026654835337e-03 1.730560224089635994e+02 1.532029060199234394e+01
1.373134056949086190e+00 1.747663592607761902e-03 1.743538011695906391e+02 1.731380004806100104e+01
1.379508641949547476e+00 1.787974598008121871e-03 1.759690140845070516e+02 1.775043170822075567e+01
1.385849874457594222e+00 1.730044418412237826e-03 1.773919308357348825e+02 1.595058013789394913e+01
1.392210228535155858e+00 1.777760908321846531e-03 1.791750000000000114e+02 1.255843563329269053e+01
1.398630460992727143e+00 1.793834584281517276e-03 1.793777777777777658e+02 9.035116675136702469e+00
1.405027543482165298e+00 1.820682476180417696e-03 1.762561983471074427e+02 7.317556862467406553e+00
1.411380623846245186e+00 1.844474811107960554e-03 1.708833333333333258e+02 9.043718405202175958e+00
1.418011585217980208e+00 2.061904995500850411e-03 1.661022443890274189e+02 1.060476886849551725e+01
1.424633236002852632e+00 1.911062399977238009e-03 1.635409836065573757e+02 1.176737480990085416e+01
1.431027237377290762e+00 1.930893372260762729e-03 1.625277044854881296e+02 1.186967342638560297e+01
1.437551415863808524e+00 1.925262037142165712e-03 1.618181818181818130e+02 1.246471288463316540e+01
