# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 0.000000000000000000e+00 2.804272736063896598e+00
1.547771440847061503e-02 1.298069176105710962e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.114153426598287117e-02 1.953452460535632252e-03 5.000000000000000278e-02 2.236067977499788528e-01
2.708829541553820289e-02 1.932501425123600049e-03 4.166666666666666435e-02 2.041241452319315919e-01
3.424760286937652415e-02 2.393094809829984012e-03 9.090909090909091161e-02 2.910511017014933977e-01
4.134659872356089005e-02 1.444308516548141333e-03 2.000000000000000000e+00 6.027713773341707437e+00
4.709622292726145520e-02 1.633576272088444088e-03 5.307500000000000284e+01 1.732964115323798353e+02
5.289360403025952090e-02 1.994215660312892175e-03 5.621041666666666288e+02 2.024450628068296737e+03
5.941266175682404643e-02 2.038777625163953021e-03 2.833719999999999800e+03 1.034289680872819008e+04
6.623959740571712385e-02 2.014614798769268252e-03 6.329944444444444343e+03 2.366669785317891001e+04
7.251770781946841049e-02 1.767162065969994948e-03 9.460583333333333940e+03 3.235606291016993055e+04
7.836204892921720677e-02 1.794558473909566021e-03 8.182260000000000218e+03 2.785623920556402300e+04
8.476368586159346852e-02 2.173163639586968114e-03 4.803125000000000000e+03 1.830250988001927180e+04
9.171767809022127182e-02 2.151270969520740432e-03 3.481205882352940989e+03 1.277231659069696616e+04
9.840741527280037759e-02 1.879523288412654567e-03 2.693483333333333121e+03 9.896408520659293572e+03
1.046713563714864598e-01 1.717715818177843919e-03 2.484400000000000091e+03 8.174453601801165860e+03
1.108696467093386595e-01 1.978629817275711061e-03 1.872867924528301955e+03 6.221141873199742804e+03
1.174911181025048434e-01 2.151142134119994175e-03 1.336049180327868953e+03 4.632236720114206946e+03
1.240901985761322518e-01 1.682567093931450772e-03 1.323539999999999964e+03 4.079702709659125048e+03
1.302695169190241364e-01 1.981638030988197227e-03 9.583389830508474461e+02 3.074526358890737356e+03
1.366843399328758479e-01 1.885635125754002352e-03 8.513392857142856656e+02 2.587045114925167127e+03
1.431380625310322841e-01 2.037281709542672608e-03 6.765000000000000000e+02 2.038461334659852128e+03
1.497407916800755912e-01 2.013243134106564892e-03 5.800000000000000000e+02 1.679797625754978753e+03
1.560440161600273323e-01 1.800320108738214832e-03 5.511403508771929864e+02 1.469099843844856196e+03
1.626324968867556287e-01 2.166758397174068339e-03 4.175000000000000000e+02 1.089470836095534196e+03
1.693678508908615654e-01 1.711853084056604935e-03 4.230500000000000114e+02 1.004710836509689557e+03
1.755753172360756398e-01 1.940749690505284321e-03 3.553333333333333144e+02 7.866122064175111745e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.365692307692307850e+02 6.812079825596281353e+02
1.883474920212158954e-01 1.982820530303366913e-03 2.997638888888889142e+02 5.508058332772288850e+02
1.949500334927739553e-01 1.985593967279970003e-03 2.783600000000000136e+02 4.602024719620702058e+02
2.014306324154557237e-01 1.750557958225071797e-03 2.717826086956521863e+02 4.084889355416954118e+02
2.076332073357673447e-01 1.865361520913360683e-03 2.536216216216216139e+02 3.394152568483718824e+02
2.140129245322099916e-01 1.882829286684015863e-03 2.420266666666666708e+02 2.919382577037669648e+02
2.204163405633874917e-01 1.951475208267544961e-03 2.305256410256410220e+02 2.478683473539669819e+02
2.268599176829277919e-01 1.954094669929957399e-03 2.225999999999999943e+02 2.145189910007969445e+02
2.335135695299082048e-01 1.986313139076756155e-03 2.161882352941176464e+02 1.872785649764915661e+02
2.400224779461884173e-01 1.823737618079871109e-03 2.139625000000000057e+02 1.712425491079830522e+02
2.464005577519743639e-01 1.894426896505377799e-03 2.067294117647058727e+02 1.445765218057186701e+02
2.528350385827773383e-01 1.829527638271931031e-03 2.032619047619047592e+02 1.244653088022445502e+02
2.590859102888302123e-01 1.817056121189442432e-03 1.998095238095237960e+02 1.090831248081656071e+02
2.654612130450557106e-01 1.918447197659697845e-03 1.959213483146067460e+02 9.449001913801498631e+01
2.718942366720529247e-01 1.942478483450333455e-03 1.919780219780219852e+02 8.308329820297817037e+01
2.784185743669774227e-01 1.921358219378808702e-03 1.882688172043010866e+02 7.358095157219604232e+01
2.849156375412667530e-01 1.882334819595186037e-03 1.866382978723404165e+02 6.501442887524079595e+01
2.911870294677750826e-01 1.766712284927822799e-03 1.853707865168539399e+02 6.071596562068633318e+01
2.976511517037133681e-01 2.019527329980297554e-03 1.836504854368932058e+02 5.222478189789934788e+01
3.043178155919494809e-01 1.919359421117726450e-03 1.815999999999999943e+02 4.916295353210584551e+01
3.108074081907638564e-01 1.815555258398614735e-03 1.804081632653061149e+02 4.475147718832615595e+01
3.170970610330232087e-01 1.826000353424227750e-03 1.778484848484848442e+02 4.141884797104138727e+01
3.235319739834495723e-01 1.908097576542081529e-03 1.764952380952381077e+02 3.836053811345377085e+01
3.300700059726238145e-01 1.867687188749142220e-03 1.756037735849056673e+02 3.488160058104792682e+01
3.365262003550894554e-01 1.808122422876843900e-03 1.732476190476190538e+02 3.302016837138140914e+01
3.429039324965278412e-01 1.810371451943152679e-03 1.724245283018867951e+02 3.088632853122623700e+01
3.492243179790229801e-01 1.835371710213073819e-03 1.706111111111111143e+02 2.943232629738465178e+01
3.555659880086458058e-01 1.813249007222180170e-03 1.684444444444444571e+02 2.759077796667908800e+01
3.620245372922214488e-01 1.918012235727336494e-03 1.671965811965812065e+02 2.564979052473988475e+01
3.685406119477664388e-01 1.798147481859587110e-03 1.662702702702702595e+02 2.497785725021807934e+01
3.750909242308860247e-01 1.967614233492519498e-03 1.643951612903225907e+02 2.221740676522550828e+01
3.816999037813160189e-01 1.752662604176019427e-03 1.630869565217391255e+02 2.112699023633335216e+01
3.880273799716012495e-01 1.749306826939258557e-03 1.616120689655172384e+02 2.058857131341815716e+01
3.942361145945514900e-01 1.745527907058957431e-03 1.594137931034482847e+02 2.045127761883272655e+01
4.006128291384035145e-01 1.852638254231622501e-03 1.574227642276422898e+02 1.915733721851723459e+01
4.070503578694664726e-01 1.848743254130127446e-03 1.559516129032257936e+02 1.791099439124602810e+01
4.135933781829447264e-01 1.871256654943844995e-03 1.549767441860465169e+02 1.742000698135838732e+01
4.202179442533061082e-01 1.832712641984981681e-03 1.541384615384615415e+02 1.720099419171554445e+01
4.266798115557093873e-01 1.759393680741872749e-03 1.526220472440944889e+02 1.703042213424423679e+01
4.330910535146235696e-01 1.771858374752960505e-03 1.505846153846153754e+02 1.636510213983821060e+01
4.395078467689783608e-01 1.772659720438770270e-03 1.488560606060605949e+02 1.614684536506566559e+01
4.457793319829173595e-01 1.654526338047628432e-03 1.469519999999999982e+02 1.623395552537951048e+01
4.521562795609589402e-01 1.887763445894669913e-03 1.453802816901408335e+02 1.517012563440194484e+01
4.587656575942579140e-01 1.769717907920350091e-03 1.436496350364963632e+02 1.495561123531273573e+01
4.652405449529313231e-01 1.746242423612376143e-03 1.430000000000000000e+02 1.447622710097961551e+01
4.716282944699034529e-01 1.704407088516023735e-03 1.414598540145985339e+02 1.432304280233362270e+01
4.780637153179891352e-01 1.798647074538550902e-03 1.402986111111111143e+02 1.408418595380938143e+01
4.844976548260259142e-01 1.723433333189145671e-03 1.382183098591549424e+02 1.357515613590735803e+01
4.908596034113225648e-01 1.665744062354685903e-03 1.360780141843971762e+02 1.304118404377140727e+01
4.972011979785150859e-01 1.734256865849588200e-03 1.347123287671232958e+02 1.204348005757333162e+01
5.036178995103413047e-01 1.747915368961153139e-03 1.331756756756756772e+02 1.176131086073710641e+01
5.101756467004687767e-01 1.800451491856020327e-03 1.318967741935483957e+02 1.179563756465549496e+01
5.166235656727934389e-01 1.648057805296297825e-03 1.309591836734693970e+02 1.188571265044467395e+01
5.229884928033705638e-01 1.714260039451578075e-03 1.300197368421052602e+02 1.099370649098711716e+01
5.293925748937229336e-01 1.756900675637705763e-03 1.288782051282051384e+02 1.050688544160938243e+01
5.357749724968067229e-01 1.647361260156582873e-03 1.272715231788079535e+02 1.042066816407403884e+01
5.422269581426349960e-01 1.797131621318817348e-03 1.258170731707317032e+02 1.009960433549215608e+01
5.488258977193463117e-01 1.752106618123457169e-03 1.245093167701863308e+02 1.011018345903020155e+01
5.552607346015674405e-01 1.711536068502800701e-03 1.232562499999999943e+02 1.009757087125413477e+01
5.616696921416424182e-01 1.713298320607429745e-03 1.220245398773006116e+02 1.003549723668609950e+01
5.680596363279470928e-01 1.671719726027721563e-03 1.210875000000000057e+02 9.723638240134194533e+00
5.744116486855085357e-01 1.773350792090137981e-03 1.197440476190476204e+02 9.767456319218725369e+00
