# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 1.666666666666666574e-01 2.779787311667990934e+01
1.547771440847061503e-02 1.298069176105710962e-03 1.666666666666666574e-01 3.908679799852858294e-01
2.114153426598287117e-02 1.953452460535632252e-03 1.499999999999999944e-01 3.674234614174767266e-01
2.708829541553820289e-02 1.932501425123600049e-03 2.916666666666666852e-01 4.677071733467426662e-01
3.424760286937652415e-02 2.393094809829984012e-03 2.954545454545454697e-01 4.635472285084349386e-01
4.134659872356089005e-02 1.444308516548141333e-03 2.222222222222222099e-01 4.230985058813284128e-01
4.709622292726145520e-02 1.633576272088444088e-03 1.499999999999999944e-01 3.622844186547359846e-01
5.289360403025952090e-02 1.994215660312892175e-03 1.666666666666666574e-01 3.773077140890589432e-01
5.941266175682404643e-02 2.038777625163953021e-03 2.000000000000000111e-01 4.516635916254486682e-01
6.623959740571712385e-02 2.014614798769268252e-03 2.407407407407407274e-01 4.735819204646081748e-01
7.251770781946841049e-02 1.767162065969994948e-03 2.708333333333333148e-01 4.506939094329988627e-01
7.836204892921720677e-02 1.794558473909566021e-03 5.000000000000000000e-01 9.695359714832658682e-01
8.476368586159346852e-02 2.173163639586968114e-03 1.734375000000000000e+00 4.924775930816547742e+00
9.171767809022127182e-02 2.151270969520740432e-03 7.647058823529412130e+00 2.127245404362323100e+01
9.840741527280037759e-02 1.879523288412654567e-03 1.935000000000000142e+01 4.827300833108844103e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.289999999999999858e+01 8.422700279601548345e+01
1.108696467093386595e-01 1.978629817275711061e-03 6.681132075471698784e+01 1.135893733842080024e+02
1.174911181025048434e-01 2.151142134119994175e-03 8.922950819672131217e+01 1.378949479211895550e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.231400000000000006e+02 1.656399203090849142e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.360000000000000000e+02 1.773617389424166788e+02
1.366843399328758479e-01 1.885635125754002352e-03 1.690000000000000000e+02 2.039051337544706541e+02
1.431380625310322841e-01 2.037281709542672608e-03 1.894838709677419217e+02 2.154368018903476525e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.110158730158730123e+02 2.358099180702912179e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.301228070175438631e+02 2.507012013056646822e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.550135135135135158e+02 2.592194103509664274e+02
1.693678508908615654e-01 1.711853084056604935e-03 2.669499999999999886e+02 2.743698173390556008e+02
1.755753172360756398e-01 1.940749690505284321e-03 2.929275362318840621e+02 2.772170594437305908e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.042615384615384642e+02 2.910738424784128142e+02
1.883474920212158954e-01 1.982820530303366913e-03 3.140833333333333144e+02 3.041594424560663583e+02
1.949500334927739553e-01 1.985593967279970003e-03 3.429333333333333371e+02 3.083329715313192878e+02
2.014306324154557237e-01 1.750557958225071797e-03 3.505217391304348098e+02 3.188664192428091724e+02
2.076332073357673447e-01 1.865361520913360683e-03 3.751621621621621898e+02 3.206244586153422347e+02
2.140129245322099916e-01 1.882829286684015863e-03 3.717066666666666492e+02 3.292246498129270549e+02
2.204163405633874917e-01 1.951475208267544961e-03 3.986666666666666856e+02 3.287748430702954465e+02
2.268599176829277919e-01 1.954094669929957399e-03 3.971374999999999886e+02 3.367498074424096330e+02
2.335135695299082048e-01 1.986313139076756155e-03 4.050823529411764525e+02 3.427566707787345308e+02
2.400224779461884173e-01 1.823737618079871109e-03 4.257875000000000227e+02 3.422663285914931635e+02
2.464005577519743639e-01 1.894426896505377799e-03 4.375411764705882547e+02 3.419688435594651423e+02
2.528350385827773383e-01 1.829527638271931031e-03 4.460119047619047592e+02 3.457854241054841964e+02
2.590859102888302123e-01 1.817056121189442432e-03 4.484047619047619264e+02 3.485688878225121812e+02
2.654612130450557106e-01 1.918447197659697845e-03 4.543707865168539115e+02 3.517537624249792430e+02
2.718942366720529247e-01 1.942478483450333455e-03 4.773956043956043800e+02 3.414329074094142698e+02
2.784185743669774227e-01 1.921358219378808702e-03 4.769139784946236773e+02 3.344425987974497616e+02
2.849156375412667530e-01 1.882334819595186037e-03 5.149468085106383342e+02 3.075875533694061801e+02
2.911870294677750826e-01 1.766712284927822799e-03 5.269887640449437640e+02 2.852718785497912677e+02
2.976511517037133681e-01 2.019527329980297554e-03 5.665048543689320013e+02 2.530358248634797746e+02
3.043178155919494809e-01 1.919359421117726450e-03 5.809400000000000546e+02 2.271916059188807253e+02
3.108074081907638564e-01 1.815555258398614735e-03 6.024591836734693970e+02 2.096470015632781099e+02
3.170970610330232087e-01 1.826000353424227750e-03 6.140707070707070443e+02 1.997764552652773204e+02
3.235319739834495723e-01 1.908097576542081529e-03 6.186857142857143117e+02 1.927870108815057506e+02
3.300700059726238145e-01 1.867687188749142220e-03 6.383113207547170305e+02 1.839366440795413098e+02
3.365262003550894554e-01 1.808122422876843900e-03 6.374571428571429124e+02 1.819155092811132590e+02
3.429039324965278412e-01 1.810371451943152679e-03 6.517641509433962028e+02 1.713069866049407892e+02
3.492243179790229801e-01 1.835371710213073819e-03 6.565092592592592382e+02 1.634174811583758924e+02
3.555659880086458058e-01 1.813249007222180170e-03 6.607592592592592382e+02 1.572773117069902753e+02
3.620245372922214488e-01 1.918012235727336494e-03 6.688803418803419163e+02 1.491100438335256513e+02
3.685406119477664388e-01 1.798147481859587110e-03 6.678738738738738903e+02 1.433241807713085620e+02
3.750909242308860247e-01 1.967614233492519498e-03 6.822661290322580498e+02 1.352433435208600372e+02
3.816999037813160189e-01 1.752662604176019427e-03 6.813565217391304714e+02 1.288293019305655491e+02
3.880273799716012495e-01 1.749306826939258557e-03 6.849310344827586050e+02 1.228934350295614450e+02
3.942361145945514900e-01 1.745527907058957431e-03 6.853189655172413950e+02 1.179220416514795033e+02
4.006128291384035145e-01 1.852638254231622501e-03 6.880975609756097811e+02 1.116213447704695767e+02
4.070503578694664726e-01 1.848743254130127446e-03 6.922500000000000000e+02 1.091270161104081922e+02
4.135933781829447264e-01 1.871256654943844995e-03 6.924341085271317979e+02 1.026301451714591906e+02
4.202179442533061082e-01 1.832712641984981681e-03 6.972999999999999545e+02 9.657570167410723627e+01
4.266798115557093873e-01 1.759393680741872749e-03 7.003858267716535693e+02 9.276600315343267766e+01
4.330910535146235696e-01 1.771858374752960505e-03 7.036846153846154266e+02 8.972675417176965595e+01
4.395078467689783608e-01 1.772659720438770270e-03 7.036212121212121247e+02 8.578393761752863611e+01
4.457793319829173595e-01 1.654526338047628432e-03 6.971920000000000073e+02 8.181415936132326294e+01
4.521562795609589402e-01 1.887763445894669913e-03 7.002323943661971271e+02 7.699815085489005639e+01
4.587656575942579140e-01 1.769717907920350091e-03 6.932992700729927265e+02 7.346939524682976241e+01
4.652405449529313231e-01 1.746242423612376143e-03 6.908273381294964111e+02 6.948042959557662357e+01
4.716282944699034529e-01 1.704407088516023735e-03 6.855839416058394136e+02 6.671165038017173288e+01
4.780637153179891352e-01 1.798647074538550902e-03 6.815972222222221717e+02 6.286262779262275302e+01
4.844976548260259142e-01 1.723433333189145671e-03 6.783380281690141373e+02 5.983475559064267912e+01
4.908596034113225648e-01 1.665744062354685903e-03 6.718794326241135195e+02 5.682989609958480060e+01
4.972011979785150859e-01 1.734256865849588200e-03 6.716369863013699160e+02 5.505522739419514267e+01
5.036178995103413047e-01 1.747915368961153139e-03 6.663648648648648987e+02 5.212580041268678599e+01
5.101756467004687767e-01 1.800451491856020327e-03 6.636967741935484355e+02 5.050419625882843633e+01
5.166235656727934389e-01 1.648057805296297825e-03 6.608231292517007205e+02 4.929090548849921305e+01
5.229884928033705638e-01 1.714260039451578075e-03 6.597105263157894797e+02 4.652114500023579780e+01
5.293925748937229336e-01 1.756900675637705763e-03 6.567500000000000000e+02 4.492443798429901136e+01
5.357749724968067229e-01 1.647361260156582873e-03 6.517019867549669243e+02 4.392583238746849617e+01
5.422269581426349960e-01 1.797131621318817348e-03 6.505365853658536253e+02 4.261807965946842813e+01
5.488258977193463117e-01 1.752106618123457169e-03 6.459627329192546767e+02 4.082379490718395232e+01
5.552607346015674405e-01 1.711536068502800701e-03 6.419874999999999545e+02 3.994887064267273757e+01
5.616696921416424182e-01 1.713298320607429745e-03 6.368588957055214905e+02 3.841128840156625301e+01
5.680596363279470928e-01 1.671719726027721563e-03 6.336312500000000227e+02 3.703755484302386236e+01
5.744116486855085357e-01 1.773350792090137981e-03 6.329107142857143344e+02 3.500940106978846700e+01
5.808465417437830292e-01 1.706594120505047427e-03 6.305393939393939036e+02 3.493210152813193048e+01
5.872915480827241019e-01 1.773275249674210931e-03 6.296763005780346703e+02 3.445324796831458514e+01
5.936297343998458986e-01 1.608871723183330060e-03 6.256481481481481524e+02 3.398625290281393774e+01
6.000917821228005655e-01 1.852508397134843563e-03 6.232747252747252560e+02 3.265702038701485321e+01
6.066068710033430955e-01 1.719733697199352486e-03 6.185964912280701355e+02 3.345764140430367917e+01
6.129319261090041548e-01 1.700305612135823196e-03 6.162093023255813478e+02 3.383172056498510472e+01
6.193292159447265632e-01 1.792945791870086646e-03 6.129222222222222172e+02 3.259429341100927502e+01
6.257789288608107681e-01 1.769335618302108433e-03 6.111412429378531215e+02 3.161961507442420327e+01
6.322945183878984077e-01 1.883051681004075783e-03 6.104708994708994396e+02 3.030127041241245323e+01
6.387697914265673127e-01 1.734308686986089703e-03 6.078806818181818699e+02 3.146466046145334516e+01
6.450797878865883739e-01 1.812617312363664322e-03 6.042880434782608745e+02 3.057083912986311702e+01
6.514777522098027518e-01 1.807195130708317372e-03 6.014972972972973366e+02 3.066662469164297988e+01
6.579453254174412180e-01 1.840076954070700866e-03 5.991534391534391943e+02 3.085875860366516577e+01
6.642487788958216788e-01 1.761967380250493336e-03 5.957417582417582480e+02 3.177069321290607107e+01
6.707545140871414846e-01 1.952870522822350513e-03 5.948250000000000455e+02 3.188445546030228073e+01
6.772291234912055646e-01 1.844192786587162299e-03 5.919576719576720052e+02 3.371524226664422486e+01
6.834443396870620857e-01 1.745041746211572261e-03 5.879184782608696196e+02 3.506311821528721850e+01
6.899300657465672337e-01 1.988575045799213618e-03 5.838937198067633290e+02 3.503866432746723092e+01
6.965346490814943170e-01 1.967867873463197050e-03 5.773165829145729049e+02 3.649687615594235979e+01
7.030970487636396538e-01 2.020648629947002003e-03 5.735970873786408220e+02 3.629458459028814588e+01
7.095716427219228573e-01 1.946516927103622520e-03 5.695454545454545041e+02 3.728924861729728946e+01
7.160970279381224657e-01 2.044543341153194464e-03 5.669428571428571786e+02 3.648367261319697974e+01
7.226116891734091219e-01 2.004959656352403585e-03 5.648292682926829684e+02 3.463875269951600444e+01
7.291288619178314390e-01 2.011427705279334160e-03 5.614666666666666970e+02 3.526807090552053836e+01
7.356079106374427967e-01 1.973711099579897668e-03 5.589903846153846416e+02 3.426978451270648662e+01
7.419803430714648762e-01 1.939746738906150680e-03 5.548731707317073187e+02 3.705168279709265278e+01
7.484516812817442188e-01 2.022257641999446187e-03 5.532409090909090992e+02 3.573026936310908042e+01
7.549512183205485671e-01 1.898119824350936232e-03 5.506682692307692832e+02 3.816983674002752025e+01
7.613853957290165342e-01 1.973382858640895885e-03 5.486636363636363285e+02 3.521039184977747993e+01
7.678481984516135617e-01 1.903941598965435333e-03 5.445906976744186068e+02 3.540125947654531302e+01
7.743372045322526320e-01 1.915374251326664194e-03 5.424639639639639199e+02 3.238671702998809820e+01
7.807807857039134047e-01 1.872160005679921477e-03 5.400229357798165211e+02 3.170209007210439367e+01
7.871827117013717734e-01 1.874571936203420349e-03 5.381085972850678445e+02 3.263645230853185808e+01
7.935705088346153291e-01 1.846468364235832015e-03 5.353856502242152828e+02 3.341747211773579096e+01
7.999497029225959288e-01 1.794315080242126848e-03 5.328173515981735591e+02 3.418813857537396217e+01
8.063895263538338742e-01 1.919941342275102670e-03 5.314533898305085131e+02 3.335021794188222088e+01
8.129038415374738591e-01 1.785391972586650427e-03 5.281200000000000045e+02 3.404571306020446997e+01
8.193543447618309994e-01 1.828478467253065801e-03 5.252893617021276214e+02 3.389493232478782403e+01
8.257450256705209934e-01 1.731942097964038994e-03 5.229464285714285552e+02 3.419666752061238668e+01
8.321389716972604766e-01 1.845140229989535984e-03 5.207749999999999773e+02 3.242778033569365448e+01
8.386208936931099922e-01 1.751195931903918061e-03 5.171410256410256352e+02 3.260377823915341367e+01
8.449970631363269424e-01 1.723661030767332288e-03 5.142887931034482563e+02 3.334265284157327613e+01
8.513046230100612677e-01 1.773741526074865430e-03 5.112436974789915780e+02 3.310101100563799292e+01
8.578256185292513214e-01 1.822821089358022794e-03 5.084898785425100982e+02 3.232528338077430874e+01
8.643009097266359797e-01 1.747841479780405487e-03 5.060663900414937757e+02 3.276579813755157744e+01
8.706520843132705689e-01 1.718512007701664341e-03 5.029495798319327946e+02 3.294344176313251893e+01
8.770655084888429043e-01 1.823306464836067656e-03 5.019802371541501884e+02 3.332667873499596567e+01
8.835379301005906738e-01 1.720994191554163586e-03 4.992798353909465163e+02 3.397252890620824672e+01
8.899818591232092624e-01 1.816014583941305376e-03 4.986941176470588175e+02 3.389955377658298374e+01
8.963154830142930907e-01 1.686559403020368615e-03 4.953500000000000227e+02 3.412647737949719584e+01
9.027402481510985455e-01 1.849914512401526186e-03 4.932519083969465896e+02 3.360312973622337296e+01
9.092741475074460622e-01 1.818523953956779297e-03 4.920039215686274474e+02 3.425423975475840876e+01
9.156513574886713247e-01 1.799905876070713017e-03 4.920555555555555429e+02 3.442274982431491281e+01
9.219738414041327434e-01 1.816254378221876130e-03 4.917851562500000000e+02 3.499715215813549207e+01
9.284093843578240524e-01 1.864548344913183461e-03 4.929153846153845961e+02 3.702312447055394529e+01
9.348720171621091035e-01 1.939851900461452830e-03 4.951123595505617914e+02 3.952933493619964622e+01
9.413551784733346084e-01 1.927152036582965508e-03 5.015839694656488632e+02 4.923689567364274211e+01
9.478756351150825488e-01 2.022964964773094239e-03 5.154239130434782510e+02 5.538222999181041217e+01
9.544794314844599059e-01 1.995588314593873917e-03 5.449520295202952411e+02 6.968053957613258831e+01
9.609640598131067302e-01 1.976081289299603128e-03 6.147536764705882888e+02 1.106263459539256786e+02
9.673540511875814429e-01 1.900963898517757681e-03 7.457651515151515014e+02 1.930932339231869719e+02
9.738764300010358532e-01 2.020370959177093719e-03 9.299479166666666288e+02 2.987606934782292569e+02
9.803887395962943563e-01 1.868024915732807104e-03 1.156591760299625548e+03 4.317747587553615176e+02
9.867609507399704993e-01 1.907798179635916648e-03 1.364881720430107634e+03 5.711282802205845428e+02
9.931792738827067701e-01 1.861169570246367679e-03 1.523152727272727361e+03 7.015154472171639100e+02
9.997024529712079666e-01 1.929714342920701943e-03 1.601695205479451943e+03 7.627511029802441271e+02
1.006152710574202525e+00 1.760100644785859590e-03 1.706738970588235361e+03 8.624737574990717803e+02
1.012546487448541255e+00 1.858180627704414780e-03 1.719487889273356359e+03 8.781697775008675535e+02
1.018988798098918291e+00 1.803978976354649174e-03 1.698105633802817010e+03 8.853309935197625009e+02
1.025394048634321598e+00 1.775790568352827222e-03 1.613168421052631629e+03 8.776455526492167110e+02
1.031778999059903112e+00 1.783042104657854955e-03 1.403650519031141812e+03 7.980898071781119825e+02
1.038243195035333466e+00 1.800042721148124251e-03 1.144047781569965764e+03 6.665938874976893658e+02
1.044593270705168830e+00 1.728638088187854378e-03 8.745349650349650119e+02 4.764539825640040362e+02
1.051019473275584426e+00 1.807666001326826760e-03 6.822040133779264579e+02 3.017575981215239267e+02
