# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 8.333333333333333703e-01 2.800454658853861289e+01
1.547771440847061503e-02 1.298069176105710962e-03 9.166666666666666297e-01 3.908679799852857739e-01
2.114153426598287117e-02 1.953452460535632252e-03 8.499999999999999778e-01 4.123105625617660697e-01
2.708829541553820289e-02 1.932501425123600049e-03 9.583333333333333703e-01 4.039733214513607784e-01
3.424760286937652415e-02 2.393094809829984012e-03 8.636363636363636465e-01 4.276110845960630624e-01
4.134659872356089005e-02 1.444308516548141333e-03 8.611111111111111605e-01 4.461771778946948541e-01
4.709622292726145520e-02 1.633576272088444088e-03 7.500000000000000000e-01 5.062114182829146047e-01
5.289360403025952090e-02 1.994215660312892175e-03 7.083333333333333703e-01 5.128555677121321432e-01
5.941266175682404643e-02 2.038777625163953021e-03 8.000000000000000444e-01 4.647580015448898871e-01
6.623959740571712385e-02 2.014614798769268252e-03 7.407407407407406996e-01 4.927457294685209654e-01
7.251770781946841049e-02 1.767162065969994948e-03 7.916666666666666297e-01 5.145453764678530328e-01
7.836204892921720677e-02 1.794558473909566021e-03 9.000000000000000222e-01 9.528903399657275841e-01
8.476368586159346852e-02 2.173163639586968114e-03 2.062500000000000000e+00 5.021535652815779294e+00
9.171767809022127182e-02 2.151270969520740432e-03 8.264705882352942012e+00 2.245763986342496921e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.193333333333333357e+01 5.421556766997628074e+01
1.046713563714864598e-01 1.717715818177843919e-03 5.061999999999999744e+01 9.883667335559204048e+01
1.108696467093386595e-01 1.978629817275711061e-03 8.175471698113207708e+01 1.379236571740292732e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.136393442622950829e+02 1.728282434093679854e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.632199999999999989e+02 2.160764586899738617e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.802711864406779796e+02 2.365916145412679441e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.264464285714285836e+02 2.746088219668858983e+02
