# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 1.166666666666666741e+00 2.755197280764752321e+01
1.547771440847061503e-02 1.298069176105710962e-03 1.166666666666666741e+00 4.859126579037750804e-01
2.114153426598287117e-02 1.953452460535632252e-03 1.100000000000000089e+00 3.807886552931954438e-01
2.708829541553820289e-02 1.932501425123600049e-03 9.166666666666666297e-01 3.385016001931649421e-01
3.424760286937652415e-02 2.393094809829984012e-03 9.545454545454545858e-01 4.488276740484434812e-01
4.134659872356089005e-02 1.444308516548141333e-03 1.055555555555555580e+00 4.984544012479543151e-01
4.709622292726145520e-02 1.633576272088444088e-03 1.199999999999999956e+00 5.385164807134504850e-01
5.289360403025952090e-02 1.994215660312892175e-03 1.020833333333333259e+00 4.564354645876383954e-01
5.941266175682404643e-02 2.038777625163953021e-03 1.199999999999999956e+00 5.138093031466050009e-01
6.623959740571712385e-02 2.014614798769268252e-03 1.222222222222222321e+00 4.821932061589459528e-01
7.251770781946841049e-02 1.767162065969994948e-03 1.229166666666666741e+00 5.344064724325274796e-01
7.836204892921720677e-02 1.794558473909566021e-03 1.419999999999999929e+00 9.121403400793102190e-01
8.476368586159346852e-02 2.173163639586968114e-03 2.390625000000000000e+00 4.619295468467026211e+00
9.171767809022127182e-02 2.151270969520740432e-03 8.441176470588235503e+00 2.160787093873874554e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.276666666666666572e+01 5.437884086051609955e+01
1.046713563714864598e-01 1.717715818177843919e-03 5.617999999999999972e+01 1.062897511522159846e+02
1.108696467093386595e-01 1.978629817275711061e-03 9.560377358490566735e+01 1.573302189434973855e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.390655737704917954e+02 2.074870252028291873e+02
1.240901985761322518e-01 1.682567093931450772e-03 2.073600000000000136e+02 2.704563136626690607e+02
1.302695169190241364e-01 1.981638030988197227e-03 2.301016949152542281e+02 3.028299710758280412e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.944107142857142776e+02 3.546243979874469687e+02
