# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 5.833333333333333703e-01 3.089292289805522884e+01
1.547771440847061503e-02 1.298069176105710962e-03 7.500000000000000000e-01 4.999999999999999445e-01
2.114153426598287117e-02 1.953452460535632252e-03 9.000000000000000222e-01 4.847679857416328786e-01
2.708829541553820289e-02 1.932501425123600049e-03 8.750000000000000000e-01 5.590169943749474513e-01
3.424760286937652415e-02 2.393094809829984012e-03 9.545454545454545858e-01 4.488276740484433147e-01
4.134659872356089005e-02 1.444308516548141333e-03 9.166666666666666297e-01 3.967460238079361656e-01
4.709622292726145520e-02 1.633576272088444088e-03 8.499999999999999778e-01 4.987484335815002834e-01
5.289360403025952090e-02 1.994215660312892175e-03 7.500000000000000000e-01 5.352180241110470194e-01
5.941266175682404643e-02 2.038777625163953021e-03 7.399999999999999911e-01 6.059702963017246091e-01
6.623959740571712385e-02 2.014614798769268252e-03 8.148148148148147696e-01 5.925925925925924487e-01
7.251770781946841049e-02 1.767162065969994948e-03 8.750000000000000000e-01 5.025974200756174737e-01
7.836204892921720677e-02 1.794558473909566021e-03 1.080000000000000071e+00 9.461500938011896400e-01
8.476368586159346852e-02 2.173163639586968114e-03 2.296875000000000000e+00 5.033724158736749388e+00
9.171767809022127182e-02 2.151270969520740432e-03 8.352941176470588758e+00 2.111449263676393784e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.148333333333333428e+01 5.020067507292882425e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.965999999999999659e+01 9.208809695069173529e+01
1.108696467093386595e-01 1.978629817275711061e-03 8.166037735849056389e+01 1.312039710606044025e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.160655737704918096e+02 1.700993828729222628e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.688600000000000136e+02 2.169993953908627873e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.870847457627118615e+02 2.408458843684824728e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.352142857142857224e+02 2.810234688616243943e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.607419354838709751e+02 2.999827579158946378e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.988571428571428328e+02 3.340434952058524800e+02
1.560440161600273323e-01 1.800320108738214832e-03 3.281754385964912331e+02 3.592789665537642918e+02
1.626324968867556287e-01 2.166758397174068339e-03 3.572432432432432279e+02 3.708218568601383254e+02
1.693678508908615654e-01 1.711853084056604935e-03 3.841666666666666856e+02 4.014138450527087230e+02
1.755753172360756398e-01 1.940749690505284321e-03 4.160144927536231876e+02 4.055475632856848165e+02
1.819629297477835528e-01 1.792019476258344991e-03 4.374923076923076906e+02 4.287205605674334379e+02
1.883474920212158954e-01 1.982820530303366913e-03 4.487222222222222285e+02 4.437336408043472602e+02
1.949500334927739553e-01 1.985593967279970003e-03 4.854266666666666765e+02 4.489764622387732516e+02
2.014306324154557237e-01 1.750557958225071797e-03 5.011594202898550634e+02 4.666870658967530971e+02
2.076332073357673447e-01 1.865361520913360683e-03 5.338378378378378102e+02 4.665798198259429341e+02
2.140129245322099916e-01 1.882829286684015863e-03 5.319333333333332803e+02 4.822055522976344832e+02
2.204163405633874917e-01 1.951475208267544961e-03 5.688717948717949184e+02 4.804155731712185116e+02
2.268599176829277919e-01 1.954094669929957399e-03 5.702500000000000000e+02 4.944509992152912901e+02
2.335135695299082048e-01 1.986313139076756155e-03 5.852705882352940989e+02 5.042302234105885645e+02
2.400224779461884173e-01 1.823737618079871109e-03 6.150375000000000227e+02 5.042261636036948858e+02
2.464005577519743639e-01 1.894426896505377799e-03 6.306941176470588744e+02 5.070881666137783554e+02
2.528350385827773383e-01 1.829527638271931031e-03 6.473095238095238528e+02 5.111624387924053394e+02
2.590859102888302123e-01 1.817056121189442432e-03 6.508333333333333712e+02 5.163956643339070069e+02
2.654612130450557106e-01 1.918447197659697845e-03 6.575842696629213151e+02 5.214688330528240385e+02
2.718942366720529247e-01 1.942478483450333455e-03 6.847692307692307168e+02 5.083927369454320910e+02
2.784185743669774227e-01 1.921358219378808702e-03 6.814623655913978837e+02 5.057840988313028561e+02
2.849156375412667530e-01 1.882334819595186037e-03 7.332872340425532229e+02 4.783042578793100574e+02
2.911870294677750826e-01 1.766712284927822799e-03 7.400337078651685943e+02 4.632054769206226865e+02
2.976511517037133681e-01 2.019527329980297554e-03 7.814271844660194120e+02 4.317153034283728630e+02
