# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 1.666666666666666574e-01 5.274616818070811064e+01
1.547771440847061503e-02 1.298069176105710962e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.114153426598287117e-02 1.953452460535632252e-03 2.000000000000000111e-01 4.123105625617661252e-01
2.708829541553820289e-02 1.932501425123600049e-03 2.916666666666666852e-01 4.677071733467427772e-01
3.424760286937652415e-02 2.393094809829984012e-03 1.818181818181818232e-01 3.910147848655738390e-01
4.134659872356089005e-02 1.444308516548141333e-03 1.944444444444444475e-01 4.025382429497065262e-01
4.709622292726145520e-02 1.633576272088444088e-03 2.500000000000000000e-01 4.401704215414751764e-01
5.289360403025952090e-02 1.994215660312892175e-03 2.708333333333333148e-01 4.506939094329988071e-01
5.941266175682404643e-02 2.038777625163953021e-03 2.600000000000000089e-01 4.874423042781576565e-01
6.623959740571712385e-02 2.014614798769268252e-03 3.148148148148148251e-01 4.706764824866236374e-01
7.251770781946841049e-02 1.767162065969994948e-03 3.750000000000000000e-01 4.921254921257381953e-01
7.836204892921720677e-02 1.794558473909566021e-03 6.199999999999999956e-01 9.633275663033833425e-01
8.476368586159346852e-02 2.173163639586968114e-03 1.796875000000000000e+00 5.141978355287972313e+00
9.171767809022127182e-02 2.151270969520740432e-03 7.911764705882353255e+00 2.182665072018378893e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.136666666666666714e+01 5.137400445101911828e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.846000000000000085e+01 9.196661133259178200e+01
1.108696467093386595e-01 1.978629817275711061e-03 7.562264150943396146e+01 1.252377418753310252e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.000163934426229559e+02 1.513090962994320989e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.353199999999999932e+02 1.797327015320250609e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.473898305084745743e+02 1.904106812151759129e+02
1.366843399328758479e-01 1.885635125754002352e-03 1.779107142857142776e+02 2.140248844129093015e+02
1.431380625310322841e-01 2.037281709542672608e-03 1.995322580645161281e+02 2.237553015317840277e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.166984126984127101e+02 2.404096361356765215e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.349824561403508767e+02 2.537115354966642258e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.631081081081081265e+02 2.630709041007160636e+02
1.693678508908615654e-01 1.711853084056604935e-03 2.708666666666666742e+02 2.755566426949879997e+02
1.755753172360756398e-01 1.940749690505284321e-03 3.005507246376811850e+02 2.804610495881091765e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.075846153846154039e+02 2.904773093013203606e+02
1.883474920212158954e-01 1.982820530303366913e-03 3.141944444444444571e+02 3.008301817060726080e+02
1.949500334927739553e-01 1.985593967279970003e-03 3.439333333333333371e+02 3.039124128209748505e+02
2.014306324154557237e-01 1.750557958225071797e-03 3.480000000000000000e+02 3.110350182997015054e+02
2.076332073357673447e-01 1.865361520913360683e-03 3.703513513513513544e+02 3.112536381251873081e+02
2.140129245322099916e-01 1.882829286684015863e-03 3.644399999999999977e+02 3.167586446071098294e+02
2.204163405633874917e-01 1.951475208267544961e-03 3.908717948717948616e+02 3.158907144223317687e+02
2.268599176829277919e-01 1.954094669929957399e-03 3.880625000000000000e+02 3.233994192558174632e+02
2.335135695299082048e-01 1.986313139076756155e-03 3.937411764705882433e+02 3.287149676625600137e+02
2.400224779461884173e-01 1.823737618079871109e-03 4.141999999999999886e+02 3.287498098858766866e+02
2.464005577519743639e-01 1.894426896505377799e-03 4.247176470588235020e+02 3.269046981321921521e+02
2.528350385827773383e-01 1.829527638271931031e-03 4.305476190476190368e+02 3.300744388832337108e+02
2.590859102888302123e-01 1.817056121189442432e-03 4.323095238095237960e+02 3.320654027286528276e+02
2.654612130450557106e-01 1.918447197659697845e-03 4.363483146067415532e+02 3.345965968006578350e+02
2.718942366720529247e-01 1.942478483450333455e-03 4.579120879120878840e+02 3.243637086377297578e+02
2.784185743669774227e-01 1.921358219378808702e-03 4.582043010752688019e+02 3.177491626272672534e+02
2.849156375412667530e-01 1.882334819595186037e-03 4.961382978723404449e+02 2.920370010880931773e+02
2.911870294677750826e-01 1.766712284927822799e-03 5.068089887640449547e+02 2.692641358437103918e+02
2.976511517037133681e-01 2.019527329980297554e-03 5.449514563106796459e+02 2.388343803766161670e+02
3.043178155919494809e-01 1.919359421117726450e-03 5.597200000000000273e+02 2.104945101421887443e+02
3.108074081907638564e-01 1.815555258398614735e-03 5.816020408163265074e+02 1.911882041455874628e+02
