# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 1.083333333333333259e+00 2.147648633344237012e+01
1.547771440847061503e-02 1.298069176105710962e-03 8.333333333333333703e-01 4.564354645876383954e-01
2.114153426598287117e-02 1.953452460535632252e-03 5.999999999999999778e-01 5.196152422706632468e-01
2.708829541553820289e-02 1.932501425123600049e-03 5.833333333333333703e-01 5.170697352496189669e-01
3.424760286937652415e-02 2.393094809829984012e-03 4.772727272727272929e-01 5.102260072873556762e-01
4.134659872356089005e-02 1.444308516548141333e-03 4.444444444444444198e-01 5.610836076867822264e-01
4.709622292726145520e-02 1.633576272088444088e-03 4.749999999999999778e-01 5.578978401105350038e-01
5.289360403025952090e-02 1.994215660312892175e-03 4.166666666666666852e-01 5.788518328937419799e-01
5.941266175682404643e-02 2.038777625163953021e-03 4.400000000000000022e-01 5.051732376126033541e-01
6.623959740571712385e-02 2.014614798769268252e-03 5.555555555555555802e-01 5.071505162084875007e-01
7.251770781946841049e-02 1.767162065969994948e-03 7.291666666666666297e-01 4.611654921078887082e-01
7.836204892921720677e-02 1.794558473909566021e-03 9.000000000000000222e-01 9.528903399657274731e-01
8.476368586159346852e-02 2.173163639586968114e-03 2.015625000000000000e+00 5.045109017652642081e+00
9.171767809022127182e-02 2.151270969520740432e-03 8.264705882352942012e+00 2.269928089039775898e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.176666666666666572e+01 5.423352284334846019e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.928000000000000114e+01 9.635594013863391183e+01
1.108696467093386595e-01 1.978629817275711061e-03 7.773584905660376876e+01 1.302469380175232629e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.055081967213114780e+02 1.598413534224092700e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.509600000000000080e+02 1.988237852974336874e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.668305084745762770e+02 2.172781212161203825e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.097857142857142776e+02 2.523504229625695530e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.334354838709677438e+02 2.684755253283103116e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.663015873015872899e+02 2.979717567160577687e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.939122807017544119e+02 3.217199521454877527e+02
1.626324968867556287e-01 2.166758397174068339e-03 3.218513513513513544e+02 3.324020932101502694e+02
1.693678508908615654e-01 1.711853084056604935e-03 3.446166666666666742e+02 3.584027715666645690e+02
1.755753172360756398e-01 1.940749690505284321e-03 3.738550724637681242e+02 3.616155458253513189e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.922461538461538453e+02 3.825432767411834334e+02
1.883474920212158954e-01 1.982820530303366913e-03 4.021527777777777715e+02 3.959943790324663837e+02
1.949500334927739553e-01 1.985593967279970003e-03 4.348666666666666742e+02 3.992935684152423050e+02
2.014306324154557237e-01 1.750557958225071797e-03 4.486376811594203105e+02 4.148737992102676913e+02
2.076332073357673447e-01 1.865361520913360683e-03 4.816216216216216139e+02 4.178867851824164177e+02
2.140129245322099916e-01 1.882829286684015863e-03 4.824133333333333553e+02 4.335369665130452290e+02
2.204163405633874917e-01 1.951475208267544961e-03 5.163205128205128176e+02 4.325788101857236825e+02
2.268599176829277919e-01 1.954094669929957399e-03 5.151000000000000227e+02 4.437368350159810575e+02
2.335135695299082048e-01 1.986313139076756155e-03 5.249058823529411484e+02 4.506725451764046966e+02
2.400224779461884173e-01 1.823737618079871109e-03 5.486499999999999773e+02 4.483929756642047550e+02
2.464005577519743639e-01 1.894426896505377799e-03 5.614823529411764866e+02 4.493981426946927513e+02
2.528350385827773383e-01 1.829527638271931031e-03 5.765119047619048160e+02 4.547520713845857472e+02
2.590859102888302123e-01 1.817056121189442432e-03 5.809047619047619264e+02 4.600014770014738019e+02
2.654612130450557106e-01 1.918447197659697845e-03 5.864044943820224489e+02 4.625185552633359407e+02
2.718942366720529247e-01 1.942478483450333455e-03 6.129560439560439136e+02 4.506314346475677439e+02
2.784185743669774227e-01 1.921358219378808702e-03 6.107956989247311412e+02 4.467810066377507496e+02
2.849156375412667530e-01 1.882334819595186037e-03 6.585531914893616658e+02 4.200424976882600845e+02
2.911870294677750826e-01 1.766712284927822799e-03 6.651123595505617914e+02 4.029260392828692261e+02
2.976511517037133681e-01 2.019527329980297554e-03 7.025339805825242365e+02 3.738660806526947340e+02
3.043178155919494809e-01 1.919359421117726450e-03 7.105099999999999909e+02 3.575246774699615457e+02
3.108074081907638564e-01 1.815555258398614735e-03 7.368061224489796359e+02 3.398372978420429149e+02
3.170970610330232087e-01 1.826000353424227750e-03 7.522424242424242493e+02 3.267902429252372940e+02
3.235319739834495723e-01 1.908097576542081529e-03 7.574571428571429124e+02 3.132102521323597557e+02
3.300700059726238145e-01 1.867687188749142220e-03 7.847924528301887221e+02 2.947072776408517143e+02
3.365262003550894554e-01 1.808122422876843900e-03 7.839238095238094957e+02 2.892377060693244175e+02
3.429039324965278412e-01 1.810371451943152679e-03 8.076509433962264666e+02 2.727737284673364684e+02
3.492243179790229801e-01 1.835371710213073819e-03 8.179629629629629335e+02 2.609836062471487708e+02
