# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 4.166666666666666852e-01 3.524279583084038592e+01
1.547771440847061503e-02 1.298069176105710962e-03 4.166666666666666852e-01 5.270462766947298094e-01
2.114153426598287117e-02 1.953452460535632252e-03 4.500000000000000111e-01 5.196152422706632468e-01
2.708829541553820289e-02 1.932501425123600049e-03 2.500000000000000000e-01 4.448782605013045788e-01
3.424760286937652415e-02 2.393094809829984012e-03 3.409090909090908839e-01 4.821182598999185775e-01
4.134659872356089005e-02 1.444308516548141333e-03 4.444444444444444198e-01 5.091750772173155859e-01
4.709622292726145520e-02 1.633576272088444088e-03 5.000000000000000000e-01 5.123475382979799653e-01
5.289360403025952090e-02 1.994215660312892175e-03 2.916666666666666852e-01 4.611654921078887637e-01
5.941266175682404643e-02 2.038777625163953021e-03 3.200000000000000067e-01 4.732863826479691283e-01
6.623959740571712385e-02 2.014614798769268252e-03 3.518518518518518601e-01 4.843221048378528182e-01
7.251770781946841049e-02 1.767162065969994948e-03 4.791666666666666852e-01 5.488308280133120665e-01
7.836204892921720677e-02 1.794558473909566021e-03 8.000000000000000444e-01 1.120714058089752108e+00
8.476368586159346852e-02 2.173163639586968114e-03 2.000000000000000000e+00 5.300353761778547224e+00
9.171767809022127182e-02 2.151270969520740432e-03 8.191176470588235503e+00 2.225940180818280467e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.166666666666666785e+01 5.242184659090141707e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.943999999999999773e+01 9.430161822577595387e+01
1.108696467093386595e-01 1.978629817275711061e-03 7.881132075471698784e+01 1.305992664119000608e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.079016393442622928e+02 1.627596695259210833e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.513199999999999932e+02 1.992250084703223081e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.658983050847457719e+02 2.141515101287725997e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.036785714285714164e+02 2.440691461179283976e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.268548387096774093e+02 2.568462747344277659e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.539841269841269877e+02 2.815970037340023850e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.791403508771929864e+02 3.016614815162751597e+02
1.626324968867556287e-01 2.166758397174068339e-03 3.114864864864865126e+02 3.145228039894158201e+02
1.693678508908615654e-01 1.711853084056604935e-03 3.266166666666666742e+02 3.342908613767358474e+02
1.755753172360756398e-01 1.940749690505284321e-03 3.570000000000000000e+02 3.364795361695411771e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.687384615384615358e+02 3.504565218794060684e+02
1.883474920212158954e-01 1.982820530303366913e-03 3.768472222222222285e+02 3.623396612194040927e+02
1.949500334927739553e-01 1.985593967279970003e-03 4.110933333333333053e+02 3.650285000745375328e+02
2.014306324154557237e-01 1.750557958225071797e-03 4.200869565217391255e+02 3.768339419237063908e+02
2.076332073357673447e-01 1.865361520913360683e-03 4.479459459459459367e+02 3.784633176863849826e+02
2.140129245322099916e-01 1.882829286684015863e-03 4.457733333333333121e+02 3.907361756138448072e+02
