# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 2.500000000000000000e-01 2.194358296480621107e+01
1.547771440847061503e-02 1.298069176105710962e-03 2.500000000000000000e-01 4.564354645876383954e-01
2.114153426598287117e-02 1.953452460535632252e-03 3.499999999999999778e-01 4.949747468305832898e-01
2.708829541553820289e-02 1.932501425123600049e-03 5.000000000000000000e-01 5.204164998665331554e-01
3.424760286937652415e-02 2.393094809829984012e-03 6.818181818181817677e-01 5.686361819634911940e-01
4.134659872356089005e-02 1.444308516548141333e-03 7.222222222222222099e-01 5.760122598146586448e-01
4.709622292726145520e-02 1.633576272088444088e-03 7.750000000000000222e-01 6.274950199005567830e-01
5.289360403025952090e-02 1.994215660312892175e-03 6.666666666666666297e-01 6.009252125773314468e-01
5.941266175682404643e-02 2.038777625163953021e-03 5.999999999999999778e-01 5.019960159204454042e-01
6.623959740571712385e-02 2.014614798769268252e-03 5.185185185185184897e-01 5.091750772173155859e-01
7.251770781946841049e-02 1.767162065969994948e-03 4.791666666666666852e-01 5.094591358598951070e-01
7.836204892921720677e-02 1.794558473909566021e-03 8.199999999999999512e-01 9.818350166906866239e-01
8.476368586159346852e-02 2.173163639586968114e-03 2.109375000000000000e+00 4.924974222648277333e+00
9.171767809022127182e-02 2.151270969520740432e-03 7.911764705882353255e+00 2.093315072577366465e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.033333333333333215e+01 4.992822626308468159e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.678000000000000114e+01 9.033065481883764392e+01
1.108696467093386595e-01 1.978629817275711061e-03 7.564150943396226978e+01 1.256815255024245204e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.053278688524590194e+02 1.579930881706592061e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.528199999999999932e+02 1.993738297771300267e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.697796610169491487e+02 2.197391332904186072e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.136785714285714164e+02 2.554840606174714708e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.385322580645161281e+02 2.743765944987671332e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.758412698412698205e+02 3.087075529325308025e+02
1.560440161600273323e-01 1.800320108738214832e-03 3.053333333333333144e+02 3.344272401395681413e+02
1.626324968867556287e-01 2.166758397174068339e-03 3.333648648648648418e+02 3.443902663955827848e+02
1.693678508908615654e-01 1.711853084056604935e-03 3.565166666666666515e+02 3.706475751977880577e+02
1.755753172360756398e-01 1.940749690505284321e-03 3.860000000000000000e+02 3.739970936878474390e+02
1.819629297477835528e-01 1.792019476258344991e-03 4.052153846153846075e+02 3.951891114974624770e+02
1.883474920212158954e-01 1.982820530303366913e-03 4.161250000000000000e+02 4.093869061033692560e+02
1.949500334927739553e-01 1.985593967279970003e-03 4.498666666666666742e+02 4.123791545545326471e+02
2.014306324154557237e-01 1.750557958225071797e-03 4.631884057971014386e+02 4.283860127611855546e+02
2.076332073357673447e-01 1.865361520913360683e-03 4.951351351351351582e+02 4.300893650661732295e+02
2.140129245322099916e-01 1.882829286684015863e-03 4.941333333333333258e+02 4.453286846064750080e+02
2.204163405633874917e-01 1.951475208267544961e-03 5.291794871794871824e+02 4.444370779304042003e+02
2.268599176829277919e-01 1.954094669929957399e-03 5.302000000000000455e+02 4.567450191299297444e+02
2.335135695299082048e-01 1.986313139076756155e-03 5.416823529411764184e+02 4.646482807189611890e+02
2.400224779461884173e-01 1.823737618079871109e-03 5.688374999999999773e+02 4.641811570523948944e+02
2.464005577519743639e-01 1.894426896505377799e-03 5.847294117647059011e+02 4.672580280477655492e+02
2.528350385827773383e-01 1.829527638271931031e-03 6.011309523809524080e+02 4.738524821994935223e+02
2.590859102888302123e-01 1.817056121189442432e-03 6.059523809523809632e+02 4.803041665482698477e+02
2.654612130450557106e-01 1.918447197659697845e-03 6.112696629213482993e+02 4.834844128850902507e+02
2.718942366720529247e-01 1.942478483450333455e-03 6.383186813186813424e+02 4.707228026017696720e+02
2.784185743669774227e-01 1.921358219378808702e-03 6.338709677419354875e+02 4.660469116931433859e+02
2.849156375412667530e-01 1.882334819595186037e-03 6.787978723404255561e+02 4.364957404857463530e+02
2.911870294677750826e-01 1.766712284927822799e-03 6.842359550561798187e+02 4.189718056655888745e+02
2.976511517037133681e-01 2.019527329980297554e-03 7.266990291262136452e+02 3.882981584974927500e+02
3.043178155919494809e-01 1.919359421117726450e-03 7.392100000000000364e+02 3.692447941406892369e+02
3.108074081907638564e-01 1.815555258398614735e-03 7.646326530612244596e+02 3.482774727749159638e+02
3.170970610330232087e-01 1.826000353424227750e-03 7.766767676767676676e+02 3.334273554266376323e+02
3.235319739834495723e-01 1.908097576542081529e-03 7.824666666666666970e+02 3.204672273564393663e+02
3.300700059726238145e-01 1.867687188749142220e-03 8.147547169811321055e+02 3.022099791279468946e+02
3.365262003550894554e-01 1.808122422876843900e-03 8.147999999999999545e+02 2.972239431488526407e+02
3.429039324965278412e-01 1.810371451943152679e-03 8.379716981132075944e+02 2.809661378709495807e+02
3.492243179790229801e-01 1.835371710213073819e-03 8.470000000000000000e+02 2.681181159005748214e+02
3.555659880086458058e-01 1.813249007222180170e-03 8.563611111111110858e+02 2.582852513995621848e+02
3.620245372922214488e-01 1.918012235727336494e-03 8.728974358974359120e+02 2.444566916123878286e+02
3.685406119477664388e-01 1.798147481859587110e-03 8.710000000000000000e+02 2.364471447327124167e+02
3.750909242308860247e-01 1.967614233492519498e-03 8.900725806451613380e+02 2.187365188353705889e+02
3.816999037813160189e-01 1.752662604176019427e-03 8.879391304347825553e+02 2.087667829867551745e+02
3.880273799716012495e-01 1.749306826939258557e-03 8.936982758620689538e+02 1.986731881050366439e+02
3.942361145945514900e-01 1.745527907058957431e-03 8.948965517241379075e+02 1.893994969400433490e+02
4.006128291384035145e-01 1.852638254231622501e-03 8.999593495934959719e+02 1.788215887936335093e+02
4.070503578694664726e-01 1.848743254130127446e-03 9.034758064516129252e+02 1.735985451111968700e+02
4.135933781829447264e-01 1.871256654943844995e-03 9.044883720930232585e+02 1.665897509557240710e+02
4.202179442533061082e-01 1.832712641984981681e-03 9.112615384615384073e+02 1.558341912031149832e+02
4.266798115557093873e-01 1.759393680741872749e-03 9.151181102362204456e+02 1.490995636927210626e+02
4.330910535146235696e-01 1.771858374752960505e-03 9.198615384615384301e+02 1.418160067246064102e+02
4.395078467689783608e-01 1.772659720438770270e-03 9.223409090909091219e+02 1.363707068874019512e+02
4.457793319829173595e-01 1.654526338047628432e-03 9.144959999999999809e+02 1.308792953526263432e+02
4.521562795609589402e-01 1.887763445894669913e-03 9.171408450704225288e+02 1.199883892253705966e+02
4.587656575942579140e-01 1.769717907920350091e-03 9.036934306569343107e+02 1.132445457192958855e+02
4.652405449529313231e-01 1.746242423612376143e-03 8.976978417266186625e+02 1.077582895772778357e+02
4.716282944699034529e-01 1.704407088516023735e-03 8.870364963503649278e+02 1.022286636141749341e+02
4.780637153179891352e-01 1.798647074538550902e-03 8.809166666666666288e+02 9.611494553205361058e+01
4.844976548260259142e-01 1.723433333189145671e-03 8.760000000000000000e+02 9.121326194654798769e+01
4.908596034113225648e-01 1.665744062354685903e-03 8.671489361702127781e+02 8.771322636852357846e+01
4.972011979785150859e-01 1.734256865849588200e-03 8.686301369863014088e+02 8.513223628182308289e+01
5.036178995103413047e-01 1.747915368961153139e-03 8.655675675675676075e+02 8.357388266757985207e+01
5.101756467004687767e-01 1.800451491856020327e-03 8.748516129032258277e+02 8.782425407926085370e+01
5.166235656727934389e-01 1.648057805296297825e-03 8.865374149659863861e+02 9.517370734047094061e+01
5.229884928033705638e-01 1.714260039451578075e-03 8.913552631578946830e+02 9.663993709194834025e+01
5.293925748937229336e-01 1.756900675637705763e-03 8.771410256410256352e+02 8.667845229757030268e+01
5.357749724968067229e-01 1.647361260156582873e-03 8.534437086092715390e+02 7.378969198959383391e+01
5.422269581426349960e-01 1.797131621318817348e-03 8.400304878048780211e+02 6.661359626693725033e+01
5.488258977193463117e-01 1.752106618123457169e-03 8.329565217391303804e+02 6.416940178390170502e+01
5.552607346015674405e-01 1.711536068502800701e-03 8.377000000000000455e+02 6.819710862639266225e+01
5.616696921416424182e-01 1.713298320607429745e-03 8.470368098159509600e+02 7.757002836348839026e+01
5.680596363279470928e-01 1.671719726027721563e-03 8.462374999999999545e+02 8.099333354125509743e+01
5.744116486855085357e-01 1.773350792090137981e-03 8.305357142857143344e+02 6.983630185027303128e+01
5.808465417437830292e-01 1.706594120505047427e-03 8.091757575757575296e+02 5.819377654884968365e+01
5.872915480827241019e-01 1.773275249674210931e-03 7.992080924855491730e+02 5.302904192654656157e+01
