# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 2.500000000000000000e-01 5.315922766928200360e+01
1.547771440847061503e-02 1.298069176105710962e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.114153426598287117e-02 1.953452460535632252e-03 2.999999999999999889e-01 4.743416490252567730e-01
2.708829541553820289e-02 1.932501425123600049e-03 5.000000000000000000e-01 6.614378277661475680e-01
3.424760286937652415e-02 2.393094809829984012e-03 4.090909090909091161e-01 5.847581968303916522e-01
4.134659872356089005e-02 1.444308516548141333e-03 3.611111111111111049e-01 4.906533814626580781e-01
4.709622292726145520e-02 1.633576272088444088e-03 3.250000000000000111e-01 4.769696007084728295e-01
5.289360403025952090e-02 1.994215660312892175e-03 2.708333333333333148e-01 4.506939094329988627e-01
5.941266175682404643e-02 2.038777625163953021e-03 1.799999999999999933e-01 3.888444419044715938e-01
6.623959740571712385e-02 2.014614798769268252e-03 2.037037037037036924e-01 4.074074074074073293e-01
7.251770781946841049e-02 1.767162065969994948e-03 2.708333333333333148e-01 4.506939094329988071e-01
7.836204892921720677e-02 1.794558473909566021e-03 5.600000000000000533e-01 9.887365675446619928e-01
8.476368586159346852e-02 2.173163639586968114e-03 1.843750000000000000e+00 4.965948502678013021e+00
9.171767809022127182e-02 2.151270969520740432e-03 7.735294117647058876e+00 2.098562904221786951e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.011666666666666714e+01 4.937312021738144097e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.532000000000000028e+01 8.810223606696939669e+01
1.108696467093386595e-01 1.978629817275711061e-03 7.101886792452830832e+01 1.207593896501603155e+02
1.174911181025048434e-01 2.151142134119994175e-03 9.591803278688524870e+01 1.493061827251177647e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.334399999999999977e+02 1.812858383878895268e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.474745762711864359e+02 1.951021543131664089e+02
1.366843399328758479e-01 1.885635125754002352e-03 1.822142857142857224e+02 2.232492058399385257e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.037258064516128968e+02 2.344799346431590834e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.259523809523809632e+02 2.546789703311785900e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.450877192982456165e+02 2.685421868626260107e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.713108108108108354e+02 2.778402993107916359e+02
1.693678508908615654e-01 1.711853084056604935e-03 2.832833333333333599e+02 2.940475433969441497e+02
1.755753172360756398e-01 1.940749690505284321e-03 3.092318840579710013e+02 2.956280840569376664e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.175846153846154039e+02 3.064306012342453300e+02
1.883474920212158954e-01 1.982820530303366913e-03 3.241111111111110858e+02 3.156766370790382439e+02
1.949500334927739553e-01 1.985593967279970003e-03 3.518133333333333326e+02 3.177408839500094473e+02
2.014306324154557237e-01 1.750557958225071797e-03 3.573623188405796895e+02 3.260726624886426066e+02
2.076332073357673447e-01 1.865361520913360683e-03 3.821216216216216139e+02 3.272151954738867516e+02
2.140129245322099916e-01 1.882829286684015863e-03 3.781333333333333258e+02 3.354916551371533160e+02
2.204163405633874917e-01 1.951475208267544961e-03 4.054102564102564088e+02 3.345387234120976245e+02
2.268599176829277919e-01 1.954094669929957399e-03 4.034250000000000114e+02 3.427215155012885361e+02
2.335135695299082048e-01 1.986313139076756155e-03 4.097058823529411598e+02 3.480409602828408993e+02
2.400224779461884173e-01 1.823737618079871109e-03 4.288500000000000227e+02 3.458157574851094296e+02
2.464005577519743639e-01 1.894426896505377799e-03 4.407882352941176691e+02 3.455529069301679215e+02
2.528350385827773383e-01 1.829527638271931031e-03 4.499047619047619264e+02 3.494743866705763367e+02
2.590859102888302123e-01 1.817056121189442432e-03 4.523333333333333144e+02 3.526657496162350185e+02
2.654612130450557106e-01 1.918447197659697845e-03 4.563595505617977324e+02 3.552335970472846611e+02
2.718942366720529247e-01 1.942478483450333455e-03 4.776483516483516496e+02 3.444405305311437360e+02
2.784185743669774227e-01 1.921358219378808702e-03 4.779462365591397770e+02 3.383307009392697182e+02
2.849156375412667530e-01 1.882334819595186037e-03 5.160744680851063322e+02 3.098598954708176620e+02
2.911870294677750826e-01 1.766712284927822799e-03 5.314719101123595237e+02 2.834192045796385173e+02
2.976511517037133681e-01 2.019527329980297554e-03 5.771553398058252924e+02 2.458967868941817585e+02
3.043178155919494809e-01 1.919359421117726450e-03 6.040399999999999636e+02 2.120365506227641106e+02
3.108074081907638564e-01 1.815555258398614735e-03 6.313469387755102389e+02 1.901295356238340162e+02
3.170970610330232087e-01 1.826000353424227750e-03 6.440101010101010388e+02 1.774655749801360685e+02
3.235319739834495723e-01 1.908097576542081529e-03 6.464095238095237619e+02 1.708074326474672091e+02
3.300700059726238145e-01 1.867687188749142220e-03 6.613867924528301501e+02 1.584902392179918991e+02
3.365262003550894554e-01 1.808122422876843900e-03 6.577904761904761699e+02 1.574707586143983633e+02
3.429039324965278412e-01 1.810371451943152679e-03 6.689811320754716917e+02 1.470786897393232096e+02
3.492243179790229801e-01 1.835371710213073819e-03 6.727592592592592382e+02 1.432510907462836656e+02
3.555659880086458058e-01 1.813249007222180170e-03 6.764722222222221717e+02 1.399494415616426863e+02
3.620245372922214488e-01 1.918012235727336494e-03 6.853931623931623562e+02 1.313187974414657617e+02
3.685406119477664388e-01 1.798147481859587110e-03 6.849279279279279535e+02 1.278488110255343884e+02
3.750909242308860247e-01 1.967614233492519498e-03 6.935000000000000000e+02 1.196670953507162665e+02
3.816999037813160189e-01 1.752662604176019427e-03 6.912434782608695514e+02 1.115996893437688158e+02
3.880273799716012495e-01 1.749306826939258557e-03 6.947155172413793025e+02 1.060905731937138228e+02
3.942361145945514900e-01 1.745527907058957431e-03 6.980517241379310462e+02 1.023497107360478822e+02
4.006128291384035145e-01 1.852638254231622501e-03 7.009512195121951663e+02 9.646502624741945908e+01
4.070503578694664726e-01 1.848743254130127446e-03 7.016129032258064626e+02 9.215778161261576429e+01
4.135933781829447264e-01 1.871256654943844995e-03 7.011395348837208985e+02 8.709981033572462650e+01
4.202179442533061082e-01 1.832712641984981681e-03 7.061923076923077360e+02 8.170605780269174545e+01
4.266798115557093873e-01 1.759393680741872749e-03 7.076299212598424901e+02 8.045702311585444022e+01
4.330910535146235696e-01 1.771858374752960505e-03 7.105769230769230944e+02 7.740037307067252925e+01
4.395078467689783608e-01 1.772659720438770270e-03 7.113030303030302548e+02 7.396329873138873268e+01
4.457793319829173595e-01 1.654526338047628432e-03 7.073200000000000500e+02 7.035944968517021891e+01
4.521562795609589402e-01 1.887763445894669913e-03 7.060704225352112644e+02 6.371588378465008873e+01
4.587656575942579140e-01 1.769717907920350091e-03 6.980948905109488578e+02 5.875508124097930107e+01
4.652405449529313231e-01 1.746242423612376143e-03 6.922302158273381565e+02 5.486535928714559418e+01
4.716282944699034529e-01 1.704407088516023735e-03 6.836788321167882714e+02 5.466377304524461067e+01
4.780637153179891352e-01 1.798647074538550902e-03 6.787013888888889142e+02 5.159018944145233121e+01
4.844976548260259142e-01 1.723433333189145671e-03 6.755492957746479306e+02 4.864565063323388472e+01
4.908596034113225648e-01 1.665744062354685903e-03 6.695886524822694810e+02 4.838598725236674625e+01
4.972011979785150859e-01 1.734256865849588200e-03 6.697260273972602818e+02 4.812845021421860281e+01
5.036178995103413047e-01 1.747915368961153139e-03 6.643445945945945823e+02 4.668784857464362403e+01
5.101756467004687767e-01 1.800451491856020327e-03 6.619354838709676869e+02 4.467454282110465158e+01
5.166235656727934389e-01 1.648057805296297825e-03 6.584489795918367463e+02 4.348936974862778726e+01
5.229884928033705638e-01 1.714260039451578075e-03 6.561776315789473983e+02 4.250111311072887332e+01
5.293925748937229336e-01 1.756900675637705763e-03 6.524871794871794464e+02 4.157781255719715574e+01
5.357749724968067229e-01 1.647361260156582873e-03 6.476158940397350534e+02 4.204171200132412167e+01
5.422269581426349960e-01 1.797131621318817348e-03 6.444024390243902189e+02 4.149006944537206465e+01
5.488258977193463117e-01 1.752106618123457169e-03 6.403540372670807983e+02 4.080214142421340995e+01
5.552607346015674405e-01 1.711536068502800701e-03 6.380499999999999545e+02 4.153414634370133740e+01
5.616696921416424182e-01 1.713298320607429745e-03 6.337852760736196842e+02 4.030446016045961244e+01
5.680596363279470928e-01 1.671719726027721563e-03 6.315375000000000227e+02 4.011633960277283961e+01
5.744116486855085357e-01 1.773350792090137981e-03 6.282797619047619264e+02 3.889731069725075230e+01
5.808465417437830292e-01 1.706594120505047427e-03 6.244303030303029800e+02 3.985039285672888809e+01
5.872915480827241019e-01 1.773275249674210931e-03 6.218843930635838433e+02 4.049174412779237286e+01
5.936297343998458986e-01 1.608871723183330060e-03 6.194814814814815236e+02 4.374222512403790120e+01
6.000917821228005655e-01 1.852508397134843563e-03 6.175329670329670080e+02 4.310483229105239644e+01
6.066068710033430955e-01 1.719733697199352486e-03 6.152456140350876694e+02 4.449357203226571045e+01
6.129319261090041548e-01 1.700305612135823196e-03 6.130174418604651692e+02 4.415353531608312210e+01
6.193292159447265632e-01 1.792945791870086646e-03 6.097333333333333485e+02 4.393372112457413436e+01
6.257789288608107681e-01 1.769335618302108433e-03 6.065649717514124859e+02 4.567201097413519761e+01
6.322945183878984077e-01 1.883051681004075783e-03 6.020000000000000000e+02 4.500241028230522744e+01
6.387697914265673127e-01 1.734308686986089703e-03 5.989829545454545041e+02 4.662897142592434818e+01
6.450797878865883739e-01 1.812617312363664322e-03 5.952119565217391255e+02 4.603035067096762134e+01
6.514777522098027518e-01 1.807195130708317372e-03 5.918432432432432506e+02 4.747484667138881775e+01
6.579453254174412180e-01 1.840076954070700866e-03 5.876243386243386340e+02 4.782640303652832614e+01
