# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 3.333333333333333148e-01 4.497421575908099101e+01
1.547771440847061503e-02 1.298069176105710962e-03 4.166666666666666852e-01 5.270462766947299205e-01
2.114153426598287117e-02 1.953452460535632252e-03 4.000000000000000222e-01 5.099019513592785158e-01
2.708829541553820289e-02 1.932501425123600049e-03 3.750000000000000000e-01 5.000000000000000000e-01
3.424760286937652415e-02 2.393094809829984012e-03 3.181818181818181768e-01 4.734696967272649104e-01
4.134659872356089005e-02 1.444308516548141333e-03 2.777777777777777901e-01 4.564354645876385064e-01
4.709622292726145520e-02 1.633576272088444088e-03 2.500000000000000000e-01 4.401704215414751764e-01
5.289360403025952090e-02 1.994215660312892175e-03 3.958333333333333148e-01 4.973890160963888030e-01
5.941266175682404643e-02 2.038777625163953021e-03 3.200000000000000067e-01 4.732863826479691283e-01
6.623959740571712385e-02 2.014614798769268252e-03 3.518518518518518601e-01 4.843221048378527627e-01
7.251770781946841049e-02 1.767162065969994948e-03 4.791666666666666852e-01 5.094591358598951070e-01
7.836204892921720677e-02 1.794558473909566021e-03 5.600000000000000533e-01 8.818163074019437220e-01
8.476368586159346852e-02 2.173163639586968114e-03 1.765625000000000000e+00 4.932750880593911091e+00
9.171767809022127182e-02 2.151270969520740432e-03 8.073529411764706509e+00 2.295414414793141944e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.236666666666666714e+01 5.606488800190957988e+01
1.046713563714864598e-01 1.717715818177843919e-03 5.189999999999999858e+01 1.033303827535735024e+02
1.108696467093386595e-01 1.978629817275711061e-03 8.273584905660376876e+01 1.441551207040689633e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.117868852459016438e+02 1.772123860708998961e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.536599999999999966e+02 2.109456271175109805e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.669152542372881385e+02 2.231396724378817282e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.047321428571428612e+02 2.531922517110873230e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.268709677419354875e+02 2.634477312029134168e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.502063492063492163e+02 2.838067899623309813e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.713333333333333144e+02 2.986824870496686231e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.990945945945945823e+02 3.065694540687409244e+02
1.693678508908615654e-01 1.711853084056604935e-03 3.101499999999999773e+02 3.218858959320833719e+02
1.755753172360756398e-01 1.940749690505284321e-03 3.402753623188405641e+02 3.247448506465100309e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.512923076923077019e+02 3.385825371129908490e+02
1.883474920212158954e-01 1.982820530303366913e-03 3.593333333333333144e+02 3.505134989739525508e+02
1.949500334927739553e-01 1.985593967279970003e-03 3.886133333333333439e+02 3.512468913266943105e+02
2.014306324154557237e-01 1.750557958225071797e-03 3.943188405797101268e+02 3.597965468643018312e+02
2.076332073357673447e-01 1.865361520913360683e-03 4.207162162162161962e+02 3.599457120620386945e+02
2.140129245322099916e-01 1.882829286684015863e-03 4.158000000000000114e+02 3.688178195261178303e+02
2.204163405633874917e-01 1.951475208267544961e-03 4.447307692307692264e+02 3.674035034121567378e+02
2.268599176829277919e-01 1.954094669929957399e-03 4.423500000000000227e+02 3.763813649411989672e+02
2.335135695299082048e-01 1.986313139076756155e-03 4.490941176470588516e+02 3.815315936525011011e+02
2.400224779461884173e-01 1.823737618079871109e-03 4.690249999999999773e+02 3.786461899814918297e+02
2.464005577519743639e-01 1.894426896505377799e-03 4.805058823529411711e+02 3.777767431720233731e+02
2.528350385827773383e-01 1.829527638271931031e-03 4.888571428571428328e+02 3.812757273576549437e+02
2.590859102888302123e-01 1.817056121189442432e-03 4.911904761904762040e+02 3.842651636388530960e+02
2.654612130450557106e-01 1.918447197659697845e-03 4.961460674157303288e+02 3.868151032802903160e+02
2.718942366720529247e-01 1.942478483450333455e-03 5.201978021978021616e+02 3.760015582935127441e+02
