# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 0.000000000000000000e+00 4.940468732065512114e+01
1.547771440847061503e-02 1.298069176105710962e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.114153426598287117e-02 1.953452460535632252e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.708829541553820289e-02 1.932501425123600049e-03 1.250000000000000000e-01 3.385016001931650531e-01
3.424760286937652415e-02 2.393094809829984012e-03 9.090909090909091161e-02 2.910511017014931756e-01
4.134659872356089005e-02 1.444308516548141333e-03 2.777777777777777624e-02 1.666666666666664909e-01
4.709622292726145520e-02 1.633576272088444088e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.289360403025952090e-02 1.994215660312892175e-03 1.041666666666666713e-01 3.090082702956529204e-01
5.941266175682404643e-02 2.038777625163953021e-03 1.000000000000000056e-01 3.033150177620619337e-01
6.623959740571712385e-02 2.014614798769268252e-03 1.481481481481481399e-01 3.590873968456540499e-01
7.251770781946841049e-02 1.767162065969994948e-03 2.083333333333333426e-01 4.114253678777394230e-01
7.836204892921720677e-02 1.794558473909566021e-03 4.000000000000000222e-01 8.763560920082655858e-01
8.476368586159346852e-02 2.173163639586968114e-03 1.515625000000000000e+00 4.719474282163216294e+00
9.171767809022127182e-02 2.151270969520740432e-03 6.911764705882353255e+00 1.995376359639704589e+01
9.840741527280037759e-02 1.879523288412654567e-03 1.858333333333333215e+01 4.661708675773055433e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.238000000000000256e+01 8.483043793356249296e+01
1.108696467093386595e-01 1.978629817275711061e-03 6.811320754716980730e+01 1.200273108828926780e+02
1.174911181025048434e-01 2.151142134119994175e-03 9.249180327868852203e+01 1.509928745308764917e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.239000000000000057e+02 1.770118866065214434e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.358983050847457719e+02 1.859159318004066108e+02
1.366843399328758479e-01 1.885635125754002352e-03 1.638214285714285836e+02 2.081493297968983711e+02
1.431380625310322841e-01 2.037281709542672608e-03 1.826129032258064626e+02 2.150125773733250583e+02
1.497407916800755912e-01 2.013243134106564892e-03 1.968253968253968367e+02 2.288338242550800032e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.116842105263157805e+02 2.380961032565735422e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.367567567567567437e+02 2.444151424727569406e+02
1.693678508908615654e-01 1.711853084056604935e-03 2.391999999999999886e+02 2.512707304880534309e+02
1.755753172360756398e-01 1.940749690505284321e-03 2.663768115942028771e+02 2.551023829620190781e+02
1.819629297477835528e-01 1.792019476258344991e-03 2.713999999999999773e+02 2.626691103621845969e+02
1.883474920212158954e-01 1.982820530303366913e-03 2.777638888888889142e+02 2.716071189850025576e+02
1.949500334927739553e-01 1.985593967279970003e-03 3.018933333333333167e+02 2.718584690606492700e+02
2.014306324154557237e-01 1.750557958225071797e-03 3.013913043478260647e+02 2.747427736673335517e+02
2.076332073357673447e-01 1.865361520913360683e-03 3.225540540540540633e+02 2.756735936593344718e+02
2.140129245322099916e-01 1.882829286684015863e-03 3.177733333333333121e+02 2.806268915600689979e+02
2.204163405633874917e-01 1.951475208267544961e-03 3.421666666666666856e+02 2.814365848322696024e+02
2.268599176829277919e-01 1.954094669929957399e-03 3.385500000000000114e+02 2.873841581837802437e+02
2.335135695299082048e-01 1.986313139076756155e-03 3.406823529411764753e+02 2.897668252412283891e+02
2.400224779461884173e-01 1.823737618079871109e-03 3.560375000000000227e+02 2.866220273504812326e+02
2.464005577519743639e-01 1.894426896505377799e-03 3.646352941176470495e+02 2.830892673472401952e+02
2.528350385827773383e-01 1.829527638271931031e-03 3.667023809523809632e+02 2.840119938342805312e+02
2.590859102888302123e-01 1.817056121189442432e-03 3.662500000000000000e+02 2.844334803814501242e+02
2.654612130450557106e-01 1.918447197659697845e-03 3.699213483146067460e+02 2.862845753768877444e+02
2.718942366720529247e-01 1.942478483450333455e-03 3.909780219780219568e+02 2.780630992913978048e+02
2.784185743669774227e-01 1.921358219378808702e-03 3.932258064516129252e+02 2.708131420206295843e+02
