# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 1.666666666666666574e-01 5.313826020540041384e+01
1.547771440847061503e-02 1.298069176105710962e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.114153426598287117e-02 1.953452460535632252e-03 1.000000000000000056e-01 3.082207001484488784e-01
2.708829541553820289e-02 1.932501425123600049e-03 8.333333333333332871e-02 2.825970826302194872e-01
3.424760286937652415e-02 2.393094809829984012e-03 1.590909090909090884e-01 3.706706006886385518e-01
4.134659872356089005e-02 1.444308516548141333e-03 8.333333333333332871e-02 2.805418038433912797e-01
4.709622292726145520e-02 1.633576272088444088e-03 2.000000000000000111e-01 4.062019202317980748e-01
5.289360403025952090e-02 1.994215660312892175e-03 1.875000000000000000e-01 3.952847075210474403e-01
5.941266175682404643e-02 2.038777625163953021e-03 8.000000000000000167e-02 2.742261840160419850e-01
6.623959740571712385e-02 2.014614798769268252e-03 1.296296296296296224e-01 3.394500514782105571e-01
7.251770781946841049e-02 1.767162065969994948e-03 1.250000000000000000e-01 3.346328834210210990e-01
7.836204892921720677e-02 1.794558473909566021e-03 3.200000000000000067e-01 8.854377448471465462e-01
8.476368586159346852e-02 2.173163639586968114e-03 1.296875000000000000e+00 4.424110521477735425e+00
9.171767809022127182e-02 2.151270969520740432e-03 6.558823529411764497e+00 1.903530911436913442e+01
9.840741527280037759e-02 1.879523288412654567e-03 1.776666666666666572e+01 4.462669231151538440e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.142000000000000171e+01 8.291460667457816669e+01
1.108696467093386595e-01 1.978629817275711061e-03 6.779245283018867951e+01 1.199511307279133234e+02
1.174911181025048434e-01 2.151142134119994175e-03 9.362295081967212695e+01 1.543645860399117851e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.242600000000000051e+02 1.797125415768193193e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.361186440677966232e+02 1.879708004792411202e+02
1.366843399328758479e-01 1.885635125754002352e-03 1.636428571428571388e+02 2.094697600064096719e+02
1.431380625310322841e-01 2.037281709542672608e-03 1.830806451612903345e+02 2.160665099745220630e+02
1.497407916800755912e-01 2.013243134106564892e-03 1.970317460317460245e+02 2.294895290433513537e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.104385964912280826e+02 2.370793217500787762e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.353108108108108070e+02 2.436396642075430634e+02
1.693678508908615654e-01 1.711853084056604935e-03 2.362166666666666686e+02 2.496280032368163972e+02
1.755753172360756398e-01 1.940749690505284321e-03 2.631449275362318758e+02 2.530042015934607775e+02
1.819629297477835528e-01 1.792019476258344991e-03 2.648923076923076678e+02 2.569097159123755887e+02
1.883474920212158954e-01 1.982820530303366913e-03 2.698750000000000000e+02 2.640231405577928285e+02
1.949500334927739553e-01 1.985593967279970003e-03 2.937866666666666902e+02 2.645754932801684163e+02
2.014306324154557237e-01 1.750557958225071797e-03 2.934202898550724399e+02 2.676451856275842829e+02
2.076332073357673447e-01 1.865361520913360683e-03 3.142027027027027088e+02 2.688145689162900567e+02
2.140129245322099916e-01 1.882829286684015863e-03 3.084800000000000182e+02 2.727578462055063824e+02
2.204163405633874917e-01 1.951475208267544961e-03 3.302692307692307736e+02 2.718651535885027783e+02
2.268599176829277919e-01 1.954094669929957399e-03 3.267250000000000227e+02 2.770736967622511884e+02
2.335135695299082048e-01 1.986313139076756155e-03 3.290705882352941103e+02 2.793518685027650577e+02
2.400224779461884173e-01 1.823737618079871109e-03 3.440500000000000114e+02 2.764932605417355376e+02
2.464005577519743639e-01 1.894426896505377799e-03 3.534235294117647186e+02 2.742365268602267179e+02
2.528350385827773383e-01 1.829527638271931031e-03 3.583452380952380736e+02 2.774008903523093750e+02
2.590859102888302123e-01 1.817056121189442432e-03 3.611190476190475920e+02 2.798998955530570925e+02
2.654612130450557106e-01 1.918447197659697845e-03 3.641460674157303288e+02 2.815589675638645417e+02
2.718942366720529247e-01 1.942478483450333455e-03 3.810329670329670080e+02 2.711024285172991313e+02
2.784185743669774227e-01 1.921358219378808702e-03 3.814086021505376607e+02 2.628372463769459841e+02
2.849156375412667530e-01 1.882334819595186037e-03 4.144042553191489446e+02 2.376950272610018544e+02
2.911870294677750826e-01 1.766712284927822799e-03 4.283258426966291950e+02 2.125711480735542693e+02
2.976511517037133681e-01 2.019527329980297554e-03 4.657184466019417641e+02 1.801894513630179802e+02
3.043178155919494809e-01 1.919359421117726450e-03 4.849700000000000273e+02 1.489727451583006825e+02
3.108074081907638564e-01 1.815555258398614735e-03 5.065408163265306030e+02 1.295385403823825641e+02
3.170970610330232087e-01 1.826000353424227750e-03 5.167979797979797922e+02 1.189616166590676727e+02
3.235319739834495723e-01 1.908097576542081529e-03 5.195714285714285552e+02 1.136130980759778879e+02
3.300700059726238145e-01 1.867687188749142220e-03 5.272641509433962028e+02 1.062235035962810628e+02
3.365262003550894554e-01 1.808122422876843900e-03 5.246857142857143117e+02 1.055855019938462789e+02
3.429039324965278412e-01 1.810371451943152679e-03 5.333490566037735334e+02 1.007104683417084914e+02
3.492243179790229801e-01 1.835371710213073819e-03 5.367500000000000000e+02 9.722030156833004355e+01
3.555659880086458058e-01 1.813249007222180170e-03 5.387962962962963047e+02 9.310738099868061113e+01
3.620245372922214488e-01 1.918012235727336494e-03 5.438376068376068133e+02 8.799017778016023783e+01
3.685406119477664388e-01 1.798147481859587110e-03 5.444954954954954474e+02 8.731646095406485131e+01
