# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 0.000000000000000000e+00 4.115682633223189413e+01
1.547771440847061503e-02 1.298069176105710962e-03 8.333333333333332871e-02 2.886751345948128655e-01
2.114153426598287117e-02 1.953452460535632252e-03 3.499999999999999778e-01 4.949747468305832898e-01
2.708829541553820289e-02 1.932501425123600049e-03 5.833333333333333703e-01 5.921946001479954091e-01
3.424760286937652415e-02 2.393094809829984012e-03 4.772727272727272929e-01 5.529784118452927277e-01
4.134659872356089005e-02 1.444308516548141333e-03 3.333333333333333148e-01 5.357583756107194839e-01
4.709622292726145520e-02 1.633576272088444088e-03 2.999999999999999889e-01 4.663689526544406161e-01
5.289360403025952090e-02 1.994215660312892175e-03 3.958333333333333148e-01 4.973890160963888030e-01
5.941266175682404643e-02 2.038777625163953021e-03 3.400000000000000244e-01 4.808326112068522784e-01
6.623959740571712385e-02 2.014614798769268252e-03 3.333333333333333148e-01 4.779069592801458155e-01
7.251770781946841049e-02 1.767162065969994948e-03 3.333333333333333148e-01 4.787135538781689403e-01
7.836204892921720677e-02 1.794558473909566021e-03 6.199999999999999956e-01 9.633275663033834535e-01
8.476368586159346852e-02 2.173163639586968114e-03 1.656250000000000000e+00 4.851052962373220367e+00
9.171767809022127182e-02 2.151270969520740432e-03 7.088235294117646745e+00 1.971881708939064026e+01
9.840741527280037759e-02 1.879523288412654567e-03 1.831666666666666643e+01 4.476965117874682676e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.053999999999999915e+01 7.736755909294281253e+01
1.108696467093386595e-01 1.978629817275711061e-03 6.439622641509433265e+01 1.058622347428440804e+02
1.174911181025048434e-01 2.151142134119994175e-03 8.867213114754098058e+01 1.330333444429393239e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.250799999999999983e+02 1.646200935487524362e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.386101694915254257e+02 1.791468786687122474e+02
1.366843399328758479e-01 1.885635125754002352e-03 1.714107142857142776e+02 2.064620755682728088e+02
1.431380625310322841e-01 2.037281709542672608e-03 1.914032258064516157e+02 2.178081548052961125e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.149523809523809632e+02 2.390789804255704496e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.356315789473684106e+02 2.552968995605072848e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.619324324324324493e+02 2.649613075932948050e+02
1.693678508908615654e-01 1.711853084056604935e-03 2.760166666666666515e+02 2.832492130027312669e+02
1.755753172360756398e-01 1.940749690505284321e-03 3.038260869565217490e+02 2.876104385018451808e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.161692307692307509e+02 3.025772198373449555e+02
1.883474920212158954e-01 1.982820530303366913e-03 3.238472222222222285e+02 3.139065051595482601e+02
1.949500334927739553e-01 1.985593967279970003e-03 3.521866666666666674e+02 3.166145832255854202e+02
2.014306324154557237e-01 1.750557958225071797e-03 3.601014492753623131e+02 3.267249517206706741e+02
2.076332073357673447e-01 1.865361520913360683e-03 3.842837837837838038e+02 3.275078155519742040e+02
2.140129245322099916e-01 1.882829286684015863e-03 3.797599999999999909e+02 3.356629150402728214e+02
