# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 4.166666666666666852e-01 5.530439840890710457e+01
1.547771440847061503e-02 1.298069176105710962e-03 3.333333333333333148e-01 5.000000000000000000e-01
2.114153426598287117e-02 1.953452460535632252e-03 5.500000000000000444e-01 5.244044240850758154e-01
2.708829541553820289e-02 1.932501425123600049e-03 2.916666666666666852e-01 4.677071733467427772e-01
3.424760286937652415e-02 2.393094809829984012e-03 2.954545454545454697e-01 4.635472285084351052e-01
4.134659872356089005e-02 1.444308516548141333e-03 5.277777777777777901e-01 5.137011669140812975e-01
4.709622292726145520e-02 1.633576272088444088e-03 5.000000000000000000e-01 5.123475382979799653e-01
5.289360403025952090e-02 1.994215660312892175e-03 5.208333333333333703e-01 5.103103630798286883e-01
5.941266175682404643e-02 2.038777625163953021e-03 5.400000000000000355e-01 5.091168824543144122e-01
6.623959740571712385e-02 2.014614798769268252e-03 5.000000000000000000e-01 5.091750772173155859e-01
7.251770781946841049e-02 1.767162065969994948e-03 4.166666666666666852e-01 5.017331074496789167e-01
7.836204892921720677e-02 1.794558473909566021e-03 6.600000000000000311e-01 9.579144011862439356e-01
8.476368586159346852e-02 2.173163639586968114e-03 2.000000000000000000e+00 5.028046340279691329e+00
9.171767809022127182e-02 2.151270969520740432e-03 8.029411764705882248e+00 2.131278634040363329e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.031666666666666643e+01 4.886295461117076400e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.484000000000000341e+01 8.442743156107496816e+01
1.108696467093386595e-01 1.978629817275711061e-03 7.015094339622640973e+01 1.141672840323576565e+02
1.174911181025048434e-01 2.151142134119994175e-03 9.637704918032787305e+01 1.423887949702592266e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.384399999999999977e+02 1.795306525359945624e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.538644067796610102e+02 1.974909901253604119e+02
1.366843399328758479e-01 1.885635125754002352e-03 1.921250000000000000e+02 2.289610170344038522e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.150806451612903345e+02 2.439118586643264734e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.450793650793650897e+02 2.710827110510528541e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.710350877192982466e+02 2.933353558018080207e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.998783783783783861e+02 3.053075052366629052e+02
1.693678508908615654e-01 1.711853084056604935e-03 3.178500000000000227e+02 3.277306185472045854e+02
1.755753172360756398e-01 1.940749690505284321e-03 3.451594202898550634e+02 3.304883169194454808e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.601384615384615131e+02 3.484542987870794946e+02
1.883474920212158954e-01 1.982820530303366913e-03 3.705138888888889142e+02 3.620875910758488772e+02
1.949500334927739553e-01 1.985593967279970003e-03 4.022666666666666515e+02 3.663992527891458622e+02
2.014306324154557237e-01 1.750557958225071797e-03 4.147246376811594359e+02 3.812442728057091585e+02
2.076332073357673447e-01 1.865361520913360683e-03 4.436351351351351582e+02 3.829432740396588883e+02
2.140129245322099916e-01 1.882829286684015863e-03 4.415866666666666447e+02 3.951291396211848337e+02
2.204163405633874917e-01 1.951475208267544961e-03 4.723076923076923208e+02 3.936757569090447078e+02
2.268599176829277919e-01 1.954094669929957399e-03 4.708000000000000114e+02 4.032218620065136747e+02
2.335135695299082048e-01 1.986313139076756155e-03 4.818823529411764639e+02 4.117857053468802064e+02
2.400224779461884173e-01 1.823737618079871109e-03 5.064125000000000227e+02 4.114969289071304956e+02
2.464005577519743639e-01 1.894426896505377799e-03 5.190823529411765094e+02 4.115416568991793156e+02
2.528350385827773383e-01 1.829527638271931031e-03 5.304047619047619264e+02 4.148887493289349777e+02
2.590859102888302123e-01 1.817056121189442432e-03 5.312857142857143344e+02 4.171098180816846934e+02
2.654612130450557106e-01 1.918447197659697845e-03 5.379775280898876417e+02 4.215464031741188364e+02
2.718942366720529247e-01 1.942478483450333455e-03 5.645164835164835040e+02 4.112741557989178887e+02
2.784185743669774227e-01 1.921358219378808702e-03 5.636989247311828422e+02 4.057363049162185575e+02
2.849156375412667530e-01 1.882334819595186037e-03 6.077553191489362234e+02 3.781779543916695729e+02
2.911870294677750826e-01 1.766712284927822799e-03 6.156966292134831065e+02 3.601245181912072439e+02
2.976511517037133681e-01 2.019527329980297554e-03 6.551553398058252924e+02 3.331015570071847947e+02
3.043178155919494809e-01 1.919359421117726450e-03 6.643300000000000409e+02 3.125359249750338790e+02
3.108074081907638564e-01 1.815555258398614735e-03 6.893571428571428896e+02 2.942645598697458809e+02
3.170970610330232087e-01 1.826000353424227750e-03 7.007878787878787534e+02 2.809941106779468782e+02
3.235319739834495723e-01 1.908097576542081529e-03 7.053809523809524080e+02 2.716535984503433951e+02
3.300700059726238145e-01 1.867687188749142220e-03 7.321037735849056389e+02 2.562560990947272899e+02
3.365262003550894554e-01 1.808122422876843900e-03 7.320761904761905043e+02 2.501562457776884969e+02
3.429039324965278412e-01 1.810371451943152679e-03 7.515754716981132333e+02 2.351822551325407176e+02
3.492243179790229801e-01 1.835371710213073819e-03 7.596481481481481524e+02 2.257960870838705034e+02
3.555659880086458058e-01 1.813249007222180170e-03 7.665555555555555429e+02 2.184723311200312423e+02
3.620245372922214488e-01 1.918012235727336494e-03 7.809059829059829099e+02 2.074916715823181050e+02
3.685406119477664388e-01 1.798147481859587110e-03 7.814774774774774642e+02 2.012831176079467355e+02
3.750909242308860247e-01 1.967614233492519498e-03 8.012661290322580498e+02 1.889694779047785289e+02
3.816999037813160189e-01 1.752662604176019427e-03 7.978434782608695741e+02 1.785147668008827111e+02
3.880273799716012495e-01 1.749306826939258557e-03 8.021637931034482563e+02 1.682295243400837990e+02
3.942361145945514900e-01 1.745527907058957431e-03 8.042241379310345337e+02 1.585880696406335630e+02
4.006128291384035145e-01 1.852638254231622501e-03 8.103739837398373993e+02 1.482341909675446630e+02
4.070503578694664726e-01 1.848743254130127446e-03 8.138870967741935374e+02 1.429232341450498893e+02
4.135933781829447264e-01 1.871256654943844995e-03 8.150465116279069662e+02 1.365469157935381475e+02
4.202179442533061082e-01 1.832712641984981681e-03 8.236384615384615699e+02 1.294186898330627571e+02
4.266798115557093873e-01 1.759393680741872749e-03 8.305748031496062822e+02 1.223055298475308348e+02
4.330910535146235696e-01 1.771858374752960505e-03 8.406461538461538794e+02 1.157277431411516773e+02
4.395078467689783608e-01 1.772659720438770270e-03 8.524621212121212466e+02 1.094116937661709557e+02
4.457793319829173595e-01 1.654526338047628432e-03 8.672319999999999709e+02 1.023156490083506185e+02
4.521562795609589402e-01 1.887763445894669913e-03 9.053380281690141373e+02 9.295785478013326042e+01
4.587656575942579140e-01 1.769717907920350091e-03 9.378029197080292079e+02 8.077740351049006051e+01
4.652405449529313231e-01 1.746242423612376143e-03 9.731798561151078957e+02 7.386112203713426538e+01
4.716282944699034529e-01 1.704407088516023735e-03 9.969270072992700307e+02 8.226537959201421302e+01
4.780637153179891352e-01 1.798647074538550902e-03 1.005076388888888914e+03 8.790537984860290521e+01
4.844976548260259142e-01 1.723433333189145671e-03 9.931830985915493102e+02 8.802402131073515079e+01
4.908596034113225648e-01 1.665744062354685903e-03 9.761205673758864805e+02 8.349549063807886284e+01
4.972011979785150859e-01 1.734256865849588200e-03 9.861986301369862531e+02 8.744593000061442467e+01
5.036178995103413047e-01 1.747915368961153139e-03 1.006621621621621671e+03 9.520878311006930517e+01
5.101756467004687767e-01 1.800451491856020327e-03 1.028200000000000045e+03 1.064360174304338216e+02
5.166235656727934389e-01 1.648057805296297825e-03 1.017020408163265301e+03 1.103322736405429936e+02
5.229884928033705638e-01 1.714260039451578075e-03 9.764407894736841627e+02 9.886613450489031152e+01
5.293925748937229336e-01 1.756900675637705763e-03 9.183782051282050816e+02 7.922788715611167731e+01
5.357749724968067229e-01 1.647361260156582873e-03 8.647152317880794499e+02 6.183579356290450590e+01
5.422269581426349960e-01 1.797131621318817348e-03 8.278231707317073642e+02 4.971011669633372776e+01
5.488258977193463117e-01 1.752106618123457169e-03 8.024037267080744869e+02 4.366353293811420855e+01
5.552607346015674405e-01 1.711536068502800701e-03 7.880687500000000227e+02 4.298941094182379885e+01
5.616696921416424182e-01 1.713298320607429745e-03 7.758711656441718105e+02 4.419950348416204378e+01
5.680596363279470928e-01 1.671719726027721563e-03 7.640687500000000227e+02 4.580995473829896270e+01
5.744116486855085357e-01 1.773350792090137981e-03 7.556428571428571104e+02 4.511652995865489402e+01
5.808465417437830292e-01 1.706594120505047427e-03 7.489212121212120792e+02 4.393734498880002803e+01
5.872915480827241019e-01 1.773275249674210931e-03 7.458381502890173351e+02 4.259483172795546579e+01
5.936297343998458986e-01 1.608871723183330060e-03 7.426790123456789843e+02 4.388283978385866391e+01
6.000917821228005655e-01 1.852508397134843563e-03 7.430384615384615472e+02 4.335895215566439731e+01
6.066068710033430955e-01 1.719733697199352486e-03 7.410467836257309955e+02 4.551837059351976933e+01
6.129319261090041548e-01 1.700305612135823196e-03 7.472093023255813478e+02 4.773081462980121614e+01
6.193292159447265632e-01 1.792945791870086646e-03 7.589277777777778056e+02 4.941080566080037784e+01
6.257789288608107681e-01 1.769335618302108433e-03 7.811638418079096482e+02 5.604383939943138415e+01
6.322945183878984077e-01 1.883051681004075783e-03 8.262539682539683099e+02 6.879692005426345247e+01
6.387697914265673127e-01 1.734308686986089703e-03 8.904375000000000000e+02 9.279442546687421611e+01
6.450797878865883739e-01 1.812617312363664322e-03 9.672228260869565020e+02 1.185779666221425970e+02
6.514777522098027518e-01 1.807195130708317372e-03 1.023778378378378420e+03 1.458612760401618118e+02
6.579453254174412180e-01 1.840076954070700866e-03 1.030338624338624413e+03 1.566060109982245194e+02
6.642487788958216788e-01 1.761967380250493336e-03 9.828461538461538112e+02 1.437532711230596192e+02
6.707545140871414846e-01 1.952870522822350513e-03 9.019099999999999682e+02 1.142742379103882087e+02
6.772291234912055646e-01 1.844192786587162299e-03 8.163280423280423292e+02 9.206737782956916760e+01
6.834443396870620857e-01 1.745041746211572261e-03 7.533586956521738784e+02 7.501346563112811339e+01
6.899300657465672337e-01 1.988575045799213618e-03 7.152850241545893368e+02 6.073103244973520276e+01
6.965346490814943170e-01 1.967867873463197050e-03 6.893517587939697933e+02 5.606809968446600578e+01
7.030970487636396538e-01 2.020648629947002003e-03 6.743980582524271767e+02 5.140491067176937179e+01
7.095716427219228573e-01 1.946516927103622520e-03 6.629292929292929557e+02 5.014725484666393385e+01
7.160970279381224657e-01 2.044543341153194464e-03 6.533047619047619037e+02 4.734059971052733573e+01
7.226116891734091219e-01 2.004959656352403585e-03 6.462536585365853625e+02 4.314801882881616280e+01
7.291288619178314390e-01 2.011427705279334160e-03 6.395333333333333030e+02 4.417938541037091937e+01
7.356079106374427967e-01 1.973711099579897668e-03 6.341346153846153584e+02 4.245055751789229248e+01
7.419803430714648762e-01 1.939746738906150680e-03 6.263121951219511629e+02 4.612265364286928815e+01
7.484516812817442188e-01 2.022257641999446187e-03 6.212136363636363967e+02 4.342256287855600760e+01
7.549512183205485671e-01 1.898119824350936232e-03 6.150144230769230944e+02 4.777561592173547211e+01
7.613853957290165342e-01 1.973382858640895885e-03 6.125863636363636715e+02 4.458760250922514956e+01
