# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 0.000000000000000000e+00 4.346622740899039883e+01
1.547771440847061503e-02 1.298069176105710962e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.114153426598287117e-02 1.953452460535632252e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.708829541553820289e-02 1.932501425123600049e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.424760286937652415e-02 2.393094809829984012e-03 4.545454545454545581e-02 2.107640567158114153e-01
4.134659872356089005e-02 1.444308516548141333e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.709622292726145520e-02 1.633576272088444088e-03 5.000000000000000278e-02 2.207940216581960602e-01
5.289360403025952090e-02 1.994215660312892175e-03 1.041666666666666713e-01 3.090082702956529204e-01
5.941266175682404643e-02 2.038777625163953021e-03 1.199999999999999956e-01 3.286335345030997335e-01
6.623959740571712385e-02 2.014614798769268252e-03 9.259259259259258745e-02 2.928034870526276534e-01
7.251770781946841049e-02 1.767162065969994948e-03 1.458333333333333426e-01 3.572172541558800152e-01
7.836204892921720677e-02 1.794558473909566021e-03 2.800000000000000266e-01 7.792303895511260015e-01
8.476368586159346852e-02 2.173163639586968114e-03 1.312500000000000000e+00 4.515706097887682624e+00
9.171767809022127182e-02 2.151270969520740432e-03 6.470588235294117752e+00 1.866161984832297094e+01
9.840741527280037759e-02 1.879523288412654567e-03 1.669999999999999929e+01 4.183604904863747009e+01
1.046713563714864598e-01 1.717715818177843919e-03 3.646000000000000085e+01 7.146396014775558569e+01
1.108696467093386595e-01 1.978629817275711061e-03 5.601886792452830122e+01 9.581044572192513442e+01
1.174911181025048434e-01 2.151142134119994175e-03 7.411475409836064898e+01 1.166454844414497387e+02
1.240901985761322518e-01 1.682567093931450772e-03 9.992000000000000171e+01 1.380945762874125364e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.106610169491525397e+02 1.471134625737547026e+02
1.366843399328758479e-01 1.885635125754002352e-03 1.330714285714285836e+02 1.654666985115933642e+02
1.431380625310322841e-01 2.037281709542672608e-03 1.502419354838709751e+02 1.725794633664691560e+02
1.497407916800755912e-01 2.013243134106564892e-03 1.620793650793650897e+02 1.837351735748122223e+02
1.560440161600273323e-01 1.800320108738214832e-03 1.750526315789473699e+02 1.921739843437219406e+02
1.626324968867556287e-01 2.166758397174068339e-03 1.963108108108108070e+02 1.989374532346503486e+02
1.693678508908615654e-01 1.711853084056604935e-03 2.000999999999999943e+02 2.064667648799679682e+02
1.755753172360756398e-01 1.940749690505284321e-03 2.234782608695652186e+02 2.103880023461198618e+02
1.819629297477835528e-01 1.792019476258344991e-03 2.280307692307692378e+02 2.172607072418816756e+02
1.883474920212158954e-01 1.982820530303366913e-03 2.329166666666666572e+02 2.244193871807705420e+02
1.949500334927739553e-01 1.985593967279970003e-03 2.541866666666666674e+02 2.252117099777698286e+02
2.014306324154557237e-01 1.750557958225071797e-03 2.549275362318840621e+02 2.285802293179239086e+02
2.076332073357673447e-01 1.865361520913360683e-03 2.720945945945945823e+02 2.292352866695970590e+02
