# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 0.000000000000000000e+00 5.765254830907834815e+01
1.547771440847061503e-02 1.298069176105710962e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.114153426598287117e-02 1.953452460535632252e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.708829541553820289e-02 1.932501425123600049e-03 8.333333333333332871e-02 2.825970826302194872e-01
3.424760286937652415e-02 2.393094809829984012e-03 6.818181818181817677e-02 2.551130036436777826e-01
4.134659872356089005e-02 1.444308516548141333e-03 2.777777777777777624e-02 1.666666666666665741e-01
4.709622292726145520e-02 1.633576272088444088e-03 1.499999999999999944e-01 3.622844186547359846e-01
5.289360403025952090e-02 1.994215660312892175e-03 1.041666666666666713e-01 3.090082702956529204e-01
5.941266175682404643e-02 2.038777625163953021e-03 1.799999999999999933e-01 3.888444419044715938e-01
6.623959740571712385e-02 2.014614798769268252e-03 1.296296296296296224e-01 3.394500514782103351e-01
7.251770781946841049e-02 1.767162065969994948e-03 1.458333333333333426e-01 3.572172541558800152e-01
7.836204892921720677e-02 1.794558473909566021e-03 3.200000000000000067e-01 9.507891459203774431e-01
8.476368586159346852e-02 2.173163639586968114e-03 1.406250000000000000e+00 4.678480906635186898e+00
9.171767809022127182e-02 2.151270969520740432e-03 6.691176470588235503e+00 1.939269339450880381e+01
9.840741527280037759e-02 1.879523288412654567e-03 1.743333333333333357e+01 4.399018198542842129e+01
1.046713563714864598e-01 1.717715818177843919e-03 3.846000000000000085e+01 7.549581180436435091e+01
1.108696467093386595e-01 1.978629817275711061e-03 5.909433962264150608e+01 1.006799171146716816e+02
1.174911181025048434e-01 2.151142134119994175e-03 7.731147540983606348e+01 1.215300268801320698e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.025400000000000063e+02 1.428483783597139904e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.122542372881355988e+02 1.508886355908687733e+02
1.366843399328758479e-01 1.885635125754002352e-03 1.348392857142857224e+02 1.694547133379564059e+02
1.431380625310322841e-01 2.037281709542672608e-03 1.515967741935483843e+02 1.761622472521280258e+02
1.497407916800755912e-01 2.013243134106564892e-03 1.630793650793650897e+02 1.874549546966215701e+02
1.560440161600273323e-01 1.800320108738214832e-03 1.750000000000000000e+02 1.942412589195886028e+02
1.626324968867556287e-01 2.166758397174068339e-03 1.959864864864864842e+02 2.000669135690361315e+02
1.693678508908615654e-01 1.711853084056604935e-03 1.970999999999999943e+02 2.049307403327605925e+02
1.755753172360756398e-01 1.940749690505284321e-03 2.194202898550724683e+02 2.075912312759560621e+02
1.819629297477835528e-01 1.792019476258344991e-03 2.230307692307692378e+02 2.130348100566148730e+02
1.883474920212158954e-01 1.982820530303366913e-03 2.282777777777777715e+02 2.206887804321777935e+02
1.949500334927739553e-01 1.985593967279970003e-03 2.499600000000000080e+02 2.227075463472218928e+02
2.014306324154557237e-01 1.750557958225071797e-03 2.503333333333333428e+02 2.258941545992848603e+02
2.076332073357673447e-01 1.865361520913360683e-03 2.677567567567567721e+02 2.269440155507573706e+02
2.140129245322099916e-01 1.882829286684015863e-03 2.642799999999999727e+02 2.312097287457140737e+02
2.204163405633874917e-01 1.951475208267544961e-03 2.853717948717948616e+02 2.328314452985025582e+02
