# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 8.333333333333332871e-02 2.961118901896980660e+01
1.547771440847061503e-02 1.298069176105710962e-03 4.166666666666666852e-01 5.270462766947299205e-01
2.114153426598287117e-02 1.953452460535632252e-03 5.500000000000000444e-01 5.244044240850758154e-01
2.708829541553820289e-02 1.932501425123600049e-03 6.666666666666666297e-01 5.773502691896258421e-01
3.424760286937652415e-02 2.393094809829984012e-03 6.818181818181817677e-01 5.686361819634910830e-01
4.134659872356089005e-02 1.444308516548141333e-03 5.277777777777777901e-01 6.123724356957942483e-01
4.709622292726145520e-02 1.633576272088444088e-03 4.249999999999999889e-01 5.049752469181036929e-01
5.289360403025952090e-02 1.994215660312892175e-03 6.250000000000000000e-01 4.973890160963884699e-01
5.941266175682404643e-02 2.038777625163953021e-03 6.999999999999999556e-01 4.732863826479692393e-01
6.623959740571712385e-02 2.014614798769268252e-03 7.222222222222222099e-01 4.625924443258072061e-01
7.251770781946841049e-02 1.767162065969994948e-03 6.875000000000000000e-01 5.204164998665332664e-01
7.836204892921720677e-02 1.794558473909566021e-03 9.599999999999999645e-01 1.103449137930698098e+00
8.476368586159346852e-02 2.173163639586968114e-03 2.328125000000000000e+00 4.956746507286811543e+00
9.171767809022127182e-02 2.151270969520740432e-03 8.014705882352942012e+00 2.042741813751080571e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.001666666666666572e+01 4.739919127298835377e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.625999999999999801e+01 8.668585582435001413e+01
1.108696467093386595e-01 1.978629817275711061e-03 7.600000000000000000e+01 1.237706338810654785e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.070491803278688536e+02 1.591946896325451064e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.551399999999999864e+02 2.018057065595519930e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.732372881355932179e+02 2.227311184051389148e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.173750000000000000e+02 2.588051011034033877e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.452419354838709751e+02 2.774132416805827575e+02
