# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 1.666666666666666574e-01 2.664328446257879790e+01
1.547771440847061503e-02 1.298069176105710962e-03 7.500000000000000000e-01 4.999999999999999445e-01
2.114153426598287117e-02 1.953452460535632252e-03 8.499999999999999778e-01 6.855654600401043242e-01
2.708829541553820289e-02 1.932501425123600049e-03 8.750000000000000000e-01 6.922186552431728312e-01
3.424760286937652415e-02 2.393094809829984012e-03 6.818181818181817677e-01 5.686361819634908610e-01
4.134659872356089005e-02 1.444308516548141333e-03 6.388888888888888395e-01 4.984544012479543151e-01
4.709622292726145520e-02 1.633576272088444088e-03 5.500000000000000444e-01 5.111262075065218236e-01
5.289360403025952090e-02 1.994215660312892175e-03 6.666666666666666297e-01 5.270462766947298094e-01
5.941266175682404643e-02 2.038777625163953021e-03 5.200000000000000178e-01 5.477225575051662965e-01
6.623959740571712385e-02 2.014614798769268252e-03 6.111111111111111605e-01 5.347973732664315083e-01
7.251770781946841049e-02 1.767162065969994948e-03 6.041666666666666297e-01 5.788518328937419799e-01
7.836204892921720677e-02 1.794558473909566021e-03 9.000000000000000222e-01 9.939818911831341808e-01
8.476368586159346852e-02 2.173163639586968114e-03 2.187500000000000000e+00 4.937005513213449603e+00
9.171767809022127182e-02 2.151270969520740432e-03 7.705882352941176627e+00 2.069662644057628142e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.030000000000000071e+01 4.851956649984964542e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.717999999999999972e+01 8.934725065719706549e+01
1.108696467093386595e-01 1.978629817275711061e-03 7.818867924528301216e+01 1.282509554848215032e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.104754098360655803e+02 1.652191633649864286e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.584399999999999977e+02 2.071987818497009926e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.764745762711864359e+02 2.273982986102994914e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.196428571428571388e+02 2.625320558658368100e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.468870967741935374e+02 2.787160393539132883e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.793174603174603021e+02 3.080406324531334690e+02
1.560440161600273323e-01 1.800320108738214832e-03 3.070526315789473415e+02 3.300372625091082455e+02
1.626324968867556287e-01 2.166758397174068339e-03 3.393243243243243228e+02 3.414819361401233095e+02
1.693678508908615654e-01 1.711853084056604935e-03 3.560000000000000000e+02 3.636468525002428009e+02
1.755753172360756398e-01 1.940749690505284321e-03 3.905942028985507477e+02 3.682689477180938979e+02
1.819629297477835528e-01 1.792019476258344991e-03 4.077846153846153925e+02 3.874335827791504698e+02
1.883474920212158954e-01 1.982820530303366913e-03 4.196805555555555429e+02 4.034261830684582719e+02
1.949500334927739553e-01 1.985593967279970003e-03 4.577333333333333485e+02 4.076573463093728265e+02
