# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 0.000000000000000000e+00 3.629058834906219033e+01
1.547771440847061503e-02 1.298069176105710962e-03 1.666666666666666574e-01 3.908679799852857184e-01
2.114153426598287117e-02 1.953452460535632252e-03 2.999999999999999889e-01 4.743416490252567730e-01
2.708829541553820289e-02 1.932501425123600049e-03 2.500000000000000000e-01 4.448782605013045788e-01
3.424760286937652415e-02 2.393094809829984012e-03 3.636363636363636465e-01 4.895604370122274562e-01
4.134659872356089005e-02 1.444308516548141333e-03 3.611111111111111049e-01 4.906533814626580781e-01
4.709622292726145520e-02 1.633576272088444088e-03 3.750000000000000000e-01 4.937104414532875185e-01
5.289360403025952090e-02 1.994215660312892175e-03 3.333333333333333148e-01 4.787135538781689403e-01
5.941266175682404643e-02 2.038777625163953021e-03 3.400000000000000244e-01 4.808326112068522784e-01
6.623959740571712385e-02 2.014614798769268252e-03 5.185185185185184897e-01 5.091750772173154749e-01
7.251770781946841049e-02 1.767162065969994948e-03 4.583333333333333148e-01 5.472468973568207495e-01
7.836204892921720677e-02 1.794558473909566021e-03 5.999999999999999778e-01 1.025670512396646528e+00
8.476368586159346852e-02 2.173163639586968114e-03 1.890625000000000000e+00 5.422933073992338926e+00
9.171767809022127182e-02 2.151270969520740432e-03 9.220588235294117752e+00 2.392110554839469927e+01
9.840741527280037759e-02 1.879523288412654567e-03 2.653333333333333499e+01 6.058347776232211146e+01
1.046713563714864598e-01 1.717715818177843919e-03 6.303999999999999915e+01 1.118898529805093602e+02
1.108696467093386595e-01 1.978629817275711061e-03 9.932075471698112779e+01 1.547980344522310929e+02
1.174911181025048434e-01 2.151142134119994175e-03 1.320655737704917954e+02 1.908005483065414865e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.760800000000000125e+02 2.263599681922578668e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.879661016949152668e+02 2.399662369720516892e+02
1.366843399328758479e-01 1.885635125754002352e-03 2.263392857142857224e+02 2.691173035810493843e+02
1.431380625310322841e-01 2.037281709542672608e-03 2.482096774193548470e+02 2.785213979117098120e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.712698412698412653e+02 2.991645425721034712e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.936842105263157805e+02 3.153682892979838925e+02
1.626324968867556287e-01 2.166758397174068339e-03 3.242567567567567721e+02 3.232363451763292801e+02
1.693678508908615654e-01 1.711853084056604935e-03 3.335333333333333599e+02 3.379448788058654713e+02
1.755753172360756398e-01 1.940749690505284321e-03 3.655362318840579974e+02 3.411838446922963612e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.746461538461538225e+02 3.531996059692093581e+02
