# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 2.500000000000000000e-01 3.608698980703894676e+01
1.547771440847061503e-02 1.298069176105710962e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.114153426598287117e-02 1.953452460535632252e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.708829541553820289e-02 1.932501425123600049e-03 8.333333333333332871e-02 2.825970826302194316e-01
3.424760286937652415e-02 2.393094809829984012e-03 1.136363636363636326e-01 3.214121732666122555e-01
4.134659872356089005e-02 1.444308516548141333e-03 1.388888888888888951e-01 3.513641844631533173e-01
4.709622292726145520e-02 1.633576272088444088e-03 1.749999999999999889e-01 3.856812155135377340e-01
5.289360403025952090e-02 1.994215660312892175e-03 2.708333333333333148e-01 4.506939094329988071e-01
5.941266175682404643e-02 2.038777625163953021e-03 4.199999999999999845e-01 5.019960159204451822e-01
6.623959740571712385e-02 2.014614798769268252e-03 4.814814814814814548e-01 5.085011191757771165e-01
7.251770781946841049e-02 1.767162065969994948e-03 4.375000000000000000e-01 5.051814855409225702e-01
7.836204892921720677e-02 1.794558473909566021e-03 5.400000000000000355e-01 9.269304181005177945e-01
8.476368586159346852e-02 2.173163639586968114e-03 1.546875000000000000e+00 4.421902605920895013e+00
9.171767809022127182e-02 2.151270969520740432e-03 6.852941176470587870e+00 1.870018179879431486e+01
9.840741527280037759e-02 1.879523288412654567e-03 1.848333333333333428e+01 4.441836457042414565e+01
1.046713563714864598e-01 1.717715818177843919e-03 4.214000000000000057e+01 8.061093722318331345e+01
1.108696467093386595e-01 1.978629817275711061e-03 6.777358490566037119e+01 1.128788845507860827e+02
1.174911181025048434e-01 2.151142134119994175e-03 9.339344262295081478e+01 1.429627918358578142e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.287599999999999909e+02 1.720425459007160498e+02
1.302695169190241364e-01 1.981638030988197227e-03 1.425593220338982974e+02 1.860565387777267290e+02
1.366843399328758479e-01 1.885635125754002352e-03 1.748392857142857224e+02 2.126786808803844906e+02
1.431380625310322841e-01 2.037281709542672608e-03 1.949677419354838719e+02 2.222107000423684724e+02
1.497407916800755912e-01 2.013243134106564892e-03 2.156190476190476204e+02 2.407857664737613845e+02
1.560440161600273323e-01 1.800320108738214832e-03 2.340526315789473699e+02 2.539317111798989401e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.597432432432432279e+02 2.626190300237328188e+02
1.693678508908615654e-01 1.711853084056604935e-03 2.718500000000000227e+02 2.791715571710938661e+02
1.755753172360756398e-01 1.940749690505284321e-03 2.988405797101449366e+02 2.827696888147902996e+02
1.819629297477835528e-01 1.792019476258344991e-03 3.082461538461538453e+02 2.948183875826009626e+02
1.883474920212158954e-01 1.982820530303366913e-03 3.151111111111110858e+02 3.051185157311422245e+02
1.949500334927739553e-01 1.985593967279970003e-03 3.424266666666666765e+02 3.072527466290758298e+02
2.014306324154557237e-01 1.750557958225071797e-03 3.485652173913043725e+02 3.154957341804708904e+02
2.076332073357673447e-01 1.865361520913360683e-03 3.724189189189189051e+02 3.164379968393200784e+02
2.140129245322099916e-01 1.882829286684015863e-03 3.687733333333333121e+02 3.242975983054247990e+02
2.204163405633874917e-01 1.951475208267544961e-03 3.953461538461538680e+02 3.237350333140850580e+02
2.268599176829277919e-01 1.954094669929957399e-03 3.933500000000000227e+02 3.319663678371649667e+02
2.335135695299082048e-01 1.986313139076756155e-03 3.995529411764705969e+02 3.373395664818859814e+02
2.400224779461884173e-01 1.823737618079871109e-03 4.213750000000000000e+02 3.386731116615252972e+02
2.464005577519743639e-01 1.894426896505377799e-03 4.322823529411764980e+02 3.385406658322532394e+02
2.528350385827773383e-01 1.829527638271931031e-03 4.383928571428571672e+02 3.405318744009042007e+02
2.590859102888302123e-01 1.817056121189442432e-03 4.384404761904762040e+02 3.410821214978032003e+02
2.654612130450557106e-01 1.918447197659697845e-03 4.411123595505617914e+02 3.421094178860582247e+02
2.718942366720529247e-01 1.942478483450333455e-03 4.628351648351648464e+02 3.327442565225765634e+02
2.784185743669774227e-01 1.921358219378808702e-03 4.632365591397849585e+02 3.280743102332655212e+02
2.849156375412667530e-01 1.882334819595186037e-03 5.010638297872340559e+02 3.030688897329243900e+02
2.911870294677750826e-01 1.766712284927822799e-03 5.125280898876404763e+02 2.822355918410288496e+02
2.976511517037133681e-01 2.019527329980297554e-03 5.517766990291262346e+02 2.524334698620012318e+02
3.043178155919494809e-01 1.919359421117726450e-03 5.684500000000000455e+02 2.271818038488118532e+02
3.108074081907638564e-01 1.815555258398614735e-03 5.899795918367346985e+02 2.086051816811842912e+02
3.170970610330232087e-01 1.826000353424227750e-03 5.992424242424242493e+02 1.988418341102991747e+02
3.235319739834495723e-01 1.908097576542081529e-03 6.013619047619047251e+02 1.928375978338300740e+02
3.300700059726238145e-01 1.867687188749142220e-03 6.185377358490566166e+02 1.819615573849777093e+02
3.365262003550894554e-01 1.808122422876843900e-03 6.161809523809523625e+02 1.776010977780621261e+02
3.429039324965278412e-01 1.810371451943152679e-03 6.289339622641509777e+02 1.662093324270068138e+02
