# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 0.000000000000000000e+00 1.567093587800412857e+00
1.547771440847061503e-02 1.298069176105710962e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.114153426598287117e-02 1.953452460535632252e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.708829541553820289e-02 1.932501425123600049e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.424760286937652415e-02 2.393094809829984012e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.134659872356089005e-02 1.444308516548141333e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.709622292726145520e-02 1.633576272088444088e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.289360403025952090e-02 1.994215660312892175e-03 0.000000000000000000e+00 0.000000000000000000e+00
5.941266175682404643e-02 2.038777625163953021e-03 0.000000000000000000e+00 0.000000000000000000e+00
6.623959740571712385e-02 2.014614798769268252e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.251770781946841049e-02 1.767162065969994948e-03 0.000000000000000000e+00 0.000000000000000000e+00
7.836204892921720677e-02 1.794558473909566021e-03 1.040000000000000036e+00 3.535420767037495970e+00
8.476368586159346852e-02 2.173163639586968114e-03 1.285937500000000000e+01 4.391835353634912309e+01
9.171767809022127182e-02 2.151270969520740432e-03 1.082058823529411740e+02 2.866620608150416274e+02
9.840741527280037759e-02 1.879523288412654567e-03 3.310833333333333144e+02 7.686216414971528366e+02
1.046713563714864598e-01 1.717715818177843919e-03 5.877599999999999909e+02 1.074594964440090735e+03
1.108696467093386595e-01 1.978629817275711061e-03 4.579245283018867667e+02 7.800372707912259784e+02
1.174911181025048434e-01 2.151142134119994175e-03 2.266065573770491710e+02 3.760150669272471191e+02
1.240901985761322518e-01 1.682567093931450772e-03 1.115999999999999943e+02 1.561997183096051458e+02
1.302695169190241364e-01 1.981638030988197227e-03 6.033898305084746028e+01 8.069145664164035736e+01
1.366843399328758479e-01 1.885635125754002352e-03 5.430357142857143060e+01 6.483717833062718228e+01
1.431380625310322841e-01 2.037281709542672608e-03 4.875806451612903203e+01 5.666712778576334841e+01
1.497407916800755912e-01 2.013243134106564892e-03 4.844444444444444287e+01 5.439391889447213657e+01
1.560440161600273323e-01 1.800320108738214832e-03 4.750877192982456165e+01 5.199624723063733001e+01
1.626324968867556287e-01 2.166758397174068339e-03 4.840540540540540349e+01 4.996731948784709232e+01
1.693678508908615654e-01 1.711853084056604935e-03 4.976666666666666572e+01 5.172789382915179601e+01
1.755753172360756398e-01 1.940749690505284321e-03 5.318840579710145278e+01 5.147811398333920607e+01
1.819629297477835528e-01 1.792019476258344991e-03 5.721538461538461462e+01 5.540677548126012653e+01
1.883474920212158954e-01 1.982820530303366913e-03 6.698611111111111427e+01 6.523376471308378655e+01
1.949500334927739553e-01 1.985593967279970003e-03 1.198266666666666680e+02 1.090777443437070104e+02
2.014306324154557237e-01 1.750557958225071797e-03 2.556376811594202820e+02 2.302796529147198328e+02
2.076332073357673447e-01 1.865361520913360683e-03 4.370540540540540633e+02 3.611598964192901349e+02
2.140129245322099916e-01 1.882829286684015863e-03 4.183333333333333144e+02 3.625455373696753441e+02
2.204163405633874917e-01 1.951475208267544961e-03 2.616923076923076792e+02 2.262916857104924020e+02
2.268599176829277919e-01 1.954094669929957399e-03 1.193125000000000000e+02 1.080342827532075631e+02
2.335135695299082048e-01 1.986313139076756155e-03 7.357647058823529562e+01 6.379621318392649698e+01
2.400224779461884173e-01 1.823737618079871109e-03 6.542499999999999716e+01 5.358136044838726519e+01
2.464005577519743639e-01 1.894426896505377799e-03 6.361176470588235077e+01 5.095532068275454662e+01
2.528350385827773383e-01 1.829527638271931031e-03 6.407142857142856940e+01 5.052175896830691926e+01
2.590859102888302123e-01 1.817056121189442432e-03 6.351190476190475920e+01 5.024304026666872147e+01
2.654612130450557106e-01 1.918447197659697845e-03 6.350561797752808957e+01 5.027829884684303607e+01
2.718942366720529247e-01 1.942478483450333455e-03 6.595604395604395620e+01 4.954937377985323366e+01
2.784185743669774227e-01 1.921358219378808702e-03 6.521505376344086358e+01 5.094155558863769073e+01
2.849156375412667530e-01 1.882334819595186037e-03 6.970212765957447232e+01 5.075047025273460122e+01
2.911870294677750826e-01 1.766712284927822799e-03 7.146067415730337302e+01 5.155749196680178414e+01
2.976511517037133681e-01 2.019527329980297554e-03 8.753398058252426495e+01 5.123306398344229251e+01
