# q qerr I(q) I(q)err
8.294532032279089417e-03 3.215448162638725495e-03 0.000000000000000000e+00 2.309401076758502924e+00
1.547771440847061503e-02 1.298069176105710962e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.114153426598287117e-02 1.953452460535632252e-03 0.000000000000000000e+00 0.000000000000000000e+00
2.708829541553820289e-02 1.932501425123600049e-03 0.000000000000000000e+00 0.000000000000000000e+00
3.424760286937652415e-02 2.393094809829984012e-03 0.000000000000000000e+00 0.000000000000000000e+00
4.134659872356089005e-02 1.444308516548141333e-03 5.833333333333333703e-01 1.805341867696878655e+00
4.709622292726145520e-02 1.633576272088444088e-03 1.705000000000000071e+01 5.566258842346445590e+01
5.289360403025952090e-02 1.994215660312892175e-03 1.821250000000000000e+02 6.540100880815982691e+02
5.941266175682404643e-02 2.038777625163953021e-03 9.323400000000000318e+02 3.389144693163746524e+03
6.623959740571712385e-02 2.014614798769268252e-03 2.145888888888888687e+03 7.983025994109867497e+03
7.251770781946841049e-02 1.767162065969994948e-03 3.345750000000000000e+03 1.136824754410099740e+04
7.836204892921720677e-02 1.794558473909566021e-03 3.029579999999999927e+03 1.021727036713819325e+04
8.476368586159346852e-02 2.173163639586968114e-03 1.866718750000000000e+03 7.001932090118334600e+03
9.171767809022127182e-02 2.151270969520740432e-03 1.426529411764705856e+03 5.102189232359263769e+03
9.840741527280037759e-02 1.879523288412654567e-03 1.156183333333333394e+03 4.111831763676349510e+03
1.046713563714864598e-01 1.717715818177843919e-03 1.105960000000000036e+03 3.494114462578466828e+03
1.108696467093386595e-01 1.978629817275711061e-03 8.614905660377359027e+02 2.705045609547645199e+03
1.174911181025048434e-01 2.151142134119994175e-03 6.369180327868851919e+02 2.040273934951523643e+03
1.240901985761322518e-01 1.682567093931450772e-03 6.422999999999999545e+02 1.817689669883172201e+03
1.302695169190241364e-01 1.981638030988197227e-03 4.851525423728813280e+02 1.385192703840846207e+03
1.366843399328758479e-01 1.885635125754002352e-03 4.424107142857142776e+02 1.177944426019672846e+03
1.431380625310322841e-01 2.037281709542672608e-03 3.673709677419354875e+02 9.373561123017816499e+02
1.497407916800755912e-01 2.013243134106564892e-03 3.267619047619047592e+02 7.775723330868719358e+02
1.560440161600273323e-01 1.800320108738214832e-03 3.164736842105263008e+02 6.813673904551220630e+02
1.626324968867556287e-01 2.166758397174068339e-03 2.586081081081081265e+02 5.069385356852905034e+02
1.693678508908615654e-01 1.711853084056604935e-03 2.649166666666666856e+02 4.718023509196764280e+02
1.755753172360756398e-01 1.940749690505284321e-03 2.389130434782608745e+02 3.776461496781473102e+02
1.819629297477835528e-01 1.792019476258344991e-03 2.331692307692307793e+02 3.336685667335709127e+02
1.883474920212158954e-01 1.982820530303366913e-03 2.189583333333333428e+02 2.750239846443024589e+02
1.949500334927739553e-01 1.985593967279970003e-03 2.108533333333333246e+02 2.340400603885298096e+02
2.014306324154557237e-01 1.750557958225071797e-03 2.108840579710144993e+02 2.110360899323578963e+02
2.076332073357673447e-01 1.865361520913360683e-03 2.052972972972972912e+02 1.796109442865988797e+02
2.140129245322099916e-01 1.882829286684015863e-03 2.022666666666666799e+02 1.611894509920271048e+02
2.204163405633874917e-01 1.951475208267544961e-03 1.985000000000000000e+02 1.428768521202607928e+02
2.268599176829277919e-01 1.954094669929957399e-03 1.961125000000000114e+02 1.272199915500704321e+02
2.335135695299082048e-01 1.986313139076756155e-03 1.939764705882352871e+02 1.133453820856341423e+02
2.400224779461884173e-01 1.823737618079871109e-03 1.939375000000000000e+02 1.036461905353978779e+02
2.464005577519743639e-01 1.894426896505377799e-03 1.894235294117647186e+02 8.653405833887114795e+01
2.528350385827773383e-01 1.829527638271931031e-03 1.881190476190476204e+02 7.389945941643156857e+01
2.590859102888302123e-01 1.817056121189442432e-03 1.852380952380952408e+02 6.579590342133376168e+01
2.654612130450557106e-01 1.918447197659697845e-03 1.833146067415730442e+02 5.743746043198768803e+01
2.718942366720529247e-01 1.942478483450333455e-03 1.823846153846153868e+02 5.110686101301418915e+01
2.784185743669774227e-01 1.921358219378808702e-03 1.822580645161290249e+02 4.752543908675104234e+01
2.849156375412667530e-01 1.882334819595186037e-03 1.829680851063829721e+02 4.309043833569082693e+01
2.911870294677750826e-01 1.766712284927822799e-03 1.823932584269662982e+02 4.108167108368280651e+01
2.976511517037133681e-01 2.019527329980297554e-03 1.812330097087378533e+02 3.691549530953816571e+01
3.043178155919494809e-01 1.919359421117726450e-03 1.789399999999999977e+02 3.539612690676763407e+01
3.108074081907638564e-01 1.815555258398614735e-03 1.785918367346938851e+02 3.265188454512523464e+01
3.170970610330232087e-01 1.826000353424227750e-03 1.779595959595959584e+02 3.102586050374685911e+01
3.235319739834495723e-01 1.908097576542081529e-03 1.762571428571428669e+02 2.933132800813983110e+01
3.300700059726238145e-01 1.867687188749142220e-03 1.761320754716981014e+02 2.670811533422567408e+01
3.365262003550894554e-01 1.808122422876843900e-03 1.743714285714285666e+02 2.584512217297596948e+01
3.429039324965278412e-01 1.810371451943152679e-03 1.742358490566037688e+02 2.450863144502236679e+01
3.492243179790229801e-01 1.835371710213073819e-03 1.729166666666666572e+02 2.393029357566020821e+01
3.555659880086458058e-01 1.813249007222180170e-03 1.716666666666666572e+02 2.310636970594157091e+01
3.620245372922214488e-01 1.918012235727336494e-03 1.704786324786324769e+02 2.105298062696290629e+01
3.685406119477664388e-01 1.798147481859587110e-03 1.695225225225225358e+02 1.994208195195588118e+01
3.750909242308860247e-01 1.967614233492519498e-03 1.683870967741935374e+02 1.860059972403181661e+01
3.816999037813160189e-01 1.752662604176019427e-03 1.669913043478260875e+02 1.765268365081112378e+01
3.880273799716012495e-01 1.749306826939258557e-03 1.657241379310344769e+02 1.647068884300650993e+01
3.942361145945514900e-01 1.745527907058957431e-03 1.639913793103448256e+02 1.570991965305204197e+01
4.006128291384035145e-01 1.852638254231622501e-03 1.622682926829268411e+02 1.540309720574550845e+01
