# angle I
-5.345013494957747469e+00 3.411666666666666856e+02
-5.045018388767892326e+00 3.019375000000000000e+02
-4.689203949978235642e+00 2.825625000000000000e+02
-4.333026410032358555e+00 2.846250000000000000e+02
-3.976512850060811122e+00 2.790625000000000000e+02
-3.619690506843096234e+00 2.809375000000000000e+02
-3.262586760556078769e+00 2.803125000000000000e+02
-2.904206446615597237e+00 2.768823529411764639e+02
-2.536625107857171102e+00 2.850555555555555429e+02
-2.169762540650015836e+00 2.826470588235293917e+02
-1.820546743112691601e+00 2.680000000000000000e+02
-1.464675008922181831e+00 2.715625000000000000e+02
-1.108690583851543510e+00 2.754375000000000000e+02
-7.526209769764011792e-01 2.716875000000000000e+02
-1.762194385507231675e-01 2.645277777777777715e+02
3.964937367391271339e-01 2.698125000000000000e+02
7.526209769764011792e-01 2.796250000000000000e+02
1.108690583851543510e+00 2.788125000000000000e+02
1.464675008922181831e+00 2.700625000000000000e+02
1.820546743112691601e+00 2.761250000000000000e+02
2.169762540650015836e+00 2.700588235294117680e+02
2.536625107857171102e+00 2.817222222222222285e+02
2.904206446615597237e+00 2.755294117647058556e+02
3.262586760556078769e+00 2.816875000000000000e+02
3.619690506843096234e+00 2.821250000000000000e+02
3.976512850060811122e+00 2.726250000000000000e+02
4.333026410032358555e+00 2.719375000000000000e+02
4.689203949978235642e+00 2.712500000000000000e+02
5.045018388767892326e+00 2.687500000000000000e+02
5.400442812991911090e+00 2.751875000000000000e+02
5.755450488841650447e+00 2.689375000000000000e+02
6.121346079378987781e+00 2.702941176470588402e+02
6.496668123211583712e+00 2.668823529411764639e+02
6.859015260005412173e+00 2.721875000000000000e+02
7.225286504036425583e+00 2.685882352941176237e+02
7.590197231644101095e+00 2.705625000000000000e+02
7.944261363996122149e+00 2.855000000000000000e+02
8.317826571389893786e+00 2.660555555555555429e+02
8.694031650506699904e+00 2.688750000000000000e+02
9.055537378374085122e+00 2.727647058823529278e+02
9.421497369287795465e+00 2.768666666666666742e+02
9.763407514716192281e+00 2.716250000000000000e+02
1.012575574675722834e+01 2.690000000000000000e+02
1.048819627135121557e+01 2.735625000000000000e+02
1.082670619925649369e+01 2.756000000000000227e+02
1.117815282102464103e+01 2.724705882352941444e+02
1.155253435339616530e+01 2.765294117647058556e+02
1.191343590158883536e+01 2.822500000000000000e+02
1.226267284651528833e+01 2.761250000000000000e+02
1.262280932778145370e+01 2.639411764705882320e+02
1.297953919419553870e+01 2.753125000000000000e+02
1.335482213221673931e+01 2.749411764705882320e+02
1.372408791116629168e+01 2.750588235294117680e+02
