# angle I
-5.345013494957747469e+00 3.130000000000000000e+02
-5.045018388767892326e+00 3.089375000000000000e+02
-4.689203949978235642e+00 2.878125000000000000e+02
-4.333026410032358555e+00 2.770625000000000000e+02
-3.976512850060811122e+00 2.746875000000000000e+02
-3.619690506843096234e+00 2.716250000000000000e+02
-3.262586760556078769e+00 2.703750000000000000e+02
-2.904206446615597237e+00 2.780000000000000000e+02
-2.536625107857171102e+00 2.752222222222222285e+02
-2.169762540650015836e+00 2.709411764705882320e+02
-1.820546743112691601e+00 2.731875000000000000e+02
-1.464675008922181831e+00 2.776875000000000000e+02
-1.108690583851543510e+00 2.728125000000000000e+02
-7.526209769764011792e-01 2.801875000000000000e+02
-1.762194385507231675e-01 2.793055555555555429e+02
3.964937367391271339e-01 2.765000000000000000e+02
7.526209769764011792e-01 2.738125000000000000e+02
1.108690583851543510e+00 2.753125000000000000e+02
1.464675008922181831e+00 2.773750000000000000e+02
1.820546743112691601e+00 2.742500000000000000e+02
2.169762540650015836e+00 2.698235294117646959e+02
2.536625107857171102e+00 2.802222222222222285e+02
2.904206446615597237e+00 2.716470588235293917e+02
3.262586760556078769e+00 2.743125000000000000e+02
3.619690506843096234e+00 2.745000000000000000e+02
3.976512850060811122e+00 2.752500000000000000e+02
4.333026410032358555e+00 2.801875000000000000e+02
4.689203949978235642e+00 2.760000000000000000e+02
5.045018388767892326e+00 2.740625000000000000e+02
5.400442812991911090e+00 2.760000000000000000e+02
5.755450488841650447e+00 2.783125000000000000e+02
6.121346079378987781e+00 2.714705882352941444e+02
6.496668123211583712e+00 2.707058823529411598e+02
6.859015260005412173e+00 2.770625000000000000e+02
7.225286504036425583e+00 2.763529411764706083e+02
7.590197231644101095e+00 2.635625000000000000e+02
7.944261363996122149e+00 2.776250000000000000e+02
8.317826571389893786e+00 2.720555555555555429e+02
8.694031650506699904e+00 2.718125000000000000e+02
9.055537378374085122e+00 2.798235294117646959e+02
9.421497369287795465e+00 2.754666666666666401e+02
9.763407514716192281e+00 2.774375000000000000e+02
1.012575574675722834e+01 2.808823529411764639e+02
1.048819627135121557e+01 2.798125000000000000e+02
1.082670619925649369e+01 2.766666666666666856e+02
1.117815282102464103e+01 2.798235294117646959e+02
1.155253435339616530e+01 2.792352941176470722e+02
1.191343590158883536e+01 2.772500000000000000e+02
1.226267284651528833e+01 2.789375000000000000e+02
1.262280932778145370e+01 2.783529411764706083e+02
1.297953919419553870e+01 2.778125000000000000e+02
1.335482213221673931e+01 2.782941176470588402e+02
1.372408791116629168e+01 2.727058823529411598e+02
1.409901987699426762e+01 2.804444444444444571e+02
1.446083602812778324e+01 2.778666666666666742e+02
1.481730709028705206e+01 2.821875000000000000e+02
1.517173449838404942e+01 2.740588235294117680e+02
1.551811551146366774e+01 2.796666666666666856e+02
1.589641250683601470e+01 2.837777777777777715e+02
1.627339110809699463e+01 2.798666666666666742e+02
1.662011968575146881e+01 2.772352941176470722e+02
1.697835480865197155e+01 2.710625000000000000e+02
1.734199584128202787e+01 2.815000000000000000e+02
1.770553895594225224e+01 2.800588235294117680e+02
1.807130326400313081e+01 2.781176470588235361e+02
1.843465442894936857e+01 2.718000000000000114e+02
1.878096222119318170e+01 2.736250000000000000e+02
1.913659987323090306e+01 2.840000000000000000e+02
1.950514123753502460e+01 2.737500000000000000e+02
1.986330730459379268e+01 2.793750000000000000e+02
2.022073492801051842e+01 2.767647058823529278e+02
2.058710680632741230e+01 2.749375000000000000e+02
2.094314887247101353e+01 2.766875000000000000e+02
2.130438054981574680e+01 2.794117647058823763e+02
2.167905111950058483e+01 2.802941176470588402e+02
2.204560599318464398e+01 2.751875000000000000e+02
2.239682653882750429e+01 2.787500000000000000e+02
2.275363822822428617e+01 2.757500000000000000e+02
2.312793991557033380e+01 2.733333333333333144e+02
2.349935112218316746e+01 2.710625000000000000e+02
2.385416066626844156e+01 2.661250000000000000e+02
2.420834365316106940e+01 2.605000000000000000e+02
2.455857028755591998e+01 2.723750000000000000e+02
2.493091152744412042e+01 2.785882352941176237e+02
2.527483223733344175e+01 2.675333333333333599e+02
2.563425652252228559e+01 2.755625000000000000e+02
2.601672385617668581e+01 2.748000000000000114e+02
2.640577305237117756e+01 2.789285714285714448e+02
2.671930330674172893e+01 2.766666666666666856e+02
2.707089648078908084e+01 2.735625000000000000e+02
2.745202761316002693e+01 2.752105263157894797e+02
2.782921475418621426e+01 2.816000000000000227e+02
2.818807885309087169e+01 2.762941176470588402e+02
2.854806482795782330e+01 2.646250000000000000e+02
2.889549902919376478e+01 2.668000000000000114e+02
2.924727850905018656e+01 2.765294117647058556e+02
2.961173747369430131e+01 2.719375000000000000e+02
2.997762869486751214e+01 2.728823529411764639e+02
3.034381575091571293e+01 2.723750000000000000e+02
3.069637995846956002e+01 2.763125000000000000e+02
3.104821642274215066e+01 2.671875000000000000e+02
3.141729887792190112e+01 2.712941176470588402e+02
3.177492433466741772e+01 2.691250000000000000e+02
3.214626355577831163e+01 2.630000000000000000e+02
3.251675605723034579e+01 2.705000000000000000e+02
3.287487621126714288e+01 2.718235294117646959e+02
3.322782418636403889e+01 2.616000000000000227e+02
3.358790561082158632e+01 2.757058823529411598e+02
3.397104670879200228e+01 2.735294117647058556e+02
3.430972963393656272e+01 2.694666666666666401e+02
3.467331300415371231e+01 2.717647058823529278e+02
3.504488555086337698e+01 2.753125000000000000e+02
3.541363622899447705e+01 2.685555555555555429e+02
3.577692547683867730e+01 2.772666666666666515e+02
3.613001053112260763e+01 2.648750000000000000e+02
3.648202563062135084e+01 2.733750000000000000e+02
3.682962937910751577e+01 2.703125000000000000e+02
3.718790880640079166e+01 2.680588235294117680e+02
3.755793617592696165e+01 2.794705882352941444e+02
3.793580923229645663e+01 2.728750000000000000e+02
3.829782656806155927e+01 2.680625000000000000e+02
3.865315950278650803e+01 2.651875000000000000e+02
3.901830970180436253e+01 2.766470588235293917e+02
3.937154677477515463e+01 2.627500000000000000e+02
3.973451736319234584e+01 2.677058823529411598e+02
4.009041448886217296e+01 2.669333333333333371e+02
4.045700437370926039e+01 2.729411764705882320e+02
4.081547633796911612e+01 2.578000000000000114e+02
4.116711665622139549e+01 2.708823529411764639e+02
4.153243602663183509e+01 2.685294117647058556e+02
4.190135268967101467e+01 2.731875000000000000e+02
4.225694403171050340e+01 2.655882352941176237e+02
4.263072221917273197e+01 2.646470588235293917e+02
4.298236812304300258e+01 2.711999999999999886e+02
4.335397244744854106e+01 2.631578947368420813e+02
4.370938581296284298e+01 2.722857142857142776e+02
4.408141282004845607e+01 2.603888888888889142e+02
4.442311195098108811e+01 2.676250000000000000e+02
4.474736345545046134e+01 2.706666666666666856e+02
4.513181037106932081e+01 2.668695652173913118e+02
