# angle I
-5.345013494957747469e+00 8.316666666666667140e+01
-5.045018388767892326e+00 8.062500000000000000e+01
-4.689203949978235642e+00 7.500000000000000000e+01
-4.333026410032358555e+00 7.668750000000000000e+01
-3.976512850060811122e+00 7.306250000000000000e+01
-3.619690506843096234e+00 7.343750000000000000e+01
-3.262586760556078769e+00 7.225000000000000000e+01
-2.904206446615597237e+00 7.447058823529411598e+01
-2.536625107857171102e+00 7.261111111111111427e+01
-2.169762540650015836e+00 7.335294117647059409e+01
-1.820546743112691601e+00 7.156250000000000000e+01
-1.464675008922181831e+00 7.543750000000000000e+01
-1.108690583851543510e+00 7.625000000000000000e+01
-7.526209769764011792e-01 7.137500000000000000e+01
-1.762194385507231675e-01 7.183333333333332860e+01
3.964937367391271339e-01 7.312500000000000000e+01
7.526209769764011792e-01 7.018750000000000000e+01
1.108690583851543510e+00 7.468750000000000000e+01
1.464675008922181831e+00 7.325000000000000000e+01
1.820546743112691601e+00 7.118750000000000000e+01
2.169762540650015836e+00 7.305882352941176805e+01
2.536625107857171102e+00 7.111111111111111427e+01
2.904206446615597237e+00 7.129411764705882604e+01
3.262586760556078769e+00 7.612500000000000000e+01
3.619690506843096234e+00 7.168750000000000000e+01
3.976512850060811122e+00 7.206250000000000000e+01
4.333026410032358555e+00 7.300000000000000000e+01
4.689203949978235642e+00 6.868750000000000000e+01
5.045018388767892326e+00 7.306250000000000000e+01
5.400442812991911090e+00 7.093750000000000000e+01
5.755450488841650447e+00 7.231250000000000000e+01
6.121346079378987781e+00 7.105882352941176805e+01
6.496668123211583712e+00 7.570588235294117396e+01
6.859015260005412173e+00 7.281250000000000000e+01
7.225286504036425583e+00 6.917647058823528994e+01
7.590197231644101095e+00 7.443750000000000000e+01
7.944261363996122149e+00 7.443750000000000000e+01
8.317826571389893786e+00 6.938888888888888573e+01
8.694031650506699904e+00 7.156250000000000000e+01
9.055537378374085122e+00 7.170588235294117396e+01
9.421497369287795465e+00 7.546666666666666856e+01
9.763407514716192281e+00 6.968750000000000000e+01
1.012575574675722834e+01 7.470588235294117396e+01
1.048819627135121557e+01 7.125000000000000000e+01
1.082670619925649369e+01 7.146666666666666856e+01
1.117815282102464103e+01 6.747058823529411598e+01
1.155253435339616530e+01 7.341176470588234793e+01
1.191343590158883536e+01 6.900000000000000000e+01
1.226267284651528833e+01 7.300000000000000000e+01
1.262280932778145370e+01 7.323529411764705799e+01
1.297953919419553870e+01 7.118750000000000000e+01
1.335482213221673931e+01 7.388235294117646390e+01
1.372408791116629168e+01 7.052941176470588402e+01
1.409901987699426762e+01 7.161111111111111427e+01
1.446083602812778324e+01 7.013333333333333997e+01
1.481730709028705206e+01 7.450000000000000000e+01
1.517173449838404942e+01 7.088235294117646390e+01
1.551811551146366774e+01 7.520000000000000284e+01
1.589641250683601470e+01 7.227777777777777146e+01
1.627339110809699463e+01 6.940000000000000568e+01
1.662011968575146881e+01 7.352941176470588402e+01
1.697835480865197155e+01 7.181250000000000000e+01
1.734199584128202787e+01 6.937500000000000000e+01
1.770553895594225224e+01 7.176470588235294201e+01
1.807130326400313081e+01 6.905882352941176805e+01
1.843465442894936857e+01 6.986666666666666003e+01
1.878096222119318170e+01 7.368750000000000000e+01
1.913659987323090306e+01 6.735294117647059409e+01
1.950514123753502460e+01 6.906250000000000000e+01
1.986330730459379268e+01 6.900000000000000000e+01
2.022073492801051842e+01 7.058823529411765207e+01
2.058710680632741230e+01 6.950000000000000000e+01
2.094314887247101353e+01 7.381250000000000000e+01
2.130438054981574680e+01 7.011764705882353610e+01
2.167905111950058483e+01 6.905882352941176805e+01
2.204560599318464398e+01 6.887500000000000000e+01
2.239682653882750429e+01 6.662500000000000000e+01
2.275363822822428617e+01 7.362500000000000000e+01
2.312793991557033380e+01 7.216666666666667140e+01
2.349935112218316746e+01 6.831250000000000000e+01
2.385416066626844156e+01 6.956250000000000000e+01
2.420834365316106940e+01 6.968750000000000000e+01
2.455857028755591998e+01 6.868750000000000000e+01
2.493091152744412042e+01 6.652941176470588402e+01
2.527483223733344175e+01 6.920000000000000284e+01
2.563425652252228559e+01 7.168750000000000000e+01
2.601672385617668581e+01 6.950000000000000000e+01
2.640577305237117756e+01 6.557142857142856940e+01
2.671930330674172893e+01 7.053333333333333144e+01
2.707089648078908084e+01 7.187500000000000000e+01
2.745202761316002693e+01 6.831578947368420529e+01
2.782921475418621426e+01 7.179999999999999716e+01
2.818807885309087169e+01 6.652941176470588402e+01
2.854806482795782330e+01 6.800000000000000000e+01
2.889549902919376478e+01 6.813333333333333997e+01
2.924727850905018656e+01 6.494117647058823195e+01
2.961173747369430131e+01 6.700000000000000000e+01
2.997762869486751214e+01 6.817647058823528994e+01
3.034381575091571293e+01 6.787500000000000000e+01
3.069637995846956002e+01 7.006250000000000000e+01
3.104821642274215066e+01 7.050000000000000000e+01
3.141729887792190112e+01 6.341176470588235503e+01
3.177492433466741772e+01 6.806250000000000000e+01
3.214626355577831163e+01 6.888235294117646390e+01
3.251675605723034579e+01 7.112500000000000000e+01
3.287487621126714288e+01 6.694117647058823195e+01
3.322782418636403889e+01 6.406666666666666288e+01
3.358790561082158632e+01 6.658823529411765207e+01
3.397104670879200228e+01 7.052941176470588402e+01
3.430972963393656272e+01 6.666666666666667140e+01
3.467331300415371231e+01 6.982352941176471006e+01
3.504488555086337698e+01 6.531250000000000000e+01
3.541363622899447705e+01 6.688888888888888573e+01
3.577692547683867730e+01 7.106666666666666288e+01
3.613001053112260763e+01 6.550000000000000000e+01
3.648202563062135084e+01 6.337500000000000000e+01
3.682962937910751577e+01 6.706250000000000000e+01
3.718790880640079166e+01 6.488235294117646390e+01
3.755793617592696165e+01 6.758823529411765207e+01
3.793580923229645663e+01 7.175000000000000000e+01
3.829782656806155927e+01 7.025000000000000000e+01
3.865315950278650803e+01 6.906250000000000000e+01
3.901830970180436253e+01 6.835294117647059409e+01
3.937154677477515463e+01 6.668750000000000000e+01
3.973451736319234584e+01 6.547058823529411598e+01
4.009041448886217296e+01 6.720000000000000284e+01
4.045700437370926039e+01 6.900000000000000000e+01
4.081547633796911612e+01 6.426666666666666572e+01
4.116711665622139549e+01 6.882352941176471006e+01
4.153243602663183509e+01 6.482352941176471006e+01
4.190135268967101467e+01 6.581250000000000000e+01
4.225694403171050340e+01 6.441176470588234793e+01
4.263072221917273197e+01 6.382352941176470296e+01
4.298236812304300258e+01 6.686666666666666003e+01
4.335397244744854106e+01 6.584210526315789025e+01
4.370938581296284298e+01 6.707142857142856940e+01
4.408141282004845607e+01 6.583333333333332860e+01
4.442311195098108811e+01 6.681250000000000000e+01
4.474736345545046134e+01 6.591666666666667140e+01
4.513181037106932081e+01 6.878260869565217206e+01
4.550518791356464732e+01 6.727272727272726627e+01
4.587859612931388398e+01 6.647826086956521863e+01
4.626298575904075960e+01 6.566666666666667140e+01
4.659827357861271935e+01 6.277777777777777857e+01
4.695833007920350610e+01 6.993750000000000000e+01
4.732706300537589073e+01 6.258823529411764497e+01
4.768729047865042503e+01 6.318750000000000000e+01
4.804603123853006252e+01 6.541176470588234793e+01
4.839911688274412427e+01 6.973333333333333428e+01
4.876043263521199123e+01 6.627777777777777146e+01
4.912600027158417504e+01 6.606250000000000000e+01
4.948820129318639260e+01 6.200000000000000000e+01
4.985200348507563461e+01 6.837500000000000000e+01
5.021186646673336895e+01 6.100000000000000000e+01
5.056009585579234056e+01 6.350000000000000000e+01
5.092929928871412670e+01 6.616666666666667140e+01
5.129035769465544803e+01 6.386666666666666714e+01
5.164685043638609585e+01 6.670588235294117396e+01
5.201769573310133410e+01 6.412500000000000000e+01
5.238760095852538257e+01 6.268750000000000000e+01
5.273628981835555862e+01 6.712500000000000000e+01
5.309476049356305793e+01 6.358823529411764497e+01
5.345016124763998988e+01 6.343750000000000000e+01
5.381627393954912719e+01 6.447058823529411598e+01
5.418861012304124358e+01 6.518750000000000000e+01
5.455507675480509988e+01 6.182352941176470296e+01
5.490978944155331476e+01 6.568750000000000000e+01
5.527062247726589561e+01 6.043750000000000000e+01
5.563114682740363293e+01 6.162500000000000000e+01
5.601023261561899602e+01 6.273684210526315752e+01
5.636736094360470872e+01 6.415384615384616041e+01
5.670276624052125669e+01 6.394117647058823195e+01
5.708342660208528230e+01 6.435294117647059409e+01
5.743755150235368490e+01 6.368750000000000000e+01
5.781125925987439729e+01 5.970588235294117396e+01
5.818065824853643875e+01 6.437500000000000000e+01
5.852827955308822538e+01 6.362500000000000000e+01
5.888312669818119360e+01 6.325000000000000000e+01
5.924840814141190748e+01 6.500000000000000000e+01
5.961154974951115548e+01 6.506250000000000000e+01
5.996845703544695283e+01 6.462500000000000000e+01
6.032107613684184599e+01 6.368750000000000000e+01
6.067635033341284867e+01 6.450000000000000000e+01
6.103835741567128537e+01 5.917647058823529704e+01
6.140561065545576724e+01 6.325000000000000000e+01
6.177042045335986842e+01 6.223529411764705799e+01
