# angle I
-5.345013494957747469e+00 6.595166666666666970e+03
-5.045018388767892326e+00 6.869812500000000000e+03
-4.689203949978235642e+00 6.892250000000000000e+03
-4.333026410032358555e+00 7.317000000000000000e+03
-3.976512850060811122e+00 7.827687500000000000e+03
-3.619690506843096234e+00 8.248187500000000000e+03
-3.262586760556078769e+00 8.609687500000000000e+03
-2.904206446615597237e+00 8.528176470588236043e+03
-2.536625107857171102e+00 9.231944444444445253e+03
-2.169762540650015836e+00 9.271058823529412621e+03
-1.820546743112691601e+00 9.881687500000000000e+03
-1.464675008922181831e+00 1.013637500000000000e+04
-1.108690583851543510e+00 1.029668750000000000e+04
-7.526209769764011792e-01 1.044987500000000000e+04
-1.762194385507231675e-01 1.033566666666666606e+04
3.964937367391271339e-01 1.030250000000000000e+04
7.526209769764011792e-01 1.018537500000000000e+04
1.108690583851543510e+00 9.922625000000000000e+03
1.464675008922181831e+00 9.698000000000000000e+03
1.820546743112691601e+00 9.401687500000000000e+03
2.169762540650015836e+00 8.571176470588236043e+03
2.536625107857171102e+00 8.536833333333333940e+03
2.904206446615597237e+00 7.817470588235293690e+03
3.262586760556078769e+00 7.813687500000000000e+03
3.619690506843096234e+00 7.356312500000000000e+03
3.976512850060811122e+00 6.897000000000000000e+03
4.333026410032358555e+00 6.478687500000000000e+03
4.689203949978235642e+00 5.973062500000000000e+03
5.045018388767892326e+00 5.531062500000000000e+03
5.400442812991911090e+00 5.065375000000000000e+03
5.755450488841650447e+00 4.673000000000000000e+03
6.121346079378987781e+00 4.112058823529411711e+03
6.496668123211583712e+00 3.733235294117646845e+03
6.859015260005412173e+00 3.620375000000000000e+03
7.225286504036425583e+00 3.169882352941176578e+03
7.590197231644101095e+00 2.984250000000000000e+03
7.944261363996122149e+00 2.745500000000000000e+03
8.317826571389893786e+00 2.468166666666666515e+03
8.694031650506699904e+00 2.228062500000000000e+03
9.055537378374085122e+00 1.987470588235294144e+03
9.421497369287795465e+00 1.937333333333333258e+03
9.763407514716192281e+00 1.703812500000000000e+03
1.012575574675722834e+01 1.510176470588235361e+03
1.048819627135121557e+01 1.412312500000000000e+03
1.082670619925649369e+01 1.329466666666666697e+03
1.117815282102464103e+01 1.193058823529411711e+03
1.155253435339616530e+01 1.148823529411764639e+03
1.191343590158883536e+01 1.058562500000000000e+03
1.226267284651528833e+01 9.785000000000000000e+02
1.262280932778145370e+01 9.265882352941176805e+02
1.297953919419553870e+01 8.849375000000000000e+02
1.335482213221673931e+01 8.272352941176470722e+02
1.372408791116629168e+01 8.098823529411764639e+02
1.409901987699426762e+01 7.509444444444444571e+02
1.446083602812778324e+01 7.594666666666666970e+02
1.481730709028705206e+01 7.206875000000000000e+02
1.517173449838404942e+01 6.908235294117647527e+02
1.551811551146366774e+01 6.790000000000000000e+02
1.589641250683601470e+01 6.453333333333333712e+02
1.627339110809699463e+01 6.427333333333333485e+02
1.662011968575146881e+01 6.209411764705882888e+02
1.697835480865197155e+01 6.125000000000000000e+02
1.734199584128202787e+01 6.211250000000000000e+02
1.770553895594225224e+01 6.121764705882352473e+02
1.807130326400313081e+01 5.925294117647058556e+02
1.843465442894936857e+01 5.987333333333333485e+02
1.878096222119318170e+01 5.849375000000000000e+02
1.913659987323090306e+01 5.749411764705882888e+02
1.950514123753502460e+01 5.871875000000000000e+02
1.986330730459379268e+01 5.888750000000000000e+02
2.022073492801051842e+01 5.759411764705882888e+02
2.058710680632741230e+01 5.752500000000000000e+02
2.094314887247101353e+01 5.853750000000000000e+02
2.130438054981574680e+01 5.637058823529412166e+02
2.167905111950058483e+01 5.754117647058823195e+02
2.204560599318464398e+01 5.657500000000000000e+02
2.239682653882750429e+01 5.739375000000000000e+02
2.275363822822428617e+01 5.700000000000000000e+02
2.312793991557033380e+01 5.718888888888889142e+02
2.349935112218316746e+01 5.700000000000000000e+02
2.385416066626844156e+01 5.883125000000000000e+02
2.420834365316106940e+01 5.612500000000000000e+02
2.455857028755591998e+01 5.895000000000000000e+02
2.493091152744412042e+01 5.625294117647058556e+02
2.527483223733344175e+01 5.615333333333333030e+02
2.563425652252228559e+01 5.596875000000000000e+02
2.601672385617668581e+01 5.640499999999999545e+02
2.640577305237117756e+01 5.692142857142856656e+02
2.671930330674172893e+01 5.570666666666667197e+02
2.707089648078908084e+01 5.520000000000000000e+02
2.745202761316002693e+01 5.665789473684210407e+02
2.782921475418621426e+01 5.675333333333333030e+02
2.818807885309087169e+01 5.415294117647058556e+02
2.854806482795782330e+01 5.684375000000000000e+02
2.889549902919376478e+01 5.582666666666666515e+02
2.924727850905018656e+01 5.564705882352941444e+02
2.961173747369430131e+01 5.576875000000000000e+02
2.997762869486751214e+01 5.652352941176470722e+02
3.034381575091571293e+01 5.510625000000000000e+02
3.069637995846956002e+01 5.619375000000000000e+02
3.104821642274215066e+01 5.662500000000000000e+02
3.141729887792190112e+01 5.639411764705882888e+02
3.177492433466741772e+01 5.590000000000000000e+02
3.214626355577831163e+01 5.520000000000000000e+02
3.251675605723034579e+01 5.716250000000000000e+02
3.287487621126714288e+01 5.762352941176470722e+02
3.322782418636403889e+01 5.655333333333333030e+02
3.358790561082158632e+01 5.744705882352941444e+02
3.397104670879200228e+01 5.727647058823529278e+02
3.430972963393656272e+01 5.841333333333333258e+02
3.467331300415371231e+01 5.978235294117647527e+02
3.504488555086337698e+01 6.045000000000000000e+02
3.541363622899447705e+01 5.993888888888889142e+02
3.577692547683867730e+01 6.193333333333333712e+02
3.613001053112260763e+01 6.226250000000000000e+02
3.648202563062135084e+01 6.339375000000000000e+02
3.682962937910751577e+01 6.510000000000000000e+02
3.718790880640079166e+01 6.568235294117647527e+02
3.755793617592696165e+01 6.659411764705882888e+02
3.793580923229645663e+01 6.936250000000000000e+02
3.829782656806155927e+01 7.306250000000000000e+02
3.865315950278650803e+01 7.193125000000000000e+02
3.901830970180436253e+01 7.435882352941176805e+02
3.937154677477515463e+01 7.611250000000000000e+02
3.973451736319234584e+01 7.723529411764706083e+02
4.009041448886217296e+01 8.579333333333332803e+02
4.045700437370926039e+01 8.717647058823529278e+02
4.081547633796911612e+01 9.067999999999999545e+02
4.116711665622139549e+01 8.927058823529412166e+02
4.153243602663183509e+01 9.847647058823529278e+02
4.190135268967101467e+01 9.678750000000000000e+02
4.225694403171050340e+01 1.027882352941176578e+03
4.263072221917273197e+01 1.112823529411764639e+03
4.298236812304300258e+01 1.027000000000000000e+03
4.335397244744854106e+01 1.266157894736842081e+03
4.370938581296284298e+01 1.114071428571428669e+03
4.408141282004845607e+01 1.355611111111111086e+03
4.442311195098108811e+01 1.215437500000000000e+03
4.474736345545046134e+01 1.307083333333333258e+03
4.513181037106932081e+01 1.382478260869565247e+03
4.550518791356464732e+01 1.425000000000000000e+03
4.587859612931388398e+01 1.429086956521739239e+03
4.626298575904075960e+01 1.436333333333333258e+03
4.659827357861271935e+01 1.438500000000000000e+03
4.695833007920350610e+01 1.570812500000000000e+03
4.732706300537589073e+01 1.368705882352941217e+03
4.768729047865042503e+01 1.670812500000000000e+03
4.804603123853006252e+01 1.300882352941176578e+03
4.839911688274412427e+01 1.604066666666666606e+03
4.876043263521199123e+01 1.420388888888888914e+03
4.912600027158417504e+01 1.479062500000000000e+03
4.948820129318639260e+01 1.423937500000000000e+03
4.985200348507563461e+01 1.382687500000000000e+03
5.021186646673336895e+01 1.335250000000000000e+03
5.056009585579234056e+01 1.392562500000000000e+03
5.092929928871412670e+01 1.213888888888888914e+03
5.129035769465544803e+01 1.249733333333333348e+03
5.164685043638609585e+01 1.252411764705882433e+03
5.201769573310133410e+01 1.139125000000000000e+03
5.238760095852538257e+01 1.125750000000000000e+03
5.273628981835555862e+01 1.085875000000000000e+03
5.309476049356305793e+01 1.009176470588235247e+03
5.345016124763998988e+01 1.000062500000000000e+03
5.381627393954912719e+01 9.399411764705882888e+02
5.418861012304124358e+01 9.249375000000000000e+02
5.455507675480509988e+01 8.931764705882352473e+02
5.490978944155331476e+01 8.711250000000000000e+02
5.527062247726589561e+01 8.170000000000000000e+02
5.563114682740363293e+01 8.230625000000000000e+02
5.601023261561899602e+01 7.853157894736841627e+02
5.636736094360470872e+01 7.853076923076922640e+02
5.670276624052125669e+01 7.682352941176470722e+02
5.708342660208528230e+01 7.300000000000000000e+02
5.743755150235368490e+01 7.468750000000000000e+02
5.781125925987439729e+01 7.170588235294117112e+02
5.818065824853643875e+01 7.043750000000000000e+02
5.852827955308822538e+01 7.150000000000000000e+02
5.888312669818119360e+01 7.278750000000000000e+02
5.924840814141190748e+01 7.138235294117647527e+02
5.961154974951115548e+01 7.166875000000000000e+02
5.996845703544695283e+01 6.961875000000000000e+02
6.032107613684184599e+01 6.941875000000000000e+02
6.067635033341284867e+01 7.121250000000000000e+02
6.103835741567128537e+01 7.055882352941176805e+02
6.140561065545576724e+01 7.459375000000000000e+02
6.177042045335986842e+01 7.308823529411764639e+02
6.213399215608534831e+01 7.153750000000000000e+02
6.248259002593690781e+01 7.351333333333333258e+02
6.284760485184366985e+01 7.880000000000000000e+02
6.324143716501277623e+01 7.351111111111110858e+02
6.359422694762883310e+01 8.053571428571428896e+02
6.391455316895247307e+01 7.940714285714285552e+02
6.427479584875267449e+01 7.627368421052631220e+02
6.466508569255833550e+01 8.566250000000000000e+02
6.502666580012007103e+01 7.949411764705882888e+02
6.539446369731982145e+01 8.230625000000000000e+02
6.574820320749168445e+01 8.413750000000000000e+02
6.610068040043485382e+01 8.886250000000000000e+02
6.645692095565500779e+01 8.463750000000000000e+02
6.681800687385491244e+01 8.732941176470587834e+02
6.719035107877287771e+01 8.658235294117647527e+02
6.755840506439764681e+01 8.780625000000000000e+02
6.790011856147869196e+01 9.023999999999999773e+02
6.826495417233978458e+01 9.040000000000000000e+02
6.864122356074808806e+01 8.813750000000000000e+02
6.899120487936832546e+01 9.161875000000000000e+02
6.934515837690105400e+01 8.733125000000000000e+02
6.970219057915214478e+01 9.104375000000000000e+02
7.006043201921525565e+01 8.701176470588235361e+02
