# angle I
-5.345013494957747469e+00 4.838333333333333144e+02
-5.045018388767892326e+00 4.795000000000000000e+02
-4.689203949978235642e+00 4.616250000000000000e+02
-4.333026410032358555e+00 4.501250000000000000e+02
-3.976512850060811122e+00 4.470625000000000000e+02
-3.619690506843096234e+00 4.469375000000000000e+02
-3.262586760556078769e+00 4.463125000000000000e+02
-2.904206446615597237e+00 4.456470588235293917e+02
-2.536625107857171102e+00 4.449444444444444571e+02
-2.169762540650015836e+00 4.466470588235293917e+02
-1.820546743112691601e+00 4.451250000000000000e+02
-1.464675008922181831e+00 4.394375000000000000e+02
-1.108690583851543510e+00 4.365625000000000000e+02
-7.526209769764011792e-01 4.391250000000000000e+02
-1.762194385507231675e-01 4.483333333333333144e+02
3.964937367391271339e-01 4.443125000000000000e+02
7.526209769764011792e-01 4.451250000000000000e+02
1.108690583851543510e+00 4.446875000000000000e+02
1.464675008922181831e+00 4.434375000000000000e+02
1.820546743112691601e+00 4.425000000000000000e+02
2.169762540650015836e+00 4.411176470588235361e+02
2.536625107857171102e+00 4.415555555555555429e+02
2.904206446615597237e+00 4.416470588235293917e+02
3.262586760556078769e+00 4.401875000000000000e+02
3.619690506843096234e+00 4.371875000000000000e+02
3.976512850060811122e+00 4.358125000000000000e+02
4.333026410032358555e+00 4.369375000000000000e+02
4.689203949978235642e+00 4.367500000000000000e+02
5.045018388767892326e+00 4.375000000000000000e+02
5.400442812991911090e+00 4.401250000000000000e+02
5.755450488841650447e+00 4.426875000000000000e+02
6.121346079378987781e+00 4.428823529411764639e+02
6.496668123211583712e+00 4.426470588235293917e+02
6.859015260005412173e+00 4.405625000000000000e+02
7.225286504036425583e+00 4.407058823529411598e+02
7.590197231644101095e+00 4.398125000000000000e+02
7.944261363996122149e+00 4.388750000000000000e+02
8.317826571389893786e+00 4.402222222222222285e+02
8.694031650506699904e+00 4.425625000000000000e+02
9.055537378374085122e+00 4.427647058823529278e+02
9.421497369287795465e+00 4.368666666666666742e+02
9.763407514716192281e+00 4.341250000000000000e+02
1.012575574675722834e+01 4.358823529411764639e+02
1.048819627135121557e+01 4.393125000000000000e+02
1.082670619925649369e+01 4.457333333333333485e+02
1.117815282102464103e+01 4.496470588235293917e+02
