# angle I
-5.345013494957747469e+00 6.395000000000000000e+02
-5.045018388767892326e+00 9.961875000000000000e+02
-4.689203949978235642e+00 8.805625000000000000e+02
-4.333026410032358555e+00 7.925625000000000000e+02
-3.976512850060811122e+00 7.729375000000000000e+02
-3.619690506843096234e+00 7.740625000000000000e+02
-3.262586760556078769e+00 7.687500000000000000e+02
-2.904206446615597237e+00 9.421764705882352473e+02
-2.536625107857171102e+00 9.237222222222221717e+02
-2.169762540650015836e+00 9.737058823529412166e+02
-1.820546743112691601e+00 1.040000000000000000e+03
-1.464675008922181831e+00 1.036187500000000000e+03
-1.108690583851543510e+00 9.935625000000000000e+02
-7.526209769764011792e-01 1.021062500000000000e+03
-1.762194385507231675e-01 1.209472222222222172e+03
3.964937367391271339e-01 1.103812500000000000e+03
7.526209769764011792e-01 1.124000000000000000e+03
1.108690583851543510e+00 1.166000000000000000e+03
1.464675008922181831e+00 1.204437500000000000e+03
1.820546743112691601e+00 1.193250000000000000e+03
2.169762540650015836e+00 1.091411764705882433e+03
2.536625107857171102e+00 1.066944444444444343e+03
2.904206446615597237e+00 1.123058823529411711e+03
3.262586760556078769e+00 7.855625000000000000e+02
3.619690506843096234e+00 7.449375000000000000e+02
3.976512850060811122e+00 7.420625000000000000e+02
4.333026410032358555e+00 7.755625000000000000e+02
4.689203949978235642e+00 8.000625000000000000e+02
5.045018388767892326e+00 7.970625000000000000e+02
5.400442812991911090e+00 7.820000000000000000e+02
5.755450488841650447e+00 7.773125000000000000e+02
6.121346079378987781e+00 8.904705882352941444e+02
6.496668123211583712e+00 8.581176470588235361e+02
6.859015260005412173e+00 7.021875000000000000e+02
7.225286504036425583e+00 8.066470588235293917e+02
7.590197231644101095e+00 7.742500000000000000e+02
7.944261363996122149e+00 7.484375000000000000e+02
8.317826571389893786e+00 7.562777777777778283e+02
8.694031650506699904e+00 8.168750000000000000e+02
9.055537378374085122e+00 8.608823529411764639e+02
9.421497369287795465e+00 7.524666666666666970e+02
9.763407514716192281e+00 7.340000000000000000e+02
1.012575574675722834e+01 7.226470588235293917e+02
1.048819627135121557e+01 7.460000000000000000e+02
1.082670619925649369e+01 8.480666666666667197e+02
1.117815282102464103e+01 9.022352941176470722e+02
1.155253435339616530e+01 7.105294117647058556e+02
1.191343590158883536e+01 6.729375000000000000e+02
1.226267284651528833e+01 6.439375000000000000e+02
1.262280932778145370e+01 6.302941176470587834e+02
1.297953919419553870e+01 6.668125000000000000e+02
1.335482213221673931e+01 6.351764705882352473e+02
1.372408791116629168e+01 6.614705882352941444e+02
1.409901987699426762e+01 7.744444444444444571e+02
1.446083602812778324e+01 6.757333333333333485e+02
1.481730709028705206e+01 7.707500000000000000e+02
1.517173449838404942e+01 7.009411764705882888e+02
1.551811551146366774e+01 6.362666666666666515e+02
1.589641250683601470e+01 7.355555555555555429e+02
1.627339110809699463e+01 7.361333333333333258e+02
1.662011968575146881e+01 7.198235294117647527e+02
1.697835480865197155e+01 6.942500000000000000e+02
1.734199584128202787e+01 6.793125000000000000e+02
1.770553895594225224e+01 6.812352941176470722e+02
1.807130326400313081e+01 6.374117647058823195e+02
1.843465442894936857e+01 6.235333333333333030e+02
1.878096222119318170e+01 6.327500000000000000e+02
1.913659987323090306e+01 6.078235294117647527e+02
1.950514123753502460e+01 6.075625000000000000e+02
1.986330730459379268e+01 6.370625000000000000e+02
2.022073492801051842e+01 6.617058823529412166e+02
2.058710680632741230e+01 6.497500000000000000e+02
2.094314887247101353e+01 6.415625000000000000e+02
2.130438054981574680e+01 6.213529411764706083e+02
2.167905111950058483e+01 5.982941176470587834e+02
2.204560599318464398e+01 5.972500000000000000e+02
