# angle I
-5.345013494957747469e+00 4.041833333333333485e+03
-5.045018388767892326e+00 3.132750000000000000e+03
-4.689203949978235642e+00 3.094250000000000000e+03
-4.333026410032358555e+00 3.046312500000000000e+03
-3.976512850060811122e+00 3.000562500000000000e+03
-3.619690506843096234e+00 2.994312500000000000e+03
-3.262586760556078769e+00 3.042250000000000000e+03
-2.904206446615597237e+00 2.927117647058823422e+03
-2.536625107857171102e+00 3.020666666666666515e+03
-2.169762540650015836e+00 2.922705882352940989e+03
-1.820546743112691601e+00 2.954375000000000000e+03
-1.464675008922181831e+00 2.971187500000000000e+03
-1.108690583851543510e+00 3.001750000000000000e+03
-7.526209769764011792e-01 3.011375000000000000e+03
-1.762194385507231675e-01 2.575722222222222172e+03
3.964937367391271339e-01 2.952500000000000000e+03
7.526209769764011792e-01 2.913000000000000000e+03
1.108690583851543510e+00 2.945000000000000000e+03
1.464675008922181831e+00 2.981437500000000000e+03
1.820546743112691601e+00 2.918187500000000000e+03
2.169762540650015836e+00 2.842705882352940989e+03
2.536625107857171102e+00 2.941555555555555657e+03
2.904206446615597237e+00 2.886235294117646845e+03
3.262586760556078769e+00 3.138625000000000000e+03
3.619690506843096234e+00 3.227687500000000000e+03
3.976512850060811122e+00 3.175187500000000000e+03
4.333026410032358555e+00 3.097875000000000000e+03
4.689203949978235642e+00 3.029500000000000000e+03
5.045018388767892326e+00 2.952562500000000000e+03
5.400442812991911090e+00 2.913187500000000000e+03
5.755450488841650447e+00 2.910937500000000000e+03
6.121346079378987781e+00 2.740705882352940989e+03
6.496668123211583712e+00 2.687823529411764866e+03
6.859015260005412173e+00 2.943375000000000000e+03
7.225286504036425583e+00 2.758647058823529278e+03
7.590197231644101095e+00 2.848437500000000000e+03
7.944261363996122149e+00 2.797937500000000000e+03
8.317826571389893786e+00 2.726111111111111313e+03
8.694031650506699904e+00 2.737875000000000000e+03
9.055537378374085122e+00 2.633764705882353155e+03
9.421497369287795465e+00 2.897800000000000182e+03
9.763407514716192281e+00 2.832625000000000000e+03
1.012575574675722834e+01 2.722176470588235134e+03
1.048819627135121557e+01 2.806687500000000000e+03
1.082670619925649369e+01 2.741266666666666879e+03
1.117815282102464103e+01 2.637647058823529278e+03
1.155253435339616530e+01 2.836235294117646845e+03
1.191343590158883536e+01 2.732937500000000000e+03
1.226267284651528833e+01 2.771250000000000000e+03
1.262280932778145370e+01 2.670000000000000000e+03
1.297953919419553870e+01 2.661937500000000000e+03
1.335482213221673931e+01 2.762176470588235134e+03
1.372408791116629168e+01 2.768588235294117567e+03
1.409901987699426762e+01 2.441111111111111313e+03
1.446083602812778324e+01 2.735466666666666697e+03
1.481730709028705206e+01 2.539687500000000000e+03
1.517173449838404942e+01 2.536647058823529278e+03
1.551811551146366774e+01 2.677333333333333485e+03
1.589641250683601470e+01 2.552333333333333485e+03
1.627339110809699463e+01 2.588066666666666606e+03
1.662011968575146881e+01 2.463529411764705856e+03
1.697835480865197155e+01 2.488812500000000000e+03
1.734199584128202787e+01 2.699812500000000000e+03
1.770553895594225224e+01 2.611411764705882433e+03
1.807130326400313081e+01 2.439117647058823422e+03
1.843465442894936857e+01 2.578133333333333212e+03
1.878096222119318170e+01 2.459187500000000000e+03
1.913659987323090306e+01 2.354058823529411711e+03
1.950514123753502460e+01 2.585062500000000000e+03
1.986330730459379268e+01 2.592937500000000000e+03
2.022073492801051842e+01 2.446588235294117567e+03
2.058710680632741230e+01 2.383437500000000000e+03
2.094314887247101353e+01 2.449500000000000000e+03
2.130438054981574680e+01 2.364588235294117567e+03
2.167905111950058483e+01 2.497941176470588289e+03
2.204560599318464398e+01 2.472500000000000000e+03
2.239682653882750429e+01 2.583312500000000000e+03
2.275363822822428617e+01 2.616562500000000000e+03
2.312793991557033380e+01 2.470833333333333485e+03
2.349935112218316746e+01 2.467312500000000000e+03
2.385416066626844156e+01 2.455312500000000000e+03
2.420834365316106940e+01 2.297375000000000000e+03
2.455857028755591998e+01 2.732687500000000000e+03
2.493091152744412042e+01 2.343352941176470722e+03
2.527483223733344175e+01 2.433000000000000000e+03
2.563425652252228559e+01 2.464187500000000000e+03
2.601672385617668581e+01 2.377550000000000182e+03
2.640577305237117756e+01 2.391857142857142662e+03
2.671930330674172893e+01 2.319666666666666515e+03
2.707089648078908084e+01 2.221562500000000000e+03
2.745202761316002693e+01 2.517210526315789593e+03
2.782921475418621426e+01 2.429599999999999909e+03
2.818807885309087169e+01 2.146470588235294144e+03
2.854806482795782330e+01 2.468062500000000000e+03
2.889549902919376478e+01 2.461533333333333303e+03
2.924727850905018656e+01 2.275294117647059011e+03
2.961173747369430131e+01 2.385375000000000000e+03
2.997762869486751214e+01 2.295176470588235134e+03
3.034381575091571293e+01 2.383812500000000000e+03
3.069637995846956002e+01 2.409875000000000000e+03
3.104821642274215066e+01 2.403562500000000000e+03
3.141729887792190112e+01 2.312529411764705856e+03
3.177492433466741772e+01 2.289937500000000000e+03
3.214626355577831163e+01 2.212647058823529278e+03
3.251675605723034579e+01 2.477625000000000000e+03
3.287487621126714288e+01 2.466000000000000000e+03
3.322782418636403889e+01 2.211800000000000182e+03
3.358790561082158632e+01 2.470529411764705856e+03
3.397104670879200228e+01 2.252823529411764866e+03
3.430972963393656272e+01 2.614533333333333303e+03
3.467331300415371231e+01 2.451529411764705856e+03
