# angle I
-5.345013494957747469e+00 2.425333333333333485e+03
-5.045018388767892326e+00 2.242937500000000000e+03
-4.689203949978235642e+00 2.162375000000000000e+03
-4.333026410032358555e+00 2.096687500000000000e+03
-3.976512850060811122e+00 2.066625000000000000e+03
-3.619690506843096234e+00 2.071250000000000000e+03
-3.262586760556078769e+00 2.080062500000000000e+03
-2.904206446615597237e+00 1.973705882352941217e+03
-2.536625107857171102e+00 2.042388888888888914e+03
-2.169762540650015836e+00 1.976352941176470495e+03
-1.820546743112691601e+00 2.053500000000000000e+03
-1.464675008922181831e+00 2.054750000000000000e+03
-1.108690583851543510e+00 2.065875000000000000e+03
-7.526209769764011792e-01 2.073187500000000000e+03
-1.762194385507231675e-01 1.960305555555555657e+03
3.964937367391271339e-01 2.053062500000000000e+03
7.526209769764011792e-01 2.043250000000000000e+03
1.108690583851543510e+00 2.050000000000000000e+03
1.464675008922181831e+00 2.072312500000000000e+03
1.820546743112691601e+00 2.074687500000000000e+03
2.169762540650015836e+00 1.974705882352941217e+03
2.536625107857171102e+00 2.042500000000000000e+03
2.904206446615597237e+00 1.976941176470588289e+03
3.262586760556078769e+00 2.083250000000000000e+03
3.619690506843096234e+00 2.078125000000000000e+03
3.976512850060811122e+00 2.063000000000000000e+03
4.333026410032358555e+00 2.048687500000000000e+03
4.689203949978235642e+00 2.044187500000000000e+03
5.045018388767892326e+00 2.037437500000000000e+03
5.400442812991911090e+00 2.026937500000000000e+03
5.755450488841650447e+00 2.037125000000000000e+03
6.121346079378987781e+00 1.951176470588235361e+03
6.496668123211583712e+00 1.939647058823529505e+03
6.859015260005412173e+00 2.031750000000000000e+03
7.225286504036425583e+00 1.937176470588235361e+03
7.590197231644101095e+00 2.025125000000000000e+03
7.944261363996122149e+00 2.032000000000000000e+03
8.317826571389893786e+00 2.013888888888888914e+03
8.694031650506699904e+00 1.988500000000000000e+03
9.055537378374085122e+00 1.913000000000000000e+03
9.421497369287795465e+00 2.080266666666666879e+03
9.763407514716192281e+00 2.004312500000000000e+03
1.012575574675722834e+01 1.957588235294117567e+03
1.048819627135121557e+01 1.979062500000000000e+03
1.082670619925649369e+01 1.980200000000000045e+03
1.117815282102464103e+01 1.888058823529411711e+03
1.155253435339616530e+01 2.016941176470588289e+03
1.191343590158883536e+01 1.985187500000000000e+03
1.226267284651528833e+01 2.008750000000000000e+03
1.262280932778145370e+01 1.968882352941176578e+03
1.297953919419553870e+01 1.969687500000000000e+03
1.335482213221673931e+01 2.001352941176470495e+03
1.372408791116629168e+01 2.021705882352941217e+03
1.409901987699426762e+01 1.825333333333333258e+03
1.446083602812778324e+01 2.023266666666666652e+03
1.481730709028705206e+01 1.923812500000000000e+03
1.517173449838404942e+01 1.932176470588235361e+03
1.551811551146366774e+01 2.059400000000000091e+03
1.589641250683601470e+01 1.962000000000000000e+03
1.627339110809699463e+01 2.031933333333333394e+03
1.662011968575146881e+01 1.904235294117647072e+03
1.697835480865197155e+01 1.897062500000000000e+03
1.734199584128202787e+01 2.032812500000000000e+03
1.770553895594225224e+01 1.940176470588235361e+03
1.807130326400313081e+01 1.822470588235294144e+03
1.843465442894936857e+01 1.909066666666666606e+03
1.878096222119318170e+01 1.821500000000000000e+03
1.913659987323090306e+01 1.788235294117647072e+03
1.950514123753502460e+01 1.950500000000000000e+03
1.986330730459379268e+01 1.980562500000000000e+03
2.022073492801051842e+01 1.911588235294117567e+03
2.058710680632741230e+01 1.907875000000000000e+03
2.094314887247101353e+01 1.957437500000000000e+03
2.130438054981574680e+01 1.792058823529411711e+03
2.167905111950058483e+01 1.897588235294117567e+03
2.204560599318464398e+01 1.802562500000000000e+03
2.239682653882750429e+01 1.909125000000000000e+03
2.275363822822428617e+01 1.979000000000000000e+03
2.312793991557033380e+01 1.798833333333333258e+03
2.349935112218316746e+01 1.875250000000000000e+03
2.385416066626844156e+01 1.899187500000000000e+03
2.420834365316106940e+01 1.737250000000000000e+03
2.455857028755591998e+01 2.028125000000000000e+03
2.493091152744412042e+01 1.711647058823529505e+03
2.527483223733344175e+01 1.767000000000000000e+03
2.563425652252228559e+01 1.794000000000000000e+03
2.601672385617668581e+01 1.841500000000000000e+03
2.640577305237117756e+01 1.856071428571428669e+03
2.671930330674172893e+01 1.779066666666666606e+03
2.707089648078908084e+01 1.731250000000000000e+03
2.745202761316002693e+01 1.930210526315789366e+03
2.782921475418621426e+01 1.842133333333333439e+03
2.818807885309087169e+01 1.665000000000000000e+03
2.854806482795782330e+01 1.911312500000000000e+03
2.889549902919376478e+01 1.905799999999999955e+03
2.924727850905018656e+01 1.762764705882352928e+03
2.961173747369430131e+01 1.856875000000000000e+03
2.997762869486751214e+01 1.778529411764705856e+03
3.034381575091571293e+01 1.835875000000000000e+03
3.069637995846956002e+01 1.846812500000000000e+03
3.104821642274215066e+01 1.864375000000000000e+03
3.141729887792190112e+01 1.799235294117647072e+03
3.177492433466741772e+01 1.801687500000000000e+03
3.214626355577831163e+01 1.715235294117647072e+03
3.251675605723034579e+01 1.965375000000000000e+03
3.287487621126714288e+01 1.910470588235294144e+03
3.322782418636403889e+01 1.772733333333333348e+03
3.358790561082158632e+01 1.918058823529411711e+03
3.397104670879200228e+01 1.714117647058823422e+03
3.430972963393656272e+01 1.952933333333333394e+03
3.467331300415371231e+01 1.889352941176470495e+03
3.504488555086337698e+01 1.805125000000000000e+03
3.541363622899447705e+01 1.792722222222222172e+03
3.577692547683867730e+01 1.840333333333333258e+03
3.613001053112260763e+01 1.823750000000000000e+03
3.648202563062135084e+01 1.851625000000000000e+03
3.682962937910751577e+01 1.868750000000000000e+03
3.718790880640079166e+01 1.802176470588235361e+03
3.755793617592696165e+01 1.795705882352941217e+03
3.793580923229645663e+01 1.871437500000000000e+03
3.829782656806155927e+01 1.942125000000000000e+03
3.865315950278650803e+01 1.764000000000000000e+03
3.901830970180436253e+01 1.785176470588235361e+03
3.937154677477515463e+01 1.853375000000000000e+03
3.973451736319234584e+01 1.664411764705882433e+03
4.009041448886217296e+01 1.938799999999999955e+03
4.045700437370926039e+01 1.835470588235294144e+03
4.081547633796911612e+01 1.887799999999999955e+03
4.116711665622139549e+01 1.774176470588235361e+03
4.153243602663183509e+01 1.923000000000000000e+03
4.190135268967101467e+01 1.725125000000000000e+03
4.225694403171050340e+01 1.857647058823529505e+03
4.263072221917273197e+01 1.865529411764705856e+03
4.298236812304300258e+01 1.639466666666666697e+03
4.335397244744854106e+01 1.999894736842105203e+03
4.370938581296284298e+01 1.586000000000000000e+03
4.408141282004845607e+01 2.042166666666666742e+03
4.442311195098108811e+01 1.576625000000000000e+03
4.474736345545046134e+01 1.761000000000000000e+03
