# angle I
-5.345013494957747469e+00 4.309333333333333030e+03
-5.045018388767892326e+00 4.302125000000000000e+03
-4.689203949978235642e+00 4.113937500000000000e+03
-4.333026410032358555e+00 3.973812500000000000e+03
-3.976512850060811122e+00 4.006250000000000000e+03
-3.619690506843096234e+00 4.131062500000000000e+03
-3.262586760556078769e+00 4.212500000000000000e+03
-2.904206446615597237e+00 4.071941176470588289e+03
-2.536625107857171102e+00 4.257555555555555657e+03
-2.169762540650015836e+00 4.337647058823529733e+03
-1.820546743112691601e+00 4.529437500000000000e+03
-1.464675008922181831e+00 4.553187500000000000e+03
-1.108690583851543510e+00 4.559187500000000000e+03
-7.526209769764011792e-01 4.593562500000000000e+03
-1.762194385507231675e-01 4.520194444444444343e+03
3.964937367391271339e-01 4.657750000000000000e+03
7.526209769764011792e-01 4.660000000000000000e+03
1.108690583851543510e+00 4.647437500000000000e+03
1.464675008922181831e+00 4.469312500000000000e+03
1.820546743112691601e+00 4.247250000000000000e+03
2.169762540650015836e+00 4.016470588235294144e+03
2.536625107857171102e+00 4.141888888888888687e+03
2.904206446615597237e+00 4.164941176470588289e+03
3.262586760556078769e+00 4.227062500000000000e+03
3.619690506843096234e+00 4.003750000000000000e+03
3.976512850060811122e+00 3.913562500000000000e+03
4.333026410032358555e+00 3.868875000000000000e+03
4.689203949978235642e+00 3.848437500000000000e+03
5.045018388767892326e+00 3.789312500000000000e+03
5.400442812991911090e+00 3.650187500000000000e+03
5.755450488841650447e+00 3.547062500000000000e+03
6.121346079378987781e+00 3.320470588235294144e+03
6.496668123211583712e+00 3.343411764705882433e+03
6.859015260005412173e+00 3.586000000000000000e+03
7.225286504036425583e+00 3.368588235294117567e+03
7.590197231644101095e+00 3.409812500000000000e+03
7.944261363996122149e+00 3.344250000000000000e+03
8.317826571389893786e+00 3.231388888888888687e+03
8.694031650506699904e+00 3.170437500000000000e+03
9.055537378374085122e+00 3.096588235294117567e+03
9.421497369287795465e+00 3.242533333333333303e+03
9.763407514716192281e+00 3.058062500000000000e+03
1.012575574675722834e+01 2.975705882352940989e+03
1.048819627135121557e+01 2.915750000000000000e+03
1.082670619925649369e+01 2.920800000000000182e+03
1.117815282102464103e+01 2.873705882352940989e+03
1.155253435339616530e+01 2.889294117647059011e+03
1.191343590158883536e+01 2.733625000000000000e+03
1.226267284651528833e+01 2.699187500000000000e+03
1.262280932778145370e+01 2.703058823529411711e+03
1.297953919419553870e+01 2.612250000000000000e+03
1.335482213221673931e+01 2.532176470588235134e+03
1.372408791116629168e+01 2.603235294117646845e+03
1.409901987699426762e+01 2.468000000000000000e+03
1.446083602812778324e+01 2.755199999999999818e+03
