# angle I
-5.345013494957747469e+00 1.469333333333333258e+03
-5.045018388767892326e+00 2.061625000000000000e+03
-4.689203949978235642e+00 2.014312500000000000e+03
-4.333026410032358555e+00 1.997187500000000000e+03
-3.976512850060811122e+00 2.027000000000000000e+03
-3.619690506843096234e+00 2.083062500000000000e+03
-3.262586760556078769e+00 2.117437500000000000e+03
-2.904206446615597237e+00 2.034058823529411711e+03
-2.536625107857171102e+00 2.047444444444444343e+03
-2.169762540650015836e+00 2.044529411764705856e+03
-1.820546743112691601e+00 2.147500000000000000e+03
-1.464675008922181831e+00 2.181062500000000000e+03
-1.108690583851543510e+00 2.215187500000000000e+03
-7.526209769764011792e-01 2.226312500000000000e+03
-1.762194385507231675e-01 2.423555555555555657e+03
3.964937367391271339e-01 2.203187500000000000e+03
7.526209769764011792e-01 2.170250000000000000e+03
1.108690583851543510e+00 2.128312500000000000e+03
1.464675008922181831e+00 2.087687500000000000e+03
1.820546743112691601e+00 2.053125000000000000e+03
2.169762540650015836e+00 1.955470588235294144e+03
2.536625107857171102e+00 1.956222222222222172e+03
2.904206446615597237e+00 1.917117647058823422e+03
3.262586760556078769e+00 1.971062500000000000e+03
3.619690506843096234e+00 1.933625000000000000e+03
3.976512850060811122e+00 1.891187500000000000e+03
4.333026410032358555e+00 1.860687500000000000e+03
4.689203949978235642e+00 1.825562500000000000e+03
5.045018388767892326e+00 1.766062500000000000e+03
5.400442812991911090e+00 1.711000000000000000e+03
5.755450488841650447e+00 1.684750000000000000e+03
6.121346079378987781e+00 1.608176470588235361e+03
6.496668123211583712e+00 1.598529411764705856e+03
6.859015260005412173e+00 1.640000000000000000e+03
7.225286504036425583e+00 1.583764705882352928e+03
7.590197231644101095e+00 1.599375000000000000e+03
7.944261363996122149e+00 1.576875000000000000e+03
8.317826571389893786e+00 1.546388888888888914e+03
8.694031650506699904e+00 1.499750000000000000e+03
9.055537378374085122e+00 1.462705882352941217e+03
9.421497369287795465e+00 1.497133333333333439e+03
9.763407514716192281e+00 1.435125000000000000e+03
1.012575574675722834e+01 1.433941176470588289e+03
1.048819627135121557e+01 1.385250000000000000e+03
1.082670619925649369e+01 1.400933333333333394e+03
1.117815282102464103e+01 1.368352941176470495e+03
1.155253435339616530e+01 1.358941176470588289e+03
1.191343590158883536e+01 1.321562500000000000e+03
1.226267284651528833e+01 1.307125000000000000e+03
1.262280932778145370e+01 1.312823529411764639e+03
1.297953919419553870e+01 1.270562500000000000e+03
1.335482213221673931e+01 1.255882352941176578e+03
1.372408791116629168e+01 1.273705882352941217e+03
1.409901987699426762e+01 1.215333333333333258e+03
1.446083602812778324e+01 1.253799999999999955e+03
1.481730709028705206e+01 1.188062500000000000e+03
1.517173449838404942e+01 1.194823529411764639e+03
1.551811551146366774e+01 1.206599999999999909e+03
1.589641250683601470e+01 1.163166666666666742e+03
1.627339110809699463e+01 1.198533333333333303e+03
1.662011968575146881e+01 1.173000000000000000e+03
1.697835480865197155e+01 1.139312500000000000e+03
1.734199584128202787e+01 1.166562500000000000e+03
1.770553895594225224e+01 1.139235294117647072e+03
1.807130326400313081e+01 1.120823529411764639e+03
1.843465442894936857e+01 1.132000000000000000e+03
1.878096222119318170e+01 1.090937500000000000e+03
1.913659987323090306e+01 1.090647058823529505e+03
1.950514123753502460e+01 1.120625000000000000e+03
1.986330730459379268e+01 1.103000000000000000e+03
2.022073492801051842e+01 1.051529411764705856e+03
2.058710680632741230e+01 1.074562500000000000e+03
2.094314887247101353e+01 1.079812500000000000e+03
2.130438054981574680e+01 1.001941176470588289e+03
2.167905111950058483e+01 1.060117647058823422e+03
2.204560599318464398e+01 1.013687500000000000e+03
2.239682653882750429e+01 1.068937500000000000e+03
2.275363822822428617e+01 1.086125000000000000e+03
2.312793991557033380e+01 9.994444444444444571e+02
2.349935112218316746e+01 1.048625000000000000e+03
2.385416066626844156e+01 1.043500000000000000e+03
2.420834365316106940e+01 9.890000000000000000e+02
2.455857028755591998e+01 1.079000000000000000e+03
2.493091152744412042e+01 9.954117647058823195e+02
2.527483223733344175e+01 9.794666666666666970e+02
2.563425652252228559e+01 9.771875000000000000e+02
2.601672385617668581e+01 1.022200000000000045e+03
2.640577305237117756e+01 1.012071428571428555e+03
2.671930330674172893e+01 9.773999999999999773e+02
2.707089648078908084e+01 9.766875000000000000e+02
2.745202761316002693e+01 1.002157894736842081e+03
2.782921475418621426e+01 9.694666666666666970e+02
2.818807885309087169e+01 9.399411764705882888e+02
2.854806482795782330e+01 1.025875000000000000e+03
2.889549902919376478e+01 9.926666666666666288e+02
2.924727850905018656e+01 9.431176470588235361e+02
2.961173747369430131e+01 9.726875000000000000e+02
2.997762869486751214e+01 9.405882352941176805e+02
3.034381575091571293e+01 9.646250000000000000e+02
3.069637995846956002e+01 9.797500000000000000e+02
3.104821642274215066e+01 9.835625000000000000e+02
3.141729887792190112e+01 9.608823529411764639e+02
3.177492433466741772e+01 9.855000000000000000e+02
3.214626355577831163e+01 9.525882352941176805e+02
3.251675605723034579e+01 1.020000000000000000e+03
3.287487621126714288e+01 9.634117647058823195e+02
3.322782418636403889e+01 9.592000000000000455e+02
3.358790561082158632e+01 9.905882352941176805e+02
3.397104670879200228e+01 9.432352941176470722e+02
3.430972963393656272e+01 9.777999999999999545e+02
3.467331300415371231e+01 9.851764705882352473e+02
3.504488555086337698e+01 9.703125000000000000e+02
3.541363622899447705e+01 9.572222222222221717e+02
3.577692547683867730e+01 9.837999999999999545e+02
3.613001053112260763e+01 9.817500000000000000e+02
3.648202563062135084e+01 9.878125000000000000e+02
3.682962937910751577e+01 9.887500000000000000e+02
3.718790880640079166e+01 9.812941176470587834e+02
3.755793617592696165e+01 9.762941176470587834e+02
3.793580923229645663e+01 1.034375000000000000e+03
3.829782656806155927e+01 1.022750000000000000e+03
3.865315950278650803e+01 9.795625000000000000e+02
3.901830970180436253e+01 9.966470588235293917e+02
3.937154677477515463e+01 1.007250000000000000e+03
3.973451736319234584e+01 9.908235294117647527e+02
4.009041448886217296e+01 1.064466666666666697e+03
4.045700437370926039e+01 1.050176470588235361e+03
4.081547633796911612e+01 1.046200000000000045e+03
4.116711665622139549e+01 1.024588235294117567e+03
4.153243602663183509e+01 1.018823529411764753e+03
4.190135268967101467e+01 1.029562500000000000e+03
4.225694403171050340e+01 9.757647058823529278e+02
4.263072221917273197e+01 1.101588235294117567e+03
4.298236812304300258e+01 9.703999999999999773e+02
4.335397244744854106e+01 1.154526315789473756e+03
4.370938581296284298e+01 9.860000000000000000e+02
4.408141282004845607e+01 1.093444444444444343e+03
4.442311195098108811e+01 1.006312500000000000e+03
4.474736345545046134e+01 1.028666666666666742e+03
4.513181037106932081e+01 1.060913043478260761e+03
4.550518791356464732e+01 1.089181818181818244e+03
4.587859612931388398e+01 1.060608695652173992e+03
4.626298575904075960e+01 1.034416666666666742e+03
4.659827357861271935e+01 1.053666666666666742e+03
4.695833007920350610e+01 1.053187500000000000e+03
4.732706300537589073e+01 9.891764705882352473e+02
4.768729047865042503e+01 1.098312500000000000e+03
4.804603123853006252e+01 9.364117647058823195e+02
4.839911688274412427e+01 1.114333333333333258e+03
4.876043263521199123e+01 9.917777777777778283e+02
4.912600027158417504e+01 1.076750000000000000e+03
4.948820129318639260e+01 1.024187500000000000e+03
4.985200348507563461e+01 1.037062500000000000e+03
5.021186646673336895e+01 1.019062500000000000e+03
5.056009585579234056e+01 1.055562500000000000e+03
5.092929928871412670e+01 9.740555555555555429e+02
5.129035769465544803e+01 1.012933333333333280e+03
5.164685043638609585e+01 1.035235294117647072e+03
5.201769573310133410e+01 1.020187500000000000e+03
5.238760095852538257e+01 1.028812500000000000e+03
5.273628981835555862e+01 1.040562500000000000e+03
5.309476049356305793e+01 1.000823529411764753e+03
5.345016124763998988e+01 1.012875000000000000e+03
5.381627393954912719e+01 9.852352941176470722e+02
5.418861012304124358e+01 1.003000000000000000e+03
5.455507675480509988e+01 1.004529411764705856e+03
5.490978944155331476e+01 1.029062500000000000e+03
5.527062247726589561e+01 1.006875000000000000e+03
5.563114682740363293e+01 1.030062500000000000e+03
5.601023261561899602e+01 9.805263157894736423e+02
5.636736094360470872e+01 1.016769230769230717e+03
5.670276624052125669e+01 1.019235294117647072e+03
5.708342660208528230e+01 9.782352941176470722e+02
5.743755150235368490e+01 9.853125000000000000e+02
5.781125925987439729e+01 1.005000000000000000e+03
5.818065824853643875e+01 9.923125000000000000e+02
5.852827955308822538e+01 1.019687500000000000e+03
5.888312669818119360e+01 1.034375000000000000e+03
5.924840814141190748e+01 1.010705882352941217e+03
5.961154974951115548e+01 1.031187500000000000e+03
5.996845703544695283e+01 1.009312500000000000e+03
6.032107613684184599e+01 9.890625000000000000e+02
6.067635033341284867e+01 9.878750000000000000e+02
6.103835741567128537e+01 9.471176470588235361e+02
6.140561065545576724e+01 1.038750000000000000e+03
6.177042045335986842e+01 1.014058823529411711e+03
6.213399215608534831e+01 9.749375000000000000e+02
6.248259002593690781e+01 9.871333333333333258e+02
6.284760485184366985e+01 1.040666666666666742e+03
6.324143716501277623e+01 9.738888888888889142e+02
6.359422694762883310e+01 1.025000000000000000e+03
6.391455316895247307e+01 1.034142857142857110e+03
6.427479584875267449e+01 9.766842105263158373e+02
6.466508569255833550e+01 1.082562500000000000e+03
6.502666580012007103e+01 9.742941176470587834e+02
6.539446369731982145e+01 1.019937500000000000e+03
6.574820320749168445e+01 1.027750000000000000e+03
6.610068040043485382e+01 1.015187500000000000e+03
6.645692095565500779e+01 9.722500000000000000e+02
6.681800687385491244e+01 1.009235294117647072e+03
6.719035107877287771e+01 9.925882352941176805e+02
6.755840506439764681e+01 9.785000000000000000e+02
6.790011856147869196e+01 1.009866666666666674e+03
6.826495417233978458e+01 1.005055555555555543e+03
6.864122356074808806e+01 9.978750000000000000e+02
