# angle I
-5.345013494957747469e+00 4.677500000000000000e+03
-5.045018388767892326e+00 3.244625000000000000e+03
-4.689203949978235642e+00 3.418875000000000000e+03
-4.333026410032358555e+00 3.423125000000000000e+03
-3.976512850060811122e+00 3.340812500000000000e+03
-3.619690506843096234e+00 3.399687500000000000e+03
-3.262586760556078769e+00 3.626687500000000000e+03
-2.904206446615597237e+00 3.664647058823529278e+03
-2.536625107857171102e+00 3.806333333333333485e+03
-2.169762540650015836e+00 3.868941176470588289e+03
-1.820546743112691601e+00 3.690875000000000000e+03
-1.464675008922181831e+00 3.785125000000000000e+03
-1.108690583851543510e+00 3.882437500000000000e+03
-7.526209769764011792e-01 3.939687500000000000e+03
-1.762194385507231675e-01 3.019388888888888687e+03
3.964937367391271339e-01 4.108125000000000000e+03
7.526209769764011792e-01 4.173562500000000000e+03
1.108690583851543510e+00 4.132500000000000000e+03
1.464675008922181831e+00 4.039500000000000000e+03
1.820546743112691601e+00 3.872500000000000000e+03
2.169762540650015836e+00 3.861647058823529278e+03
2.536625107857171102e+00 3.614111111111111313e+03
2.904206446615597237e+00 3.573294117647059011e+03
3.262586760556078769e+00 3.726250000000000000e+03
3.619690506843096234e+00 3.816687500000000000e+03
3.976512850060811122e+00 3.990437500000000000e+03
4.333026410032358555e+00 3.886812500000000000e+03
4.689203949978235642e+00 3.528250000000000000e+03
5.045018388767892326e+00 3.127187500000000000e+03
5.400442812991911090e+00 2.824312500000000000e+03
5.755450488841650447e+00 2.636125000000000000e+03
6.121346079378987781e+00 2.412117647058823422e+03
6.496668123211583712e+00 2.294294117647059011e+03
6.859015260005412173e+00 2.468687500000000000e+03
7.225286504036425583e+00 2.357294117647059011e+03
7.590197231644101095e+00 2.385875000000000000e+03
7.944261363996122149e+00 2.364812500000000000e+03
8.317826571389893786e+00 2.228555555555555657e+03
8.694031650506699904e+00 2.167812500000000000e+03
9.055537378374085122e+00 2.035411764705882433e+03
9.421497369287795465e+00 2.101266666666666879e+03
9.763407514716192281e+00 2.054875000000000000e+03
1.012575574675722834e+01 1.856117647058823422e+03
1.048819627135121557e+01 1.733562500000000000e+03
1.082670619925649369e+01 1.552733333333333348e+03
1.117815282102464103e+01 1.522411764705882433e+03
1.155253435339616530e+01 1.593176470588235361e+03
1.191343590158883536e+01 1.559062500000000000e+03
1.226267284651528833e+01 1.471812500000000000e+03
1.262280932778145370e+01 1.369352941176470495e+03
1.297953919419553870e+01 1.367312500000000000e+03
1.335482213221673931e+01 1.539882352941176578e+03
1.372408791116629168e+01 1.453647058823529505e+03
1.409901987699426762e+01 1.300444444444444343e+03
1.446083602812778324e+01 1.317133333333333439e+03
1.481730709028705206e+01 1.212187500000000000e+03
1.517173449838404942e+01 1.226470588235294144e+03
