# angle I
-5.345013494957747469e+00 6.712166666666666970e+03
-5.045018388767892326e+00 5.433125000000000000e+03
-4.689203949978235642e+00 5.414500000000000000e+03
-4.333026410032358555e+00 5.498437500000000000e+03
-3.976512850060811122e+00 5.643875000000000000e+03
-3.619690506843096234e+00 5.784687500000000000e+03
-3.262586760556078769e+00 5.913250000000000000e+03
-2.904206446615597237e+00 5.752705882352941444e+03
-2.536625107857171102e+00 6.041333333333333030e+03
-2.169762540650015836e+00 6.030764705882353155e+03
-1.820546743112691601e+00 6.149875000000000000e+03
-1.464675008922181831e+00 6.204937500000000000e+03
-1.108690583851543510e+00 6.233125000000000000e+03
-7.526209769764011792e-01 6.250937500000000000e+03
-1.762194385507231675e-01 5.526083333333333030e+03
3.964937367391271339e-01 6.231812500000000000e+03
7.526209769764011792e-01 6.215312500000000000e+03
1.108690583851543510e+00 6.151875000000000000e+03
1.464675008922181831e+00 6.055000000000000000e+03
1.820546743112691601e+00 5.937500000000000000e+03
2.169762540650015836e+00 5.782470588235293690e+03
2.536625107857171102e+00 5.774500000000000000e+03
2.904206446615597237e+00 5.476882352941176578e+03
3.262586760556078769e+00 5.602312500000000000e+03
3.619690506843096234e+00 5.451812500000000000e+03
3.976512850060811122e+00 5.304562500000000000e+03
4.333026410032358555e+00 5.161000000000000000e+03
4.689203949978235642e+00 4.999125000000000000e+03
5.045018388767892326e+00 4.819500000000000000e+03
5.400442812991911090e+00 4.633875000000000000e+03
5.755450488841650447e+00 4.442500000000000000e+03
6.121346079378987781e+00 4.057882352941176578e+03
6.496668123211583712e+00 3.899823529411764866e+03
6.859015260005412173e+00 4.039437500000000000e+03
7.225286504036425583e+00 3.732823529411764866e+03
7.590197231644101095e+00 3.721187500000000000e+03
7.944261363996122149e+00 3.564125000000000000e+03
8.317826571389893786e+00 3.373888888888888687e+03
8.694031650506699904e+00 3.236937500000000000e+03
9.055537378374085122e+00 3.001588235294117567e+03
9.421497369287795465e+00 3.098133333333333212e+03
9.763407514716192281e+00 2.921937500000000000e+03
1.012575574675722834e+01 2.729647058823529278e+03
1.048819627135121557e+01 2.664562500000000000e+03
1.082670619925649369e+01 2.546133333333333212e+03
1.117815282102464103e+01 2.404294117647059011e+03
1.155253435339616530e+01 2.438058823529411711e+03
1.191343590158883536e+01 2.282062500000000000e+03
1.226267284651528833e+01 2.177625000000000000e+03
1.262280932778145370e+01 2.053823529411764866e+03
1.297953919419553870e+01 1.996500000000000000e+03
1.335482213221673931e+01 2.013235294117647072e+03
1.372408791116629168e+01 1.954882352941176578e+03
1.409901987699426762e+01 1.757944444444444343e+03
1.446083602812778324e+01 1.851333333333333258e+03
1.481730709028705206e+01 1.706250000000000000e+03
1.517173449838404942e+01 1.671058823529411711e+03
1.551811551146366774e+01 1.682666666666666742e+03
1.589641250683601470e+01 1.574666666666666742e+03
1.627339110809699463e+01 1.546466666666666697e+03
1.662011968575146881e+01 1.462941176470588289e+03
1.697835480865197155e+01 1.426312500000000000e+03
1.734199584128202787e+01 1.460812500000000000e+03
1.770553895594225224e+01 1.393235294117647072e+03
1.807130326400313081e+01 1.325411764705882433e+03
1.843465442894936857e+01 1.351200000000000045e+03
1.878096222119318170e+01 1.296687500000000000e+03
1.913659987323090306e+01 1.250000000000000000e+03
1.950514123753502460e+01 1.291625000000000000e+03
1.986330730459379268e+01 1.271687500000000000e+03
2.022073492801051842e+01 1.223941176470588289e+03
2.058710680632741230e+01 1.194000000000000000e+03
2.094314887247101353e+01 1.179562500000000000e+03
2.130438054981574680e+01 1.115588235294117567e+03
2.167905111950058483e+01 1.127705882352941217e+03
2.204560599318464398e+01 1.089062500000000000e+03
2.239682653882750429e+01 1.116937500000000000e+03
2.275363822822428617e+01 1.130125000000000000e+03
2.312793991557033380e+01 1.072500000000000000e+03
2.349935112218316746e+01 1.083375000000000000e+03
2.385416066626844156e+01 1.072437500000000000e+03
2.420834365316106940e+01 1.018500000000000000e+03
2.455857028755591998e+01 1.102187500000000000e+03
2.493091152744412042e+01 1.003470588235294144e+03
2.527483223733344175e+01 1.004666666666666629e+03
2.563425652252228559e+01 1.023875000000000000e+03
2.601672385617668581e+01 1.015799999999999955e+03
2.640577305237117756e+01 1.018714285714285666e+03
2.671930330674172893e+01 9.928666666666666742e+02
2.707089648078908084e+01 9.695000000000000000e+02
2.745202761316002693e+01 1.013263157894736878e+03
2.782921475418621426e+01 9.797333333333333485e+02
2.818807885309087169e+01 9.107647058823529278e+02
2.854806482795782330e+01 9.768125000000000000e+02
2.889549902919376478e+01 9.597999999999999545e+02
2.924727850905018656e+01 9.274705882352941444e+02
2.961173747369430131e+01 9.645000000000000000e+02
2.997762869486751214e+01 9.596470588235293917e+02
3.034381575091571293e+01 9.827500000000000000e+02
3.069637995846956002e+01 9.851250000000000000e+02
3.104821642274215066e+01 9.821250000000000000e+02
3.141729887792190112e+01 9.651176470588235361e+02
3.177492433466741772e+01 9.561875000000000000e+02
3.214626355577831163e+01 9.450588235294117112e+02
3.251675605723034579e+01 9.966875000000000000e+02
3.287487621126714288e+01 9.879411764705882888e+02
3.322782418636403889e+01 9.420666666666667197e+02
3.358790561082158632e+01 9.953529411764706083e+02
3.397104670879200228e+01 9.370000000000000000e+02
3.430972963393656272e+01 1.011666666666666629e+03
3.467331300415371231e+01 9.914705882352941444e+02
3.504488555086337698e+01 9.950000000000000000e+02
3.541363622899447705e+01 9.801666666666666288e+02
3.577692547683867730e+01 1.005866666666666674e+03
3.613001053112260763e+01 1.037187500000000000e+03
3.648202563062135084e+01 1.047750000000000000e+03
3.682962937910751577e+01 1.059312500000000000e+03
3.718790880640079166e+01 1.051529411764705856e+03
3.755793617592696165e+01 1.040058823529411711e+03
3.793580923229645663e+01 1.098062500000000000e+03
3.829782656806155927e+01 1.132937500000000000e+03
3.865315950278650803e+01 1.085812500000000000e+03
3.901830970180436253e+01 1.103941176470588289e+03
3.937154677477515463e+01 1.155750000000000000e+03
3.973451736319234584e+01 1.084529411764705856e+03
4.009041448886217296e+01 1.209666666666666742e+03
4.045700437370926039e+01 1.170176470588235361e+03
4.081547633796911612e+01 1.181933333333333394e+03
4.116711665622139549e+01 1.191647058823529505e+03
4.153243602663183509e+01 1.238941176470588289e+03
4.190135268967101467e+01 1.186375000000000000e+03
4.225694403171050340e+01 1.252882352941176578e+03
4.263072221917273197e+01 1.285411764705882433e+03
4.298236812304300258e+01 1.193066666666666606e+03
4.335397244744854106e+01 1.359894736842105203e+03
4.370938581296284298e+01 1.188000000000000000e+03
4.408141282004845607e+01 1.443888888888888914e+03
4.442311195098108811e+01 1.210812500000000000e+03
4.474736345545046134e+01 1.317166666666666742e+03
4.513181037106932081e+01 1.341347826086956502e+03
4.550518791356464732e+01 1.370818181818181756e+03
4.587859612931388398e+01 1.357130434782608745e+03
4.626298575904075960e+01 1.345666666666666742e+03
4.659827357861271935e+01 1.296500000000000000e+03
4.695833007920350610e+01 1.479750000000000000e+03
4.732706300537589073e+01 1.240117647058823422e+03
4.768729047865042503e+01 1.487812500000000000e+03
4.804603123853006252e+01 1.233882352941176578e+03
4.839911688274412427e+01 1.446266666666666652e+03
4.876043263521199123e+01 1.308111111111111086e+03
4.912600027158417504e+01 1.376687500000000000e+03
4.948820129318639260e+01 1.340312500000000000e+03
4.985200348507563461e+01 1.346687500000000000e+03
5.021186646673336895e+01 1.323125000000000000e+03
5.056009585579234056e+01 1.365500000000000000e+03
