# angle I
-5.345013494957747469e+00 1.758500000000000000e+03
-5.045018388767892326e+00 2.281437500000000000e+03
-4.689203949978235642e+00 2.233437500000000000e+03
-4.333026410032358555e+00 2.242250000000000000e+03
-3.976512850060811122e+00 2.307437500000000000e+03
-3.619690506843096234e+00 2.359500000000000000e+03
-3.262586760556078769e+00 2.405062500000000000e+03
-2.904206446615597237e+00 2.360235294117646845e+03
-2.536625107857171102e+00 2.435055555555555657e+03
-2.169762540650015836e+00 2.582470588235294144e+03
-1.820546743112691601e+00 2.710375000000000000e+03
-1.464675008922181831e+00 2.659312500000000000e+03
-1.108690583851543510e+00 2.652812500000000000e+03
-7.526209769764011792e-01 2.736750000000000000e+03
-1.762194385507231675e-01 3.089333333333333485e+03
3.964937367391271339e-01 2.741500000000000000e+03
7.526209769764011792e-01 2.753812500000000000e+03
1.108690583851543510e+00 2.779687500000000000e+03
1.464675008922181831e+00 2.810875000000000000e+03
1.820546743112691601e+00 2.860625000000000000e+03
2.169762540650015836e+00 2.746117647058823422e+03
2.536625107857171102e+00 2.598166666666666515e+03
2.904206446615597237e+00 2.571411764705882433e+03
3.262586760556078769e+00 2.626500000000000000e+03
3.619690506843096234e+00 2.473812500000000000e+03
3.976512850060811122e+00 2.361375000000000000e+03
4.333026410032358555e+00 2.357812500000000000e+03
4.689203949978235642e+00 2.311375000000000000e+03
5.045018388767892326e+00 2.213562500000000000e+03
5.400442812991911090e+00 2.147625000000000000e+03
5.755450488841650447e+00 2.079062500000000000e+03
6.121346079378987781e+00 1.905294117647058783e+03
6.496668123211583712e+00 1.878588235294117567e+03
6.859015260005412173e+00 1.926187500000000000e+03
7.225286504036425583e+00 1.819058823529411711e+03
7.590197231644101095e+00 1.785812500000000000e+03
7.944261363996122149e+00 1.788062500000000000e+03
8.317826571389893786e+00 1.726055555555555657e+03
8.694031650506699904e+00 1.630187500000000000e+03
9.055537378374085122e+00 1.623117647058823422e+03
9.421497369287795465e+00 1.573400000000000091e+03
9.763407514716192281e+00 1.471250000000000000e+03
