# angle I
-5.345013494957747469e+00 4.207500000000000000e+03
-5.045018388767892326e+00 4.205437500000000000e+03
-4.689203949978235642e+00 4.132812500000000000e+03
-4.333026410032358555e+00 4.138062500000000000e+03
-3.976512850060811122e+00 4.209687500000000000e+03
-3.619690506843096234e+00 4.273187500000000000e+03
-3.262586760556078769e+00 4.311437500000000000e+03
-2.904206446615597237e+00 4.163117647058823422e+03
-2.536625107857171102e+00 4.303333333333333030e+03
-2.169762540650015836e+00 4.289529411764706310e+03
-1.820546743112691601e+00 4.503562500000000000e+03
-1.464675008922181831e+00 4.553625000000000000e+03
-1.108690583851543510e+00 4.584437500000000000e+03
-7.526209769764011792e-01 4.601812500000000000e+03
-1.762194385507231675e-01 4.541555555555555657e+03
3.964937367391271339e-01 4.557437500000000000e+03
7.526209769764011792e-01 4.529937500000000000e+03
1.108690583851543510e+00 4.483625000000000000e+03
1.464675008922181831e+00 4.416500000000000000e+03
1.820546743112691601e+00 4.329312500000000000e+03
2.169762540650015836e+00 4.104882352941176578e+03
2.536625107857171102e+00 4.139611111111111313e+03
2.904206446615597237e+00 4.017882352941176578e+03
3.262586760556078769e+00 4.147125000000000000e+03
3.619690506843096234e+00 4.074875000000000000e+03
3.976512850060811122e+00 4.013750000000000000e+03
4.333026410032358555e+00 3.946500000000000000e+03
4.689203949978235642e+00 3.841250000000000000e+03
5.045018388767892326e+00 3.720437500000000000e+03
5.400442812991911090e+00 3.619812500000000000e+03
5.755450488841650447e+00 3.543437500000000000e+03
6.121346079378987781e+00 3.315176470588235134e+03
6.496668123211583712e+00 3.242823529411764866e+03
6.859015260005412173e+00 3.340687500000000000e+03
7.225286504036425583e+00 3.164647058823529278e+03
7.590197231644101095e+00 3.192750000000000000e+03
7.944261363996122149e+00 3.105000000000000000e+03
8.317826571389893786e+00 3.019055555555555657e+03
8.694031650506699904e+00 2.964500000000000000e+03
9.055537378374085122e+00 2.827470588235294144e+03
9.421497369287795465e+00 2.949199999999999818e+03
9.763407514716192281e+00 2.798125000000000000e+03
1.012575574675722834e+01 2.683588235294117567e+03
1.048819627135121557e+01 2.633250000000000000e+03
1.082670619925649369e+01 2.551133333333333212e+03
1.117815282102464103e+01 2.412882352941176578e+03
1.155253435339616530e+01 2.475941176470588289e+03
1.191343590158883536e+01 2.383000000000000000e+03
1.226267284651528833e+01 2.342250000000000000e+03
1.262280932778145370e+01 2.242882352941176578e+03
