# angle I
-5.345013494957747469e+00 1.937666666666666742e+03
-5.045018388767892326e+00 3.607562500000000000e+03
-4.689203949978235642e+00 3.572125000000000000e+03
-4.333026410032358555e+00 3.565562500000000000e+03
-3.976512850060811122e+00 3.577437500000000000e+03
-3.619690506843096234e+00 3.603750000000000000e+03
-3.262586760556078769e+00 3.616437500000000000e+03
-2.904206446615597237e+00 3.386588235294117567e+03
-2.536625107857171102e+00 3.541000000000000000e+03
-2.169762540650015836e+00 3.436705882352940989e+03
-1.820546743112691601e+00 3.692812500000000000e+03
-1.464675008922181831e+00 3.732250000000000000e+03
-1.108690583851543510e+00 3.784000000000000000e+03
-7.526209769764011792e-01 3.800812500000000000e+03
-1.762194385507231675e-01 4.149861111111111313e+03
3.964937367391271339e-01 3.653812500000000000e+03
7.526209769764011792e-01 3.645375000000000000e+03
1.108690583851543510e+00 3.653000000000000000e+03
1.464675008922181831e+00 3.611750000000000000e+03
1.820546743112691601e+00 3.564375000000000000e+03
2.169762540650015836e+00 3.355058823529411711e+03
2.536625107857171102e+00 3.500555555555555657e+03
2.904206446615597237e+00 3.298235294117646845e+03
3.262586760556078769e+00 3.413937500000000000e+03
3.619690506843096234e+00 3.329937500000000000e+03
3.976512850060811122e+00 3.284625000000000000e+03
4.333026410032358555e+00 3.249000000000000000e+03
4.689203949978235642e+00 3.198500000000000000e+03
5.045018388767892326e+00 3.172312500000000000e+03
5.400442812991911090e+00 3.159375000000000000e+03
5.755450488841650447e+00 3.113250000000000000e+03
6.121346079378987781e+00 2.886294117647059011e+03
6.496668123211583712e+00 2.841941176470588289e+03
6.859015260005412173e+00 2.935500000000000000e+03
7.225286504036425583e+00 2.765941176470588289e+03
7.590197231644101095e+00 2.818187500000000000e+03
7.944261363996122149e+00 2.719437500000000000e+03
8.317826571389893786e+00 2.685055555555555657e+03
8.694031650506699904e+00 2.502187500000000000e+03
9.055537378374085122e+00 2.367000000000000000e+03
9.421497369287795465e+00 2.522866666666666788e+03
9.763407514716192281e+00 2.415375000000000000e+03
1.012575574675722834e+01 2.376470588235294144e+03
1.048819627135121557e+01 2.375500000000000000e+03
1.082670619925649369e+01 2.454866666666666788e+03
1.117815282102464103e+01 2.292352941176470722e+03
1.155253435339616530e+01 2.476823529411764866e+03
1.191343590158883536e+01 2.332625000000000000e+03
1.226267284651528833e+01 2.301875000000000000e+03
1.262280932778145370e+01 2.200529411764705856e+03
1.297953919419553870e+01 2.128625000000000000e+03
1.335482213221673931e+01 2.021176470588235361e+03
1.372408791116629168e+01 2.214647058823529278e+03
1.409901987699426762e+01 2.003388888888888914e+03
1.446083602812778324e+01 2.240733333333333121e+03
1.481730709028705206e+01 2.111625000000000000e+03
1.517173449838404942e+01 2.048764705882353155e+03
1.551811551146366774e+01 2.109733333333333121e+03
1.589641250683601470e+01 2.005277777777777828e+03
1.627339110809699463e+01 2.005400000000000091e+03
1.662011968575146881e+01 1.859823529411764639e+03
1.697835480865197155e+01 1.820312500000000000e+03
1.734199584128202787e+01 1.908125000000000000e+03
1.770553895594225224e+01 1.875235294117647072e+03
1.807130326400313081e+01 1.733588235294117567e+03
1.843465442894936857e+01 1.843466666666666697e+03
1.878096222119318170e+01 1.756375000000000000e+03
1.913659987323090306e+01 1.714823529411764639e+03
1.950514123753502460e+01 1.877250000000000000e+03
1.986330730459379268e+01 1.925500000000000000e+03
2.022073492801051842e+01 1.726588235294117567e+03
2.058710680632741230e+01 1.823937500000000000e+03
2.094314887247101353e+01 1.893687500000000000e+03
2.130438054981574680e+01 1.650058823529411711e+03
2.167905111950058483e+01 1.888705882352941217e+03
2.204560599318464398e+01 1.672062500000000000e+03
2.239682653882750429e+01 1.715000000000000000e+03
2.275363822822428617e+01 1.722562500000000000e+03
2.312793991557033380e+01 1.662666666666666742e+03
2.349935112218316746e+01 1.761687500000000000e+03
2.385416066626844156e+01 1.672625000000000000e+03
2.420834365316106940e+01 1.571687500000000000e+03
2.455857028755591998e+01 1.884187500000000000e+03
2.493091152744412042e+01 1.583882352941176578e+03
2.527483223733344175e+01 1.616066666666666606e+03
2.563425652252228559e+01 1.549312500000000000e+03
2.601672385617668581e+01 1.735349999999999909e+03
2.640577305237117756e+01 1.650714285714285779e+03
2.671930330674172893e+01 1.542933333333333394e+03
2.707089648078908084e+01 1.517562500000000000e+03
2.745202761316002693e+01 1.676526315789473756e+03
2.782921475418621426e+01 1.554400000000000091e+03
2.818807885309087169e+01 1.474176470588235361e+03
2.854806482795782330e+01 1.734687500000000000e+03
2.889549902919376478e+01 1.689933333333333394e+03
2.924727850905018656e+01 1.490529411764705856e+03
2.961173747369430131e+01 1.505937500000000000e+03
2.997762869486751214e+01 1.466000000000000000e+03
3.034381575091571293e+01 1.568000000000000000e+03
3.069637995846956002e+01 1.578500000000000000e+03
3.104821642274215066e+01 1.537500000000000000e+03
3.141729887792190112e+01 1.480941176470588289e+03
3.177492433466741772e+01 1.570812500000000000e+03
3.214626355577831163e+01 1.413352941176470495e+03
3.251675605723034579e+01 1.686687500000000000e+03
3.287487621126714288e+01 1.535941176470588289e+03
3.322782418636403889e+01 1.482666666666666742e+03
3.358790561082158632e+01 1.584294117647058783e+03
3.397104670879200228e+01 1.479058823529411711e+03
3.430972963393656272e+01 1.536599999999999909e+03
3.467331300415371231e+01 1.561176470588235361e+03
3.504488555086337698e+01 1.512125000000000000e+03
3.541363622899447705e+01 1.460388888888888914e+03
3.577692547683867730e+01 1.609799999999999955e+03
3.613001053112260763e+01 1.580000000000000000e+03
3.648202563062135084e+01 1.583750000000000000e+03
3.682962937910751577e+01 1.532812500000000000e+03
3.718790880640079166e+01 1.467588235294117567e+03
3.755793617592696165e+01 1.398117647058823422e+03
3.793580923229645663e+01 1.506062500000000000e+03
3.829782656806155927e+01 1.585250000000000000e+03
3.865315950278650803e+01 1.440000000000000000e+03
3.901830970180436253e+01 1.581764705882352928e+03
3.937154677477515463e+01 1.427812500000000000e+03
3.973451736319234584e+01 1.405117647058823422e+03
4.009041448886217296e+01 1.619066666666666606e+03
4.045700437370926039e+01 1.409764705882352928e+03
4.081547633796911612e+01 1.666133333333333439e+03
4.116711665622139549e+01 1.419764705882352928e+03
4.153243602663183509e+01 1.555058823529411711e+03
4.190135268967101467e+01 1.479250000000000000e+03
4.225694403171050340e+01 1.315941176470588289e+03
4.263072221917273197e+01 1.610176470588235361e+03
4.298236812304300258e+01 1.226333333333333258e+03
4.335397244744854106e+01 1.617947368421052715e+03
4.370938581296284298e+01 1.282428571428571331e+03
4.408141282004845607e+01 1.552222222222222172e+03
4.442311195098108811e+01 1.341750000000000000e+03
4.474736345545046134e+01 1.387416666666666742e+03
4.513181037106932081e+01 1.422608695652173992e+03
4.550518791356464732e+01 1.475000000000000000e+03
4.587859612931388398e+01 1.443217391304347757e+03
4.626298575904075960e+01 1.426916666666666742e+03
4.659827357861271935e+01 1.543888888888888914e+03
4.695833007920350610e+01 1.491062500000000000e+03
4.732706300537589073e+01 1.386411764705882433e+03
4.768729047865042503e+01 1.722250000000000000e+03
4.804603123853006252e+01 1.256352941176470495e+03
4.839911688274412427e+01 1.740733333333333348e+03
4.876043263521199123e+01 1.349944444444444343e+03
4.912600027158417504e+01 1.541875000000000000e+03
4.948820129318639260e+01 1.488937500000000000e+03
4.985200348507563461e+01 1.393625000000000000e+03
5.021186646673336895e+01 1.578875000000000000e+03
