# angle I
-5.345013494957747469e+00 2.784500000000000000e+03
-5.045018388767892326e+00 2.117062500000000000e+03
-4.689203949978235642e+00 2.066437500000000000e+03
-4.333026410032358555e+00 2.050687500000000000e+03
-3.976512850060811122e+00 2.058250000000000000e+03
-3.619690506843096234e+00 2.074250000000000000e+03
-3.262586760556078769e+00 2.098250000000000000e+03
-2.904206446615597237e+00 2.029470588235294144e+03
-2.536625107857171102e+00 2.286500000000000000e+03
-2.169762540650015836e+00 2.073647058823529278e+03
-1.820546743112691601e+00 2.168500000000000000e+03
-1.464675008922181831e+00 2.176125000000000000e+03
-1.108690583851543510e+00 2.188375000000000000e+03
-7.526209769764011792e-01 2.195875000000000000e+03
-1.762194385507231675e-01 1.854250000000000000e+03
3.964937367391271339e-01 2.171750000000000000e+03
7.526209769764011792e-01 2.157187500000000000e+03
1.108690583851543510e+00 2.144625000000000000e+03
1.464675008922181831e+00 2.132187500000000000e+03
1.820546743112691601e+00 2.118500000000000000e+03
2.169762540650015836e+00 2.009588235294117567e+03
2.536625107857171102e+00 2.197055555555555657e+03
2.904206446615597237e+00 1.943882352941176578e+03
3.262586760556078769e+00 2.006062500000000000e+03
3.619690506843096234e+00 1.977000000000000000e+03
3.976512850060811122e+00 1.957000000000000000e+03
4.333026410032358555e+00 1.944937500000000000e+03
4.689203949978235642e+00 1.923500000000000000e+03
5.045018388767892326e+00 1.898437500000000000e+03
5.400442812991911090e+00 1.880062500000000000e+03
5.755450488841650447e+00 1.857937500000000000e+03
6.121346079378987781e+00 1.741058823529411711e+03
6.496668123211583712e+00 1.708941176470588289e+03
6.859015260005412173e+00 1.771500000000000000e+03
7.225286504036425583e+00 1.665117647058823422e+03
7.590197231644101095e+00 1.717000000000000000e+03
7.944261363996122149e+00 1.701375000000000000e+03
8.317826571389893786e+00 1.772500000000000000e+03
8.694031650506699904e+00 1.687000000000000000e+03
9.055537378374085122e+00 1.598117647058823422e+03
9.421497369287795465e+00 1.731266666666666652e+03
9.763407514716192281e+00 1.641750000000000000e+03
1.012575574675722834e+01 1.558647058823529505e+03
1.048819627135121557e+01 1.613812500000000000e+03
1.082670619925649369e+01 1.661133333333333439e+03
1.117815282102464103e+01 1.534470588235294144e+03
1.155253435339616530e+01 1.706000000000000000e+03
1.191343590158883536e+01 1.582062500000000000e+03
1.226267284651528833e+01 1.573750000000000000e+03
1.262280932778145370e+01 1.500058823529411711e+03
1.297953919419553870e+01 1.554375000000000000e+03
1.335482213221673931e+01 1.581941176470588289e+03
1.372408791116629168e+01 1.634882352941176578e+03
1.409901987699426762e+01 1.400611111111111086e+03
1.446083602812778324e+01 1.569400000000000091e+03
1.481730709028705206e+01 1.484625000000000000e+03
1.517173449838404942e+01 1.429058823529411711e+03
1.551811551146366774e+01 1.546466666666666697e+03
1.589641250683601470e+01 1.449611111111111086e+03
1.627339110809699463e+01 1.508133333333333439e+03
1.662011968575146881e+01 1.388352941176470495e+03
1.697835480865197155e+01 1.437812500000000000e+03
1.734199584128202787e+01 1.632875000000000000e+03
1.770553895594225224e+01 1.438117647058823422e+03
1.807130326400313081e+01 1.354529411764705856e+03
1.843465442894936857e+01 1.473066666666666606e+03
1.878096222119318170e+01 1.403875000000000000e+03
1.913659987323090306e+01 1.334588235294117567e+03
1.950514123753502460e+01 1.418125000000000000e+03
1.986330730459379268e+01 1.551937500000000000e+03
2.022073492801051842e+01 1.412647058823529505e+03
2.058710680632741230e+01 1.372187500000000000e+03
2.094314887247101353e+01 1.381187500000000000e+03
2.130438054981574680e+01 1.311176470588235361e+03
2.167905111950058483e+01 1.431882352941176578e+03
2.204560599318464398e+01 1.342125000000000000e+03
2.239682653882750429e+01 1.351812500000000000e+03
2.275363822822428617e+01 1.522562500000000000e+03
2.312793991557033380e+01 1.330333333333333258e+03
2.349935112218316746e+01 1.322312500000000000e+03
2.385416066626844156e+01 1.405687500000000000e+03
2.420834365316106940e+01 1.339062500000000000e+03
2.455857028755591998e+01 1.582187500000000000e+03
2.493091152744412042e+01 1.251764705882352928e+03
2.527483223733344175e+01 1.340733333333333348e+03
2.563425652252228559e+01 1.329187500000000000e+03
2.601672385617668581e+01 1.408849999999999909e+03
2.640577305237117756e+01 1.385500000000000000e+03
2.671930330674172893e+01 1.322266666666666652e+03
2.707089648078908084e+01 1.264625000000000000e+03
2.745202761316002693e+01 1.465789473684210634e+03
2.782921475418621426e+01 1.340733333333333348e+03
2.818807885309087169e+01 1.223470588235294144e+03
2.854806482795782330e+01 1.333625000000000000e+03
2.889549902919376478e+01 1.455666666666666742e+03
2.924727850905018656e+01 1.351941176470588289e+03
2.961173747369430131e+01 1.332937500000000000e+03
2.997762869486751214e+01 1.252411764705882433e+03
3.034381575091571293e+01 1.350500000000000000e+03
3.069637995846956002e+01 1.413812500000000000e+03
3.104821642274215066e+01 1.386875000000000000e+03
3.141729887792190112e+01 1.293882352941176578e+03
3.177492433466741772e+01 1.370812500000000000e+03
3.214626355577831163e+01 1.195529411764705856e+03
3.251675605723034579e+01 1.430500000000000000e+03
3.287487621126714288e+01 1.397588235294117567e+03
3.322782418636403889e+01 1.255333333333333258e+03
3.358790561082158632e+01 1.394588235294117567e+03
3.397104670879200228e+01 1.217823529411764639e+03
3.430972963393656272e+01 1.476200000000000045e+03
3.467331300415371231e+01 1.396882352941176578e+03
3.504488555086337698e+01 1.249125000000000000e+03
3.541363622899447705e+01 1.333000000000000000e+03
3.577692547683867730e+01 1.330866666666666561e+03
3.613001053112260763e+01 1.381187500000000000e+03
3.648202563062135084e+01 1.345812500000000000e+03
3.682962937910751577e+01 1.368187500000000000e+03
3.718790880640079166e+01 1.335235294117647072e+03
3.755793617592696165e+01 1.302411764705882433e+03
3.793580923229645663e+01 1.402750000000000000e+03
3.829782656806155927e+01 1.408625000000000000e+03
3.865315950278650803e+01 1.351375000000000000e+03
3.901830970180436253e+01 1.396352941176470495e+03
3.937154677477515463e+01 1.333937500000000000e+03
3.973451736319234584e+01 1.340235294117647072e+03
4.009041448886217296e+01 1.399933333333333394e+03
4.045700437370926039e+01 1.379823529411764639e+03
4.081547633796911612e+01 1.466266666666666652e+03
4.116711665622139549e+01 1.185529411764705856e+03
4.153243602663183509e+01 1.552058823529411711e+03
4.190135268967101467e+01 1.173375000000000000e+03
4.225694403171050340e+01 1.437000000000000000e+03
4.263072221917273197e+01 1.333823529411764639e+03
4.298236812304300258e+01 1.205733333333333348e+03
4.335397244744854106e+01 1.529157894736842081e+03
4.370938581296284298e+01 1.204857142857142890e+03
4.408141282004845607e+01 1.589833333333333258e+03
4.442311195098108811e+01 1.127937500000000000e+03
4.474736345545046134e+01 1.327916666666666742e+03
4.513181037106932081e+01 1.366869565217391255e+03
4.550518791356464732e+01 1.409727272727272748e+03
4.587859612931388398e+01 1.368434782608695741e+03
4.626298575904075960e+01 1.333833333333333258e+03
4.659827357861271935e+01 1.208055555555555657e+03
4.695833007920350610e+01 1.602625000000000000e+03
4.732706300537589073e+01 1.104882352941176578e+03
4.768729047865042503e+01 1.673625000000000000e+03
4.804603123853006252e+01 1.105941176470588289e+03
4.839911688274412427e+01 1.383466666666666697e+03
4.876043263521199123e+01 1.370888888888888914e+03
4.912600027158417504e+01 1.223625000000000000e+03
4.948820129318639260e+01 1.470500000000000000e+03
4.985200348507563461e+01 1.213437500000000000e+03
5.021186646673336895e+01 1.327437500000000000e+03
5.056009585579234056e+01 1.429937500000000000e+03
5.092929928871412670e+01 1.180444444444444343e+03
5.129035769465544803e+01 1.390266666666666652e+03
5.164685043638609585e+01 1.339176470588235361e+03
5.201769573310133410e+01 1.295250000000000000e+03
5.238760095852538257e+01 1.352937500000000000e+03
5.273628981835555862e+01 1.325312500000000000e+03
5.309476049356305793e+01 1.297000000000000000e+03
5.345016124763998988e+01 1.309250000000000000e+03
5.381627393954912719e+01 1.252235294117647072e+03
5.418861012304124358e+01 1.307312500000000000e+03
5.455507675480509988e+01 1.244352941176470495e+03
5.490978944155331476e+01 1.339875000000000000e+03
5.527062247726589561e+01 1.311875000000000000e+03
5.563114682740363293e+01 1.295875000000000000e+03
5.601023261561899602e+01 1.266578947368421041e+03
