# angle I
-5.345013494957747469e+00 3.009500000000000000e+03
-5.045018388767892326e+00 4.552625000000000000e+03
-4.689203949978235642e+00 4.407625000000000000e+03
-4.333026410032358555e+00 4.294625000000000000e+03
-3.976512850060811122e+00 4.294937500000000000e+03
-3.619690506843096234e+00 4.337375000000000000e+03
-3.262586760556078769e+00 4.380125000000000000e+03
-2.904206446615597237e+00 4.236470588235293690e+03
-2.536625107857171102e+00 4.483166666666666970e+03
-2.169762540650015836e+00 4.432058823529411711e+03
-1.820546743112691601e+00 4.737062500000000000e+03
-1.464675008922181831e+00 4.769562500000000000e+03
-1.108690583851543510e+00 4.795437500000000000e+03
-7.526209769764011792e-01 4.740750000000000000e+03
-1.762194385507231675e-01 4.968916666666666970e+03
3.964937367391271339e-01 4.601812500000000000e+03
7.526209769764011792e-01 4.580750000000000000e+03
1.108690583851543510e+00 4.650937500000000000e+03
1.464675008922181831e+00 4.710750000000000000e+03
1.820546743112691601e+00 4.649062500000000000e+03
2.169762540650015836e+00 4.278588235294118022e+03
2.536625107857171102e+00 4.346944444444444343e+03
2.904206446615597237e+00 4.110470588235293690e+03
3.262586760556078769e+00 4.182500000000000000e+03
3.619690506843096234e+00 4.039625000000000000e+03
3.976512850060811122e+00 3.997000000000000000e+03
4.333026410032358555e+00 3.985625000000000000e+03
4.689203949978235642e+00 3.956000000000000000e+03
5.045018388767892326e+00 3.935687500000000000e+03
5.400442812991911090e+00 3.890875000000000000e+03
5.755450488841650447e+00 3.830562500000000000e+03
6.121346079378987781e+00 3.623235294117646845e+03
6.496668123211583712e+00 3.553705882352940989e+03
6.859015260005412173e+00 3.535000000000000000e+03
7.225286504036425583e+00 3.312235294117646845e+03
7.590197231644101095e+00 3.401125000000000000e+03
7.944261363996122149e+00 3.413312500000000000e+03
8.317826571389893786e+00 3.421666666666666515e+03
8.694031650506699904e+00 3.356562500000000000e+03
9.055537378374085122e+00 3.258764705882353155e+03
9.421497369287795465e+00 3.349666666666666515e+03
9.763407514716192281e+00 3.056437500000000000e+03
1.012575574675722834e+01 2.970588235294117567e+03
1.048819627135121557e+01 2.916312500000000000e+03
1.082670619925649369e+01 2.976199999999999818e+03
1.117815282102464103e+01 2.855823529411764866e+03
1.155253435339616530e+01 2.874705882352940989e+03
1.191343590158883536e+01 2.764000000000000000e+03
1.226267284651528833e+01 2.743125000000000000e+03
1.262280932778145370e+01 2.707470588235294144e+03
1.297953919419553870e+01 2.632687500000000000e+03
1.335482213221673931e+01 2.549588235294117567e+03
1.372408791116629168e+01 2.692470588235294144e+03
1.409901987699426762e+01 2.462777777777777828e+03
1.446083602812778324e+01 2.612333333333333485e+03
1.481730709028705206e+01 2.417937500000000000e+03
1.517173449838404942e+01 2.382470588235294144e+03
1.551811551146366774e+01 2.416533333333333303e+03
1.589641250683601470e+01 2.272666666666666515e+03
1.627339110809699463e+01 2.380199999999999818e+03
1.662011968575146881e+01 2.300588235294117567e+03
1.697835480865197155e+01 2.296875000000000000e+03
1.734199584128202787e+01 2.463250000000000000e+03
1.770553895594225224e+01 2.436117647058823422e+03
1.807130326400313081e+01 2.426705882352940989e+03
1.843465442894936857e+01 2.519733333333333121e+03
1.878096222119318170e+01 2.303750000000000000e+03
1.913659987323090306e+01 2.154117647058823422e+03
1.950514123753502460e+01 2.212000000000000000e+03
1.986330730459379268e+01 2.224937500000000000e+03
2.022073492801051842e+01 2.073294117647059011e+03
2.058710680632741230e+01 2.132562500000000000e+03
2.094314887247101353e+01 2.159875000000000000e+03
2.130438054981574680e+01 1.903882352941176578e+03
2.167905111950058483e+01 2.130705882352940989e+03
2.204560599318464398e+01 1.968312500000000000e+03
2.239682653882750429e+01 2.038500000000000000e+03
2.275363822822428617e+01 1.984437500000000000e+03
2.312793991557033380e+01 1.764222222222222172e+03
2.349935112218316746e+01 1.915312500000000000e+03
2.385416066626844156e+01 1.933375000000000000e+03
2.420834365316106940e+01 1.842750000000000000e+03
2.455857028755591998e+01 2.186125000000000000e+03
2.493091152744412042e+01 1.922117647058823422e+03
2.527483223733344175e+01 1.824933333333333394e+03
2.563425652252228559e+01 1.820750000000000000e+03
2.601672385617668581e+01 1.945099999999999909e+03
2.640577305237117756e+01 1.978142857142857110e+03
2.671930330674172893e+01 1.879799999999999955e+03
2.707089648078908084e+01 1.845250000000000000e+03
2.745202761316002693e+01 1.865526315789473756e+03
2.782921475418621426e+01 1.803200000000000045e+03
2.818807885309087169e+01 1.715588235294117567e+03
2.854806482795782330e+01 1.944500000000000000e+03
2.889549902919376478e+01 1.914666666666666742e+03
2.924727850905018656e+01 1.742764705882352928e+03
2.961173747369430131e+01 1.799937500000000000e+03
2.997762869486751214e+01 1.716470588235294144e+03
3.034381575091571293e+01 1.786000000000000000e+03
3.069637995846956002e+01 1.797062500000000000e+03
3.104821642274215066e+01 1.763750000000000000e+03
3.141729887792190112e+01 1.657647058823529505e+03
3.177492433466741772e+01 1.677125000000000000e+03
3.214626355577831163e+01 1.538235294117647072e+03
3.251675605723034579e+01 1.781937500000000000e+03
3.287487621126714288e+01 1.739823529411764639e+03
3.322782418636403889e+01 1.841466666666666697e+03
3.358790561082158632e+01 1.904764705882352928e+03
3.397104670879200228e+01 1.673000000000000000e+03
3.430972963393656272e+01 1.779733333333333348e+03
3.467331300415371231e+01 1.837294117647058783e+03
3.504488555086337698e+01 1.764875000000000000e+03
3.541363622899447705e+01 1.712222222222222172e+03
3.577692547683867730e+01 1.758333333333333258e+03
3.613001053112260763e+01 1.722812500000000000e+03
3.648202563062135084e+01 1.807250000000000000e+03
3.682962937910751577e+01 1.757062500000000000e+03
3.718790880640079166e+01 1.680000000000000000e+03
3.755793617592696165e+01 1.652470588235294144e+03
3.793580923229645663e+01 1.788937500000000000e+03
3.829782656806155927e+01 1.861812500000000000e+03
3.865315950278650803e+01 1.662437500000000000e+03
3.901830970180436253e+01 1.670176470588235361e+03
3.937154677477515463e+01 1.676875000000000000e+03
3.973451736319234584e+01 1.558529411764705856e+03
4.009041448886217296e+01 1.729000000000000000e+03
4.045700437370926039e+01 1.638294117647058783e+03
4.081547633796911612e+01 1.679400000000000091e+03
4.116711665622139549e+01 1.638352941176470495e+03
4.153243602663183509e+01 1.647000000000000000e+03
4.190135268967101467e+01 1.660750000000000000e+03
4.225694403171050340e+01 1.498000000000000000e+03
4.263072221917273197e+01 1.739470588235294144e+03
4.298236812304300258e+01 1.422266666666666652e+03
4.335397244744854106e+01 1.825315789473684163e+03
4.370938581296284298e+01 1.497357142857142890e+03
4.408141282004845607e+01 1.792833333333333258e+03
4.442311195098108811e+01 1.613062500000000000e+03
4.474736345545046134e+01 1.627583333333333258e+03
4.513181037106932081e+01 1.666217391304347757e+03
4.550518791356464732e+01 1.711909090909090992e+03
4.587859612931388398e+01 1.647086956521739239e+03
4.626298575904075960e+01 1.607333333333333258e+03
4.659827357861271935e+01 1.684388888888888914e+03
4.695833007920350610e+01 1.797375000000000000e+03
4.732706300537589073e+01 1.730941176470588289e+03
4.768729047865042503e+01 2.055312500000000000e+03
4.804603123853006252e+01 1.518764705882352928e+03
4.839911688274412427e+01 1.762866666666666561e+03
4.876043263521199123e+01 1.487666666666666742e+03
4.912600027158417504e+01 1.662750000000000000e+03
4.948820129318639260e+01 1.589937500000000000e+03
4.985200348507563461e+01 1.633562500000000000e+03
5.021186646673336895e+01 1.610937500000000000e+03
5.056009585579234056e+01 1.720562500000000000e+03
5.092929928871412670e+01 1.555000000000000000e+03
5.129035769465544803e+01 1.635799999999999955e+03
5.164685043638609585e+01 1.763823529411764639e+03
5.201769573310133410e+01 1.669187500000000000e+03
5.238760095852538257e+01 1.642500000000000000e+03
5.273628981835555862e+01 1.673250000000000000e+03
5.309476049356305793e+01 1.585588235294117567e+03
5.345016124763998988e+01 1.673125000000000000e+03
5.381627393954912719e+01 1.607647058823529505e+03
5.418861012304124358e+01 1.685687500000000000e+03
5.455507675480509988e+01 1.613529411764705856e+03
5.490978944155331476e+01 1.652437500000000000e+03
5.527062247726589561e+01 1.574062500000000000e+03
5.563114682740363293e+01 1.735562500000000000e+03
5.601023261561899602e+01 1.716631578947368325e+03
5.636736094360470872e+01 1.885384615384615472e+03
5.670276624052125669e+01 1.898176470588235361e+03
5.708342660208528230e+01 1.687235294117647072e+03
5.743755150235368490e+01 1.652687500000000000e+03
5.781125925987439729e+01 1.633941176470588289e+03
5.818065824853643875e+01 1.584812500000000000e+03
5.852827955308822538e+01 1.698812500000000000e+03
5.888312669818119360e+01 1.773312500000000000e+03
5.924840814141190748e+01 1.694529411764705856e+03
5.961154974951115548e+01 1.769625000000000000e+03
5.996845703544695283e+01 1.701312500000000000e+03
6.032107613684184599e+01 1.665812500000000000e+03
6.067635033341284867e+01 1.700437500000000000e+03
6.103835741567128537e+01 1.627529411764705856e+03
6.140561065545576724e+01 1.804062500000000000e+03
6.177042045335986842e+01 1.646529411764705856e+03
