# angle I
-5.345013494957747469e+00 3.397500000000000000e+03
-5.045018388767892326e+00 3.253625000000000000e+03
-4.689203949978235642e+00 3.175625000000000000e+03
-4.333026410032358555e+00 3.154250000000000000e+03
-3.976512850060811122e+00 3.170375000000000000e+03
-3.619690506843096234e+00 3.171250000000000000e+03
-3.262586760556078769e+00 3.187687500000000000e+03
-2.904206446615597237e+00 3.087294117647059011e+03
-2.536625107857171102e+00 3.274111111111111313e+03
-2.169762540650015836e+00 3.142000000000000000e+03
-1.820546743112691601e+00 3.267187500000000000e+03
-1.464675008922181831e+00 3.276812500000000000e+03
-1.108690583851543510e+00 3.300312500000000000e+03
-7.526209769764011792e-01 3.336125000000000000e+03
-1.762194385507231675e-01 3.159694444444444343e+03
3.964937367391271339e-01 3.287812500000000000e+03
7.526209769764011792e-01 3.251125000000000000e+03
1.108690583851543510e+00 3.212125000000000000e+03
1.464675008922181831e+00 3.173187500000000000e+03
1.820546743112691601e+00 3.126500000000000000e+03
2.169762540650015836e+00 2.985941176470588289e+03
2.536625107857171102e+00 3.130277777777777828e+03
2.904206446615597237e+00 2.968470588235294144e+03
3.262586760556078769e+00 3.072625000000000000e+03
3.619690506843096234e+00 3.048437500000000000e+03
3.976512850060811122e+00 3.025375000000000000e+03
4.333026410032358555e+00 2.984687500000000000e+03
4.689203949978235642e+00 2.932750000000000000e+03
5.045018388767892326e+00 2.875500000000000000e+03
5.400442812991911090e+00 2.822812500000000000e+03
5.755450488841650447e+00 2.765187500000000000e+03
6.121346079378987781e+00 2.578647058823529278e+03
6.496668123211583712e+00 2.545235294117646845e+03
6.859015260005412173e+00 2.645500000000000000e+03
7.225286504036425583e+00 2.512588235294117567e+03
7.590197231644101095e+00 2.567437500000000000e+03
7.944261363996122149e+00 2.545750000000000000e+03
8.317826571389893786e+00 2.546000000000000000e+03
8.694031650506699904e+00 2.474937500000000000e+03
9.055537378374085122e+00 2.363529411764705856e+03
9.421497369287795465e+00 2.501866666666666788e+03
9.763407514716192281e+00 2.375625000000000000e+03
1.012575574675722834e+01 2.276647058823529278e+03
1.048819627135121557e+01 2.278812500000000000e+03
1.082670619925649369e+01 2.298066666666666606e+03
1.117815282102464103e+01 2.204647058823529278e+03
1.155253435339616530e+01 2.309294117647059011e+03
1.191343590158883536e+01 2.206187500000000000e+03
1.226267284651528833e+01 2.181687500000000000e+03
1.262280932778145370e+01 2.108000000000000000e+03
1.297953919419553870e+01 2.093625000000000000e+03
1.335482213221673931e+01 2.136470588235294144e+03
1.372408791116629168e+01 2.214705882352940989e+03
1.409901987699426762e+01 1.988888888888888914e+03
1.446083602812778324e+01 2.156733333333333121e+03
1.481730709028705206e+01 2.006562500000000000e+03
1.517173449838404942e+01 1.968294117647058783e+03
1.551811551146366774e+01 2.046000000000000000e+03
1.589641250683601470e+01 1.954777777777777828e+03
1.627339110809699463e+01 2.018000000000000000e+03
1.662011968575146881e+01 1.927823529411764639e+03
1.697835480865197155e+01 1.929937500000000000e+03
1.734199584128202787e+01 2.036812500000000000e+03
1.770553895594225224e+01 1.934176470588235361e+03
1.807130326400313081e+01 1.841235294117647072e+03
1.843465442894936857e+01 1.942933333333333394e+03
1.878096222119318170e+01 1.863375000000000000e+03
1.913659987323090306e+01 1.809294117647058783e+03
1.950514123753502460e+01 1.910500000000000000e+03
1.986330730459379268e+01 1.918437500000000000e+03
