# angle I
-5.345013494957747469e+00 1.470166666666666742e+03
-5.045018388767892326e+00 1.632062500000000000e+03
-4.689203949978235642e+00 1.593437500000000000e+03
-4.333026410032358555e+00 1.562375000000000000e+03
-3.976512850060811122e+00 1.558125000000000000e+03
-3.619690506843096234e+00 1.563687500000000000e+03
-3.262586760556078769e+00 1.561312500000000000e+03
-2.904206446615597237e+00 1.520470588235294144e+03
-2.536625107857171102e+00 1.534555555555555657e+03
-2.169762540650015836e+00 1.518823529411764639e+03
-1.820546743112691601e+00 1.573375000000000000e+03
-1.464675008922181831e+00 1.587000000000000000e+03
-1.108690583851543510e+00 1.592437500000000000e+03
-7.526209769764011792e-01 1.581750000000000000e+03
-1.762194385507231675e-01 1.616833333333333258e+03
3.964937367391271339e-01 1.567250000000000000e+03
7.526209769764011792e-01 1.532937500000000000e+03
1.108690583851543510e+00 1.511312500000000000e+03
1.464675008922181831e+00 1.515000000000000000e+03
1.820546743112691601e+00 1.529375000000000000e+03
2.169762540650015836e+00 1.481882352941176578e+03
2.536625107857171102e+00 1.479666666666666742e+03
2.904206446615597237e+00 1.463705882352941217e+03
3.262586760556078769e+00 1.518750000000000000e+03
3.619690506843096234e+00 1.512375000000000000e+03
3.976512850060811122e+00 1.483750000000000000e+03
4.333026410032358555e+00 1.465125000000000000e+03
4.689203949978235642e+00 1.468437500000000000e+03
5.045018388767892326e+00 1.475187500000000000e+03
5.400442812991911090e+00 1.465375000000000000e+03
5.755450488841650447e+00 1.437125000000000000e+03
6.121346079378987781e+00 1.378235294117647072e+03
6.496668123211583712e+00 1.374000000000000000e+03
6.859015260005412173e+00 1.377250000000000000e+03
7.225286504036425583e+00 1.361529411764705856e+03
7.590197231644101095e+00 1.384750000000000000e+03
7.944261363996122149e+00 1.394125000000000000e+03
8.317826571389893786e+00 1.402666666666666742e+03
8.694031650506699904e+00 1.380312500000000000e+03
9.055537378374085122e+00 1.330235294117647072e+03
9.421497369287795465e+00 1.333333333333333258e+03
9.763407514716192281e+00 1.282000000000000000e+03
1.012575574675722834e+01 1.284941176470588289e+03
1.048819627135121557e+01 1.286125000000000000e+03
1.082670619925649369e+01 1.301066666666666606e+03
1.117815282102464103e+01 1.284823529411764639e+03
1.155253435339616530e+01 1.301529411764705856e+03
1.191343590158883536e+01 1.290937500000000000e+03
1.226267284651528833e+01 1.286312500000000000e+03
1.262280932778145370e+01 1.267705882352941217e+03
1.297953919419553870e+01 1.238875000000000000e+03
1.335482213221673931e+01 1.232705882352941217e+03
1.372408791116629168e+01 1.237823529411764639e+03
1.409901987699426762e+01 1.203277777777777828e+03
1.446083602812778324e+01 1.262333333333333258e+03
1.481730709028705206e+01 1.230000000000000000e+03
1.517173449838404942e+01 1.203352941176470495e+03
1.551811551146366774e+01 1.200599999999999909e+03
1.589641250683601470e+01 1.163611111111111086e+03
1.627339110809699463e+01 1.193666666666666742e+03
1.662011968575146881e+01 1.144352941176470495e+03
1.697835480865197155e+01 1.124937500000000000e+03
1.734199584128202787e+01 1.128687500000000000e+03
1.770553895594225224e+01 1.106705882352941217e+03
1.807130326400313081e+01 1.102058823529411711e+03
1.843465442894936857e+01 1.120266666666666652e+03
1.878096222119318170e+01 1.090687500000000000e+03
1.913659987323090306e+01 1.093705882352941217e+03
1.950514123753502460e+01 1.137125000000000000e+03
1.986330730459379268e+01 1.166812500000000000e+03
2.022073492801051842e+01 1.167529411764705856e+03
2.058710680632741230e+01 1.123062500000000000e+03
2.094314887247101353e+01 1.101875000000000000e+03
2.130438054981574680e+01 1.049176470588235361e+03
2.167905111950058483e+01 1.100352941176470495e+03
2.204560599318464398e+01 1.066187500000000000e+03
2.239682653882750429e+01 1.062750000000000000e+03
2.275363822822428617e+01 1.060750000000000000e+03
2.312793991557033380e+01 1.010277777777777828e+03
2.349935112218316746e+01 1.050562500000000000e+03
2.385416066626844156e+01 1.082250000000000000e+03
2.420834365316106940e+01 1.037125000000000000e+03
2.455857028755591998e+01 1.121250000000000000e+03
2.493091152744412042e+01 1.070529411764705856e+03
2.527483223733344175e+01 1.049200000000000045e+03
2.563425652252228559e+01 1.025187500000000000e+03
2.601672385617668581e+01 1.039549999999999955e+03
2.640577305237117756e+01 1.030428571428571331e+03
2.671930330674172893e+01 1.011933333333333280e+03
2.707089648078908084e+01 1.042750000000000000e+03
2.745202761316002693e+01 1.102052631578947285e+03
2.782921475418621426e+01 1.096933333333333394e+03
2.818807885309087169e+01 1.019823529411764753e+03
2.854806482795782330e+01 1.054875000000000000e+03
2.889549902919376478e+01 1.034000000000000000e+03
2.924727850905018656e+01 9.822941176470587834e+02
2.961173747369430131e+01 1.002750000000000000e+03
2.997762869486751214e+01 9.765882352941176805e+02
3.034381575091571293e+01 1.000625000000000000e+03
3.069637995846956002e+01 1.024750000000000000e+03
3.104821642274215066e+01 1.063937500000000000e+03
3.141729887792190112e+01 1.055529411764705856e+03
3.177492433466741772e+01 1.029500000000000000e+03
3.214626355577831163e+01 1.016705882352941217e+03
3.251675605723034579e+01 1.079312500000000000e+03
3.287487621126714288e+01 1.039352941176470495e+03
3.322782418636403889e+01 1.010866666666666674e+03
3.358790561082158632e+01 1.059882352941176578e+03
3.397104670879200228e+01 9.950000000000000000e+02
3.430972963393656272e+01 1.032933333333333394e+03
3.467331300415371231e+01 1.015352941176470608e+03
3.504488555086337698e+01 9.787500000000000000e+02
3.541363622899447705e+01 9.710000000000000000e+02
3.577692547683867730e+01 9.846666666666666288e+02
3.613001053112260763e+01 9.729375000000000000e+02
3.648202563062135084e+01 9.933750000000000000e+02
3.682962937910751577e+01 9.909375000000000000e+02
3.718790880640079166e+01 9.711764705882352473e+02
3.755793617592696165e+01 9.933529411764706083e+02
3.793580923229645663e+01 9.988125000000000000e+02
3.829782656806155927e+01 1.035437500000000000e+03
3.865315950278650803e+01 9.922500000000000000e+02
3.901830970180436253e+01 9.925882352941176805e+02
3.937154677477515463e+01 1.006125000000000000e+03
3.973451736319234584e+01 9.697647058823529278e+02
4.009041448886217296e+01 1.020666666666666629e+03
4.045700437370926039e+01 1.007470588235294144e+03
4.081547633796911612e+01 9.993999999999999773e+02
4.116711665622139549e+01 1.013647058823529392e+03
4.153243602663183509e+01 1.026294117647058783e+03
4.190135268967101467e+01 1.005375000000000000e+03
4.225694403171050340e+01 9.778235294117647527e+02
4.263072221917273197e+01 9.798823529411764639e+02
4.298236812304300258e+01 9.023333333333333712e+02
4.335397244744854106e+01 9.837368421052631220e+02
4.370938581296284298e+01 9.099285714285714448e+02
4.408141282004845607e+01 9.966111111111110858e+02
4.442311195098108811e+01 9.563750000000000000e+02
4.474736345545046134e+01 9.703333333333333712e+02
4.513181037106932081e+01 9.772173913043478706e+02
4.550518791356464732e+01 9.785454545454545041e+02
4.587859612931388398e+01 9.590000000000000000e+02
4.626298575904075960e+01 9.574166666666666288e+02
4.659827357861271935e+01 9.812222222222221717e+02
4.695833007920350610e+01 1.020812500000000000e+03
4.732706300537589073e+01 9.452941176470587834e+02
4.768729047865042503e+01 1.022687500000000000e+03
4.804603123853006252e+01 9.210000000000000000e+02
4.839911688274412427e+01 1.006733333333333348e+03
4.876043263521199123e+01 9.773888888888889142e+02
4.912600027158417504e+01 9.658125000000000000e+02
4.948820129318639260e+01 9.645000000000000000e+02
4.985200348507563461e+01 9.804375000000000000e+02
5.021186646673336895e+01 9.608125000000000000e+02
5.056009585579234056e+01 1.005500000000000000e+03
5.092929928871412670e+01 9.369444444444444571e+02
5.129035769465544803e+01 9.785333333333333030e+02
5.164685043638609585e+01 1.018470588235294144e+03
5.201769573310133410e+01 9.962500000000000000e+02
5.238760095852538257e+01 9.913750000000000000e+02
5.273628981835555862e+01 1.007000000000000000e+03
5.309476049356305793e+01 9.550000000000000000e+02
5.345016124763998988e+01 9.873750000000000000e+02
5.381627393954912719e+01 9.638235294117647527e+02
5.418861012304124358e+01 9.825000000000000000e+02
5.455507675480509988e+01 9.600000000000000000e+02
5.490978944155331476e+01 9.613125000000000000e+02
5.527062247726589561e+01 9.530625000000000000e+02
5.563114682740363293e+01 9.692500000000000000e+02
5.601023261561899602e+01 9.422105263157894797e+02
5.636736094360470872e+01 9.882307692307692832e+02
5.670276624052125669e+01 1.016647058823529392e+03
5.708342660208528230e+01 9.813529411764706083e+02
5.743755150235368490e+01 1.014312500000000000e+03
5.781125925987439729e+01 9.939411764705882888e+02
5.818065824853643875e+01 9.830625000000000000e+02
5.852827955308822538e+01 1.000437500000000000e+03
5.888312669818119360e+01 1.014125000000000000e+03
5.924840814141190748e+01 9.866470588235293917e+02
5.961154974951115548e+01 1.009812500000000000e+03
5.996845703544695283e+01 1.001125000000000000e+03
6.032107613684184599e+01 9.960625000000000000e+02
6.067635033341284867e+01 1.013750000000000000e+03
6.103835741567128537e+01 9.948823529411764639e+02
6.140561065545576724e+01 1.044812500000000000e+03
6.177042045335986842e+01 1.002176470588235247e+03
6.213399215608534831e+01 9.939375000000000000e+02
6.248259002593690781e+01 1.006066666666666720e+03
6.284760485184366985e+01 1.070833333333333258e+03
6.324143716501277623e+01 1.008888888888888914e+03
6.359422694762883310e+01 1.072500000000000000e+03
6.391455316895247307e+01 1.098928571428571331e+03
6.427479584875267449e+01 1.034368421052631675e+03
6.466508569255833550e+01 1.118812500000000000e+03
6.502666580012007103e+01 1.006058823529411711e+03
6.539446369731982145e+01 1.024625000000000000e+03
6.574820320749168445e+01 1.028812500000000000e+03
6.610068040043485382e+01 1.030625000000000000e+03
6.645692095565500779e+01 1.018750000000000000e+03
6.681800687385491244e+01 1.061058823529411711e+03
6.719035107877287771e+01 1.020764705882352928e+03
6.755840506439764681e+01 1.020500000000000000e+03
6.790011856147869196e+01 1.050733333333333348e+03
6.826495417233978458e+01 1.043222222222222172e+03
6.864122356074808806e+01 1.047625000000000000e+03
6.899120487936832546e+01 1.065875000000000000e+03
6.934515837690105400e+01 1.042750000000000000e+03
6.970219057915214478e+01 1.090500000000000000e+03
7.006043201921525565e+01 1.045823529411764639e+03
7.042671108571890670e+01 1.045187500000000000e+03
7.078710034359642123e+01 1.104375000000000000e+03
7.115811437123892347e+01 1.082944444444444343e+03
7.153958093271063490e+01 1.061529411764705856e+03
7.190442186609608655e+01 1.109866666666666561e+03
7.224263994054126670e+01 1.077500000000000000e+03
7.260219134987632117e+01 1.060529411764705856e+03
7.297609154208090843e+01 1.112750000000000000e+03
7.332683994636451530e+01 1.079375000000000000e+03
7.367044320861349149e+01 1.077187500000000000e+03
7.404725045633394132e+01 1.129941176470588289e+03
7.441295239220515612e+01 1.130266666666666652e+03
7.476343416238385942e+01 1.071411764705882433e+03
7.513029354853142650e+01 1.112117647058823422e+03
7.551519662243860864e+01 1.072117647058823422e+03
7.587747040259006326e+01 1.075500000000000000e+03
7.622370848935524634e+01 1.083687500000000000e+03
7.658149045660854881e+01 1.059882352941176578e+03
7.695187606182420836e+01 1.118187500000000000e+03
7.730262882985928741e+01 1.096000000000000000e+03
7.767087407088446582e+01 1.081333333333333258e+03
7.804258364307008833e+01 1.105000000000000000e+03
7.840203383197295750e+01 1.105058823529411711e+03
7.876824823481187821e+01 1.099437500000000000e+03
7.911783678159913791e+01 1.103062500000000000e+03
7.947884115428381335e+01 1.097647058823529505e+03
7.982941921865229062e+01 1.123933333333333394e+03
8.016986655134641637e+01 1.104437500000000000e+03
8.052259744243993111e+01 1.106000000000000000e+03
8.090008256545793586e+01 1.091235294117647072e+03
8.126221084920342719e+01 1.109750000000000000e+03
8.162685701871724575e+01 1.127294117647058783e+03
8.200083637261658964e+01 1.096764705882352928e+03
8.236607722354534644e+01 1.125187500000000000e+03
8.273099511512749871e+01 1.109000000000000000e+03
8.309724864130512856e+01 1.135062500000000000e+03
8.345987425604631937e+01 1.093117647058823422e+03
8.382511681739602238e+01 1.124875000000000000e+03
8.418906478693283191e+01 1.096117647058823422e+03
8.455583955869450108e+01 1.134937500000000000e+03
8.491951971574090408e+01 1.105176470588235361e+03
8.527853749732436484e+01 1.122266666666666652e+03
8.562162058484382499e+01 1.144312500000000000e+03
8.597809203121383348e+01 1.145312500000000000e+03
8.633487585451712221e+01 1.144937500000000000e+03
8.669194469307866768e+01 1.142125000000000000e+03
8.704136346034113103e+01 1.091875000000000000e+03
8.738782040139935248e+01 1.156588235294117567e+03
8.773094542231270054e+01 1.253375000000000000e+03
8.806515251314741022e+01 1.287062500000000000e+03
8.840279388044622522e+01 1.052200000000000045e+03
8.875361409099390642e+01 7.404375000000000000e+02
8.910965539559541071e+01 5.795625000000000000e+02
8.946576564888061966e+01 5.005625000000000000e+02
8.982191728423745758e+01 4.345625000000000000e+02
9.017808271576254242e+01 3.890000000000000000e+02
9.055281017641182473e+01 3.692941176470588402e+02
