# angle I
-5.345013494957747469e+00 9.623333333333333712e+02
-5.045018388767892326e+00 9.623750000000000000e+02
-4.689203949978235642e+00 9.318125000000000000e+02
-4.333026410032358555e+00 9.213125000000000000e+02
-3.976512850060811122e+00 9.230000000000000000e+02
-3.619690506843096234e+00 9.216875000000000000e+02
-3.262586760556078769e+00 9.208125000000000000e+02
-2.904206446615597237e+00 9.058235294117647527e+02
-2.536625107857171102e+00 9.091111111111110858e+02
-2.169762540650015836e+00 8.943529411764706083e+02
-1.820546743112691601e+00 9.023125000000000000e+02
-1.464675008922181831e+00 9.005000000000000000e+02
-1.108690583851543510e+00 9.025625000000000000e+02
-7.526209769764011792e-01 9.047500000000000000e+02
-1.762194385507231675e-01 9.053888888888889142e+02
3.964937367391271339e-01 9.112500000000000000e+02
7.526209769764011792e-01 9.078125000000000000e+02
1.108690583851543510e+00 9.028125000000000000e+02
1.464675008922181831e+00 9.006250000000000000e+02
1.820546743112691601e+00 9.007500000000000000e+02
2.169762540650015836e+00 8.869411764705882888e+02
2.536625107857171102e+00 8.901666666666666288e+02
2.904206446615597237e+00 8.806470588235293917e+02
3.262586760556078769e+00 8.922500000000000000e+02
3.619690506843096234e+00 8.873125000000000000e+02
3.976512850060811122e+00 8.831250000000000000e+02
4.333026410032358555e+00 8.776875000000000000e+02
4.689203949978235642e+00 8.715000000000000000e+02
5.045018388767892326e+00 8.667500000000000000e+02
5.400442812991911090e+00 8.663125000000000000e+02
5.755450488841650447e+00 8.691250000000000000e+02
6.121346079378987781e+00 8.533529411764706083e+02
6.496668123211583712e+00 8.515294117647058556e+02
6.859015260005412173e+00 8.627500000000000000e+02
7.225286504036425583e+00 8.535882352941176805e+02
7.590197231644101095e+00 8.503750000000000000e+02
7.944261363996122149e+00 8.402500000000000000e+02
8.317826571389893786e+00 8.408888888888889142e+02
8.694031650506699904e+00 8.404375000000000000e+02
9.055537378374085122e+00 8.366470588235293917e+02
9.421497369287795465e+00 8.479333333333332803e+02
9.763407514716192281e+00 8.347500000000000000e+02
1.012575574675722834e+01 8.297647058823529278e+02
1.048819627135121557e+01 8.208125000000000000e+02
1.082670619925649369e+01 8.211333333333333258e+02
1.117815282102464103e+01 8.121764705882352473e+02
1.155253435339616530e+01 8.152941176470587834e+02
1.191343590158883536e+01 8.043125000000000000e+02
1.226267284651528833e+01 7.960625000000000000e+02
1.262280932778145370e+01 7.928823529411764639e+02
1.297953919419553870e+01 7.908750000000000000e+02
1.335482213221673931e+01 8.002941176470587834e+02
1.372408791116629168e+01 7.975294117647058556e+02
1.409901987699426762e+01 7.771111111111110858e+02
1.446083602812778324e+01 7.970000000000000000e+02
1.481730709028705206e+01 7.818750000000000000e+02
1.517173449838404942e+01 7.790588235294117112e+02
1.551811551146366774e+01 7.822000000000000455e+02
1.589641250683601470e+01 7.636111111111110858e+02
1.627339110809699463e+01 7.677999999999999545e+02
1.662011968575146881e+01 7.545882352941176805e+02
1.697835480865197155e+01 7.568125000000000000e+02
1.734199584128202787e+01 7.738125000000000000e+02
1.770553895594225224e+01 7.647647058823529278e+02
1.807130326400313081e+01 7.614117647058823195e+02
1.843465442894936857e+01 7.699333333333332803e+02
1.878096222119318170e+01 7.607500000000000000e+02
1.913659987323090306e+01 7.581176470588235361e+02
1.950514123753502460e+01 7.590000000000000000e+02
1.986330730459379268e+01 7.604375000000000000e+02
2.022073492801051842e+01 7.528235294117647527e+02
2.058710680632741230e+01 7.474375000000000000e+02
2.094314887247101353e+01 7.403750000000000000e+02
2.130438054981574680e+01 7.264705882352941444e+02
2.167905111950058483e+01 7.375882352941176805e+02
2.204560599318464398e+01 7.251875000000000000e+02
2.239682653882750429e+01 7.325000000000000000e+02
2.275363822822428617e+01 7.475625000000000000e+02
2.312793991557033380e+01 7.270000000000000000e+02
2.349935112218316746e+01 7.388125000000000000e+02
2.385416066626844156e+01 7.468750000000000000e+02
2.420834365316106940e+01 7.244375000000000000e+02
2.455857028755591998e+01 7.468750000000000000e+02
2.493091152744412042e+01 7.306470588235293917e+02
2.527483223733344175e+01 7.282000000000000455e+02
2.563425652252228559e+01 7.328750000000000000e+02
2.601672385617668581e+01 7.362000000000000455e+02
2.640577305237117756e+01 7.370000000000000000e+02
2.671930330674172893e+01 7.254666666666666970e+02
2.707089648078908084e+01 7.277500000000000000e+02
2.745202761316002693e+01 7.373684210526315610e+02
2.782921475418621426e+01 7.380666666666667197e+02
2.818807885309087169e+01 7.234705882352941444e+02
2.854806482795782330e+01 7.358125000000000000e+02
2.889549902919376478e+01 7.295333333333333030e+02
2.924727850905018656e+01 7.211764705882352473e+02
2.961173747369430131e+01 7.314375000000000000e+02
2.997762869486751214e+01 7.240000000000000000e+02
3.034381575091571293e+01 7.353125000000000000e+02
3.069637995846956002e+01 7.346875000000000000e+02
3.104821642274215066e+01 7.317500000000000000e+02
3.141729887792190112e+01 7.305882352941176805e+02
3.177492433466741772e+01 7.342500000000000000e+02
3.214626355577831163e+01 7.287647058823529278e+02
3.251675605723034579e+01 7.480625000000000000e+02
3.287487621126714288e+01 7.384117647058823195e+02
3.322782418636403889e+01 7.303999999999999773e+02
3.358790561082158632e+01 7.410588235294117112e+02
3.397104670879200228e+01 7.228823529411764639e+02
3.430972963393656272e+01 7.455333333333333030e+02
3.467331300415371231e+01 7.431764705882352473e+02
3.504488555086337698e+01 7.405000000000000000e+02
3.541363622899447705e+01 7.380555555555555429e+02
3.577692547683867730e+01 7.483999999999999773e+02
3.613001053112260763e+01 7.470625000000000000e+02
3.648202563062135084e+01 7.522500000000000000e+02
3.682962937910751577e+01 7.501250000000000000e+02
3.718790880640079166e+01 7.382941176470587834e+02
3.755793617592696165e+01 7.471764705882352473e+02
3.793580923229645663e+01 7.557500000000000000e+02
3.829782656806155927e+01 7.606250000000000000e+02
3.865315950278650803e+01 7.420625000000000000e+02
3.901830970180436253e+01 7.484705882352941444e+02
3.937154677477515463e+01 7.573750000000000000e+02
3.973451736319234584e+01 7.439411764705882888e+02
4.009041448886217296e+01 7.527333333333333485e+02
4.045700437370926039e+01 7.544117647058823195e+02
4.081547633796911612e+01 7.318666666666666742e+02
4.116711665622139549e+01 7.446470588235293917e+02
4.153243602663183509e+01 7.418235294117647527e+02
4.190135268967101467e+01 7.418125000000000000e+02
4.225694403171050340e+01 7.467058823529412166e+02
4.263072221917273197e+01 7.512941176470587834e+02
4.298236812304300258e+01 7.354666666666666970e+02
4.335397244744854106e+01 7.630000000000000000e+02
4.370938581296284298e+01 7.312857142857143344e+02
4.408141282004845607e+01 7.585000000000000000e+02
4.442311195098108811e+01 7.322500000000000000e+02
4.474736345545046134e+01 7.429166666666666288e+02
4.513181037106932081e+01 7.487826086956521294e+02
4.550518791356464732e+01 7.539090909090908781e+02
4.587859612931388398e+01 7.507391304347826235e+02
4.626298575904075960e+01 7.478333333333333712e+02
4.659827357861271935e+01 7.432222222222221717e+02
4.695833007920350610e+01 7.612500000000000000e+02
4.732706300537589073e+01 7.295882352941176805e+02
4.768729047865042503e+01 7.516250000000000000e+02
4.804603123853006252e+01 7.205882352941176805e+02
4.839911688274412427e+01 7.408666666666666742e+02
4.876043263521199123e+01 7.336666666666666288e+02
4.912600027158417504e+01 7.351875000000000000e+02
4.948820129318639260e+01 7.334375000000000000e+02
4.985200348507563461e+01 7.310000000000000000e+02
5.021186646673336895e+01 7.181875000000000000e+02
5.056009585579234056e+01 7.428750000000000000e+02
