# angle I
-5.345013494957747469e+00 3.395666666666666515e+03
-5.045018388767892326e+00 4.178812500000000000e+03
-4.689203949978235642e+00 4.106000000000000000e+03
-4.333026410032358555e+00 4.062437500000000000e+03
-3.976512850060811122e+00 4.029125000000000000e+03
-3.619690506843096234e+00 3.991375000000000000e+03
-3.262586760556078769e+00 3.976187500000000000e+03
-2.904206446615597237e+00 3.836352941176470722e+03
-2.536625107857171102e+00 4.006000000000000000e+03
-2.169762540650015836e+00 3.880764705882353155e+03
-1.820546743112691601e+00 4.046937500000000000e+03
-1.464675008922181831e+00 4.087062500000000000e+03
-1.108690583851543510e+00 4.205937500000000000e+03
-7.526209769764011792e-01 4.294375000000000000e+03
-1.762194385507231675e-01 4.341916666666666970e+03
3.964937367391271339e-01 4.213937500000000000e+03
7.526209769764011792e-01 4.113187500000000000e+03
1.108690583851543510e+00 4.036000000000000000e+03
1.464675008922181831e+00 4.047375000000000000e+03
1.820546743112691601e+00 4.068062500000000000e+03
2.169762540650015836e+00 3.836117647058823422e+03
2.536625107857171102e+00 3.893555555555555657e+03
2.904206446615597237e+00 3.735588235294117567e+03
3.262586760556078769e+00 3.939187500000000000e+03
3.619690506843096234e+00 3.897250000000000000e+03
3.976512850060811122e+00 3.810125000000000000e+03
4.333026410032358555e+00 3.764250000000000000e+03
4.689203949978235642e+00 3.780937500000000000e+03
5.045018388767892326e+00 3.777562500000000000e+03
5.400442812991911090e+00 3.685312500000000000e+03
5.755450488841650447e+00 3.598625000000000000e+03
6.121346079378987781e+00 3.352764705882353155e+03
6.496668123211583712e+00 3.295176470588235134e+03
6.859015260005412173e+00 3.400437500000000000e+03
7.225286504036425583e+00 3.270058823529411711e+03
7.590197231644101095e+00 3.304312500000000000e+03
7.944261363996122149e+00 3.227812500000000000e+03
8.317826571389893786e+00 3.205388888888888687e+03
8.694031650506699904e+00 3.121750000000000000e+03
9.055537378374085122e+00 3.050411764705882433e+03
9.421497369287795465e+00 3.226400000000000091e+03
9.763407514716192281e+00 3.030625000000000000e+03
1.012575574675722834e+01 2.949058823529411711e+03
1.048819627135121557e+01 2.890562500000000000e+03
1.082670619925649369e+01 2.969800000000000182e+03
1.117815282102464103e+01 2.865352941176470722e+03
1.155253435339616530e+01 2.904588235294117567e+03
1.191343590158883536e+01 2.738375000000000000e+03
1.226267284651528833e+01 2.740312500000000000e+03
1.262280932778145370e+01 2.778470588235294144e+03
1.297953919419553870e+01 2.784375000000000000e+03
1.335482213221673931e+01 2.740647058823529278e+03
1.372408791116629168e+01 2.849176470588235134e+03
1.409901987699426762e+01 2.568333333333333485e+03
1.446083602812778324e+01 2.781666666666666515e+03
1.481730709028705206e+01 2.648500000000000000e+03
1.517173449838404942e+01 2.614294117647059011e+03
1.551811551146366774e+01 2.672133333333333212e+03
1.589641250683601470e+01 2.490277777777777828e+03
1.627339110809699463e+01 2.557866666666666788e+03
1.662011968575146881e+01 2.416058823529411711e+03
1.697835480865197155e+01 2.400437500000000000e+03
1.734199584128202787e+01 2.524250000000000000e+03
1.770553895594225224e+01 2.398882352941176578e+03
1.807130326400313081e+01 2.288823529411764866e+03
1.843465442894936857e+01 2.356000000000000000e+03
1.878096222119318170e+01 2.203250000000000000e+03
1.913659987323090306e+01 2.190764705882353155e+03
1.950514123753502460e+01 2.341875000000000000e+03
1.986330730459379268e+01 2.356812500000000000e+03
2.022073492801051842e+01 2.179941176470588289e+03
2.058710680632741230e+01 2.263437500000000000e+03
