# angle I
-5.345013494957747469e+00 8.873333333333333712e+02
-5.045018388767892326e+00 1.206125000000000000e+03
-4.689203949978235642e+00 1.175937500000000000e+03
-4.333026410032358555e+00 1.144812500000000000e+03
-3.976512850060811122e+00 1.134750000000000000e+03
-3.619690506843096234e+00 1.155562500000000000e+03
-3.262586760556078769e+00 1.183062500000000000e+03
-2.904206446615597237e+00 1.167941176470588289e+03
-2.536625107857171102e+00 1.185611111111111086e+03
-2.169762540650015836e+00 1.211647058823529505e+03
-1.820546743112691601e+00 1.252187500000000000e+03
-1.464675008922181831e+00 1.252875000000000000e+03
-1.108690583851543510e+00 1.251625000000000000e+03
-7.526209769764011792e-01 1.251500000000000000e+03
-1.762194385507231675e-01 1.405333333333333258e+03
3.964937367391271339e-01 1.274562500000000000e+03
7.526209769764011792e-01 1.262125000000000000e+03
1.108690583851543510e+00 1.251750000000000000e+03
1.464675008922181831e+00 1.237375000000000000e+03
1.820546743112691601e+00 1.216937500000000000e+03
2.169762540650015836e+00 1.163470588235294144e+03
2.536625107857171102e+00 1.138055555555555657e+03
2.904206446615597237e+00 1.135529411764705856e+03
3.262586760556078769e+00 1.152125000000000000e+03
3.619690506843096234e+00 1.126500000000000000e+03
3.976512850060811122e+00 1.111687500000000000e+03
4.333026410032358555e+00 1.101437500000000000e+03
4.689203949978235642e+00 1.085687500000000000e+03
5.045018388767892326e+00 1.058625000000000000e+03
5.400442812991911090e+00 1.029562500000000000e+03
5.755450488841650447e+00 1.007937500000000000e+03
6.121346079378987781e+00 9.710588235294117112e+02
6.496668123211583712e+00 9.683529411764706083e+02
6.859015260005412173e+00 9.905625000000000000e+02
7.225286504036425583e+00 9.718235294117647527e+02
7.590197231644101095e+00 9.748125000000000000e+02
7.944261363996122149e+00 9.500000000000000000e+02
8.317826571389893786e+00 9.202777777777778283e+02
8.694031650506699904e+00 9.091875000000000000e+02
9.055537378374085122e+00 9.012352941176470722e+02
9.421497369287795465e+00 9.097999999999999545e+02
9.763407514716192281e+00 8.952500000000000000e+02
1.012575574675722834e+01 9.106470588235293917e+02
1.048819627135121557e+01 8.697500000000000000e+02
1.082670619925649369e+01 8.632000000000000455e+02
1.117815282102464103e+01 8.618235294117647527e+02
1.155253435339616530e+01 8.565294117647058556e+02
1.191343590158883536e+01 8.558125000000000000e+02
1.226267284651528833e+01 8.517500000000000000e+02
1.262280932778145370e+01 8.534705882352941444e+02
1.297953919419553870e+01 8.136875000000000000e+02
1.335482213221673931e+01 7.985882352941176805e+02
1.372408791116629168e+01 8.001176470588235361e+02
1.409901987699426762e+01 7.962222222222221717e+02
1.446083602812778324e+01 8.226666666666666288e+02
1.481730709028705206e+01 8.075625000000000000e+02
1.517173449838404942e+01 8.262941176470587834e+02
1.551811551146366774e+01 8.094666666666666970e+02
1.589641250683601470e+01 7.811666666666666288e+02
1.627339110809699463e+01 7.887333333333333485e+02
1.662011968575146881e+01 7.911764705882352473e+02
1.697835480865197155e+01 7.762500000000000000e+02
1.734199584128202787e+01 7.875625000000000000e+02
1.770553895594225224e+01 7.758823529411764639e+02
1.807130326400313081e+01 7.790000000000000000e+02
1.843465442894936857e+01 7.701333333333333258e+02
1.878096222119318170e+01 7.507500000000000000e+02
1.913659987323090306e+01 7.558823529411764639e+02
1.950514123753502460e+01 7.645625000000000000e+02
1.986330730459379268e+01 7.636250000000000000e+02
2.022073492801051842e+01 7.465294117647058556e+02
2.058710680632741230e+01 7.578750000000000000e+02
2.094314887247101353e+01 7.520000000000000000e+02
2.130438054981574680e+01 7.275882352941176805e+02
2.167905111950058483e+01 7.518235294117647527e+02
2.204560599318464398e+01 7.401250000000000000e+02
2.239682653882750429e+01 7.759375000000000000e+02
2.275363822822428617e+01 7.892500000000000000e+02
2.312793991557033380e+01 7.469444444444444571e+02
2.349935112218316746e+01 7.578125000000000000e+02
2.385416066626844156e+01 7.458750000000000000e+02
2.420834365316106940e+01 7.202500000000000000e+02
2.455857028755591998e+01 7.520625000000000000e+02
2.493091152744412042e+01 7.427058823529412166e+02
2.527483223733344175e+01 7.317333333333333485e+02
2.563425652252228559e+01 7.263125000000000000e+02
2.601672385617668581e+01 7.410000000000000000e+02
2.640577305237117756e+01 7.397142857142856656e+02
2.671930330674172893e+01 7.321333333333333258e+02
2.707089648078908084e+01 7.437500000000000000e+02
2.745202761316002693e+01 7.450526315789473983e+02
2.782921475418621426e+01 7.327999999999999545e+02
2.818807885309087169e+01 7.196470588235293917e+02
2.854806482795782330e+01 7.531250000000000000e+02
2.889549902919376478e+01 7.420666666666667197e+02
2.924727850905018656e+01 7.311764705882352473e+02
2.961173747369430131e+01 7.531250000000000000e+02
2.997762869486751214e+01 7.334117647058823195e+02
3.034381575091571293e+01 7.385625000000000000e+02
3.069637995846956002e+01 7.430000000000000000e+02
3.104821642274215066e+01 7.403750000000000000e+02
3.141729887792190112e+01 7.307647058823529278e+02
3.177492433466741772e+01 7.420625000000000000e+02
3.214626355577831163e+01 7.377058823529412166e+02
3.251675605723034579e+01 7.623750000000000000e+02
3.287487621126714288e+01 7.390588235294117112e+02
3.322782418636403889e+01 7.494666666666666970e+02
3.358790561082158632e+01 7.553529411764706083e+02
3.397104670879200228e+01 7.434117647058823195e+02
3.430972963393656272e+01 7.482666666666666515e+02
3.467331300415371231e+01 7.521176470588235361e+02
3.504488555086337698e+01 7.500000000000000000e+02
3.541363622899447705e+01 7.471111111111110858e+02
3.577692547683867730e+01 7.525333333333333030e+02
3.613001053112260763e+01 7.529375000000000000e+02
3.648202563062135084e+01 7.502500000000000000e+02
3.682962937910751577e+01 7.535000000000000000e+02
3.718790880640079166e+01 7.584117647058823195e+02
3.755793617592696165e+01 7.572352941176470722e+02
3.793580923229645663e+01 7.978750000000000000e+02
3.829782656806155927e+01 7.829375000000000000e+02
3.865315950278650803e+01 7.781250000000000000e+02
3.901830970180436253e+01 7.758235294117647527e+02
3.937154677477515463e+01 7.734375000000000000e+02
3.973451736319234584e+01 7.658823529411764639e+02
4.009041448886217296e+01 7.852000000000000455e+02
4.045700437370926039e+01 7.910000000000000000e+02
4.081547633796911612e+01 7.782666666666666515e+02
4.116711665622139549e+01 7.902941176470587834e+02
4.153243602663183509e+01 7.762941176470587834e+02
4.190135268967101467e+01 8.079375000000000000e+02
4.225694403171050340e+01 7.611764705882352473e+02
4.263072221917273197e+01 8.191764705882352473e+02
4.298236812304300258e+01 7.550666666666667197e+02
4.335397244744854106e+01 8.206842105263158373e+02
4.370938581296284298e+01 7.582857142857143344e+02
4.408141282004845607e+01 7.890000000000000000e+02
4.442311195098108811e+01 7.943125000000000000e+02
4.474736345545046134e+01 7.901666666666666288e+02
4.513181037106932081e+01 7.973913043478261216e+02
4.550518791356464732e+01 7.967272727272727479e+02
4.587859612931388398e+01 7.796521739130434980e+02
4.626298575904075960e+01 7.714166666666666288e+02
4.659827357861271935e+01 7.876111111111110858e+02
4.695833007920350610e+01 7.728750000000000000e+02
4.732706300537589073e+01 7.709411764705882888e+02
4.768729047865042503e+01 7.850625000000000000e+02
4.804603123853006252e+01 7.478823529411764639e+02
4.839911688274412427e+01 7.936000000000000227e+02
4.876043263521199123e+01 7.484444444444444571e+02
4.912600027158417504e+01 7.730625000000000000e+02
4.948820129318639260e+01 7.508750000000000000e+02
4.985200348507563461e+01 7.580000000000000000e+02
5.021186646673336895e+01 7.341875000000000000e+02
5.056009585579234056e+01 7.596875000000000000e+02
5.092929928871412670e+01 7.248888888888889142e+02
5.129035769465544803e+01 7.558666666666666742e+02
5.164685043638609585e+01 7.656470588235293917e+02
5.201769573310133410e+01 7.719375000000000000e+02
5.238760095852538257e+01 7.602500000000000000e+02
5.273628981835555862e+01 7.602500000000000000e+02
5.309476049356305793e+01 7.528235294117647527e+02
5.345016124763998988e+01 7.562500000000000000e+02
5.381627393954912719e+01 7.528235294117647527e+02
5.418861012304124358e+01 7.500000000000000000e+02
5.455507675480509988e+01 7.415294117647058556e+02
5.490978944155331476e+01 7.433125000000000000e+02
5.527062247726589561e+01 7.350000000000000000e+02
5.563114682740363293e+01 7.485625000000000000e+02
5.601023261561899602e+01 7.321578947368420813e+02
5.636736094360470872e+01 7.471538461538461888e+02
5.670276624052125669e+01 7.501176470588235361e+02
5.708342660208528230e+01 7.394705882352941444e+02
5.743755150235368490e+01 7.411250000000000000e+02
5.781125925987439729e+01 7.419411764705882888e+02
5.818065824853643875e+01 7.415625000000000000e+02
5.852827955308822538e+01 7.483125000000000000e+02
5.888312669818119360e+01 7.441875000000000000e+02
5.924840814141190748e+01 7.360000000000000000e+02
5.961154974951115548e+01 7.487500000000000000e+02
5.996845703544695283e+01 7.382500000000000000e+02
6.032107613684184599e+01 7.355625000000000000e+02
6.067635033341284867e+01 7.443750000000000000e+02
6.103835741567128537e+01 7.228235294117647527e+02
6.140561065545576724e+01 7.400625000000000000e+02
6.177042045335986842e+01 7.285882352941176805e+02
6.213399215608534831e+01 7.241875000000000000e+02
6.248259002593690781e+01 7.283999999999999773e+02
6.284760485184366985e+01 7.404444444444444571e+02
6.324143716501277623e+01 7.315000000000000000e+02
6.359422694762883310e+01 7.419285714285714448e+02
6.391455316895247307e+01 7.437857142857143344e+02
6.427479584875267449e+01 7.210526315789473983e+02
6.466508569255833550e+01 7.381250000000000000e+02
6.502666580012007103e+01 6.951176470588235361e+02
6.539446369731982145e+01 7.171250000000000000e+02
6.574820320749168445e+01 7.158125000000000000e+02
6.610068040043485382e+01 7.147500000000000000e+02
6.645692095565500779e+01 7.116250000000000000e+02
6.681800687385491244e+01 7.305294117647058556e+02
6.719035107877287771e+01 7.291764705882352473e+02
6.755840506439764681e+01 7.430625000000000000e+02
6.790011856147869196e+01 7.500000000000000000e+02
6.826495417233978458e+01 7.399444444444444571e+02
6.864122356074808806e+01 7.310625000000000000e+02
6.899120487936832546e+01 7.278125000000000000e+02
6.934515837690105400e+01 7.080000000000000000e+02
6.970219057915214478e+01 7.194375000000000000e+02
7.006043201921525565e+01 7.063529411764706083e+02
7.042671108571890670e+01 7.120000000000000000e+02
7.078710034359642123e+01 7.337500000000000000e+02
7.115811437123892347e+01 7.376666666666666288e+02
7.153958093271063490e+01 7.206470588235293917e+02
7.190442186609608655e+01 7.229333333333332803e+02
7.224263994054126670e+01 7.150625000000000000e+02
7.260219134987632117e+01 7.269411764705882888e+02
7.297609154208090843e+01 7.441875000000000000e+02
7.332683994636451530e+01 7.198125000000000000e+02
7.367044320861349149e+01 7.143125000000000000e+02
7.404725045633394132e+01 7.332941176470587834e+02
7.441295239220515612e+01 7.259333333333332803e+02
7.476343416238385942e+01 7.052941176470587834e+02
7.513029354853142650e+01 7.232941176470587834e+02
7.551519662243860864e+01 7.220588235294117112e+02
7.587747040259006326e+01 7.248125000000000000e+02
7.622370848935524634e+01 7.271250000000000000e+02
7.658149045660854881e+01 7.094705882352941444e+02
7.695187606182420836e+01 7.258125000000000000e+02
7.730262882985928741e+01 7.148750000000000000e+02
7.767087407088446582e+01 7.145555555555555429e+02
7.804258364307008833e+01 7.221875000000000000e+02
7.840203383197295750e+01 7.310000000000000000e+02
7.876824823481187821e+01 7.325000000000000000e+02
7.911783678159913791e+01 7.365625000000000000e+02
7.947884115428381335e+01 7.370588235294117112e+02
7.982941921865229062e+01 7.417333333333333485e+02
8.016986655134641637e+01 7.307500000000000000e+02
8.052259744243993111e+01 7.268750000000000000e+02
8.090008256545793586e+01 7.208235294117647527e+02
8.126221084920342719e+01 7.284375000000000000e+02
8.162685701871724575e+01 7.429411764705882888e+02
8.200083637261658964e+01 7.291764705882352473e+02
8.236607722354534644e+01 7.321875000000000000e+02
8.273099511512749871e+01 7.241764705882352473e+02
8.309724864130512856e+01 7.371875000000000000e+02
8.345987425604631937e+01 7.279411764705882888e+02
8.382511681739602238e+01 7.412500000000000000e+02
8.418906478693283191e+01 7.229411764705882888e+02
8.455583955869450108e+01 7.328750000000000000e+02
8.491951971574090408e+01 7.216470588235293917e+02
8.527853749732436484e+01 7.259333333333332803e+02
8.562162058484382499e+01 7.387500000000000000e+02
8.597809203121383348e+01 7.436250000000000000e+02
8.633487585451712221e+01 7.445000000000000000e+02
8.669194469307866768e+01 7.430000000000000000e+02
8.704136346034113103e+01 7.201250000000000000e+02
8.738782040139935248e+01 7.228235294117647527e+02
8.773094542231270054e+01 7.276250000000000000e+02
8.806515251314741022e+01 7.649375000000000000e+02
8.840279388044622522e+01 8.226666666666666288e+02
8.875361409099390642e+01 8.442500000000000000e+02
8.910965539559541071e+01 7.765625000000000000e+02
8.946576564888061966e+01 6.366250000000000000e+02
8.982191728423745758e+01 5.033125000000000000e+02
9.017808271576254242e+01 4.094375000000000000e+02
9.055281017641182473e+01 3.610000000000000000e+02
9.094370714968017921e+01 3.467777777777777715e+02
9.133846013757234061e+01 3.476111111111110858e+02
9.172253577705761529e+01 3.505882352941176237e+02
9.209749924035037338e+01 3.574444444444444571e+02
9.246359859170013351e+01 3.698235294117646959e+02
9.273589281410198737e+01 3.935000000000000000e+02
