# qr I
-5.271178094407882181e-02 3.727272727272727071e+00
-5.248459079068404365e-02 3.443181818181818343e+00
-5.225740044403379830e-02 3.625000000000000000e+00
-5.203020990501463355e-02 3.715909090909090828e+00
-5.180301917451375637e-02 3.715909090909090828e+00
-5.157582825341917171e-02 3.943181818181818343e+00
-5.134863714261945350e-02 3.772727272727272929e+00
-5.112144584300391120e-02 3.965909090909090828e+00
-5.089425435546268001e-02 3.875000000000000000e+00
-5.066706268088654735e-02 3.715909090909090828e+00
-5.043987082016702928e-02 3.920454545454545414e+00
-5.021267877419652303e-02 3.863636363636363757e+00
-4.998548654386813367e-02 3.715909090909090828e+00
-4.975829413007577806e-02 4.125000000000000000e+00
-4.953110153371438618e-02 4.045454545454545858e+00
-4.930390875567945003e-02 4.034090909090909172e+00
-4.907671579686758573e-02 4.238636363636363313e+00
-4.884952265817608247e-02 3.829545454545454586e+00
-4.862232934050334660e-02 4.420454545454545858e+00
-4.839513584474861713e-02 4.079545454545454142e+00
-4.816794217181204207e-02 4.068181818181818343e+00
-4.794074832259482416e-02 4.659090909090909172e+00
-4.771355429799914449e-02 3.965909090909090828e+00
-4.748636009892821114e-02 4.431818181818181657e+00
-4.725916572628627993e-02 4.625000000000000000e+00
-4.703197118097866142e-02 4.534090909090909172e+00
-4.680477646391174862e-02 5.147727272727272485e+00
-4.657758157599316967e-02 4.545454545454545858e+00
-4.635038651813159355e-02 4.636363636363636687e+00
-4.612319129123693823e-02 4.465909090909090828e+00
-4.589599589622025966e-02 4.920454545454545858e+00
-4.566880033399389749e-02 4.522727272727272485e+00
-4.544160460547155833e-02 4.397727272727272485e+00
-4.521440871156805902e-02 4.590909090909090828e+00
-4.498721265319971518e-02 5.056818181818181657e+00
-4.476001643128412616e-02 5.000000000000000000e+00
-4.453282004674034150e-02 5.295454545454545858e+00
-4.430562350048885406e-02 5.340909090909090828e+00
-4.407842679345163467e-02 5.022727272727272485e+00
-4.385122992655211133e-02 4.897727272727272485e+00
-4.362403290071537737e-02 5.715909090909090828e+00
-4.339683571686800412e-02 5.454545454545454142e+00
-4.316963837593831843e-02 5.886363636363636687e+00
-4.294244087885621536e-02 5.590909090909090828e+00
-4.271524322655341488e-02 6.000000000000000000e+00
-4.248804541996337863e-02 5.886363636363636687e+00
-4.226084746002132381e-02 5.897727272727272485e+00
-4.203364934766445904e-02 6.068181818181818343e+00
-4.180645108383181097e-02 6.420454545454545858e+00
-4.157925266946443932e-02 5.727272727272727515e+00
-4.135205410550542998e-02 6.193181818181818343e+00
-4.112485539289988806e-02 6.397727272727272485e+00
-4.089765653259513911e-02 6.386363636363636687e+00
-4.067045752554063892e-02 6.125000000000000000e+00
-4.044325837268816781e-02 6.568181818181818343e+00
-4.021605907499178900e-02 6.818181818181818343e+00
-3.998885963340800820e-02 6.329545454545454142e+00
-3.976166004889573197e-02 7.204545454545454142e+00
-3.953446032241642732e-02 7.238636363636363313e+00
-3.930726045493416337e-02 7.295454545454545858e+00
-3.908006044741568069e-02 7.181818181818181657e+00
-3.885286030083048153e-02 7.000000000000000000e+00
-3.862566001615095473e-02 7.227272727272727515e+00
-3.839845959435227857e-02 7.568181818181818343e+00
-3.817125903641280238e-02 7.272727272727272485e+00
-3.794405834331388699e-02 8.102272727272726627e+00
-3.771685751604009207e-02 7.409090909090909172e+00
-3.748965655557925936e-02 8.034090909090908283e+00
-3.726245546292267924e-02 8.454545454545455030e+00
-3.703525423906504910e-02 8.397727272727273373e+00
-3.680805288500473005e-02 7.738636363636363313e+00
-3.658085140174377470e-02 8.988636363636363313e+00
-3.635364979028807286e-02 9.147727272727273373e+00
-3.612644805164745565e-02 8.579545454545455030e+00
-3.589924618683584812e-02 9.159090909090908283e+00
-3.567204419687131089e-02 9.409090909090908283e+00
-3.544484208277631082e-02 9.875000000000000000e+00
-3.521763984557783889e-02 9.363636363636363313e+00
-3.499043748630737555e-02 9.386363636363636687e+00
-3.476323500600126543e-02 1.039772727272727337e+01
-3.453603240570076588e-02 9.840909090909091717e+00
-3.430882968645221354e-02 1.052272727272727337e+01
-3.408162684930725328e-02 1.067045454545454497e+01
-3.385442389532293539e-02 1.067045454545454497e+01
-3.362722082556191677e-02 1.114772727272727337e+01
-3.340001764109268995e-02 1.101136363636363669e+01
-3.317281434298981896e-02 1.111363636363636331e+01
-3.294561093233397409e-02 1.132954545454545503e+01
-3.271840741021235510e-02 1.212500000000000000e+01
-3.249120377771878843e-02 1.277272727272727337e+01
-3.226400003595400467e-02 1.295454545454545503e+01
-3.203679618602588847e-02 1.301136363636363669e+01
-3.180959222904967271e-02 1.332954545454545503e+01
-3.158238816614834799e-02 1.369318181818181834e+01
-3.135518399845272502e-02 1.398863636363636331e+01
-3.112797972710196551e-02 1.420454545454545503e+01
-3.090077535324365840e-02 1.368181818181818166e+01
-3.067357087803429180e-02 1.537500000000000000e+01
-3.044636630263951663e-02 1.461363636363636331e+01
-3.021916162823455598e-02 1.495454545454545503e+01
-2.999195685600445152e-02 1.587500000000000000e+01
-2.976475198714454568e-02 1.572727272727272663e+01
-2.953754702286080086e-02 1.757954545454545325e+01
-2.931034196437027131e-02 1.609090909090908994e+01
-2.908313681290155411e-02 1.680681818181818343e+01
-2.885593156969510145e-02 1.817045454545454675e+01
-2.862872623600385552e-02 1.784090909090908994e+01
-2.840152081309368567e-02 1.831818181818181657e+01
-2.817431530224391231e-02 1.889772727272727337e+01
-2.794710970474783771e-02 1.928409090909091006e+01
-2.771990402191327682e-02 2.009090909090908994e+01
-2.749269825506327203e-02 2.032954545454545325e+01
-2.726549240553669332e-02 2.106818181818181657e+01
-2.703828647468877605e-02 2.214772727272727337e+01
-2.681108046389199875e-02 2.259090909090908994e+01
-2.658387437453668331e-02 2.240909090909091006e+01
-2.635666820803186233e-02 2.434090909090908994e+01
-2.612946196580599734e-02 2.428409090909091006e+01
-2.590225564930791202e-02 2.507954545454545325e+01
-2.567504926000763188e-02 2.613636363636363669e+01
-2.544784279939742502e-02 2.746590909090908994e+01
-2.522063626899262098e-02 2.784090909090908994e+01
-2.499342967033286664e-02 2.811363636363636331e+01
-2.476622300498311155e-02 2.778409090909091006e+01
-2.453901627453487430e-02 3.089772727272727337e+01
-2.431180948060734578e-02 3.132954545454545325e+01
-2.408460262484881514e-02 3.193181818181818343e+01
-2.385739570893801939e-02 3.415909090909090651e+01
-2.363018873458560751e-02 3.448863636363636687e+01
-2.340298170353566354e-02 3.528409090909090651e+01
-2.317577461756738927e-02 3.656818181818182012e+01
-2.294856747849679385e-02 3.812500000000000000e+01
-2.272136028817861239e-02 3.903409090909090651e+01
-2.249415304850815867e-02 4.120454545454545325e+01
-2.226694576142346574e-02 4.209090909090909349e+01
-2.203973842890746479e-02 4.298863636363636687e+01
-2.181253105299033046e-02 4.493181818181817988e+01
-2.158532363575197191e-02 4.679545454545454675e+01
-2.135811617932466266e-02 4.934090909090909349e+01
-2.113090868589587515e-02 4.952272727272727337e+01
-2.090370115771121931e-02 5.122727272727272663e+01
-2.067649359707775247e-02 5.332954545454545325e+01
-2.044928600636728572e-02 5.547727272727272663e+01
-2.022207838802009966e-02 5.752272727272727337e+01
-1.999487074454872962e-02 5.992045454545454675e+01
-1.976766307854225038e-02 6.245454545454545325e+01
-1.954045539267062689e-02 6.694318181818181301e+01
-1.931324768968952638e-02 6.850000000000000000e+01
-1.908603997244537331e-02 7.034090909090909349e+01
-1.885883224388087975e-02 7.357954545454545325e+01
-1.863162450704083234e-02 7.772727272727273373e+01
-1.840441676507846569e-02 8.130681818181818699e+01
-1.817720902126221394e-02 8.361363636363635976e+01
-1.795000127898298270e-02 8.887500000000000000e+01
-1.772279354176205246e-02 9.257954545454545325e+01
-1.749558581325945730e-02 9.612500000000000000e+01
-1.726837809728320669e-02 1.014090909090909065e+02
-1.704117039779907972e-02 1.065227272727272663e+02
-1.681396271894133529e-02 1.117840909090909065e+02
-1.658675506502420294e-02 1.162727272727272663e+02
-1.635954744055442833e-02 1.223977272727272663e+02
-1.613233985024478678e-02 1.272613636363636402e+02
-1.590513229902882839e-02 1.352954545454545325e+02
-1.567792479207683748e-02 1.427954545454545325e+02
-1.545071733481332039e-02 1.506136363636363740e+02
-1.522350993293586884e-02 1.591931818181818130e+02
-1.499630259243591238e-02 1.684090909090909065e+02
-1.476909531962132364e-02 1.773295454545454675e+02
-1.454188812114108435e-02 1.838977272727272805e+02
-1.431468100401240943e-02 1.970681818181818130e+02
-1.408747397565043684e-02 2.099772727272727195e+02
-1.386026704390079696e-02 2.198750000000000000e+02
-1.363306021707552662e-02 2.382386363636363740e+02
-1.340585350399257046e-02 2.478295454545454675e+02
-1.317864691401940576e-02 2.642727272727272521e+02
-1.295144045712123305e-02 2.857954545454545610e+02
-1.272423414391432410e-02 3.038863636363636260e+02
-1.249702798572520715e-02 3.197727272727272521e+02
-1.226982199465645636e-02 3.435454545454545610e+02
-1.204261618365988322e-02 3.620681818181818130e+02
-1.181541056661813451e-02 3.899204545454545610e+02
-1.158820515843600983e-02 4.312272727272727479e+02
-1.136099997514259871e-02 4.517386363636363740e+02
-1.113379503400606027e-02 4.723977272727272521e+02
-1.090659035366259473e-02 5.216590909090908781e+02
-1.067938595426202661e-02 5.602045454545454959e+02
-1.045218185763224956e-02 6.086022727272727479e+02
-1.022497808746569183e-02 6.503522727272727479e+02
-9.997774669531151945e-03 7.018295454545454959e+02
-9.770571631915135266e-03 7.632954545454545041e+02
-9.543369005297813734e-03 8.276818181818181301e+02
-9.316166823269201799e-03 8.992272727272727479e+02
-9.088965122692823848e-03 9.765000000000000000e+02
-8.861763944125326461e-03 1.072318181818181756e+03
-8.634563332302258240e-03 1.176386363636363740e+03
-8.407363336702724024e-03 1.296727272727272748e+03
-8.180164012207986543e-03 1.428977272727272748e+03
-7.952965419873019373e-03 1.566681818181818244e+03
-7.725767627834150691e-03 1.729931818181818244e+03
-7.498570712381687903e-03 1.928806818181818244e+03
-7.271374759233556820e-03 2.132295454545454504e+03
-7.044179865055417294e-03 2.385602272727272521e+03
