# qr I
-5.271178094407882181e-02 2.452272727272727337e+01
-5.248459079068404365e-02 2.523863636363636331e+01
-5.225740044403379830e-02 2.597727272727272663e+01
-5.203020990501463355e-02 2.640909090909091006e+01
-5.180301917451375637e-02 2.681818181818181657e+01
-5.157582825341917171e-02 2.622727272727272663e+01
-5.134863714261945350e-02 2.700000000000000000e+01
-5.112144584300391120e-02 2.605681818181818343e+01
-5.089425435546268001e-02 2.669318181818181657e+01
-5.066706268088654735e-02 2.740909090909091006e+01
-5.043987082016702928e-02 2.857954545454545325e+01
-5.021267877419652303e-02 2.779545454545454675e+01
-4.998548654386813367e-02 2.911363636363636331e+01
-4.975829413007577806e-02 2.910227272727272663e+01
-4.953110153371438618e-02 2.940909090909091006e+01
-4.930390875567945003e-02 2.951136363636363669e+01
-4.907671579686758573e-02 3.098863636363636331e+01
-4.884952265817608247e-02 3.121590909090908994e+01
-4.862232934050334660e-02 3.092045454545454675e+01
-4.839513584474861713e-02 3.136363636363636331e+01
-4.816794217181204207e-02 3.120454545454545325e+01
-4.794074832259482416e-02 3.288636363636363313e+01
-4.771355429799914449e-02 3.170454545454545325e+01
-4.748636009892821114e-02 3.400000000000000000e+01
-4.725916572628627993e-02 3.331818181818182012e+01
-4.703197118097866142e-02 3.348863636363636687e+01
-4.680477646391174862e-02 3.604545454545454675e+01
-4.657758157599316967e-02 3.565909090909090651e+01
-4.635038651813159355e-02 3.620454545454545325e+01
-4.612319129123693823e-02 3.507954545454545325e+01
-4.589599589622025966e-02 3.501136363636363313e+01
-4.566880033399389749e-02 3.659090909090909349e+01
-4.544160460547155833e-02 3.805681818181817988e+01
-4.521440871156805902e-02 3.750000000000000000e+01
-4.498721265319971518e-02 3.798863636363636687e+01
-4.476001643128412616e-02 3.900000000000000000e+01
-4.453282004674034150e-02 3.936363636363636687e+01
-4.430562350048885406e-02 4.055681818181817988e+01
-4.407842679345163467e-02 4.007954545454545325e+01
-4.385122992655211133e-02 4.072727272727272663e+01
-4.362403290071537737e-02 4.196590909090909349e+01
-4.339683571686800412e-02 4.031818181818182012e+01
-4.316963837593831843e-02 4.254545454545454675e+01
-4.294244087885621536e-02 4.335227272727272663e+01
-4.271524322655341488e-02 4.322727272727272663e+01
-4.248804541996337863e-02 4.344318181818182012e+01
-4.226084746002132381e-02 4.526136363636363313e+01
-4.203364934766445904e-02 4.407954545454545325e+01
-4.180645108383181097e-02 4.536363636363636687e+01
-4.157925266946443932e-02 4.686363636363636687e+01
-4.135205410550542998e-02 4.663636363636363313e+01
-4.112485539289988806e-02 4.687500000000000000e+01
-4.089765653259513911e-02 4.910227272727272663e+01
-4.067045752554063892e-02 4.980681818181817988e+01
-4.044325837268816781e-02 5.048863636363636687e+01
-4.021605907499178900e-02 4.951136363636363313e+01
-3.998885963340800820e-02 5.139772727272727337e+01
-3.976166004889573197e-02 5.339772727272727337e+01
-3.953446032241642732e-02 5.225000000000000000e+01
-3.930726045493416337e-02 5.532954545454545325e+01
-3.908006044741568069e-02 5.497727272727272663e+01
-3.885286030083048153e-02 5.481818181818182012e+01
-3.862566001615095473e-02 5.438636363636363313e+01
-3.839845959435227857e-02 5.546590909090909349e+01
-3.817125903641280238e-02 5.726136363636363313e+01
-3.794405834331388699e-02 5.862500000000000000e+01
-3.771685751604009207e-02 5.956818181818182012e+01
-3.748965655557925936e-02 5.902272727272727337e+01
-3.726245546292267924e-02 5.854545454545454675e+01
-3.703525423906504910e-02 5.985227272727272663e+01
-3.680805288500473005e-02 6.223863636363636687e+01
-3.658085140174377470e-02 6.182954545454545325e+01
-3.635364979028807286e-02 6.410227272727273373e+01
-3.612644805164745565e-02 6.326136363636363313e+01
-3.589924618683584812e-02 6.545454545454545325e+01
-3.567204419687131089e-02 6.684090909090909349e+01
-3.544484208277631082e-02 6.756818181818181301e+01
-3.521763984557783889e-02 6.765909090909090651e+01
-3.499043748630737555e-02 6.906818181818181301e+01
-3.476323500600126543e-02 7.134090909090909349e+01
-3.453603240570076588e-02 7.223863636363635976e+01
-3.430882968645221354e-02 7.032954545454545325e+01
-3.408162684930725328e-02 7.269318181818181301e+01
-3.385442389532293539e-02 7.518181818181818699e+01
-3.362722082556191677e-02 7.554545454545454675e+01
-3.340001764109268995e-02 7.713636363636364024e+01
-3.317281434298981896e-02 7.784090909090909349e+01
-3.294561093233397409e-02 7.778409090909090651e+01
-3.271840741021235510e-02 8.044318181818181301e+01
-3.249120377771878843e-02 8.094318181818181301e+01
-3.226400003595400467e-02 8.134090909090909349e+01
-3.203679618602588847e-02 8.309090909090909349e+01
-3.180959222904967271e-02 8.484090909090909349e+01
-3.158238816614834799e-02 8.559090909090909349e+01
-3.135518399845272502e-02 8.628409090909090651e+01
-3.112797972710196551e-02 8.828409090909090651e+01
-3.090077535324365840e-02 9.118181818181818699e+01
-3.067357087803429180e-02 9.023863636363635976e+01
-3.044636630263951663e-02 9.394318181818181301e+01
-3.021916162823455598e-02 9.121590909090909349e+01
-2.999195685600445152e-02 9.514772727272726627e+01
-2.976475198714454568e-02 9.543181818181818699e+01
-2.953754702286080086e-02 9.644318181818181301e+01
-2.931034196437027131e-02 9.695454545454545325e+01
-2.908313681290155411e-02 9.935227272727273373e+01
-2.885593156969510145e-02 1.015113636363636402e+02
-2.862872623600385552e-02 1.038522727272727337e+02
-2.840152081309368567e-02 1.044431818181818130e+02
-2.817431530224391231e-02 1.063068181818181870e+02
-2.794710970474783771e-02 1.086136363636363598e+02
-2.771990402191327682e-02 1.106477272727272663e+02
-2.749269825506327203e-02 1.116022727272727337e+02
-2.726549240553669332e-02 1.137272727272727337e+02
-2.703828647468877605e-02 1.131136363636363598e+02
-2.681108046389199875e-02 1.165568181818181870e+02
-2.658387437453668331e-02 1.178750000000000000e+02
-2.635666820803186233e-02 1.197159090909090935e+02
-2.612946196580599734e-02 1.223750000000000000e+02
-2.590225564930791202e-02 1.238295454545454533e+02
-2.567504926000763188e-02 1.252954545454545467e+02
-2.544784279939742502e-02 1.296022727272727195e+02
-2.522063626899262098e-02 1.309431818181818130e+02
-2.499342967033286664e-02 1.321931818181818130e+02
-2.476622300498311155e-02 1.316136363636363740e+02
-2.453901627453487430e-02 1.347272727272727195e+02
-2.431180948060734578e-02 1.375795454545454675e+02
-2.408460262484881514e-02 1.382272727272727195e+02
-2.385739570893801939e-02 1.383977272727272805e+02
-2.363018873458560751e-02 1.426022727272727195e+02
-2.340298170353566354e-02 1.428295454545454675e+02
-2.317577461756738927e-02 1.444318181818181870e+02
-2.294856747849679385e-02 1.468409090909090935e+02
-2.272136028817861239e-02 1.502159090909090935e+02
-2.249415304850815867e-02 1.524318181818181870e+02
-2.226694576142346574e-02 1.548977272727272805e+02
-2.203973842890746479e-02 1.591022727272727195e+02
-2.181253105299033046e-02 1.565681818181818130e+02
-2.158532363575197191e-02 1.600454545454545325e+02
-2.135811617932466266e-02 1.637727272727272805e+02
-2.113090868589587515e-02 1.646477272727272805e+02
-2.090370115771121931e-02 1.692613636363636260e+02
-2.067649359707775247e-02 1.687954545454545325e+02
-2.044928600636728572e-02 1.744886363636363740e+02
-2.022207838802009966e-02 1.774090909090909065e+02
-1.999487074454872962e-02 1.760227272727272805e+02
-1.976766307854225038e-02 1.829090909090909065e+02
-1.954045539267062689e-02 1.830340909090909065e+02
-1.931324768968952638e-02 1.854659090909090935e+02
-1.908603997244537331e-02 1.858636363636363740e+02
-1.885883224388087975e-02 1.885227272727272805e+02
-1.863162450704083234e-02 1.932500000000000000e+02
-1.840441676507846569e-02 1.977613636363636260e+02
-1.817720902126221394e-02 1.985113636363636260e+02
-1.795000127898298270e-02 2.015000000000000000e+02
-1.772279354176205246e-02 2.055000000000000000e+02
-1.749558581325945730e-02 2.076363636363636260e+02
-1.726837809728320669e-02 2.103636363636363740e+02
-1.704117039779907972e-02 2.100340909090909065e+02
-1.681396271894133529e-02 2.162272727272727195e+02
-1.658675506502420294e-02 2.152840909090909065e+02
-1.635954744055442833e-02 2.214772727272727195e+02
-1.613233985024478678e-02 2.234204545454545325e+02
-1.590513229902882839e-02 2.255681818181818130e+02
-1.567792479207683748e-02 2.305340909090909065e+02
-1.545071733481332039e-02 2.296022727272727195e+02
-1.522350993293586884e-02 2.385000000000000000e+02
-1.499630259243591238e-02 2.390113636363636260e+02
-1.476909531962132364e-02 2.442500000000000000e+02
-1.454188812114108435e-02 2.442613636363636260e+02
-1.431468100401240943e-02 2.483068181818181870e+02
-1.408747397565043684e-02 2.472500000000000000e+02
-1.386026704390079696e-02 2.540454545454545325e+02
-1.363306021707552662e-02 2.544772727272727195e+02
-1.340585350399257046e-02 2.584545454545454390e+02
-1.317864691401940576e-02 2.658977272727272521e+02
-1.295144045712123305e-02 2.661022727272727479e+02
-1.272423414391432410e-02 2.706363636363636260e+02
-1.249702798572520715e-02 2.696818181818181870e+02
-1.226982199465645636e-02 2.751818181818181870e+02
-1.204261618365988322e-02 2.792613636363636260e+02
-1.181541056661813451e-02 2.793636363636363740e+02
-1.158820515843600983e-02 2.842159090909090651e+02
-1.136099997514259871e-02 2.885909090909090651e+02
-1.113379503400606027e-02 2.928409090909090651e+02
-1.090659035366259473e-02 2.930340909090909349e+02
-1.067938595426202661e-02 2.984659090909090651e+02
-1.045218185763224956e-02 2.999090909090909349e+02
-1.022497808746569183e-02 3.050000000000000000e+02
-9.997774669531151945e-03 3.050909090909090651e+02
-9.770571631915135266e-03 3.087159090909090651e+02
-9.543369005297813734e-03 3.102727272727272521e+02
-9.316166823269201799e-03 3.132613636363636260e+02
-9.088965122692823848e-03 3.178295454545454390e+02
-8.861763944125326461e-03 3.199318181818181870e+02
-8.634563332302258240e-03 3.221022727272727479e+02
-8.407363336702724024e-03 3.262727272727272521e+02
-8.180164012207986543e-03 3.293068181818181870e+02
-7.952965419873019373e-03 3.325113636363636260e+02
-7.725767627834150691e-03 3.370681818181818130e+02
-7.498570712381687903e-03 3.393522727272727479e+02
-7.271374759233556820e-03 3.382386363636363740e+02
-7.044179865055417294e-03 3.420227272727272521e+02
-6.816986139284564490e-03 3.437386363636363740e+02
-6.589793706331171542e-03 3.448636363636363740e+02
-6.362602708250898222e-03 3.536931818181818130e+02
-6.135413308011128906e-03 3.562272727272727479e+02
-5.908225693510649537e-03 3.587613636363636260e+02
-5.681040082563296525e-03 3.606931818181818130e+02
-5.453856729126944566e-03 3.582840909090909349e+02
-5.226675931156232920e-03 3.637045454545454390e+02
-4.999498040595345451e-03 3.647954545454545610e+02
-4.772323476223670063e-03 3.692045454545454390e+02
-4.545152740351606629e-03 3.688068181818181870e+02
-4.317986440783785559e-03 3.754886363636363740e+02
-4.090825320095253445e-03 3.773636363636363740e+02
-3.863670295228285867e-03 3.792500000000000000e+02
-3.636522511917923955e-03 3.826818181818181870e+02
-3.409383420854859847e-03 3.845909090909090651e+02
