# qr I
-5.271178094407882181e-02 2.227272727272727071e+00
-5.248459079068404365e-02 2.363636363636363757e+00
-5.225740044403379830e-02 2.556818181818181657e+00
-5.203020990501463355e-02 2.488636363636363757e+00
-5.180301917451375637e-02 2.693181818181818343e+00
-5.157582825341917171e-02 2.534090909090909172e+00
-5.134863714261945350e-02 2.409090909090909172e+00
-5.112144584300391120e-02 2.534090909090909172e+00
-5.089425435546268001e-02 2.272727272727272929e+00
-5.066706268088654735e-02 2.227272727272727071e+00
-5.043987082016702928e-02 2.272727272727272929e+00
-5.021267877419652303e-02 2.477272727272727071e+00
-4.998548654386813367e-02 2.227272727272727071e+00
-4.975829413007577806e-02 2.613636363636363757e+00
-4.953110153371438618e-02 2.409090909090909172e+00
-4.930390875567945003e-02 2.681818181818181657e+00
-4.907671579686758573e-02 2.602272727272727071e+00
-4.884952265817608247e-02 2.704545454545454586e+00
-4.862232934050334660e-02 2.750000000000000000e+00
-4.839513584474861713e-02 2.465909090909090828e+00
-4.816794217181204207e-02 2.750000000000000000e+00
-4.794074832259482416e-02 2.488636363636363757e+00
-4.771355429799914449e-02 2.715909090909090828e+00
-4.748636009892821114e-02 3.147727272727272929e+00
-4.725916572628627993e-02 2.659090909090909172e+00
-4.703197118097866142e-02 2.988636363636363757e+00
-4.680477646391174862e-02 2.875000000000000000e+00
-4.657758157599316967e-02 2.840909090909090828e+00
-4.635038651813159355e-02 2.875000000000000000e+00
-4.612319129123693823e-02 3.045454545454545414e+00
-4.589599589622025966e-02 3.056818181818181657e+00
-4.566880033399389749e-02 3.238636363636363757e+00
-4.544160460547155833e-02 2.931818181818181657e+00
-4.521440871156805902e-02 3.045454545454545414e+00
-4.498721265319971518e-02 3.193181818181818343e+00
-4.476001643128412616e-02 3.125000000000000000e+00
-4.453282004674034150e-02 3.227272727272727071e+00
-4.430562350048885406e-02 3.045454545454545414e+00
-4.407842679345163467e-02 3.477272727272727071e+00
-4.385122992655211133e-02 3.329545454545454586e+00
-4.362403290071537737e-02 3.409090909090909172e+00
-4.339683571686800412e-02 3.613636363636363757e+00
-4.316963837593831843e-02 3.465909090909090828e+00
-4.294244087885621536e-02 3.784090909090909172e+00
-4.271524322655341488e-02 3.420454545454545414e+00
-4.248804541996337863e-02 3.977272727272727071e+00
-4.226084746002132381e-02 3.761363636363636243e+00
-4.203364934766445904e-02 4.193181818181818343e+00
-4.180645108383181097e-02 3.681818181818181657e+00
-4.157925266946443932e-02 3.988636363636363757e+00
-4.135205410550542998e-02 4.034090909090909172e+00
-4.112485539289988806e-02 4.295454545454545858e+00
-4.089765653259513911e-02 3.931818181818181657e+00
-4.067045752554063892e-02 4.215909090909090828e+00
-4.044325837268816781e-02 4.056818181818181657e+00
-4.021605907499178900e-02 4.363636363636363313e+00
-3.998885963340800820e-02 4.545454545454545858e+00
-3.976166004889573197e-02 4.670454545454545858e+00
-3.953446032241642732e-02 4.556818181818181657e+00
-3.930726045493416337e-02 4.659090909090909172e+00
-3.908006044741568069e-02 4.840909090909090828e+00
-3.885286030083048153e-02 5.079545454545454142e+00
-3.862566001615095473e-02 4.738636363636363313e+00
-3.839845959435227857e-02 5.136363636363636687e+00
-3.817125903641280238e-02 4.965909090909090828e+00
-3.794405834331388699e-02 4.750000000000000000e+00
-3.771685751604009207e-02 5.238636363636363313e+00
-3.748965655557925936e-02 5.272727272727272485e+00
-3.726245546292267924e-02 5.250000000000000000e+00
-3.703525423906504910e-02 5.443181818181818343e+00
-3.680805288500473005e-02 5.443181818181818343e+00
-3.658085140174377470e-02 5.931818181818181657e+00
-3.635364979028807286e-02 5.840909090909090828e+00
-3.612644805164745565e-02 5.863636363636363313e+00
-3.589924618683584812e-02 6.000000000000000000e+00
-3.567204419687131089e-02 6.238636363636363313e+00
-3.544484208277631082e-02 6.238636363636363313e+00
-3.521763984557783889e-02 6.454545454545454142e+00
-3.499043748630737555e-02 6.659090909090909172e+00
-3.476323500600126543e-02 6.829545454545454142e+00
-3.453603240570076588e-02 6.920454545454545858e+00
-3.430882968645221354e-02 7.261363636363636687e+00
-3.408162684930725328e-02 7.250000000000000000e+00
-3.385442389532293539e-02 7.954545454545454142e+00
-3.362722082556191677e-02 7.477272727272727515e+00
-3.340001764109268995e-02 7.488636363636363313e+00
-3.317281434298981896e-02 7.795454545454545858e+00
-3.294561093233397409e-02 8.068181818181818343e+00
-3.271840741021235510e-02 8.011363636363636687e+00
-3.249120377771878843e-02 8.250000000000000000e+00
-3.226400003595400467e-02 9.375000000000000000e+00
-3.203679618602588847e-02 9.579545454545455030e+00
-3.180959222904967271e-02 9.602272727272726627e+00
-3.158238816614834799e-02 9.363636363636363313e+00
-3.135518399845272502e-02 9.659090909090908283e+00
-3.112797972710196551e-02 1.048863636363636331e+01
-3.090077535324365840e-02 1.001136363636363669e+01
-3.067357087803429180e-02 1.086363636363636331e+01
-3.044636630263951663e-02 1.146590909090909172e+01
-3.021916162823455598e-02 1.151136363636363669e+01
-2.999195685600445152e-02 1.197727272727272663e+01
-2.976475198714454568e-02 1.212500000000000000e+01
-2.953754702286080086e-02 1.195454545454545503e+01
-2.931034196437027131e-02 1.335227272727272663e+01
-2.908313681290155411e-02 1.337500000000000000e+01
-2.885593156969510145e-02 1.362500000000000000e+01
-2.862872623600385552e-02 1.392045454545454497e+01
-2.840152081309368567e-02 1.451136363636363669e+01
-2.817431530224391231e-02 1.509090909090909172e+01
-2.794710970474783771e-02 1.530681818181818166e+01
-2.771990402191327682e-02 1.581818181818181834e+01
-2.749269825506327203e-02 1.684090909090908994e+01
-2.726549240553669332e-02 1.760227272727272663e+01
-2.703828647468877605e-02 1.776136363636363669e+01
-2.681108046389199875e-02 1.882954545454545325e+01
-2.658387437453668331e-02 1.956818181818181657e+01
-2.635666820803186233e-02 2.028409090909091006e+01
-2.612946196580599734e-02 2.129545454545454675e+01
-2.590225564930791202e-02 2.200000000000000000e+01
-2.567504926000763188e-02 2.244318181818181657e+01
-2.544784279939742502e-02 2.402272727272727337e+01
-2.522063626899262098e-02 2.462500000000000000e+01
-2.499342967033286664e-02 2.512500000000000000e+01
-2.476622300498311155e-02 2.634090909090908994e+01
-2.453901627453487430e-02 2.567045454545454675e+01
-2.431180948060734578e-02 2.823863636363636331e+01
-2.408460262484881514e-02 2.909090909090908994e+01
-2.385739570893801939e-02 3.023863636363636331e+01
-2.363018873458560751e-02 3.079545454545454675e+01
-2.340298170353566354e-02 3.144318181818181657e+01
-2.317577461756738927e-02 3.363636363636363313e+01
-2.294856747849679385e-02 3.629545454545454675e+01
-2.272136028817861239e-02 3.796590909090909349e+01
-2.249415304850815867e-02 3.826136363636363313e+01
-2.226694576142346574e-02 4.248863636363636687e+01
-2.203973842890746479e-02 4.315909090909090651e+01
-2.181253105299033046e-02 4.384090909090909349e+01
-2.158532363575197191e-02 4.511363636363636687e+01
-2.135811617932466266e-02 4.842045454545454675e+01
-2.113090868589587515e-02 4.957954545454545325e+01
-2.090370115771121931e-02 5.144318181818182012e+01
-2.067649359707775247e-02 5.418181818181817988e+01
-2.044928600636728572e-02 5.638636363636363313e+01
-2.022207838802009966e-02 5.973863636363636687e+01
-1.999487074454872962e-02 6.330681818181817988e+01
-1.976766307854225038e-02 6.573863636363635976e+01
-1.954045539267062689e-02 6.968181818181818699e+01
-1.931324768968952638e-02 7.245454545454545325e+01
-1.908603997244537331e-02 7.689772727272726627e+01
-1.885883224388087975e-02 7.762500000000000000e+01
-1.863162450704083234e-02 8.426136363636364024e+01
-1.840441676507846569e-02 8.612500000000000000e+01
-1.817720902126221394e-02 9.053409090909090651e+01
-1.795000127898298270e-02 9.689772727272726627e+01
-1.772279354176205246e-02 1.016590909090909065e+02
-1.749558581325945730e-02 1.060113636363636402e+02
-1.726837809728320669e-02 1.074204545454545467e+02
-1.704117039779907972e-02 1.191931818181818130e+02
-1.681396271894133529e-02 1.232954545454545467e+02
-1.658675506502420294e-02 1.268068181818181870e+02
-1.635954744055442833e-02 1.371590909090909065e+02
-1.613233985024478678e-02 1.436818181818181870e+02
-1.590513229902882839e-02 1.507727272727272805e+02
-1.567792479207683748e-02 1.596931818181818130e+02
-1.545071733481332039e-02 1.667159090909090935e+02
-1.522350993293586884e-02 1.793522727272727195e+02
-1.499630259243591238e-02 1.877954545454545325e+02
-1.476909531962132364e-02 1.955795454545454675e+02
-1.454188812114108435e-02 2.111590909090909065e+02
-1.431468100401240943e-02 2.205340909090909065e+02
-1.408747397565043684e-02 2.342613636363636260e+02
-1.386026704390079696e-02 2.483636363636363740e+02
-1.363306021707552662e-02 2.605795454545454390e+02
-1.340585350399257046e-02 2.774545454545454390e+02
-1.317864691401940576e-02 2.944318181818181870e+02
-1.295144045712123305e-02 3.122159090909090651e+02
-1.272423414391432410e-02 3.289886363636363740e+02
-1.249702798572520715e-02 3.502727272727272521e+02
-1.226982199465645636e-02 3.717613636363636260e+02
-1.204261618365988322e-02 3.890340909090909349e+02
-1.181541056661813451e-02 4.152045454545454390e+02
-1.158820515843600983e-02 4.549659090909090651e+02
-1.136099997514259871e-02 4.801363636363636260e+02
-1.113379503400606027e-02 5.049886363636363740e+02
-1.090659035366259473e-02 5.342500000000000000e+02
-1.067938595426202661e-02 5.687840909090908781e+02
-1.045218185763224956e-02 5.994772727272727479e+02
-1.022497808746569183e-02 6.434545454545454959e+02
-9.997774669531151945e-03 6.907272727272727479e+02
-9.770571631915135266e-03 7.385568181818181301e+02
-9.543369005297813734e-03 7.861022727272727479e+02
-9.316166823269201799e-03 8.367500000000000000e+02
-9.088965122692823848e-03 8.902727272727272521e+02
-8.861763944125326461e-03 9.543750000000000000e+02
-8.634563332302258240e-03 1.023215909090909122e+03
-8.407363336702724024e-03 1.089272727272727252e+03
-8.180164012207986543e-03 1.181068181818181756e+03
-7.952965419873019373e-03 1.264147727272727252e+03
-7.725767627834150691e-03 1.359056818181818244e+03
-7.498570712381687903e-03 1.458590909090909008e+03
-7.271374759233556820e-03 1.565477272727272748e+03
-7.044179865055417294e-03 1.686159090909090992e+03
-6.816986139284564490e-03 1.836272727272727252e+03
-6.589793706331171542e-03 1.972988636363636260e+03
-6.362602708250898222e-03 2.129125000000000000e+03
-6.135413308011128906e-03 2.294295454545454504e+03
