# qr I
-5.271178094407882181e-02 2.965909090909090828e+00
-5.248459079068404365e-02 2.818181818181818343e+00
-5.225740044403379830e-02 3.193181818181818343e+00
-5.203020990501463355e-02 3.011363636363636243e+00
-5.180301917451375637e-02 2.806818181818181657e+00
-5.157582825341917171e-02 2.965909090909090828e+00
-5.134863714261945350e-02 3.068181818181818343e+00
-5.112144584300391120e-02 2.886363636363636243e+00
-5.089425435546268001e-02 3.068181818181818343e+00
-5.066706268088654735e-02 2.886363636363636243e+00
-5.043987082016702928e-02 3.090909090909090828e+00
-5.021267877419652303e-02 2.909090909090909172e+00
-4.998548654386813367e-02 2.954545454545454586e+00
-4.975829413007577806e-02 2.863636363636363757e+00
-4.953110153371438618e-02 3.181818181818181657e+00
-4.930390875567945003e-02 2.715909090909090828e+00
-4.907671579686758573e-02 3.477272727272727071e+00
-4.884952265817608247e-02 3.113636363636363757e+00
-4.862232934050334660e-02 2.931818181818181657e+00
-4.839513584474861713e-02 3.227272727272727071e+00
-4.816794217181204207e-02 3.193181818181818343e+00
-4.794074832259482416e-02 3.102272727272727071e+00
-4.771355429799914449e-02 3.465909090909090828e+00
-4.748636009892821114e-02 2.977272727272727071e+00
-4.725916572628627993e-02 3.068181818181818343e+00
-4.703197118097866142e-02 3.227272727272727071e+00
-4.680477646391174862e-02 3.261363636363636243e+00
-4.657758157599316967e-02 3.579545454545454586e+00
-4.635038651813159355e-02 3.056818181818181657e+00
-4.612319129123693823e-02 3.500000000000000000e+00
-4.589599589622025966e-02 3.488636363636363757e+00
-4.566880033399389749e-02 3.488636363636363757e+00
-4.544160460547155833e-02 3.443181818181818343e+00
-4.521440871156805902e-02 3.556818181818181657e+00
-4.498721265319971518e-02 3.386363636363636243e+00
-4.476001643128412616e-02 3.784090909090909172e+00
-4.453282004674034150e-02 3.522727272727272929e+00
-4.430562350048885406e-02 3.704545454545454586e+00
-4.407842679345163467e-02 3.738636363636363757e+00
-4.385122992655211133e-02 3.568181818181818343e+00
-4.362403290071537737e-02 3.568181818181818343e+00
-4.339683571686800412e-02 3.636363636363636243e+00
-4.316963837593831843e-02 3.761363636363636243e+00
-4.294244087885621536e-02 3.375000000000000000e+00
-4.271524322655341488e-02 3.920454545454545414e+00
-4.248804541996337863e-02 3.897727272727272929e+00
-4.226084746002132381e-02 3.772727272727272929e+00
-4.203364934766445904e-02 3.988636363636363757e+00
-4.180645108383181097e-02 3.863636363636363757e+00
-4.157925266946443932e-02 3.863636363636363757e+00
-4.135205410550542998e-02 3.897727272727272929e+00
-4.112485539289988806e-02 4.250000000000000000e+00
-4.089765653259513911e-02 4.056818181818181657e+00
-4.067045752554063892e-02 4.159090909090909172e+00
-4.044325837268816781e-02 4.113636363636363313e+00
-4.021605907499178900e-02 4.272727272727272485e+00
-3.998885963340800820e-02 4.443181818181818343e+00
-3.976166004889573197e-02 3.784090909090909172e+00
-3.953446032241642732e-02 4.238636363636363313e+00
-3.930726045493416337e-02 4.602272727272727515e+00
-3.908006044741568069e-02 4.545454545454545858e+00
-3.885286030083048153e-02 4.250000000000000000e+00
-3.862566001615095473e-02 4.329545454545454142e+00
-3.839845959435227857e-02 4.613636363636363313e+00
-3.817125903641280238e-02 4.068181818181818343e+00
-3.794405834331388699e-02 4.613636363636363313e+00
-3.771685751604009207e-02 4.772727272727272485e+00
-3.748965655557925936e-02 4.579545454545454142e+00
-3.726245546292267924e-02 4.647727272727272485e+00
-3.703525423906504910e-02 4.659090909090909172e+00
-3.680805288500473005e-02 4.920454545454545858e+00
-3.658085140174377470e-02 5.022727272727272485e+00
-3.635364979028807286e-02 5.068181818181818343e+00
-3.612644805164745565e-02 5.431818181818181657e+00
-3.589924618683584812e-02 4.920454545454545858e+00
-3.567204419687131089e-02 4.602272727272727515e+00
-3.544484208277631082e-02 5.284090909090909172e+00
-3.521763984557783889e-02 5.022727272727272485e+00
-3.499043748630737555e-02 5.375000000000000000e+00
-3.476323500600126543e-02 5.261363636363636687e+00
-3.453603240570076588e-02 5.261363636363636687e+00
-3.430882968645221354e-02 5.102272727272727515e+00
-3.408162684930725328e-02 5.750000000000000000e+00
-3.385442389532293539e-02 5.681818181818181657e+00
-3.362722082556191677e-02 5.761363636363636687e+00
-3.340001764109268995e-02 5.829545454545454142e+00
-3.317281434298981896e-02 5.693181818181818343e+00
-3.294561093233397409e-02 6.193181818181818343e+00
-3.271840741021235510e-02 6.181818181818181657e+00
-3.249120377771878843e-02 6.204545454545454142e+00
-3.226400003595400467e-02 6.488636363636363313e+00
-3.203679618602588847e-02 6.477272727272727515e+00
-3.180959222904967271e-02 6.704545454545454142e+00
-3.158238816614834799e-02 6.784090909090909172e+00
-3.135518399845272502e-02 6.443181818181818343e+00
-3.112797972710196551e-02 7.068181818181818343e+00
-3.090077535324365840e-02 6.750000000000000000e+00
-3.067357087803429180e-02 6.715909090909090828e+00
-3.044636630263951663e-02 6.715909090909090828e+00
-3.021916162823455598e-02 7.477272727272727515e+00
-2.999195685600445152e-02 7.204545454545454142e+00
-2.976475198714454568e-02 7.488636363636363313e+00
-2.953754702286080086e-02 7.681818181818181657e+00
-2.931034196437027131e-02 8.375000000000000000e+00
-2.908313681290155411e-02 7.806818181818181657e+00
-2.885593156969510145e-02 8.227272727272726627e+00
-2.862872623600385552e-02 8.545454545454544970e+00
-2.840152081309368567e-02 8.965909090909091717e+00
-2.817431530224391231e-02 8.727272727272726627e+00
-2.794710970474783771e-02 9.181818181818181657e+00
-2.771990402191327682e-02 9.488636363636363313e+00
-2.749269825506327203e-02 9.659090909090908283e+00
-2.726549240553669332e-02 9.943181818181818343e+00
-2.703828647468877605e-02 1.019318181818181834e+01
-2.681108046389199875e-02 1.012500000000000000e+01
-2.658387437453668331e-02 1.104545454545454497e+01
-2.635666820803186233e-02 1.048863636363636331e+01
-2.612946196580599734e-02 1.050000000000000000e+01
-2.590225564930791202e-02 1.168181818181818166e+01
-2.567504926000763188e-02 1.217045454545454497e+01
-2.544784279939742502e-02 1.301136363636363669e+01
-2.522063626899262098e-02 1.311363636363636331e+01
-2.499342967033286664e-02 1.354545454545454497e+01
-2.476622300498311155e-02 1.326136363636363669e+01
-2.453901627453487430e-02 1.406818181818181834e+01
-2.431180948060734578e-02 1.418181818181818166e+01
-2.408460262484881514e-02 1.485227272727272663e+01
-2.385739570893801939e-02 1.492045454545454497e+01
-2.363018873458560751e-02 1.584090909090909172e+01
-2.340298170353566354e-02 1.563636363636363669e+01
-2.317577461756738927e-02 1.676136363636363669e+01
-2.294856747849679385e-02 1.781818181818181657e+01
-2.272136028817861239e-02 1.859090909090908994e+01
-2.249415304850815867e-02 1.820454545454545325e+01
-2.226694576142346574e-02 1.909090909090908994e+01
-2.203973842890746479e-02 1.962500000000000000e+01
-2.181253105299033046e-02 2.092045454545454675e+01
-2.158532363575197191e-02 2.178409090909091006e+01
-2.135811617932466266e-02 2.170454545454545325e+01
-2.113090868589587515e-02 2.438636363636363669e+01
-2.090370115771121931e-02 2.489772727272727337e+01
-2.067649359707775247e-02 2.485227272727272663e+01
-2.044928600636728572e-02 2.647727272727272663e+01
-2.022207838802009966e-02 2.790909090909091006e+01
-1.999487074454872962e-02 2.900000000000000000e+01
-1.976766307854225038e-02 2.915909090909091006e+01
-1.954045539267062689e-02 3.101136363636363669e+01
-1.931324768968952638e-02 3.210227272727272663e+01
-1.908603997244537331e-02 3.388636363636363313e+01
-1.885883224388087975e-02 3.638636363636363313e+01
-1.863162450704083234e-02 3.810227272727272663e+01
-1.840441676507846569e-02 4.067045454545454675e+01
-1.817720902126221394e-02 4.247727272727272663e+01
-1.795000127898298270e-02 4.315909090909090651e+01
-1.772279354176205246e-02 4.618181818181817988e+01
-1.749558581325945730e-02 4.998863636363636687e+01
-1.726837809728320669e-02 5.102272727272727337e+01
-1.704117039779907972e-02 5.395454545454545325e+01
