# qr I
-5.271178094407882181e-02 1.965909090909090828e+00
-5.248459079068404365e-02 1.909090909090909172e+00
-5.225740044403379830e-02 2.136363636363636243e+00
-5.203020990501463355e-02 2.545454545454545414e+00
-5.180301917451375637e-02 1.920454545454545414e+00
-5.157582825341917171e-02 2.431818181818181657e+00
-5.134863714261945350e-02 1.988636363636363535e+00
-5.112144584300391120e-02 2.056818181818181657e+00
-5.089425435546268001e-02 2.022727272727272929e+00
-5.066706268088654735e-02 2.079545454545454586e+00
-5.043987082016702928e-02 2.250000000000000000e+00
-5.021267877419652303e-02 2.250000000000000000e+00
-4.998548654386813367e-02 1.954545454545454586e+00
-4.975829413007577806e-02 2.181818181818181657e+00
-4.953110153371438618e-02 1.750000000000000000e+00
-4.930390875567945003e-02 2.227272727272727071e+00
-4.907671579686758573e-02 2.125000000000000000e+00
-4.884952265817608247e-02 2.170454545454545414e+00
-4.862232934050334660e-02 2.056818181818181657e+00
-4.839513584474861713e-02 1.943181818181818121e+00
-4.816794217181204207e-02 2.056818181818181657e+00
-4.794074832259482416e-02 1.875000000000000000e+00
-4.771355429799914449e-02 1.875000000000000000e+00
-4.748636009892821114e-02 2.056818181818181657e+00
-4.725916572628627993e-02 1.875000000000000000e+00
-4.703197118097866142e-02 1.954545454545454586e+00
-4.680477646391174862e-02 2.102272727272727071e+00
-4.657758157599316967e-02 2.238636363636363757e+00
-4.635038651813159355e-02 2.056818181818181657e+00
-4.612319129123693823e-02 2.431818181818181657e+00
-4.589599589622025966e-02 1.863636363636363535e+00
-4.566880033399389749e-02 2.125000000000000000e+00
-4.544160460547155833e-02 1.818181818181818121e+00
-4.521440871156805902e-02 1.909090909090909172e+00
-4.498721265319971518e-02 2.068181818181818343e+00
-4.476001643128412616e-02 1.818181818181818121e+00
-4.453282004674034150e-02 2.261363636363636243e+00
-4.430562350048885406e-02 2.250000000000000000e+00
-4.407842679345163467e-02 2.034090909090909172e+00
-4.385122992655211133e-02 1.988636363636363535e+00
-4.362403290071537737e-02 2.034090909090909172e+00
-4.339683571686800412e-02 2.170454545454545414e+00
-4.316963837593831843e-02 1.988636363636363535e+00
-4.294244087885621536e-02 1.909090909090909172e+00
-4.271524322655341488e-02 1.897727272727272707e+00
-4.248804541996337863e-02 1.806818181818181879e+00
-4.226084746002132381e-02 2.181818181818181657e+00
-4.203364934766445904e-02 2.284090909090909172e+00
-4.180645108383181097e-02 1.988636363636363535e+00
-4.157925266946443932e-02 2.181818181818181657e+00
-4.135205410550542998e-02 1.875000000000000000e+00
-4.112485539289988806e-02 2.125000000000000000e+00
-4.089765653259513911e-02 2.068181818181818343e+00
-4.067045752554063892e-02 2.159090909090909172e+00
-4.044325837268816781e-02 2.363636363636363757e+00
-4.021605907499178900e-02 2.238636363636363757e+00
-3.998885963340800820e-02 2.215909090909090828e+00
-3.976166004889573197e-02 2.329545454545454586e+00
-3.953446032241642732e-02 2.159090909090909172e+00
-3.930726045493416337e-02 2.375000000000000000e+00
-3.908006044741568069e-02 2.431818181818181657e+00
-3.885286030083048153e-02 2.238636363636363757e+00
-3.862566001615095473e-02 2.193181818181818343e+00
-3.839845959435227857e-02 2.250000000000000000e+00
-3.817125903641280238e-02 2.340909090909090828e+00
-3.794405834331388699e-02 2.136363636363636243e+00
-3.771685751604009207e-02 1.943181818181818121e+00
-3.748965655557925936e-02 2.340909090909090828e+00
-3.726245546292267924e-02 2.090909090909090828e+00
-3.703525423906504910e-02 2.215909090909090828e+00
-3.680805288500473005e-02 2.340909090909090828e+00
-3.658085140174377470e-02 1.795454545454545414e+00
-3.635364979028807286e-02 2.443181818181818343e+00
-3.612644805164745565e-02 2.272727272727272929e+00
-3.589924618683584812e-02 2.022727272727272929e+00
-3.567204419687131089e-02 2.045454545454545414e+00
-3.544484208277631082e-02 2.568181818181818343e+00
-3.521763984557783889e-02 2.397727272727272929e+00
-3.499043748630737555e-02 2.090909090909090828e+00
-3.476323500600126543e-02 2.250000000000000000e+00
-3.453603240570076588e-02 2.295454545454545414e+00
-3.430882968645221354e-02 2.375000000000000000e+00
-3.408162684930725328e-02 2.613636363636363757e+00
-3.385442389532293539e-02 2.522727272727272929e+00
-3.362722082556191677e-02 2.284090909090909172e+00
-3.340001764109268995e-02 2.215909090909090828e+00
-3.317281434298981896e-02 2.215909090909090828e+00
-3.294561093233397409e-02 2.329545454545454586e+00
-3.271840741021235510e-02 2.227272727272727071e+00
-3.249120377771878843e-02 2.306818181818181657e+00
-3.226400003595400467e-02 2.352272727272727071e+00
-3.203679618602588847e-02 2.488636363636363757e+00
-3.180959222904967271e-02 2.284090909090909172e+00
-3.158238816614834799e-02 2.045454545454545414e+00
-3.135518399845272502e-02 2.204545454545454586e+00
-3.112797972710196551e-02 2.522727272727272929e+00
-3.090077535324365840e-02 2.227272727272727071e+00
-3.067357087803429180e-02 2.329545454545454586e+00
-3.044636630263951663e-02 2.465909090909090828e+00
-3.021916162823455598e-02 2.386363636363636243e+00
-2.999195685600445152e-02 2.068181818181818343e+00
-2.976475198714454568e-02 2.386363636363636243e+00
-2.953754702286080086e-02 2.227272727272727071e+00
-2.931034196437027131e-02 2.295454545454545414e+00
-2.908313681290155411e-02 2.250000000000000000e+00
-2.885593156969510145e-02 2.931818181818181657e+00
-2.862872623600385552e-02 1.988636363636363535e+00
-2.840152081309368567e-02 2.647727272727272929e+00
-2.817431530224391231e-02 2.397727272727272929e+00
-2.794710970474783771e-02 2.693181818181818343e+00
-2.771990402191327682e-02 2.613636363636363757e+00
-2.749269825506327203e-02 2.534090909090909172e+00
-2.726549240553669332e-02 2.363636363636363757e+00
-2.703828647468877605e-02 2.681818181818181657e+00
-2.681108046389199875e-02 2.465909090909090828e+00
-2.658387437453668331e-02 2.431818181818181657e+00
-2.635666820803186233e-02 2.988636363636363757e+00
-2.612946196580599734e-02 2.568181818181818343e+00
-2.590225564930791202e-02 2.613636363636363757e+00
-2.567504926000763188e-02 2.488636363636363757e+00
-2.544784279939742502e-02 2.750000000000000000e+00
-2.522063626899262098e-02 2.579545454545454586e+00
-2.499342967033286664e-02 2.602272727272727071e+00
-2.476622300498311155e-02 2.500000000000000000e+00
-2.453901627453487430e-02 2.375000000000000000e+00
-2.431180948060734578e-02 2.556818181818181657e+00
-2.408460262484881514e-02 2.329545454545454586e+00
-2.385739570893801939e-02 2.829545454545454586e+00
-2.363018873458560751e-02 2.806818181818181657e+00
-2.340298170353566354e-02 2.909090909090909172e+00
-2.317577461756738927e-02 2.954545454545454586e+00
-2.294856747849679385e-02 2.863636363636363757e+00
-2.272136028817861239e-02 2.727272727272727071e+00
-2.249415304850815867e-02 2.920454545454545414e+00
-2.226694576142346574e-02 2.704545454545454586e+00
-2.203973842890746479e-02 2.806818181818181657e+00
-2.181253105299033046e-02 3.238636363636363757e+00
-2.158532363575197191e-02 3.386363636363636243e+00
-2.135811617932466266e-02 2.727272727272727071e+00
-2.113090868589587515e-02 2.931818181818181657e+00
-2.090370115771121931e-02 2.988636363636363757e+00
-2.067649359707775247e-02 2.875000000000000000e+00
-2.044928600636728572e-02 3.250000000000000000e+00
-2.022207838802009966e-02 3.431818181818181657e+00
-1.999487074454872962e-02 3.284090909090909172e+00
-1.976766307854225038e-02 2.875000000000000000e+00
-1.954045539267062689e-02 2.931818181818181657e+00
-1.931324768968952638e-02 3.522727272727272929e+00
-1.908603997244537331e-02 3.375000000000000000e+00
-1.885883224388087975e-02 3.102272727272727071e+00
-1.863162450704083234e-02 3.295454545454545414e+00
-1.840441676507846569e-02 3.352272727272727071e+00
-1.817720902126221394e-02 3.420454545454545414e+00
-1.795000127898298270e-02 3.431818181818181657e+00
-1.772279354176205246e-02 3.022727272727272929e+00
-1.749558581325945730e-02 3.568181818181818343e+00
-1.726837809728320669e-02 3.738636363636363757e+00
-1.704117039779907972e-02 3.522727272727272929e+00
-1.681396271894133529e-02 3.659090909090909172e+00
-1.658675506502420294e-02 4.068181818181818343e+00
-1.635954744055442833e-02 4.170454545454545858e+00
-1.613233985024478678e-02 4.147727272727272485e+00
-1.590513229902882839e-02 4.045454545454545858e+00
-1.567792479207683748e-02 4.409090909090909172e+00
-1.545071733481332039e-02 4.693181818181818343e+00
-1.522350993293586884e-02 4.352272727272727515e+00
-1.499630259243591238e-02 4.488636363636363313e+00
-1.476909531962132364e-02 4.943181818181818343e+00
-1.454188812114108435e-02 5.022727272727272485e+00
-1.431468100401240943e-02 4.954545454545454142e+00
