# qr I
-5.271178094407882181e-02 6.363636363636363313e+00
-5.248459079068404365e-02 6.693181818181818343e+00
-5.225740044403379830e-02 6.522727272727272485e+00
-5.203020990501463355e-02 6.522727272727272485e+00
-5.180301917451375637e-02 7.011363636363636687e+00
-5.157582825341917171e-02 6.954545454545454142e+00
-5.134863714261945350e-02 6.613636363636363313e+00
-5.112144584300391120e-02 7.227272727272727515e+00
-5.089425435546268001e-02 7.363636363636363313e+00
-5.066706268088654735e-02 7.181818181818181657e+00
-5.043987082016702928e-02 6.840909090909090828e+00
-5.021267877419652303e-02 7.386363636363636687e+00
-4.998548654386813367e-02 7.352272727272727515e+00
-4.975829413007577806e-02 7.727272727272727515e+00
-4.953110153371438618e-02 7.829545454545454142e+00
-4.930390875567945003e-02 7.715909090909090828e+00
-4.907671579686758573e-02 7.534090909090909172e+00
-4.884952265817608247e-02 7.443181818181818343e+00
-4.862232934050334660e-02 7.920454545454545858e+00
-4.839513584474861713e-02 7.840909090909090828e+00
-4.816794217181204207e-02 7.840909090909090828e+00
-4.794074832259482416e-02 8.181818181818181657e+00
-4.771355429799914449e-02 8.295454545454544970e+00
-4.748636009892821114e-02 8.363636363636363313e+00
-4.725916572628627993e-02 8.147727272727273373e+00
-4.703197118097866142e-02 9.000000000000000000e+00
-4.680477646391174862e-02 8.613636363636363313e+00
-4.657758157599316967e-02 8.897727272727273373e+00
-4.635038651813159355e-02 9.397727272727273373e+00
-4.612319129123693823e-02 8.875000000000000000e+00
-4.589599589622025966e-02 9.340909090909091717e+00
-4.566880033399389749e-02 9.204545454545455030e+00
-4.544160460547155833e-02 9.215909090909091717e+00
-4.521440871156805902e-02 9.625000000000000000e+00
-4.498721265319971518e-02 8.988636363636363313e+00
-4.476001643128412616e-02 1.017045454545454497e+01
-4.453282004674034150e-02 1.044318181818181834e+01
-4.430562350048885406e-02 9.897727272727273373e+00
-4.407842679345163467e-02 1.010227272727272663e+01
-4.385122992655211133e-02 1.053409090909090828e+01
-4.362403290071537737e-02 1.087500000000000000e+01
-4.339683571686800412e-02 1.130681818181818166e+01
-4.316963837593831843e-02 1.070454545454545503e+01
-4.294244087885621536e-02 1.123863636363636331e+01
-4.271524322655341488e-02 1.179545454545454497e+01
-4.248804541996337863e-02 1.194318181818181834e+01
-4.226084746002132381e-02 1.192045454545454497e+01
-4.203364934766445904e-02 1.122727272727272663e+01
-4.180645108383181097e-02 1.207954545454545503e+01
-4.157925266946443932e-02 1.205681818181818166e+01
-4.135205410550542998e-02 1.261363636363636331e+01
-4.112485539289988806e-02 1.236363636363636331e+01
-4.089765653259513911e-02 1.257954545454545503e+01
-4.067045752554063892e-02 1.240909090909090828e+01
-4.044325837268816781e-02 1.393181818181818166e+01
-4.021605907499178900e-02 1.326136363636363669e+01
-3.998885963340800820e-02 1.370454545454545503e+01
-3.976166004889573197e-02 1.438636363636363669e+01
-3.953446032241642732e-02 1.492045454545454497e+01
-3.930726045493416337e-02 1.539772727272727337e+01
-3.908006044741568069e-02 1.531818181818181834e+01
-3.885286030083048153e-02 1.518181818181818166e+01
-3.862566001615095473e-02 1.471590909090909172e+01
-3.839845959435227857e-02 1.540909090909090828e+01
-3.817125903641280238e-02 1.580681818181818166e+01
-3.794405834331388699e-02 1.640909090909091006e+01
-3.771685751604009207e-02 1.625000000000000000e+01
-3.748965655557925936e-02 1.662500000000000000e+01
-3.726245546292267924e-02 1.582954545454545503e+01
-3.703525423906504910e-02 1.720454545454545325e+01
-3.680805288500473005e-02 1.698863636363636331e+01
-3.658085140174377470e-02 1.775000000000000000e+01
-3.635364979028807286e-02 1.832954545454545325e+01
-3.612644805164745565e-02 1.829545454545454675e+01
-3.589924618683584812e-02 1.918181818181818343e+01
-3.567204419687131089e-02 1.896590909090908994e+01
-3.544484208277631082e-02 2.012500000000000000e+01
-3.521763984557783889e-02 1.985227272727272663e+01
-3.499043748630737555e-02 2.037500000000000000e+01
-3.476323500600126543e-02 1.965909090909091006e+01
-3.453603240570076588e-02 2.038636363636363669e+01
-3.430882968645221354e-02 2.212500000000000000e+01
-3.408162684930725328e-02 2.235227272727272663e+01
-3.385442389532293539e-02 2.192045454545454675e+01
-3.362722082556191677e-02 2.437500000000000000e+01
-3.340001764109268995e-02 2.246590909090908994e+01
-3.317281434298981896e-02 2.389772727272727337e+01
-3.294561093233397409e-02 2.446590909090908994e+01
-3.271840741021235510e-02 2.480681818181818343e+01
-3.249120377771878843e-02 2.617045454545454675e+01
-3.226400003595400467e-02 2.685227272727272663e+01
-3.203679618602588847e-02 2.705681818181818343e+01
-3.180959222904967271e-02 2.801136363636363669e+01
-3.158238816614834799e-02 2.830681818181818343e+01
-3.135518399845272502e-02 2.893181818181818343e+01
-3.112797972710196551e-02 3.004545454545454675e+01
-3.090077535324365840e-02 2.910227272727272663e+01
-3.067357087803429180e-02 3.102272727272727337e+01
-3.044636630263951663e-02 3.123863636363636331e+01
-3.021916162823455598e-02 3.319318181818182012e+01
-2.999195685600445152e-02 3.318181818181817988e+01
-2.976475198714454568e-02 3.454545454545454675e+01
-2.953754702286080086e-02 3.456818181818182012e+01
