# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 3.612500000000000000e+02 1.144972024767417480e+02
6.800242608866982619e-02 2.110752812487300123e-03 5.003333333333333144e+02 8.253248518681058954e+01
7.478812129850326285e-02 1.894856213165734514e-03 5.706666666666666288e+02 1.096908112563403108e+02
8.081736842982174818e-02 1.577734731020807597e-03 6.646666666666666288e+02 1.068044249326084270e+02
8.706192866790804508e-02 2.018057842609979804e-03 6.793846153846153584e+02 1.314851443900271022e+02
9.311361532868518698e-02 1.734318039620741251e-03 7.396666666666666288e+02 1.311717491603194787e+02
9.924832822165428892e-02 1.939409616079583844e-03 7.483125000000000000e+02 1.921883434940839379e+02
1.056867454532435108e-01 2.068262530006435406e-03 6.892083333333333712e+02 2.366654782834013986e+02
1.120935416356093062e-01 1.699923986068800717e-03 6.983846153846153584e+02 2.474255551179865051e+02
1.177168722532570266e-01 1.903764278506084144e-03 6.892187500000000000e+02 2.436752890310689565e+02
1.242406998858587575e-01 2.007415885574503726e-03 6.668214285714285552e+02 2.374891673147151039e+02
1.307844605212421796e-01 1.948859987027574741e-03 6.816785714285714448e+02 1.986437753613133168e+02
1.372938405551752672e-01 1.976444694498947011e-03 6.870967741935484128e+02 2.014265099677645878e+02
1.433626874055373979e-01 1.479129257371093872e-03 6.675599999999999454e+02 1.787120275750907865e+02
1.497414395840910573e-01 2.132896554945924294e-03 6.880270270270269748e+02 1.823375989750879569e+02
1.562016171858009728e-01 1.470810848565314282e-03 6.910740740740740193e+02 1.682230580405545481e+02
1.620883487451751925e-01 1.817360580555445800e-03 7.089090909090908781e+02 1.668976856207560786e+02
1.684939590642719198e-01 1.975568076388520972e-03 7.118918918918918735e+02 1.719037646758066842e+02
1.749358117034872373e-01 1.810730169671130639e-03 7.241142857142857565e+02 1.675965953577524203e+02
1.813634234827302405e-01 1.982290824745188643e-03 7.394146341463414274e+02 1.659931945309115804e+02
1.877608813777307539e-01 1.710969833005861022e-03 7.460540540540540633e+02 1.802439747424903942e+02
1.936838392192468117e-01 1.708352888559126238e-03 7.538421052631579187e+02 1.807110877337550221e+02
1.998200724089964908e-01 1.901042836663710675e-03 7.673488372093023600e+02 1.798709560871328961e+02
2.064988844748374130e-01 2.083185659227047067e-03 7.646041666666666288e+02 2.084610316968403652e+02
2.131062600015138364e-01 1.923054290541973939e-03 7.905106382978723332e+02 1.845262049843851742e+02
2.193208008558340527e-01 1.649587748772136844e-03 7.965813953488371908e+02 1.937949675656175827e+02
2.255197753110727010e-01 1.943898002345461392e-03 8.101568627450980102e+02 1.862831969078571035e+02
2.319084130262620835e-01 1.853433278599466881e-03 8.212799999999999727e+02 1.909670840747169223e+02
2.380456302514551703e-01 1.717913041466973250e-03 8.321666666666666288e+02 1.931736499312930846e+02
2.441826744061198484e-01 1.910984005326162374e-03 8.406545454545454277e+02 1.872095127200873890e+02
2.508567628905887248e-01 1.865639566994751813e-03 7.619032258064515872e+02 2.683878789923464865e+02
2.571616352083493928e-01 2.042758540577210586e-03 7.271219512195121979e+02 2.752705521101239583e+02
2.636090936505812721e-01 1.759536909171210452e-03 7.305194805194805667e+02 2.593318522930857739e+02
2.696276322290375727e-01 1.767913466712890637e-03 7.451499999999999773e+02 2.492284933048386222e+02
2.756934411426098519e-01 1.847457432374286813e-03 7.678690476190475920e+02 2.371275884355907522e+02
2.820483295007140123e-01 1.942127748479487680e-03 7.782921348314606576e+02 2.308730060140123896e+02
2.885873542857223528e-01 1.999902870285049771e-03 7.946736842105262895e+02 2.233285415067307156e+02
2.950059364807982032e-01 1.753155416080761590e-03 8.012441860465115724e+02 2.177901463880083668e+02
3.012776628394395750e-01 1.916275679195857595e-03 8.182842105263157464e+02 2.123474216448703942e+02
3.076468654533095481e-01 1.858480647863890167e-03 8.253655913978494709e+02 2.074889020347076212e+02
3.139397285054469910e-01 1.849733180513128640e-03 8.395957446808511122e+02 2.042108900039304160e+02
3.202097007249891103e-01 1.889977811219999311e-03 8.438367346938775881e+02 2.010101333746227681e+02
3.264390569218261762e-01 1.757358001834326191e-03 8.531075268817204460e+02 1.957412718568857031e+02
3.326951465344144543e-01 1.930481388006281569e-03 8.745192307692307168e+02 1.881104033634246093e+02
3.390239669727912464e-01 1.785238221274862988e-03 8.757551020408163822e+02 1.888747527328847866e+02
3.452290355408559885e-01 1.822729964848564038e-03 8.910000000000000000e+02 1.826653159389018128e+02
3.515217579766085620e-01 1.894166946962649433e-03 8.992952380952381191e+02 1.779761659499903317e+02
3.581115149106128270e-01 1.984833837990382030e-03 9.135486725663716925e+02 1.722571531831810887e+02
3.646365217867122976e-01 1.807385512883236643e-03 9.297757009345793904e+02 1.681368599339320440e+02
3.707522342694583029e-01 1.646676631311451595e-03 9.334600000000000364e+02 1.663590183909486768e+02
3.768404479121448269e-01 1.835047814059704218e-03 9.523063063063062827e+02 1.590033681974226738e+02
3.831651369708888866e-01 1.834489868729198949e-03 9.524324324324323925e+02 1.537810446406573988e+02
3.894643253735652899e-01 1.853753096359237081e-03 9.538053097345132301e+02 1.473629413352370250e+02
3.958807651630259494e-01 1.912159574900255954e-03 9.486916666666667197e+02 1.423704757353543187e+02
4.022473572087105209e-01 1.746533598099251966e-03 9.475855855855855907e+02 1.377860504492421683e+02
4.083991683103055381e-01 1.862831917861469243e-03 9.544537815126050191e+02 1.314062259368123478e+02
4.147868792651558945e-01 1.850918924272050396e-03 9.556363636363636260e+02 1.275155358016184977e+02
4.211381020132339281e-01 1.813003092898375071e-03 9.645454545454545041e+02 1.211062829939721865e+02
4.273404438934948479e-01 1.765577699919095717e-03 9.668235294117647527e+02 1.176853131083222763e+02
4.337195733954657406e-01 1.911235613422362228e-03 9.753461538461538112e+02 1.125205201535315780e+02
4.400834723796714920e-01 1.795304431444431784e-03 9.767580645161290249e+02 1.114475683174423040e+02
4.463380503116383125e-01 1.781136916513354146e-03 9.764761904761904816e+02 1.101032669945458906e+02
4.525475293404462862e-01 1.782735370135076804e-03 9.782204724409448318e+02 1.070438149766564351e+02
4.588781844142776345e-01 1.863542184770878652e-03 9.732462686567164383e+02 1.046211402185012105e+02
4.652813857520213814e-01 1.809454061223974295e-03 9.700375939849624274e+02 1.003456001569455509e+02
4.715886271752884884e-01 1.786725641485754782e-03 9.579925373134328765e+02 9.853361367038647245e+01
4.778700308571910971e-01 1.749120838384908864e-03 9.548195488721804622e+02 9.336952573647448617e+01
4.841075358786299798e-01 1.812598873705853009e-03 9.495724637681159948e+02 8.967313218808027386e+01
4.904685449060671165e-01 1.813034819841214708e-03 9.412642857142857338e+02 8.817905832186353621e+01
4.967988078032400945e-01 1.775169993053363985e-03 9.422056737588652595e+02 8.421793920919478182e+01
5.030461340587593089e-01 1.710738770771227935e-03 9.375144927536232444e+02 8.234013872774738729e+01
5.093789740337634209e-01 1.844995629980458740e-03 9.400134228187919234e+02 7.914814868406784854e+01
5.157895609665918979e-01 1.772173611217854692e-03 9.369520547945205635e+02 7.790447331127107589e+01
5.220653538623039047e-01 1.710912446064493482e-03 9.349440559440558900e+02 7.511625006947548400e+01
5.282420832211931483e-01 1.776221308977217429e-03 9.343243243243243796e+02 7.184305138383423639e+01
5.345849814872509764e-01 1.797460663252185451e-03 9.348157894736841627e+02 6.930138497774625250e+01
5.409400198384390901e-01 1.769240412124692928e-03 9.390915032679738488e+02 6.795874423518272067e+01
5.471612929737256215e-01 1.671871176479489780e-03 9.384864864864864558e+02 6.854764862110761214e+01
5.535187503546902255e-01 1.843477994232445120e-03 9.411481481481481524e+02 6.713399134403850610e+01
5.599303633336802921e-01 1.774845713676194252e-03 9.416178343949044347e+02 6.786417156932202488e+01
5.661980099607780703e-01 1.715649351238413218e-03 9.514220779220779605e+02 6.045460822740055562e+01
5.724333289920446877e-01 1.764199560704661452e-03 9.596499999999999773e+02 6.083153222219541334e+01
5.786575496797814466e-01 1.687338640378493104e-03 9.680844155844156376e+02 6.148677331176295269e+01
5.849918082512260975e-01 1.882166412490617838e-03 9.810406976744186522e+02 6.188576102402704038e+01
5.913559560974818163e-01 1.673563701773732749e-03 9.906114649681528590e+02 6.421559580139039269e+01
5.976003341774964728e-01 1.789272139650604403e-03 1.006000000000000000e+03 6.443123943697355571e+01
6.039710484280985670e-01 1.760471037718898532e-03 1.017892857142857110e+03 6.344898420730451249e+01
6.103455122609070527e-01 1.778153705054047679e-03 1.025912280701754298e+03 6.318336799488272959e+01
6.165941547084902163e-01 1.709282904712068618e-03 1.025173652694610837e+03 6.280390247441057738e+01
6.227886440901039267e-01 1.708031916550016484e-03 1.019535714285714334e+03 6.129919411362265436e+01
6.292222757675741684e-01 1.895555695838723603e-03 1.007663101604278040e+03 5.835908749798257844e+01
6.355837393651907474e-01 1.609918394456906487e-03 9.877818181818181529e+02 5.669824043406955383e+01
6.417201133152361514e-01 1.735489606861494215e-03 9.692808988764045353e+02 5.206528075811813494e+01
6.480234646877054416e-01 1.746502386866512820e-03 9.448651685393258504e+02 4.828378360926482316e+01
6.543745591304535036e-01 1.808595843625667669e-03 9.257608695652173765e+02 4.562269881811042893e+01
6.607410482875138991e-01 1.776914150084337417e-03 9.083858695652173765e+02 4.273197491407002246e+01
6.669765730033264672e-01 1.670208017253243388e-03 8.940113636363636260e+02 3.932686369596687115e+01
6.731673103258457580e-01 1.796482171393593615e-03 8.845425531914893327e+02 3.566579520335346842e+01
6.795850853652600776e-01 1.822834825668488831e-03 8.739109947643978558e+02 3.447264625497626866e+01
6.858902177354958551e-01 1.747430487391250960e-03 8.667526881720430083e+02 3.360374533849845591e+01
6.921278880332987216e-01 1.765781770802452586e-03 8.583386243386242995e+02 3.273322234056981017e+01
6.985070946107704293e-01 1.847715388967816497e-03 8.536919191919191690e+02 3.009244166569954615e+01
7.048037128132643714e-01 1.757666077632949074e-03 8.477724867724867863e+02 2.875006228822233467e+01
7.109847861020758275e-01 1.767854622430342420e-03 8.438958333333333712e+02 2.778374566968068038e+01
7.172345948602801835e-01 1.822657136245004524e-03 8.394343434343434183e+02 2.741986310998114718e+01
7.236608500653414211e-01 1.906739358311473767e-03 8.332390243902439124e+02 2.715309144051407131e+01
7.299519259881649402e-01 1.814756391122580772e-03 8.280408163265306030e+02 2.768773712624437877e+01
7.362298620906445601e-01 1.872001608046580190e-03 8.225637254901961342e+02 2.726330717481684474e+01
7.427109241448597299e-01 1.961252361706546793e-03 8.195327102803738626e+02 2.737305480976332817e+01
7.489749171607754663e-01 1.795506848231544564e-03 8.147333333333333485e+02 2.676362501477750300e+01
7.553119902396251417e-01 1.968290517240121971e-03 8.120228310502283193e+02 2.492096261212765285e+01
7.617428847945948434e-01 1.878647625832918257e-03 8.049710144927536248e+02 3.577025436180809237e+01
7.679897535333021219e-01 1.889655825210407886e-03 8.027655502392344715e+02 1.880296697446653909e+01
7.742716946001383382e-01 1.890740870187222538e-03 7.956431924882629119e+02 2.742232100503655090e+01
7.806130493972306406e-01 1.874127862848933099e-03 7.919622641509433834e+02 2.338739181951710222e+01
7.869955317179381238e-01 1.962138593108325030e-03 7.877321428571428896e+02 2.278193017447138757e+01
7.933337815560531636e-01 1.823456314192357453e-03 7.816571428571428442e+02 2.242818925971037203e+01
7.995722808394026826e-01 1.873920736445982161e-03 7.772579185520362444e+02 2.188819353243914634e+01
8.059029702364099990e-01 1.855844282913126459e-03 7.724474885844748542e+02 2.178921370364967203e+01
8.122482529694946551e-01 1.899897789708842157e-03 7.698237885462555141e+02 2.094914918739554821e+01
8.185971333973350861e-01 1.831057107996742058e-03 7.672556053811658785e+02 2.147870841649013229e+01
8.248840800988579414e-01 1.805078930334647752e-03 7.650403587443946662e+02 2.159696843138430467e+01
8.311527541867054225e-01 1.843524136775542745e-03 7.617292576419214356e+02 2.046820339833562130e+01
8.375116084758876811e-01 1.829773299230467044e-03 7.583695652173912549e+02 2.035125853620757397e+01
8.438261475186588090e-01 1.817550564165925373e-03 7.544784482758620925e+02 2.026317905429561961e+01
8.500843452560248314e-01 1.755513946144033992e-03 7.508672566371681114e+02 2.041352199732292760e+01
8.563647400134730692e-01 1.844487251387733453e-03 7.489087136929460939e+02 1.980495143409333636e+01
8.626696591174244366e-01 1.710203360544058351e-03 7.465263157894736423e+02 2.095895826779764803e+01
8.689830853488446083e-01 1.844123492424595270e-03 7.453658536585365937e+02 2.279570268876915051e+01
8.753179752476163422e-01 1.741457950302257533e-03 7.499021276595744894e+02 3.344978141733306387e+01
8.815756228481118617e-01 1.752464905610253906e-03 7.694813278008298312e+02 6.219363576008154126e+01
8.877944678552249780e-01 1.716242394594354789e-03 8.090421940928270033e+02 1.161482142798291619e+02
8.941407927930166144e-01 1.839522330085644050e-03 8.462727272727272521e+02 1.658964920225773199e+02
9.005003621585947471e-01 1.752218829319661820e-03 8.734571428571429124e+02 1.975461532964278035e+02
9.067627482844141662e-01 1.720498064613873055e-03 8.735737704918033160e+02 1.974280242981867559e+02
9.130278025298368405e-01 1.789374596252915357e-03 8.371547619047619264e+02 1.602902639787564851e+02
9.193563827426239898e-01 1.786117629316656989e-03 8.002460317460316901e+02 1.204873864185219929e+02
9.256709965929463824e-01 1.773964252230773864e-03 7.634470588235294599e+02 8.194710111880860381e+01
9.319487846442510159e-01 1.740175819907428248e-03 7.389679999999999609e+02 5.507829743192866090e+01
9.382375230166524194e-01 1.835219923763222079e-03 7.216793893129771504e+02 3.824482942109779060e+01
9.445114335627492475e-01 1.754301698834087597e-03 7.102450592885375045e+02 3.075448175080294533e+01
9.507739483173833772e-01 1.796477233495237351e-03 7.052605363984674796e+02 2.689012296138777813e+01
9.571000001339345920e-01 1.844157663989784944e-03 7.047433962264151432e+02 2.776976055499210005e+01
9.634651872700409347e-01 1.860525514413665987e-03 7.114360902255639303e+02 3.319473470477699095e+01
9.697902983397413967e-01 1.869026222830578836e-03 7.572368421052631220e+02 5.861160922590894273e+01
9.761731987705594138e-01 1.898719003246270758e-03 9.378413284132841454e+02 2.171762256399420323e+02
9.824546988499620603e-01 1.850375251942234242e-03 1.444320754716981128e+03 5.134132399252870300e+02
9.887603507672997338e-01 1.885371791598095068e-03 2.483919117647059011e+03 8.923199318673447351e+02
9.951547945742836854e-01 1.923480157877882840e-03 3.880654804270462591e+03 1.302707981865908550e+03
1.001497999719481502e+00 1.820392376112148691e-03 4.957139097744360697e+03 1.623531879308080761e+03
1.007730073445106012e+00 1.872875193246743668e-03 5.120172661870503362e+03 1.647734072939414546e+03
1.014110590476311025e+00 1.881534321868284657e-03 4.438081560283688304e+03 1.453803352820663122e+03
1.020442888611849064e+00 1.823625195420996601e-03 3.591928315412186294e+03 1.210866392764983402e+03
1.026691701700078063e+00 1.782759485576686145e-03 2.604539855072463979e+03 8.783324432140442468e+02
1.033057845114525142e+00 1.884320384582664851e-03 1.817380952380952294e+03 5.696368478986985338e+02
1.039437792018165441e+00 1.793463056649077922e-03 1.275123674911660828e+03 3.495955755063482115e+02
1.045681248368910410e+00 1.745618337461533540e-03 9.410390070921986307e+02 1.812042224893654065e+02
1.051944871571292683e+00 1.801987856022948175e-03 7.537379310344828127e+02 8.784268502683049462e+01
1.058324809813473877e+00 1.829265674919061668e-03 6.684814814814815236e+02 4.152110451282675996e+01
1.064596602572098316e+00 1.714864743882408334e-03 6.351408450704225288e+02 2.644017343505032258e+01
1.070868750588993112e+00 1.792957436204007347e-03 6.213569023569023102e+02 2.163218120015908141e+01
1.077195490251847465e+00 1.798916779777443367e-03 6.136120401337792600e+02 2.080170824407808894e+01
1.083505800573759448e+00 1.740543057611223946e-03 6.066996587030716910e+02 2.194487894770122693e+01
1.089676915900379850e+00 1.748165881083384946e-03 6.006836734693877133e+02 2.240689468919469718e+01
1.096052400832523421e+00 1.863573573199493825e-03 5.967028753993610053e+02 2.185868572201306037e+01
1.102364289960501065e+00 1.744372504095847640e-03 5.929661016949152099e+02 2.196627824787805139e+01
1.108625070827478076e+00 1.829094711995288541e-03 5.870358306188925326e+02 2.389251458248593707e+01
1.114924075445366869e+00 1.842999932655674591e-03 5.667824675324675354e+02 5.374250801885337836e+01
1.121282665432693726e+00 1.762017027877181303e-03 5.754961832061068208e+02 3.833365931545048966e+01
1.127553932619258736e+00 1.851826979229859085e-03 5.734126394052044589e+02 3.417474282395367879e+01
1.133905639228342421e+00 1.803927404845938115e-03 5.686431372549019443e+02 3.422618929757067008e+01
1.140144523104706709e+00 1.820967272376473748e-03 5.649566929133858366e+02 3.668226417735157696e+01
1.146455214771981312e+00 1.831860927088285957e-03 5.625617529880478287e+02 3.424846840334315345e+01
1.152869066430118439e+00 1.902391342003174283e-03 5.601698841698841989e+02 3.426721560854527837e+01
1.159252377890596986e+00 1.791659613503928782e-03 5.543319502074689353e+02 3.586291187086322907e+01
1.165575291556828930e+00 1.872439892399787795e-03 5.527211155378486183e+02 3.468625450816976041e+01
1.171828433925186763e+00 1.747387590499659572e-03 5.468311688311688386e+02 3.904416673002205584e+01
1.178029580193284076e+00 1.845903894892485285e-03 5.457818930041152043e+02 3.692330067317570297e+01
1.184400904434957269e+00 1.829516060217846983e-03 5.407698744769874111e+02 3.729241641477775460e+01
1.190737654720273042e+00 1.816225366119703435e-03 5.384303797468354560e+02 3.737022730463211673e+01
1.196977477342464180e+00 1.780548390738201196e-03 5.340698689956332146e+02 3.704599713569037078e+01
1.203312963818603976e+00 1.874247930763579166e-03 5.314049586776859542e+02 3.818818772673471784e+01
1.209645773529357093e+00 1.750259837788138012e-03 5.251017699115044479e+02 3.937867898598403826e+01
1.215952225700388523e+00 1.837678281197498587e-03 5.230466101694914869e+02 3.792519029472525460e+01
1.222254898926581568e+00 1.775628514659025698e-03 4.966479400749063871e+02 6.356976038657985839e+01
1.228537298751265050e+00 1.780223345631782141e-03 5.055144927536231876e+02 4.576525074555369343e+01
1.234759587745337228e+00 1.795376270296014523e-03 5.027777777777777715e+02 4.238139681156019378e+01
1.241110555825225781e+00 1.895169703334604900e-03 4.999563758389261920e+02 4.107581749347824740e+01
1.247523323486311897e+00 1.874537877840588536e-03 4.940101351351351582e+02 3.965633532639340331e+01
1.253854431820907944e+00 1.857283623330970761e-03 4.911879194630872689e+02 4.040087149491652241e+01
1.260138295168494293e+00 1.856490137450314505e-03 4.844285714285714448e+02 4.075688160539870353e+01
1.266501421045549414e+00 1.881588491645209797e-03 4.824115755627009889e+02 3.923757836513266284e+01
1.272807251993681055e+00 1.824447191781883651e-03 4.775573770491803316e+02 3.786225263615762771e+01
1.279100636071537789e+00 1.831925956271344968e-03 4.755573248407643518e+02 3.747096648802693153e+01
1.285385940199903265e+00 1.796864974607813087e-03 4.706602564102564088e+02 3.573068096600655963e+01
1.291734086560349049e+00 1.833790085687247952e-03 4.669171779141104253e+02 3.425247655645195977e+01
1.297999116585571544e+00 1.712347548001254965e-03 4.606213592233009990e+02 3.374669205355935020e+01
1.304332283077917598e+00 1.862331657852500611e-03 4.584306784660766994e+02 3.334974013433664197e+01
1.310629912671008812e+00 1.689758514739712848e-03 4.542724358974359120e+02 3.345309169839851648e+01
1.316859893871710430e+00 1.807323329610554348e-03 4.516776119402985046e+02 3.319687360308769541e+01
1.323169508333509325e+00 1.772103529485381237e-03 4.470547112462006112e+02 3.155330655791937744e+01
1.329416719622044551e+00 1.761213072716576004e-03 4.438398791540785737e+02 3.209843025753669110e+01
1.335676763851219473e+00 1.808340606324402439e-03 4.395684523809524080e+02 3.059732685801178320e+01
1.342102166253144047e+00 1.916040745002256648e-03 4.370366197183098507e+02 3.092369348070173629e+01
