# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 4.027500000000000000e+02 1.286861083296904269e+02
6.800242608866982619e-02 2.110752812487300123e-03 5.533333333333333712e+02 7.457956228827782752e+01
7.478812129850326285e-02 1.894856213165734514e-03 5.637777777777778283e+02 1.169384136740044653e+02
8.081736842982174818e-02 1.577734731020807597e-03 5.913333333333333712e+02 1.073391992876027814e+02
8.706192866790804508e-02 2.018057842609979804e-03 5.988461538461538112e+02 9.937595223018898594e+01
9.311361532868518698e-02 1.734318039620741251e-03 6.001666666666666288e+02 9.732156036105827468e+01
9.924832822165428892e-02 1.939409616079583844e-03 5.809375000000000000e+02 1.299422648236516125e+02
1.056867454532435108e-01 2.068262530006435406e-03 5.447916666666666288e+02 1.414627085724950746e+02
1.120935416356093062e-01 1.699923986068800717e-03 5.055384615384615472e+02 1.516646097352768834e+02
1.177168722532570266e-01 1.903764278506084144e-03 5.099687500000000000e+02 1.670593960149353450e+02
1.242406998858587575e-01 2.007415885574503726e-03 5.210357142857143344e+02 1.249485608446245948e+02
1.307844605212421796e-01 1.948859987027574741e-03 5.276071428571428896e+02 1.055259422596923429e+02
1.372938405551752672e-01 1.976444694498947011e-03 5.188709677419354875e+02 1.051770174267985567e+02
1.433626874055373979e-01 1.479129257371093872e-03 5.056000000000000227e+02 9.911883776558318004e+01
1.497414395840910573e-01 2.132896554945924294e-03 5.173243243243243796e+02 9.105617993073974503e+01
1.562016171858009728e-01 1.470810848565314282e-03 5.118888888888889142e+02 8.594626994158866751e+01
1.620883487451751925e-01 1.817360580555445800e-03 5.156060606060606233e+02 8.429520365385562286e+01
1.684939590642719198e-01 1.975568076388520972e-03 5.095405405405405190e+02 8.701517881408247490e+01
1.749358117034872373e-01 1.810730169671130639e-03 5.162857142857143344e+02 8.113822924428384908e+01
1.813634234827302405e-01 1.982290824745188643e-03 5.166341463414634063e+02 8.082865743031311467e+01
1.877608813777307539e-01 1.710969833005861022e-03 5.165135135135135442e+02 8.528168853177841413e+01
1.936838392192468117e-01 1.708352888559126238e-03 5.160526315789473983e+02 8.294385345210798732e+01
1.998200724089964908e-01 1.901042836663710675e-03 5.178604651162791015e+02 8.135809778821408145e+01
2.064988844748374130e-01 2.083185659227047067e-03 5.099166666666666856e+02 1.001537966634870429e+02
2.131062600015138364e-01 1.923054290541973939e-03 5.225744680851063322e+02 8.405014509205486206e+01
2.193208008558340527e-01 1.649587748772136844e-03 5.254186046511628092e+02 8.509336646746220367e+01
2.255197753110727010e-01 1.943898002345461392e-03 5.310392156862744741e+02 7.789925127183208531e+01
2.319084130262620835e-01 1.853433278599466881e-03 5.363400000000000318e+02 7.466747082900292298e+01
2.380456302514551703e-01 1.717913041466973250e-03 5.383333333333333712e+02 7.186807937696214310e+01
2.441826744061198484e-01 1.910984005326162374e-03 5.412000000000000455e+02 6.884792199940652324e+01
2.508567628905887248e-01 1.865639566994751813e-03 5.103548387096774377e+02 1.049728496685396095e+02
2.571616352083493928e-01 2.042758540577210586e-03 5.036707317073170884e+02 1.026067427827500183e+02
2.636090936505812721e-01 1.759536909171210452e-03 5.154415584415584135e+02 8.695038356572295868e+01
2.696276322290375727e-01 1.767913466712890637e-03 5.225000000000000000e+02 8.041427889373876781e+01
2.756934411426098519e-01 1.847457432374286813e-03 5.297023809523809632e+02 7.285449147058568542e+01
2.820483295007140123e-01 1.942127748479487680e-03 5.302584269662921770e+02 7.142225399949151665e+01
2.885873542857223528e-01 1.999902870285049771e-03 5.331894736842104976e+02 7.085833004162664395e+01
2.950059364807982032e-01 1.753155416080761590e-03 5.325930232558139323e+02 7.240497773242296375e+01
3.012776628394395750e-01 1.916275679195857595e-03 5.365789473684210407e+02 7.232701590634648880e+01
3.076468654533095481e-01 1.858480647863890167e-03 5.393333333333333712e+02 7.204180387369781613e+01
3.139397285054469910e-01 1.849733180513128640e-03 5.440531914893616658e+02 7.054278822512560509e+01
3.202097007249891103e-01 1.889977811219999311e-03 5.460000000000000000e+02 6.949526485117308994e+01
3.264390569218261762e-01 1.757358001834326191e-03 5.487311827956989418e+02 6.672629140812988169e+01
3.326951465344144543e-01 1.930481388006281569e-03 5.565000000000000000e+02 6.490307122044498556e+01
3.390239669727912464e-01 1.785238221274862988e-03 5.560000000000000000e+02 6.635310613586639761e+01
3.452290355408559885e-01 1.822729964848564038e-03 5.612843137254901649e+02 6.655058810126604385e+01
3.515217579766085620e-01 1.894166946962649433e-03 5.652571428571428669e+02 6.302224205149543934e+01
3.581115149106128270e-01 1.984833837990382030e-03 5.719380530973451187e+02 6.072719386366838989e+01
3.646365217867122976e-01 1.807385512883236643e-03 5.791214953271028207e+02 6.017610775423497671e+01
3.707522342694583029e-01 1.646676631311451595e-03 5.797599999999999909e+02 5.951554418805225311e+01
3.768404479121448269e-01 1.835047814059704218e-03 5.868468468468468018e+02 5.744964447966609100e+01
3.831651369708888866e-01 1.834489868729198949e-03 5.869009009009008651e+02 5.515194497324305445e+01
3.894643253735652899e-01 1.853753096359237081e-03 5.873185840707964189e+02 5.225159095325437164e+01
3.958807651630259494e-01 1.912159574900255954e-03 5.869666666666666970e+02 5.058893434119538313e+01
4.022473572087105209e-01 1.746533598099251966e-03 5.900450450450450717e+02 4.889138723869985625e+01
4.083991683103055381e-01 1.862831917861469243e-03 5.951428571428571104e+02 4.678914927412035496e+01
4.147868792651558945e-01 1.850918924272050396e-03 5.973884297520661448e+02 4.497952998437084204e+01
4.211381020132339281e-01 1.813003092898375071e-03 6.023636363636363740e+02 4.313081807790249655e+01
4.273404438934948479e-01 1.765577699919095717e-03 6.060000000000000000e+02 4.155081934493342999e+01
4.337195733954657406e-01 1.911235613422362228e-03 6.135615384615384755e+02 3.957792403608249998e+01
4.400834723796714920e-01 1.795304431444431784e-03 6.175322580645160997e+02 3.866714901710937369e+01
4.463380503116383125e-01 1.781136916513354146e-03 6.178968253968254203e+02 3.817789973556291727e+01
4.525475293404462862e-01 1.782735370135076804e-03 6.169291338582677326e+02 3.824015403497691068e+01
4.588781844142776345e-01 1.863542184770878652e-03 6.124328358208955478e+02 3.720589428890777839e+01
4.652813857520213814e-01 1.809454061223974295e-03 6.077218045112781510e+02 3.439142537951576628e+01
4.715886271752884884e-01 1.786725641485754782e-03 6.008358208955223745e+02 3.374810374779031719e+01
4.778700308571910971e-01 1.749120838384908864e-03 5.966090225563909826e+02 3.281507518450288785e+01
4.841075358786299798e-01 1.812598873705853009e-03 5.928913043478261216e+02 3.155444580054382087e+01
4.904685449060671165e-01 1.813034819841214708e-03 5.883857142857142435e+02 3.137692021931055564e+01
4.967988078032400945e-01 1.775169993053363985e-03 5.873617021276595551e+02 3.004865025627996289e+01
5.030461340587593089e-01 1.710738770771227935e-03 5.843913043478261216e+02 2.927496591782137259e+01
5.093789740337634209e-01 1.844995629980458740e-03 5.841610738255033084e+02 2.766145954769586623e+01
5.157895609665918979e-01 1.772173611217854692e-03 5.819452054794520564e+02 2.599598320517090855e+01
5.220653538623039047e-01 1.710912446064493482e-03 5.810000000000000000e+02 2.631293654023870943e+01
5.282420832211931483e-01 1.776221308977217429e-03 5.806283783783783292e+02 2.673912878227452694e+01
5.345849814872509764e-01 1.797460663252185451e-03 5.797368421052631220e+02 2.621962033105569745e+01
5.409400198384390901e-01 1.769240412124692928e-03 5.814052287581699829e+02 2.641824001571240998e+01
5.471612929737256215e-01 1.671871176479489780e-03 5.820540540540540633e+02 2.628220310678105776e+01
5.535187503546902255e-01 1.843477994232445120e-03 5.863580246913579685e+02 2.542133746913619419e+01
5.599303633336802921e-01 1.774845713676194252e-03 5.914267515923567089e+02 2.803839887426727628e+01
5.661980099607780703e-01 1.715649351238413218e-03 6.018961038961039094e+02 2.286269486880003399e+01
5.724333289920446877e-01 1.764199560704661452e-03 6.106062500000000455e+02 2.512404227030356196e+01
5.786575496797814466e-01 1.687338640378493104e-03 6.216363636363636260e+02 2.658669630298141584e+01
5.849918082512260975e-01 1.882166412490617838e-03 6.346918604651162923e+02 2.686306365161420118e+01
5.913559560974818163e-01 1.673563701773732749e-03 6.478089171974522742e+02 2.847773478623100019e+01
5.976003341774964728e-01 1.789272139650604403e-03 6.632958579881657215e+02 2.940298489039793850e+01
6.039710484280985670e-01 1.760471037718898532e-03 6.768690476190475920e+02 3.098348139919903588e+01
6.103455122609070527e-01 1.778153705054047679e-03 6.861695906432748870e+02 3.231734560979737125e+01
6.165941547084902163e-01 1.709282904712068618e-03 6.878143712574850497e+02 3.313129929982897437e+01
6.227886440901039267e-01 1.708031916550016484e-03 6.849285714285714448e+02 3.320553520163786487e+01
6.292222757675741684e-01 1.895555695838723603e-03 6.748395721925134012e+02 3.090264398099087018e+01
6.355837393651907474e-01 1.609918394456906487e-03 6.581090909090909236e+02 2.960468282517249605e+01
6.417201133152361514e-01 1.735489606861494215e-03 6.436179775280899094e+02 2.710815214353965175e+01
6.480234646877054416e-01 1.746502386866512820e-03 6.261629213483146259e+02 2.420307787584690828e+01
6.543745591304535036e-01 1.808595843625667669e-03 6.095000000000000000e+02 2.201179278793825134e+01
6.607410482875138991e-01 1.776914150084337417e-03 5.933750000000000000e+02 2.063877998163735583e+01
6.669765730033264672e-01 1.670208017253243388e-03 5.802329545454545041e+02 1.922056217519608268e+01
6.731673103258457580e-01 1.796482171393593615e-03 5.712074468085106673e+02 1.783734383868731754e+01
6.795850853652600776e-01 1.822834825668488831e-03 5.633141361256544997e+02 1.692398557650194846e+01
6.858902177354958551e-01 1.747430487391250960e-03 5.583172043010753214e+02 1.660816649596604933e+01
6.921278880332987216e-01 1.765781770802452586e-03 5.533703703703703241e+02 1.630617185138179437e+01
6.985070946107704293e-01 1.847715388967816497e-03 5.494646464646464210e+02 1.584978685318830216e+01
7.048037128132643714e-01 1.757666077632949074e-03 5.454867724867724519e+02 1.571517375859975907e+01
7.109847861020758275e-01 1.767854622430342420e-03 5.422708333333333712e+02 1.603709688698362967e+01
7.172345948602801835e-01 1.822657136245004524e-03 5.394545454545454959e+02 1.575227183463546332e+01
7.236608500653414211e-01 1.906739358311473767e-03 5.359365853658536025e+02 1.514677977449927404e+01
7.299519259881649402e-01 1.814756391122580772e-03 5.336173469387755404e+02 1.570647831494675195e+01
7.362298620906445601e-01 1.872001608046580190e-03 5.313480392156862990e+02 1.522923485887502792e+01
7.427109241448597299e-01 1.961252361706546793e-03 5.303084112149532530e+02 1.505161730544186049e+01
7.489749171607754663e-01 1.795506848231544564e-03 5.283641025641026090e+02 1.634178423245349521e+01
7.553119902396251417e-01 1.968290517240121971e-03 5.267716894977169204e+02 1.620746715616569844e+01
7.617428847945948434e-01 1.878647625832918257e-03 5.228792270531400845e+02 2.370479271372938257e+01
7.679897535333021219e-01 1.889655825210407886e-03 5.240669856459329594e+02 1.152428872242918700e+01
7.742716946001383382e-01 1.890740870187222538e-03 5.232300469483568577e+02 1.760454456724423622e+01
7.806130493972306406e-01 1.874127862848933099e-03 5.226179245283018417e+02 1.617397598335065112e+01
7.869955317179381238e-01 1.962138593108325030e-03 5.202901785714285552e+02 1.673939277298203621e+01
7.933337815560531636e-01 1.823456314192357453e-03 5.182428571428571331e+02 1.704711358654752118e+01
7.995722808394026826e-01 1.873920736445982161e-03 5.176380090497737001e+02 1.687385708990807132e+01
8.059029702364099990e-01 1.855844282913126459e-03 5.171369863013699160e+02 1.801559793449170499e+01
8.122482529694946551e-01 1.899897789708842157e-03 5.177665198237885988e+02 1.754646343754576776e+01
8.185971333973350861e-01 1.831057107996742058e-03 5.176412556053811613e+02 1.761864861281548400e+01
8.248840800988579414e-01 1.805078930334647752e-03 5.176502242152466806e+02 1.761144752468741004e+01
8.311527541867054225e-01 1.843524136775542745e-03 5.182925764192140150e+02 1.800917887708311937e+01
8.375116084758876811e-01 1.829773299230467044e-03 5.203739130434782965e+02 1.836681996466364453e+01
8.438261475186588090e-01 1.817550564165925373e-03 5.229827586206896513e+02 1.904768446795995729e+01
8.500843452560248314e-01 1.755513946144033992e-03 5.260530973451327554e+02 2.028354491643427338e+01
8.563647400134730692e-01 1.844487251387733453e-03 5.272116182572614207e+02 2.068830317663507756e+01
8.626696591174244366e-01 1.710203360544058351e-03 5.288377192982455881e+02 2.284787921876604599e+01
8.689830853488446083e-01 1.844123492424595270e-03 5.310365853658536253e+02 2.586045316451901144e+01
8.753179752476163422e-01 1.741457950302257533e-03 5.355914893617020880e+02 3.190760427394213039e+01
8.815756228481118617e-01 1.752464905610253906e-03 5.411825726141079258e+02 3.914369471053637994e+01
8.877944678552249780e-01 1.716242394594354789e-03 5.467974683544304071e+02 4.773993701592258532e+01
8.941407927930166144e-01 1.839522330085644050e-03 5.455968379446640029e+02 5.213491445822471348e+01
9.005003621585947471e-01 1.752218829319661820e-03 5.442775510204081684e+02 5.710382252767288236e+01
9.067627482844141662e-01 1.720498064613873055e-03 5.447909836065573472e+02 6.161099310931572859e+01
9.130278025298368405e-01 1.789374596252915357e-03 5.438293650793650613e+02 6.291747845781845427e+01
9.193563827426239898e-01 1.786117629316656989e-03 5.450198412698413222e+02 6.627874999524529187e+01
9.256709965929463824e-01 1.773964252230773864e-03 5.425725490196078908e+02 6.505035697607154077e+01
9.319487846442510159e-01 1.740175819907428248e-03 5.390720000000000027e+02 6.197805340602429425e+01
9.382375230166524194e-01 1.835219923763222079e-03 5.354389312977099280e+02 5.506845018216765197e+01
9.445114335627492475e-01 1.754301698834087597e-03 5.339565217391303804e+02 4.938485142670997163e+01
9.507739483173833772e-01 1.796477233495237351e-03 5.412873563218390700e+02 4.674905435280943777e+01
9.571000001339345920e-01 1.844157663989784944e-03 5.834792452830188267e+02 5.906809677786964130e+01
9.634651872700409347e-01 1.860525514413665987e-03 7.440112781954886714e+02 1.404212376222055241e+02
9.697902983397413967e-01 1.869026222830578836e-03 1.185954887218045087e+03 3.336397443324873962e+02
9.761731987705594138e-01 1.898719003246270758e-03 1.965402214022140242e+03 5.635446676844636613e+02
9.824546988499620603e-01 1.850375251942234242e-03 2.895181132075471851e+03 7.671405924792441056e+02
9.887603507672997338e-01 1.885371791598095068e-03 3.614235294117646845e+03 9.281378359707970276e+02
9.951547945742836854e-01 1.923480157877882840e-03 3.936939501779359489e+03 9.905762924391350452e+02
1.001497743307979915e+00 1.816985016266823736e-03 4.043741573033707937e+03 1.034616397294659919e+03
1.007730073445106012e+00 1.872875193246743668e-03 4.093201438848921043e+03 1.070615781125270360e+03
1.014110590476311025e+00 1.881534321868284657e-03 4.037223404255319110e+03 1.075252957454178613e+03
1.020442888611849064e+00 1.823625195420996601e-03 4.067612903225806349e+03 1.081210598232008351e+03
1.026691701700078063e+00 1.782759485576686145e-03 3.895217391304347984e+03 1.065960810679961924e+03
1.033057845114525142e+00 1.884320384582664851e-03 3.539778911564626014e+03 9.864542778074599028e+02
1.039437792018165441e+00 1.793463056649077922e-03 2.889614840989399454e+03 9.167834742352052899e+02
1.045681248368910410e+00 1.745618337461533540e-03 2.005553191489361780e+03 6.717893784442362630e+02
1.051944871571292683e+00 1.801987856022948175e-03 1.167568965517241395e+03 3.840713057432990354e+02
1.058324809813473877e+00 1.829265674919061668e-03 6.942154882154882216e+02 1.561585400927976366e+02
1.064596602572098316e+00 1.714864743882408334e-03 5.328556338028168966e+02 5.803064806512299612e+01
1.070868750588993112e+00 1.792957436204007347e-03 4.914612794612794460e+02 3.239919700096428556e+01
1.077195490251847465e+00 1.798916779777443367e-03 4.769933110367892937e+02 2.523262870998092922e+01
1.083505800573759448e+00 1.740543057611223946e-03 4.693515358361774474e+02 2.291743180108476707e+01
1.089676915900379850e+00 1.748165881083384946e-03 4.637006802721088548e+02 2.181066959021500296e+01
1.096052400832523421e+00 1.863573573199493825e-03 4.595814696485622903e+02 2.036486308674540879e+01
