# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 2.820000000000000000e+02 5.974367014545539689e+01
6.800242608866982619e-02 2.110752812487300123e-03 4.898333333333333144e+02 1.039267904718402065e+02
7.478812129850326285e-02 1.894856213165734514e-03 5.953333333333333712e+02 1.987626539181659098e+02
8.081736842982174818e-02 1.577734731020807597e-03 6.243333333333333712e+02 2.062518237854269785e+02
8.706192866790804508e-02 2.018057842609979804e-03 6.660000000000000000e+02 1.888866163764755584e+02
9.311361532868518698e-02 1.734318039620741251e-03 6.441666666666666288e+02 1.783736325183118936e+02
9.924832822165428892e-02 1.939409616079583844e-03 6.190625000000000000e+02 1.891556898430496858e+02
1.056867454532435108e-01 2.068262530006435406e-03 5.785416666666666288e+02 1.904891182368868670e+02
1.120935416356093062e-01 1.699923986068800717e-03 5.151153846153846416e+02 1.831669865734931193e+02
1.177168722532570266e-01 1.903764278506084144e-03 5.321250000000000000e+02 1.921341999261193507e+02
1.242406998858587575e-01 2.007415885574503726e-03 5.597142857142856656e+02 1.422994112741848198e+02
1.307844605212421796e-01 1.948859987027574741e-03 5.667142857142856656e+02 1.197894624168689006e+02
1.372938405551752672e-01 1.976444694498947011e-03 5.504516129032258505e+02 1.161706377083155672e+02
1.433626874055373979e-01 1.479129257371093872e-03 5.267999999999999545e+02 1.144990480309770930e+02
1.497414395840910573e-01 2.132896554945924294e-03 5.366756756756756204e+02 9.688482766663805990e+01
1.562016171858009728e-01 1.470810848565314282e-03 5.197777777777778283e+02 9.577567240102422375e+01
1.620883487451751925e-01 1.817360580555445800e-03 5.202121212121212466e+02 9.064779114003546567e+01
1.684939590642719198e-01 1.975568076388520972e-03 5.115945945945945823e+02 9.082482597769589461e+01
1.749358117034872373e-01 1.810730169671130639e-03 5.111999999999999886e+02 8.511988184739382746e+01
1.813634234827302405e-01 1.982290824745188643e-03 5.140731707317073642e+02 8.310687413359373465e+01
1.877608813777307539e-01 1.710969833005861022e-03 5.094594594594594810e+02 8.723076705058683444e+01
1.936838392192468117e-01 1.708352888559126238e-03 5.074210526315789593e+02 8.583961240692870831e+01
1.998200724089964908e-01 1.901042836663710675e-03 5.091860465116279215e+02 8.324210943462459511e+01
2.064988844748374130e-01 2.083185659227047067e-03 4.996666666666666856e+02 9.871448025042276697e+01
2.131062600015138364e-01 1.923054290541973939e-03 5.124468085106383342e+02 8.059645520817359454e+01
2.193208008558340527e-01 1.649587748772136844e-03 5.112790697674418539e+02 8.193955943716787260e+01
2.255197753110727010e-01 1.943898002345461392e-03 5.175490196078430927e+02 7.649659437127701267e+01
2.319084130262620835e-01 1.853433278599466881e-03 5.205399999999999636e+02 7.612449802790162323e+01
2.380456302514551703e-01 1.717913041466973250e-03 5.217708333333333712e+02 7.583840413449287610e+01
2.441826744061198484e-01 1.910984005326162374e-03 5.248181818181818699e+02 7.098745087561731282e+01
2.508567628905887248e-01 1.865639566994751813e-03 4.923709677419354875e+02 1.052312996726793699e+02
2.571616352083493928e-01 2.042758540577210586e-03 4.860365853658536821e+02 1.011562982154330115e+02
2.636090936505812721e-01 1.759536909171210452e-03 4.952597402597402834e+02 8.553423138963971439e+01
2.696276322290375727e-01 1.767913466712890637e-03 4.999125000000000227e+02 7.668199756135724954e+01
2.756934411426098519e-01 1.847457432374286813e-03 5.058928571428571672e+02 6.891799203292519849e+01
2.820483295007140123e-01 1.942127748479487680e-03 5.076629213483146259e+02 6.732877163188410918e+01
2.885873542857223528e-01 1.999902870285049771e-03 5.121894736842104976e+02 6.520387290300513428e+01
2.950059364807982032e-01 1.753155416080761590e-03 5.129883720930232585e+02 6.531284078528527459e+01
3.012776628394395750e-01 1.916275679195857595e-03 5.188842105263157691e+02 6.527823934402609041e+01
3.076468654533095481e-01 1.858480647863890167e-03 5.203333333333333712e+02 6.435661732524781087e+01
3.139397285054469910e-01 1.849733180513128640e-03 5.252446808510637766e+02 6.416158267776525292e+01
3.202097007249891103e-01 1.889977811219999311e-03 5.280714285714285552e+02 6.505904472317084242e+01
3.264390569218261762e-01 1.757358001834326191e-03 5.314408602150538172e+02 6.581534657713801550e+01
3.326951465344144543e-01 1.930481388006281569e-03 5.384615384615384528e+02 6.542320128419419234e+01
3.390239669727912464e-01 1.785238221274862988e-03 5.405714285714285552e+02 6.927986510130349984e+01
3.452290355408559885e-01 1.822729964848564038e-03 5.475980392156862990e+02 7.188499241006215357e+01
3.515217579766085620e-01 1.894166946962649433e-03 5.564666666666666970e+02 7.248727967226881219e+01
3.581115149106128270e-01 1.984833837990382030e-03 5.642212389380531476e+02 7.603269500888445975e+01
3.646365217867122976e-01 1.807385512883236643e-03 5.745700934579439263e+02 8.545145609913755891e+01
3.707522342694583029e-01 1.646676631311451595e-03 5.868700000000000045e+02 1.044282615004195236e+02
3.768404479121448269e-01 1.835047814059704218e-03 6.058378378378378102e+02 1.270931033817235516e+02
