# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 3.715000000000000000e+02 1.219011445008300427e+02
6.800242608866982619e-02 2.110752812487300123e-03 8.098333333333333712e+02 3.124624421875016083e+02
7.478812129850326285e-02 1.894856213165734514e-03 9.954444444444444571e+02 4.868127254187482436e+02
8.081736842982174818e-02 1.577734731020807597e-03 9.686666666666666288e+02 4.520074565101119788e+02
8.706192866790804508e-02 2.018057842609979804e-03 1.022384615384615358e+03 3.837665016786260708e+02
9.311361532868518698e-02 1.734318039620741251e-03 9.065833333333333712e+02 3.165648301164654868e+02
9.924832822165428892e-02 1.939409616079583844e-03 8.233125000000000000e+02 2.906837575011717263e+02
1.056867454532435108e-01 2.068262530006435406e-03 7.542083333333333712e+02 2.837509300033706836e+02
1.120935416356093062e-01 1.699923986068800717e-03 6.408076923076922640e+02 2.405342488130765446e+02
1.177168722532570266e-01 1.903764278506084144e-03 6.636250000000000000e+02 2.440742154678572149e+02
1.242406998858587575e-01 2.007415885574503726e-03 6.792857142857143344e+02 1.881343554864068892e+02
1.307844605212421796e-01 1.948859987027574741e-03 6.984285714285714448e+02 1.674993907999887313e+02
1.372938405551752672e-01 1.976444694498947011e-03 6.855806451612903629e+02 1.598389440446183869e+02
1.433626874055373979e-01 1.479129257371093872e-03 6.372799999999999727e+02 1.440442043263108758e+02
1.497414395840910573e-01 2.132896554945924294e-03 6.269729729729730252e+02 1.194423920790525244e+02
1.562016171858009728e-01 1.470810848565314282e-03 5.903333333333333712e+02 1.133399235556691877e+02
1.620883487451751925e-01 1.817360580555445800e-03 5.858181818181818699e+02 1.081747642212594371e+02
1.684939590642719198e-01 1.975568076388520972e-03 5.726216216216216708e+02 1.076826323325299199e+02
1.749358117034872373e-01 1.810730169671130639e-03 5.697714285714286007e+02 1.000365565833871671e+02
1.813634234827302405e-01 1.982290824745188643e-03 5.749024390243902189e+02 9.759429613919763824e+01
1.877608813777307539e-01 1.710969833005861022e-03 5.694054054054054177e+02 1.036574822691885771e+02
1.936838392192468117e-01 1.708352888559126238e-03 5.662368421052631220e+02 1.033151929092356625e+02
1.998200724089964908e-01 1.901042836663710675e-03 5.684418604651162923e+02 1.011555383660770246e+02
2.064988844748374130e-01 2.083185659227047067e-03 5.568541666666666288e+02 1.187766490565848443e+02
2.131062600015138364e-01 1.923054290541973939e-03 5.725744680851063322e+02 9.965110026292984458e+01
2.193208008558340527e-01 1.649587748772136844e-03 5.697906976744186522e+02 1.020281432875997325e+02
2.255197753110727010e-01 1.943898002345461392e-03 5.766078431372549176e+02 9.581894330555817874e+01
2.319084130262620835e-01 1.853433278599466881e-03 5.798600000000000136e+02 9.476094976307487627e+01
2.380456302514551703e-01 1.717913041466973250e-03 5.832500000000000000e+02 9.278382694018750954e+01
2.441826744061198484e-01 1.910984005326162374e-03 5.863818181818181756e+02 8.617712875619119473e+01
2.508567628905887248e-01 1.865639566994751813e-03 5.439032258064515872e+02 1.324823373851875488e+02
2.571616352083493928e-01 2.042758540577210586e-03 5.315853658536585726e+02 1.313538085554077384e+02
2.636090936505812721e-01 1.759536909171210452e-03 5.417142857142856656e+02 1.140007648966950597e+02
2.696276322290375727e-01 1.767913466712890637e-03 5.531000000000000227e+02 1.048767312133630583e+02
2.756934411426098519e-01 1.847457432374286813e-03 5.642857142857143344e+02 9.646263948455137438e+01
2.820483295007140123e-01 1.942127748479487680e-03 5.671460674157303856e+02 9.435006815947063785e+01
2.885873542857223528e-01 1.999902870285049771e-03 5.720210526315789821e+02 9.187153381631208049e+01
2.950059364807982032e-01 1.753155416080761590e-03 5.736162790697674154e+02 9.111211809533503470e+01
3.012776628394395750e-01 1.916275679195857595e-03 5.810000000000000000e+02 8.917664315397011876e+01
3.076468654533095481e-01 1.858480647863890167e-03 5.851827956989246786e+02 8.631444609705286553e+01
3.139397285054469910e-01 1.849733180513128640e-03 5.913510638297872219e+02 8.412103526476235515e+01
3.202097007249891103e-01 1.889977811219999311e-03 5.937346938775509670e+02 8.269854505634093300e+01
3.264390569218261762e-01 1.757358001834326191e-03 5.972473118279569917e+02 8.095920645010019712e+01
3.326951465344144543e-01 1.930481388006281569e-03 6.079038461538461888e+02 7.724629330836306451e+01
3.390239669727912464e-01 1.785238221274862988e-03 6.110816326530612059e+02 7.739946926540000049e+01
3.452290355408559885e-01 1.822729964848564038e-03 6.218921568627450824e+02 7.839040719388481193e+01
3.515217579766085620e-01 1.894166946962649433e-03 6.307047619047618809e+02 7.648669678173123998e+01
3.581115149106128270e-01 1.984833837990382030e-03 6.422743362831857894e+02 7.750756571186896338e+01
3.646365217867122976e-01 1.807385512883236643e-03 6.542710280373831893e+02 7.745649434377726550e+01
3.707522342694583029e-01 1.646676631311451595e-03 6.626499999999999773e+02 7.934503135042545807e+01
3.768404479121448269e-01 1.835047814059704218e-03 6.805405405405405190e+02 8.085489773328782803e+01
3.831651369708888866e-01 1.834489868729198949e-03 6.955405405405405190e+02 8.669721090872717184e+01
3.894643253735652899e-01 1.853753096359237081e-03 7.215044247787610630e+02 9.414391883285392737e+01
3.958807651630259494e-01 1.912159574900255954e-03 7.770916666666666970e+02 1.236823580566139071e+02
4.022473572087105209e-01 1.746533598099251966e-03 9.357657657657657637e+02 2.424870327298414452e+02
4.083991683103055381e-01 1.862831917861469243e-03 1.404781512605042053e+03 6.020330618579737347e+02
4.147868792651558945e-01 1.850918924272050396e-03 2.510644628099173588e+03 1.265098435929803827e+03
4.211381020132339281e-01 1.813003092898375071e-03 4.061247933884297709e+03 1.790511487497028611e+03
4.273404438934948479e-01 1.765577699919095717e-03 5.363176470588235134e+03 1.938934092670307564e+03
4.337195733954657406e-01 1.911235613422362228e-03 5.676969230769231217e+03 1.653275152412870511e+03
4.400834723796714920e-01 1.795304431444431784e-03 4.841112903225806804e+03 1.147949678326460116e+03
4.463380503116383125e-01 1.781136916513354146e-03 3.320777777777777828e+03 7.345705826652109636e+02
4.525475293404462862e-01 1.782735370135076804e-03 1.947244094488188921e+03 4.466001988529284858e+02
4.588781844142776345e-01 1.863542184770878652e-03 1.146276119402985159e+03 2.013696582196624831e+02
4.652813857520213814e-01 1.809454061223974295e-03 8.299248120300751452e+02 7.926216008946262548e+01
4.715886271752884884e-01 1.786725641485754782e-03 7.277238805970149542e+02 5.811918450847788620e+01
4.778700308571910971e-01 1.749120838384908864e-03 6.895864661654135261e+02 5.043464035918044885e+01
4.841075358786299798e-01 1.812598873705853009e-03 6.677753623188406209e+02 4.522903162137419031e+01
4.904685449060671165e-01 1.813034819841214708e-03 6.504285714285714448e+02 4.269315052840229185e+01
4.967988078032400945e-01 1.775169993053363985e-03 6.420141843971631488e+02 3.991924346342523933e+01
5.030461340587593089e-01 1.710738770771227935e-03 6.342318840579710013e+02 3.789811012019767844e+01
5.093789740337634209e-01 1.844995629980458740e-03 6.302013422818791923e+02 3.439214842051444521e+01
5.157895609665918979e-01 1.772173611217854692e-03 6.253424657534246762e+02 3.282458767470296124e+01
5.220653538623039047e-01 1.710912446064493482e-03 6.227902097902098149e+02 3.182035418696485252e+01
5.282420832211931483e-01 1.776221308977217429e-03 6.221351351351351013e+02 3.099034640802532437e+01
5.345849814872509764e-01 1.797460663252185451e-03 6.211052631578946830e+02 2.992770027528531784e+01
5.409400198384390901e-01 1.769240412124692928e-03 6.235032679738561683e+02 2.971715813808305384e+01
5.471612929737256215e-01 1.671871176479489780e-03 6.228648648648648987e+02 2.941090096699326040e+01
5.535187503546902255e-01 1.843477994232445120e-03 6.255123456790123555e+02 2.931396537091857368e+01
5.599303633336802921e-01 1.774845713676194252e-03 6.280382165605095679e+02 3.346923760282916049e+01
5.661980099607780703e-01 1.715649351238413218e-03 6.373181818181818699e+02 2.754485447891244121e+01
5.724333289920446877e-01 1.764199560704661452e-03 6.465437500000000455e+02 2.886782784303314386e+01
5.786575496797814466e-01 1.687338640378493104e-03 6.576428571428571104e+02 2.991144939976672390e+01
5.849918082512260975e-01 1.882166412490617838e-03 6.721686046511628092e+02 3.013402996669266898e+01
5.913559560974818163e-01 1.673563701773732749e-03 6.846878980891719948e+02 3.296460125190640156e+01
5.976003341774964728e-01 1.789272139650604403e-03 6.988757396449703947e+02 3.582826115608425965e+01
6.039710484280985670e-01 1.760471037718898532e-03 7.112321428571428896e+02 3.674503356232782636e+01
6.103455122609070527e-01 1.778153705054047679e-03 7.197309941520468328e+02 3.767507721076511018e+01
6.165941547084902163e-01 1.709282904712068618e-03 7.208083832335329362e+02 3.845961227479528333e+01
6.227886440901039267e-01 1.708031916550016484e-03 7.161904761904761472e+02 3.778542923047876911e+01
6.292222757675741684e-01 1.895555695838723603e-03 7.046256684491978604e+02 3.524645258138215098e+01
6.355837393651907474e-01 1.609918394456906487e-03 6.872363636363636488e+02 3.211447499387513460e+01
6.417201133152361514e-01 1.735489606861494215e-03 6.704943820224718820e+02 2.870745398680884009e+01
6.480234646877054416e-01 1.746502386866512820e-03 6.516910112359551022e+02 2.611488195865879547e+01
6.543745591304535036e-01 1.808595843625667669e-03 6.348043478260869961e+02 2.418270142486482044e+01
6.607410482875138991e-01 1.776914150084337417e-03 6.193586956521738784e+02 2.296472777205539373e+01
6.669765730033264672e-01 1.670208017253243388e-03 6.065909090909091219e+02 2.196654692673151388e+01
6.731673103258457580e-01 1.796482171393593615e-03 5.987180851063830005e+02 2.068851780883061053e+01
6.795850853652600776e-01 1.822834825668488831e-03 5.914450261780104938e+02 1.958531047476441600e+01
6.858902177354958551e-01 1.747430487391250960e-03 5.870645161290323131e+02 2.014601141486455660e+01
6.921278880332987216e-01 1.765781770802452586e-03 5.818148148148147811e+02 2.033298637920661633e+01
6.985070946107704293e-01 1.847715388967816497e-03 5.791010101010100470e+02 1.962232814058958041e+01
7.048037128132643714e-01 1.757666077632949074e-03 5.759365079365079509e+02 1.993682809030842762e+01
7.109847861020758275e-01 1.767854622430342420e-03 5.737083333333333712e+02 2.023164999347145354e+01
7.172345948602801835e-01 1.822657136245004524e-03 5.717373737373737868e+02 2.010353011968632586e+01
7.236608500653414211e-01 1.906739358311473767e-03 5.705756097560976059e+02 1.978255620595179565e+01
7.299519259881649402e-01 1.814756391122580772e-03 5.681428571428571104e+02 1.933091830028675773e+01
7.362298620906445601e-01 1.872001608046580190e-03 5.665049019607843093e+02 1.897463477134362364e+01
7.427109241448597299e-01 1.961252361706546793e-03 5.656962616822429482e+02 1.891730074882847035e+01
7.489749171607754663e-01 1.795506848231544564e-03 5.626974358974358665e+02 1.999998027612440055e+01
7.553119902396251417e-01 1.968290517240121971e-03 5.615753424657534651e+02 2.000537395744156655e+01
7.617428847945948434e-01 1.878647625832918257e-03 5.582270531400965865e+02 2.782385550298507937e+01
7.679897535333021219e-01 1.889655825210407886e-03 5.590047846889951870e+02 1.600717542453291387e+01
7.742716946001383382e-01 1.890740870187222538e-03 5.549953051643192339e+02 2.245851581122085960e+01
7.806130493972306406e-01 1.874127862848933099e-03 5.540094339622640973e+02 1.925131587833277891e+01
7.869955317179381238e-01 1.962138593108325030e-03 5.537991071428571104e+02 1.889914006553834724e+01
7.933337815560531636e-01 1.823456314192357453e-03 5.529428571428571786e+02 1.855753692898786511e+01
7.995722808394026826e-01 1.873920736445982161e-03 5.524208144796380111e+02 1.831181467982364808e+01
8.059029702364099990e-01 1.855844282913126459e-03 5.532465753424658033e+02 1.865597355664785439e+01
8.122482529694946551e-01 1.899897789708842157e-03 5.614273127753303925e+02 1.833138157762129694e+01
8.185971333973350861e-01 1.831057107996742058e-03 5.852152466367713259e+02 3.226285563690628067e+01
8.248840800988579414e-01 1.805078930334647752e-03 6.328699551569507094e+02 6.366842705637365896e+01
8.311527541867054225e-01 1.843524136775542745e-03 7.042489082969432275e+02 9.699176260740689770e+01
8.375116084758876811e-01 1.829773299230467044e-03 7.732999999999999545e+02 1.081421287010756060e+02
8.438261475186588090e-01 1.817550564165925373e-03 8.236896551724138362e+02 1.073894649208244374e+02
8.500843452560248314e-01 1.755513946144033992e-03 8.436371681415929515e+02 1.014237994830312175e+02
8.563647400134730692e-01 1.844487251387733453e-03 8.461037344398340565e+02 9.563633813396475603e+01
8.626696591174244366e-01 1.710203360544058351e-03 8.355131578947368780e+02 9.070224260956524631e+01
8.689830853488446083e-01 1.844123492424595270e-03 8.102195121951219789e+02 7.693768901698982177e+01
8.753179752476163422e-01 1.741457950302257533e-03 7.612340425531914434e+02 6.011426572298216797e+01
8.815756228481118617e-01 1.752464905610253906e-03 6.897012448132779809e+02 4.921028596014802048e+01
8.877944678552249780e-01 1.716242394594354789e-03 6.201940928270041695e+02 4.358430725518881133e+01
8.941407927930166144e-01 1.839522330085644050e-03 5.736403162055336225e+02 3.270009301765481524e+01
9.005003621585947471e-01 1.752218829319661820e-03 5.490775510204081229e+02 2.572322099373206683e+01
9.067627482844141662e-01 1.720498064613873055e-03 5.390532786885246423e+02 2.313727393861257298e+01
9.130278025298368405e-01 1.789374596252915357e-03 5.355833333333333712e+02 2.132206113407638881e+01
9.193563827426239898e-01 1.786117629316656989e-03 5.328452380952380736e+02 2.178482520520801557e+01
9.256709965929463824e-01 1.773964252230773864e-03 5.314392156862745651e+02 2.244612260143216531e+01
9.319487846442510159e-01 1.740175819907428248e-03 5.306399999999999864e+02 2.323413351084993650e+01
9.382375230166524194e-01 1.835219923763222079e-03 5.306564885496183024e+02 2.330479592698746671e+01
9.445114335627492475e-01 1.754301698834087597e-03 5.309604743083003768e+02 2.381919420796937459e+01
9.507739483173833772e-01 1.796477233495237351e-03 5.320459770114943012e+02 2.382643934155570875e+01
9.571000001339345920e-01 1.844157663989784944e-03 5.330981132075471578e+02 2.456616381151893691e+01
9.634651872700409347e-01 1.860525514413665987e-03 5.348308270676691336e+02 2.685509836958848240e+01
9.697902983397413967e-01 1.869026222830578836e-03 5.404097744360901743e+02 2.361937718908744799e+01
9.761731987705594138e-01 1.898719003246270758e-03 5.486568265682657284e+02 2.532750366080095006e+01
9.824546988499620603e-01 1.850375251942234242e-03 5.617924528301887221e+02 2.459539589976144569e+01
9.887603507672997338e-01 1.885371791598095068e-03 5.877316176470587834e+02 2.351651013476883278e+01
9.951547945742836854e-01 1.923480157877882840e-03 6.382064056939501597e+02 3.109818196076627217e+01
1.001497743307979915e+00 1.816985016266823736e-03 7.264531835205992820e+02 3.962609031463615139e+01
