# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 4.462500000000000000e+02 1.520487122787044143e+02
6.800242608866982619e-02 2.110752812487300123e-03 8.286666666666666288e+02 2.372797224093678494e+02
7.478812129850326285e-02 1.894856213165734514e-03 8.768888888888889142e+02 3.236764121048773859e+02
8.081736842982174818e-02 1.577734731020807597e-03 8.735555555555555429e+02 3.015190758250955696e+02
8.706192866790804508e-02 2.018057842609979804e-03 9.014615384615384528e+02 2.518944669602869340e+02
9.311361532868518698e-02 1.734318039620741251e-03 8.474166666666666288e+02 2.265804370294232513e+02
9.924832822165428892e-02 1.939409616079583844e-03 7.956250000000000000e+02 2.393028122222971206e+02
1.056867454532435108e-01 2.068262530006435406e-03 7.346250000000000000e+02 2.404430155982909696e+02
1.120935416356093062e-01 1.699923986068800717e-03 6.480000000000000000e+02 2.287627255812988096e+02
1.177168722532570266e-01 1.903764278506084144e-03 6.684687500000000000e+02 2.413199663763340652e+02
1.242406998858587575e-01 2.007415885574503726e-03 6.910000000000000000e+02 1.852435655331341877e+02
1.307844605212421796e-01 1.948859987027574741e-03 6.975357142857143344e+02 1.590487908069183050e+02
1.372938405551752672e-01 1.976444694498947011e-03 6.810000000000000000e+02 1.537739228700325214e+02
1.433626874055373979e-01 1.479129257371093872e-03 6.506799999999999500e+02 1.482306473034506951e+02
1.497414395840910573e-01 2.132896554945924294e-03 6.670270270270269748e+02 1.286106632542679051e+02
1.562016171858009728e-01 1.470810848565314282e-03 6.483333333333333712e+02 1.241612352776784007e+02
1.620883487451751925e-01 1.817360580555445800e-03 6.548181818181818699e+02 1.190387926676829551e+02
1.684939590642719198e-01 1.975568076388520972e-03 6.449729729729730252e+02 1.185876282168871541e+02
1.749358117034872373e-01 1.810730169671130639e-03 6.456571428571428442e+02 1.149359502203780607e+02
1.813634234827302405e-01 1.982290824745188643e-03 6.547073170731707705e+02 1.125651242530135079e+02
1.877608813777307539e-01 1.710969833005861022e-03 6.504324324324323925e+02 1.173193278601374487e+02
1.936838392192468117e-01 1.708352888559126238e-03 6.507368421052631220e+02 1.167394878918054673e+02
1.998200724089964908e-01 1.901042836663710675e-03 6.572790697674419107e+02 1.163313161693247508e+02
2.064988844748374130e-01 2.083185659227047067e-03 6.485625000000000000e+02 1.416924762028669136e+02
2.131062600015138364e-01 1.923054290541973939e-03 6.727021276595744439e+02 1.222865950026337032e+02
2.193208008558340527e-01 1.649587748772136844e-03 6.739302325581395507e+02 1.265411708836695368e+02
2.255197753110727010e-01 1.943898002345461392e-03 6.874313725490195566e+02 1.202640836949653078e+02
2.319084130262620835e-01 1.853433278599466881e-03 6.972599999999999909e+02 1.216171764184648509e+02
2.380456302514551703e-01 1.717913041466973250e-03 7.071041666666666288e+02 1.232082910607525292e+02
2.441826744061198484e-01 1.910984005326162374e-03 7.216363636363636260e+02 1.200239645492336820e+02
2.508567628905887248e-01 1.865639566994751813e-03 6.770161290322580498e+02 1.818713653888019337e+02
2.571616352083493928e-01 2.042758540577210586e-03 6.728658536585365937e+02 1.858216555891730479e+02
2.636090936505812721e-01 1.759536909171210452e-03 6.928311688311688386e+02 1.749844385052804228e+02
2.696276322290375727e-01 1.767913466712890637e-03 7.181499999999999773e+02 1.774807155017130356e+02
2.756934411426098519e-01 1.847457432374286813e-03 7.541904761904761472e+02 1.856356884964133656e+02
2.820483295007140123e-01 1.942127748479487680e-03 7.895617977528089568e+02 2.088835886731352218e+02
2.885873542857223528e-01 1.999902870285049771e-03 8.501684210526316292e+02 2.466430507024955432e+02
2.950059364807982032e-01 1.753155416080761590e-03 9.447790697674419107e+02 3.272325391329349031e+02
3.012776628394395750e-01 1.916275679195857595e-03 1.159494736842105340e+03 4.941046686696129768e+02
3.076468654533095481e-01 1.858480647863890167e-03 1.577387096774193651e+03 8.733353532662323460e+02
3.139397285054469910e-01 1.849733180513128640e-03 2.347553191489361780e+03 1.516464444894818371e+03
3.202097007249891103e-01 1.889977811219999311e-03 3.249510204081632764e+03 2.246653052604142431e+03
3.264390569218261762e-01 1.757358001834326191e-03 4.090107526881720332e+03 2.932198795194556624e+03
3.326951465344144543e-01 1.930481388006281569e-03 4.580605769230769511e+03 3.104749846609576252e+03
3.390239669727912464e-01 1.785238221274862988e-03 3.821673469387755176e+03 2.602269149565530370e+03
3.452290355408559885e-01 1.822729964848564038e-03 2.963803921568627629e+03 1.859093068692980751e+03
3.515217579766085620e-01 1.894166946962649433e-03 1.955076190476190504e+03 1.066545703557882234e+03
3.581115149106128270e-01 1.984833837990382030e-03 1.311707964601769845e+03 5.452260314816951450e+02
3.646365217867122976e-01 1.807385512883236643e-03 1.001766355140186874e+03 2.981835495257763000e+02
3.707522342694583029e-01 1.646676631311451595e-03 8.512200000000000273e+02 1.831022768837132730e+02
3.768404479121448269e-01 1.835047814059704218e-03 8.051261261261261097e+02 1.397126833079959738e+02
3.831651369708888866e-01 1.834489868729198949e-03 7.612612612612612111e+02 1.099439941243093699e+02
3.894643253735652899e-01 1.853753096359237081e-03 7.417522123893804746e+02 9.594867793706090708e+01
3.958807651630259494e-01 1.912159574900255954e-03 7.270750000000000455e+02 8.497408428456289187e+01
4.022473572087105209e-01 1.746533598099251966e-03 7.210000000000000000e+02 7.839453235208883086e+01
4.083991683103055381e-01 1.862831917861469243e-03 7.221008403361344108e+02 7.213671024061657988e+01
4.147868792651558945e-01 1.850918924272050396e-03 7.206033057851240073e+02 6.713398235350156540e+01
4.211381020132339281e-01 1.813003092898375071e-03 7.272892561983470614e+02 6.370192501270610563e+01
4.273404438934948479e-01 1.765577699919095717e-03 7.318403361344537643e+02 6.239113589289579664e+01
4.337195733954657406e-01 1.911235613422362228e-03 7.390076923076923094e+02 6.077929809501815583e+01
4.400834723796714920e-01 1.795304431444431784e-03 7.407096774193548754e+02 6.143146312607746040e+01
4.463380503116383125e-01 1.781136916513354146e-03 7.384682539682539755e+02 6.156721976637118843e+01
4.525475293404462862e-01 1.782735370135076804e-03 7.340314960629921188e+02 5.932068895325032543e+01
4.588781844142776345e-01 1.863542184770878652e-03 7.238358208955223745e+02 5.501249680826241928e+01
4.652813857520213814e-01 1.809454061223974295e-03 7.132330827067669361e+02 5.059919220719861954e+01
4.715886271752884884e-01 1.786725641485754782e-03 7.012238805970149542e+02 4.917062187619443137e+01
4.778700308571910971e-01 1.749120838384908864e-03 6.948721804511278606e+02 4.706831535264717559e+01
4.841075358786299798e-01 1.812598873705853009e-03 6.881376811594202536e+02 4.540993010050586776e+01
4.904685449060671165e-01 1.813034819841214708e-03 6.812500000000000000e+02 4.428249412255689066e+01
4.967988078032400945e-01 1.775169993053363985e-03 6.800780141843971478e+02 4.196978141693738706e+01
5.030461340587593089e-01 1.710738770771227935e-03 6.750362318840579974e+02 4.053016903461390541e+01
5.093789740337634209e-01 1.844995629980458740e-03 6.739932885906040383e+02 3.792919813267600659e+01
5.157895609665918979e-01 1.772173611217854692e-03 6.726232876712329016e+02 3.702728576552119222e+01
5.220653538623039047e-01 1.710912446064493482e-03 6.731818181818181301e+02 3.679830249823258725e+01
5.282420832211931483e-01 1.776221308977217429e-03 6.745337837837837469e+02 3.753659159468776352e+01
5.345849814872509764e-01 1.797460663252185451e-03 6.739605263157894797e+02 3.694000502986765611e+01
5.409400198384390901e-01 1.769240412124692928e-03 6.768562091503267766e+02 3.658294298871278016e+01
5.471612929737256215e-01 1.671871176479489780e-03 6.780202702702703164e+02 3.624400784206691384e+01
5.535187503546902255e-01 1.843477994232445120e-03 6.839753086419752890e+02 3.676769554176483012e+01
5.599303633336802921e-01 1.774845713676194252e-03 6.889044585987261371e+02 4.048216335524682563e+01
5.661980099607780703e-01 1.715649351238413218e-03 6.990779220779220395e+02 3.565619951715860481e+01
5.724333289920446877e-01 1.764199560704661452e-03 7.070625000000000000e+02 3.828139540788710349e+01
5.786575496797814466e-01 1.687338640378493104e-03 7.175649350649350708e+02 4.049895105138451612e+01
5.849918082512260975e-01 1.882166412490617838e-03 7.361860465116278647e+02 4.250610301995082096e+01
5.913559560974818163e-01 1.673563701773732749e-03 7.517261146496815627e+02 4.631909189707131702e+01
5.976003341774964728e-01 1.789272139650604403e-03 7.696508875739644964e+02 5.034837529649468735e+01
6.039710484280985670e-01 1.760471037718898532e-03 7.884761904761904816e+02 5.637778506225726005e+01
6.103455122609070527e-01 1.778153705054047679e-03 8.070584795321636875e+02 6.447486811181794053e+01
6.165941547084902163e-01 1.709282904712068618e-03 8.290778443113772482e+02 8.127513211928705061e+01
6.227886440901039267e-01 1.708031916550016484e-03 8.675476190476190368e+02 1.133077133156670584e+02
6.292222757675741684e-01 1.895555695838723603e-03 9.342299465240641894e+02 1.722102828211395433e+02
6.355837393651907474e-01 1.609918394456906487e-03 1.008236363636363649e+03 2.441637803306304022e+02
6.417201133152361514e-01 1.735489606861494215e-03 1.095073033707865079e+03 3.070097272147401100e+02
6.480234646877054416e-01 1.746502386866512820e-03 1.133752808988763945e+03 3.475725522548121944e+02
6.543745591304535036e-01 1.808595843625667669e-03 1.152097826086956502e+03 3.570078882406775165e+02
6.607410482875138991e-01 1.776914150084337417e-03 1.122679347826086996e+03 3.473916687637529321e+02
6.669765730033264672e-01 1.670208017253243388e-03 1.053579545454545496e+03 3.037750594405666789e+02
6.731673103258457580e-01 1.796482171393593615e-03 9.715478723404255561e+02 2.432914165941968179e+02
6.795850853652600776e-01 1.822834825668488831e-03 8.485654450261780539e+02 1.617328528564945316e+02
6.858902177354958551e-01 1.747430487391250960e-03 7.658387096774193878e+02 1.041950455966199769e+02
6.921278880332987216e-01 1.765781770802452586e-03 6.998571428571428896e+02 6.040099687323400701e+01
6.985070946107704293e-01 1.847715388967816497e-03 6.699949494949495374e+02 4.064859197798711676e+01
7.048037128132643714e-01 1.757666077632949074e-03 6.489365079365079509e+02 3.139391092876197220e+01
7.109847861020758275e-01 1.767854622430342420e-03 6.377656250000000000e+02 2.789397884830314567e+01
7.172345948602801835e-01 1.822657136245004524e-03 6.303434343434342964e+02 2.453640769387708787e+01
7.236608500653414211e-01 1.906739358311473767e-03 6.257560975609756042e+02 2.218894044180126812e+01
7.299519259881649402e-01 1.814756391122580772e-03 6.221122448979591582e+02 2.264270424206406673e+01
7.362298620906445601e-01 1.872001608046580190e-03 6.181029411764706083e+02 2.202660392064143480e+01
7.427109241448597299e-01 1.961252361706546793e-03 6.163785046728971793e+02 2.096868154486015001e+01
7.489749171607754663e-01 1.795506848231544564e-03 6.126256410256410163e+02 2.164258592017816696e+01
7.553119902396251417e-01 1.968290517240121971e-03 6.115844748858447701e+02 2.155896360737663997e+01
7.617428847945948434e-01 1.878647625832918257e-03 6.065458937198067133e+02 3.093376591896596040e+01
7.679897535333021219e-01 1.889655825210407886e-03 6.074401913875598211e+02 1.709373854748628219e+01
7.742716946001383382e-01 1.890740870187222538e-03 6.030985915492957474e+02 2.311413080881508009e+01
7.806130493972306406e-01 1.874127862848933099e-03 6.018490566037735334e+02 2.046891555735143697e+01
7.869955317179381238e-01 1.962138593108325030e-03 5.998794642857143344e+02 2.142903831336614928e+01
7.933337815560531636e-01 1.823456314192357453e-03 5.978238095238094729e+02 2.092575364312788722e+01
7.995722808394026826e-01 1.873920736445982161e-03 5.962760180995475139e+02 2.031432177785515947e+01
8.059029702364099990e-01 1.855844282913126459e-03 5.936347031963470045e+02 2.078355634688682230e+01
8.122482529694946551e-01 1.899897789708842157e-03 5.930308370044052708e+02 2.016843337368528211e+01
8.185971333973350861e-01 1.831057107996742058e-03 5.912286995515695480e+02 2.038624404565209858e+01
8.248840800988579414e-01 1.805078930334647752e-03 5.905560538116592397e+02 2.066512902846425703e+01
8.311527541867054225e-01 1.843524136775542745e-03 5.893013100436680816e+02 2.123989725600263512e+01
8.375116084758876811e-01 1.829773299230467044e-03 5.887347826086956957e+02 2.162683081184302836e+01
8.438261475186588090e-01 1.817550564165925373e-03 5.887241379310345337e+02 2.122143810386551266e+01
8.500843452560248314e-01 1.755513946144033992e-03 5.871592920353982663e+02 2.188378645574242043e+01
8.563647400134730692e-01 1.844487251387733453e-03 5.868630705394191409e+02 2.257521723457237783e+01
8.626696591174244366e-01 1.710203360544058351e-03 5.848903508771929864e+02 2.341681330316892939e+01
8.689830853488446083e-01 1.844123492424595270e-03 5.850284552845528196e+02 2.310279514186635552e+01
8.753179752476163422e-01 1.741457950302257533e-03 5.836085106382978438e+02 2.246241224322351471e+01
8.815756228481118617e-01 1.752464905610253906e-03 5.833029045643153268e+02 2.209167910715065020e+01
8.877944678552249780e-01 1.716242394594354789e-03 5.833333333333333712e+02 2.287205285250459852e+01
8.941407927930166144e-01 1.839522330085644050e-03 5.840434782608696196e+02 2.238263771799439539e+01
9.005003621585947471e-01 1.752218829319661820e-03 5.836979591836734471e+02 2.270802671526358552e+01
9.067627482844141662e-01 1.720498064613873055e-03 5.822745901639344765e+02 2.290150659454349480e+01
9.130278025298368405e-01 1.789374596252915357e-03 5.819563492063491594e+02 2.244892582279000237e+01
9.193563827426239898e-01 1.786117629316656989e-03 5.823055555555555429e+02 2.287142961795259666e+01
9.256709965929463824e-01 1.773964252230773864e-03 5.842862745098038886e+02 2.287016964839245858e+01
9.319487846442510159e-01 1.740175819907428248e-03 5.868559999999999945e+02 2.261748633248178209e+01
9.382375230166524194e-01 1.835219923763222079e-03 5.937213740458015536e+02 2.296366044572100762e+01
9.445114335627492475e-01 1.754301698834087597e-03 6.038023715415019979e+02 2.670997215358197607e+01
9.507739483173833772e-01 1.796477233495237351e-03 6.189961685823755033e+02 3.402748451533325635e+01
9.571000001339345920e-01 1.844157663989784944e-03 6.338566037735848795e+02 4.279165883926136615e+01
9.634651872700409347e-01 1.860525514413665987e-03 6.464511278195489012e+02 5.070518932784352728e+01
9.697902983397413967e-01 1.869026222830578836e-03 6.552781954887218490e+02 5.133542547556076130e+01
9.761731987705594138e-01 1.898719003246270758e-03 6.640405904059040267e+02 5.315286713326824497e+01
9.824546988499620603e-01 1.850375251942234242e-03 6.722603773584905866e+02 5.597389197129024296e+01
9.887603507672997338e-01 1.885371791598095068e-03 6.838823529411764639e+02 5.839671996879778959e+01
9.951547945742836854e-01 1.923480157877882840e-03 7.080213523131673128e+02 6.520353824314315716e+01
1.001497743307979915e+00 1.816985016266823736e-03 7.391460674157303856e+02 7.051459990238910791e+01
1.007730073445106012e+00 1.872875193246743668e-03 7.848453237410071779e+02 7.943449394449493184e+01
1.014110590476311025e+00 1.881534321868284657e-03 8.351276595744681117e+02 8.193533455929494380e+01
1.020442888611849064e+00 1.823625195420996601e-03 8.947634408602150415e+02 8.896753768529075046e+01
1.026691701700078063e+00 1.782759485576686145e-03 9.398043478260869961e+02 8.918071619905806813e+01
1.033057845114525142e+00 1.884320384582664851e-03 9.872721088435374668e+02 9.246244877428867426e+01
1.039437792018165441e+00 1.793463056649077922e-03 1.018752650176678458e+03 9.539457648728883044e+01
1.045681248368910410e+00 1.745618337461533540e-03 1.047510638297872447e+03 9.936304196706258551e+01
1.051944871571292683e+00 1.801987856022948175e-03 1.056789655172413859e+03 9.753770197000021369e+01
1.058324809813473877e+00 1.829265674919061668e-03 1.056127946127946188e+03 9.261340788375431998e+01
1.064596602572098316e+00 1.714864743882408334e-03 1.041264084507042298e+03 8.501359580054420917e+01
1.070868750588993112e+00 1.792957436204007347e-03 1.006464646464646421e+03 7.561425995048647053e+01
1.077195490251847465e+00 1.798916779777443367e-03 9.529464882943143493e+02 6.815082845473634166e+01
1.083505800573759448e+00 1.740543057611223946e-03 8.983344709897611438e+02 6.291121530625964908e+01
1.089676915900379850e+00 1.748165881083384946e-03 8.551700680272108457e+02 5.852700599585632801e+01
1.096052400832523421e+00 1.863573573199493825e-03 8.192044728434505032e+02 5.231021128944639997e+01
1.102364289960501065e+00 1.744372504095847640e-03 7.919593220338982746e+02 4.876291558372225410e+01
1.108625070827478076e+00 1.829094711995288541e-03 7.703322475570032566e+02 4.950472760619921075e+01
1.114924075445366869e+00 1.842999932655674591e-03 7.399480519480518979e+02 8.658778888899658455e+01
1.121282665432693726e+00 1.762017027877181303e-03 7.534389312977099280e+02 6.515114434947427924e+01
1.127553932619258736e+00 1.851826979229859085e-03 7.518178438661709606e+02 5.640374543290438680e+01
1.133905639228342421e+00 1.803927404845938115e-03 7.462588235294117567e+02 5.054080768113159650e+01
1.140144523104706709e+00 1.820967272376473748e-03 7.386692913385826387e+02 4.963174981421852294e+01
1.146455214771981312e+00 1.831860927088285957e-03 7.313386454183266778e+02 4.412963309468091921e+01
1.152869066430118439e+00 1.902391342003174283e-03 7.301158301158301356e+02 4.002135727741875115e+01
1.159252377890596986e+00 1.791659613503928782e-03 7.366763485477177937e+02 4.044182500444207307e+01
1.165575291556828930e+00 1.872439892399787795e-03 7.391195219123505922e+02 3.977023321102767994e+01
1.171828433925186763e+00 1.747387590499659572e-03 7.141731601731602268e+02 4.625888222902700164e+01
1.178029580193284076e+00 1.845903894892485285e-03 6.868106995884774051e+02 4.080295432702648384e+01
1.184400904434957269e+00 1.829516060217846983e-03 6.643138075313808031e+02 4.097860336895075051e+01
1.190737654720273042e+00 1.816225366119703435e-03 6.501856540084388598e+02 4.128321533846429503e+01
1.196977477342464180e+00 1.780548390738201196e-03 6.392270742358078905e+02 4.005004616028467979e+01
1.203312963818603976e+00 1.874247930763579166e-03 6.324958677685950761e+02 3.937292519710213412e+01
1.209645773529357093e+00 1.750259837788138012e-03 6.266814159292035811e+02 3.953769028323333856e+01
1.215952225700388523e+00 1.837678281197498587e-03 6.275127118644068105e+02 3.779429574125465052e+01
1.222254898926581568e+00 1.775628514659025698e-03 6.054981273408239986e+02 6.374540439309915740e+01
1.228537298751265050e+00 1.780223345631782141e-03 6.217065217391303804e+02 4.603578219131259175e+01
1.234759587745337228e+00 1.795376270296014523e-03 6.231469534050179391e+02 4.471214671683696906e+01
1.241110555825225781e+00 1.895169703334604900e-03 6.243187919463086928e+02 4.235100347285617772e+01
1.247523323486311897e+00 1.874537877840588536e-03 6.255202702702703164e+02 4.102905194545363088e+01
1.253854431820907944e+00 1.857283623330970761e-03 6.317818791946308465e+02 4.286746407941755166e+01
1.260138295168494293e+00 1.856490137450314505e-03 6.362823920265781226e+02 4.793909754387838973e+01
1.266501421045549414e+00 1.881588491645209797e-03 6.470192926045016293e+02 4.751269600295674422e+01
1.272807251993681055e+00 1.824447191781883651e-03 6.551934426229507835e+02 5.193188414874733638e+01
1.279100636071537789e+00 1.831925956271344968e-03 6.629968152866241553e+02 5.483826810271282426e+01
1.285385940199903265e+00 1.796864974607813087e-03 6.671282051282050816e+02 5.947769459088132038e+01
1.291734086560349049e+00 1.833790085687247952e-03 6.664141104294478737e+02 5.942788353215872377e+01
