# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 3.795000000000000000e+02 1.053443878477653186e+02
6.800242608866982619e-02 2.110752812487300123e-03 7.451666666666666288e+02 2.254122149899305612e+02
7.478812129850326285e-02 1.894856213165734514e-03 9.045555555555555429e+02 3.603823244182300414e+02
8.081736842982174818e-02 1.577734731020807597e-03 9.242222222222221717e+02 3.483988419705491992e+02
8.706192866790804508e-02 2.018057842609979804e-03 9.714615384615384528e+02 2.951938987679496336e+02
9.311361532868518698e-02 1.734318039620741251e-03 9.297500000000000000e+02 2.668816841473639556e+02
9.924832822165428892e-02 1.939409616079583844e-03 8.895625000000000000e+02 2.824074516545199458e+02
1.056867454532435108e-01 2.068262530006435406e-03 8.172500000000000000e+02 2.865025996100791872e+02
1.120935416356093062e-01 1.699923986068800717e-03 7.381153846153846416e+02 2.653153978852897126e+02
1.177168722532570266e-01 1.903764278506084144e-03 7.612187500000000000e+02 2.786680758256586046e+02
1.242406998858587575e-01 2.007415885574503726e-03 7.908214285714285552e+02 2.393165065475477320e+02
1.307844605212421796e-01 1.948859987027574741e-03 8.021428571428571104e+02 1.904426771112665335e+02
1.372938405551752672e-01 1.976444694498947011e-03 7.840000000000000000e+02 1.848256370989486470e+02
1.433626874055373979e-01 1.479129257371093872e-03 7.486399999999999864e+02 1.806783218872701298e+02
1.497414395840910573e-01 2.132896554945924294e-03 7.660540540540540633e+02 1.598135692532333394e+02
1.562016171858009728e-01 1.470810848565314282e-03 7.473703703703703241e+02 1.586778318511683210e+02
1.620883487451751925e-01 1.817360580555445800e-03 7.565757575757576205e+02 1.558912437881203630e+02
1.684939590642719198e-01 1.975568076388520972e-03 7.506756756756756204e+02 1.569987763580980982e+02
1.749358117034872373e-01 1.810730169671130639e-03 7.510571428571428214e+02 1.545950417664664656e+02
1.813634234827302405e-01 1.982290824745188643e-03 7.616341463414634063e+02 1.489921545112002264e+02
1.877608813777307539e-01 1.710969833005861022e-03 7.650540540540540633e+02 1.603070487858564945e+02
1.936838392192468117e-01 1.708352888559126238e-03 7.760526315789473983e+02 1.631463620711896567e+02
1.998200724089964908e-01 1.901042836663710675e-03 7.921860465116278647e+02 1.664206422847684337e+02
2.064988844748374130e-01 2.083185659227047067e-03 7.919375000000000000e+02 2.009398101215054453e+02
2.131062600015138364e-01 1.923054290541973939e-03 8.352127659574467771e+02 1.869094151463445712e+02
2.193208008558340527e-01 1.649587748772136844e-03 8.673023255813953938e+02 2.158841405515889278e+02
2.255197753110727010e-01 1.943898002345461392e-03 9.206274509803921546e+02 2.381852364096518215e+02
2.319084130262620835e-01 1.853433278599466881e-03 1.020899999999999977e+03 3.191942793973601624e+02
2.380456302514551703e-01 1.717913041466973250e-03 1.170729166666666742e+03 4.494052599532087129e+02
2.441826744061198484e-01 1.910984005326162374e-03 1.395109090909090810e+03 6.345940786267226486e+02
2.508567628905887248e-01 1.865639566994751813e-03 1.515000000000000000e+03 8.959874081056444766e+02
2.571616352083493928e-01 2.042758540577210586e-03 1.689829268292682855e+03 1.056545425933628621e+03
2.636090936505812721e-01 1.759536909171210452e-03 1.938207792207792181e+03 1.144124634950327163e+03
2.696276322290375727e-01 1.767913466712890637e-03 2.169074999999999818e+03 1.138731139388266683e+03
2.756934411426098519e-01 1.847457432374286813e-03 2.328857142857142662e+03 1.085505473340904700e+03
2.820483295007140123e-01 1.942127748479487680e-03 2.165808988764044898e+03 9.282788928665498815e+02
2.885873542857223528e-01 1.999902870285049771e-03 1.770757894736842218e+03 6.864058964097254147e+02
2.950059364807982032e-01 1.753155416080761590e-03 1.306534883720930338e+03 4.348029482879727539e+02
3.012776628394395750e-01 1.916275679195857595e-03 1.011778947368421086e+03 2.680702212960372890e+02
3.076468654533095481e-01 1.858480647863890167e-03 8.433548387096774377e+02 1.723917969869824276e+02
3.139397285054469910e-01 1.849733180513128640e-03 7.801382978723404449e+02 1.370109228611001413e+02
