# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 4.760000000000000000e+02 1.926494384171648449e+02
6.800242608866982619e-02 2.110752812487300123e-03 6.065000000000000000e+02 1.048602244259789416e+02
7.478812129850326285e-02 1.894856213165734514e-03 6.410000000000000000e+02 9.209717090599954759e+01
8.081736842982174818e-02 1.577734731020807597e-03 6.541111111111110858e+02 9.384443392006676277e+01
8.706192866790804508e-02 2.018057842609979804e-03 6.570000000000000000e+02 6.522210573818570367e+01
9.311361532868518698e-02 1.734318039620741251e-03 6.570000000000000000e+02 4.576843890717707097e+01
9.924832822165428892e-02 1.939409616079583844e-03 6.388750000000000000e+02 9.074091724519871605e+01
1.056867454532435108e-01 2.068262530006435406e-03 6.143333333333333712e+02 1.194807632122333558e+02
1.120935416356093062e-01 1.699923986068800717e-03 5.748846153846153584e+02 1.241044129974586383e+02
1.177168722532570266e-01 1.903764278506084144e-03 5.856562500000000000e+02 1.223073580932480127e+02
1.242406998858587575e-01 2.007415885574503726e-03 5.662857142857143344e+02 1.267489081384361072e+02
1.307844605212421796e-01 1.948859987027574741e-03 5.679285714285714448e+02 1.061359952598359655e+02
1.372938405551752672e-01 1.976444694498947011e-03 5.651935483870968255e+02 1.057367443469811974e+02
1.433626874055373979e-01 1.479129257371093872e-03 5.530800000000000409e+02 1.053157006338561388e+02
1.497414395840910573e-01 2.132896554945924294e-03 5.595675675675676075e+02 9.742143732240597842e+01
1.562016171858009728e-01 1.470810848565314282e-03 5.488518518518518476e+02 8.748465669904832964e+01
1.620883487451751925e-01 1.817360580555445800e-03 5.578484848484848726e+02 1.012144574217763164e+02
1.684939590642719198e-01 1.975568076388520972e-03 5.497297297297296836e+02 8.963997464738883991e+01
1.749358117034872373e-01 1.810730169671130639e-03 5.602571428571428669e+02 8.761293819280068362e+01
1.813634234827302405e-01 1.982290824745188643e-03 5.586829268292682400e+02 9.290036112398107093e+01
1.877608813777307539e-01 1.710969833005861022e-03 5.614054054054054177e+02 9.759102809952500479e+01
1.936838392192468117e-01 1.708352888559126238e-03 5.519210526315789593e+02 1.001405176174861822e+02
1.998200724089964908e-01 1.901042836663710675e-03 5.701860465116278647e+02 9.942002718960515040e+01
2.064988844748374130e-01 2.083185659227047067e-03 5.635833333333333712e+02 1.169281519067727970e+02
2.131062600015138364e-01 1.923054290541973939e-03 5.765957446808511122e+02 1.017347317096497079e+02
2.193208008558340527e-01 1.649587748772136844e-03 5.720000000000000000e+02 1.042724517120725949e+02
2.255197753110727010e-01 1.943898002345461392e-03 5.824705882352941444e+02 9.566682139127217965e+01
2.319084130262620835e-01 1.853433278599466881e-03 5.858200000000000500e+02 8.590729887500829420e+01
2.380456302514551703e-01 1.717913041466973250e-03 5.937708333333333712e+02 9.173742534175097774e+01
2.441826744061198484e-01 1.910984005326162374e-03 5.897999999999999545e+02 8.623947630132776965e+01
2.508567628905887248e-01 1.865639566994751813e-03 5.655967741935484128e+02 1.117986753433723806e+02
2.571616352083493928e-01 2.042758540577210586e-03 5.539512195121951663e+02 1.127401369920874430e+02
2.636090936505812721e-01 1.759536909171210452e-03 5.477922077922078188e+02 1.124731695297061549e+02
2.696276322290375727e-01 1.767913466712890637e-03 5.493875000000000455e+02 1.131916723416524206e+02
2.756934411426098519e-01 1.847457432374286813e-03 5.617142857142856656e+02 1.199622389567242209e+02
2.820483295007140123e-01 1.942127748479487680e-03 5.570337078651685943e+02 1.146727602316657197e+02
2.885873542857223528e-01 1.999902870285049771e-03 5.636105263157894569e+02 1.097998274373104692e+02
2.950059364807982032e-01 1.753155416080761590e-03 5.687093023255813478e+02 1.134424575916090419e+02
3.012776628394395750e-01 1.916275679195857595e-03 5.729789473684210179e+02 1.080676657831177323e+02
3.076468654533095481e-01 1.858480647863890167e-03 5.782580645161290249e+02 1.053058047862453037e+02
3.139397285054469910e-01 1.849733180513128640e-03 5.846276595744681117e+02 1.037692097440317838e+02
3.202097007249891103e-01 1.889977811219999311e-03 5.872346938775509670e+02 1.015837262363825033e+02
3.264390569218261762e-01 1.757358001834326191e-03 5.929462365591398338e+02 1.012346192974228387e+02
3.326951465344144543e-01 1.930481388006281569e-03 6.017115384615384528e+02 9.296810131666687482e+01
3.390239669727912464e-01 1.785238221274862988e-03 6.021224489795918089e+02 8.849470484915482871e+01
3.452290355408559885e-01 1.822729964848564038e-03 6.120490196078430927e+02 9.400598666384406954e+01
3.515217579766085620e-01 1.894166946962649433e-03 6.192761904761904361e+02 9.190265381248671872e+01
3.581115149106128270e-01 1.984833837990382030e-03 6.264247787610619298e+02 9.094722944294217370e+01
3.646365217867122976e-01 1.807385512883236643e-03 6.368598130841121474e+02 8.523665554610572315e+01
3.707522342694583029e-01 1.646676631311451595e-03 6.369400000000000546e+02 8.968537115940370086e+01
3.768404479121448269e-01 1.835047814059704218e-03 6.508918918918918735e+02 8.332286031097198986e+01
3.831651369708888866e-01 1.834489868729198949e-03 6.451621621621621898e+02 8.187390014353721313e+01
3.894643253735652899e-01 1.853753096359237081e-03 6.502123893805310217e+02 8.348870492437343671e+01
3.958807651630259494e-01 1.912159574900255954e-03 6.448916666666666515e+02 7.654489332701722049e+01
4.022473572087105209e-01 1.746533598099251966e-03 6.485855855855855907e+02 7.502345113978445568e+01
4.083991683103055381e-01 1.862831917861469243e-03 6.547647058823529278e+02 7.206265810411208861e+01
4.147868792651558945e-01 1.850918924272050396e-03 6.577851239669421375e+02 7.208673599907882590e+01
4.211381020132339281e-01 1.813003092898375071e-03 6.676528925619834354e+02 6.351436841280403911e+01
4.273404438934948479e-01 1.765577699919095717e-03 6.755714285714285552e+02 6.244195383746104255e+01
4.337195733954657406e-01 1.911235613422362228e-03 6.892384615384615927e+02 6.677913343793774459e+01
4.400834723796714920e-01 1.795304431444431784e-03 6.953467741935484128e+02 6.668156365384318462e+01
4.463380503116383125e-01 1.781136916513354146e-03 6.948968253968254203e+02 6.820211300755194372e+01
4.525475293404462862e-01 1.782735370135076804e-03 6.836692913385826387e+02 6.090497177432374087e+01
4.588781844142776345e-01 1.863542184770878652e-03 6.756044776119402968e+02 6.327490612169479789e+01
4.652813857520213814e-01 1.809454061223974295e-03 6.674210526315789593e+02 5.911132876836197170e+01
4.715886271752884884e-01 1.786725641485754782e-03 6.539253731343283107e+02 6.086976426989199496e+01
4.778700308571910971e-01 1.749120838384908864e-03 6.516917293233083228e+02 5.049082791950268501e+01
4.841075358786299798e-01 1.812598873705853009e-03 6.485579710144927503e+02 4.858971936075815989e+01
4.904685449060671165e-01 1.813034819841214708e-03 6.389642857142856656e+02 4.731020621646980118e+01
4.967988078032400945e-01 1.775169993053363985e-03 6.396595744680851112e+02 4.284056862607242522e+01
5.030461340587593089e-01 1.710738770771227935e-03 6.330942028985507477e+02 4.478247502442410166e+01
5.093789740337634209e-01 1.844995629980458740e-03 6.333557046979865390e+02 4.397417663175708924e+01
5.157895609665918979e-01 1.772173611217854692e-03 6.332191780821917746e+02 4.053513658302468770e+01
5.220653538623039047e-01 1.710912446064493482e-03 6.315874125874125866e+02 3.847678845793495839e+01
5.282420832211931483e-01 1.776221308977217429e-03 6.346148648648648987e+02 3.773052228510096029e+01
5.345849814872509764e-01 1.797460663252185451e-03 6.361973684210526017e+02 4.081362294463745144e+01
5.409400198384390901e-01 1.769240412124692928e-03 6.340261437908496873e+02 3.689748397896470067e+01
5.471612929737256215e-01 1.671871176479489780e-03 6.359391891891891646e+02 3.744440851448010932e+01
5.535187503546902255e-01 1.843477994232445120e-03 6.407222222222221717e+02 3.342591053657181277e+01
5.599303633336802921e-01 1.774845713676194252e-03 6.398917197452229857e+02 3.731848220876211997e+01
5.661980099607780703e-01 1.715649351238413218e-03 6.525779220779220395e+02 3.761822427725230966e+01
5.724333289920446877e-01 1.764199560704661452e-03 6.667312500000000455e+02 3.899632795212902892e+01
5.786575496797814466e-01 1.687338640378493104e-03 6.705259740259740511e+02 3.493285972859473532e+01
5.849918082512260975e-01 1.882166412490617838e-03 6.846046511627906739e+02 3.577738997349171512e+01
5.913559560974818163e-01 1.673563701773732749e-03 7.039872611464968486e+02 3.635633639508887427e+01
5.976003341774964728e-01 1.789272139650604403e-03 7.131301775147928765e+02 4.157663959713998736e+01
6.039710484280985670e-01 1.760471037718898532e-03 7.257797619047619264e+02 4.111703902916741526e+01
6.103455122609070527e-01 1.778153705054047679e-03 7.389532163742690045e+02 4.275966967329619450e+01
6.165941547084902163e-01 1.709282904712068618e-03 7.385389221556886241e+02 4.440370297501185348e+01
6.227886440901039267e-01 1.708031916550016484e-03 7.330476190476190368e+02 4.539198761546511918e+01
6.292222757675741684e-01 1.895555695838723603e-03 7.210962566844920048e+02 4.123309010952918641e+01
6.355837393651907474e-01 1.609918394456906487e-03 7.058969696969696770e+02 3.935396059961477988e+01
6.417201133152361514e-01 1.735489606861494215e-03 6.840730337078651928e+02 3.798359518720598516e+01
6.480234646877054416e-01 1.746502386866512820e-03 6.655674157303370748e+02 3.312177552056413532e+01
6.543745591304535036e-01 1.808595843625667669e-03 6.482989130434782510e+02 3.390819276206583766e+01
6.607410482875138991e-01 1.776914150084337417e-03 6.313097826086956275e+02 3.126296706393735647e+01
6.669765730033264672e-01 1.670208017253243388e-03 6.221420454545454959e+02 2.654087658999395671e+01
6.731673103258457580e-01 1.796482171393593615e-03 6.147287234042553337e+02 2.544768241934951902e+01
6.795850853652600776e-01 1.822834825668488831e-03 6.049947643979057830e+02 2.744818913039980046e+01
6.858902177354958551e-01 1.747430487391250960e-03 5.993172043010753214e+02 2.956909187577002385e+01
6.921278880332987216e-01 1.765781770802452586e-03 5.950582010582010071e+02 2.504635047071094434e+01
6.985070946107704293e-01 1.847715388967816497e-03 5.918737373737374128e+02 2.479427650349784074e+01
7.048037128132643714e-01 1.757666077632949074e-03 5.892592592592592382e+02 2.662750651992310935e+01
7.109847861020758275e-01 1.767854622430342420e-03 5.830208333333333712e+02 2.568609966783265719e+01
7.172345948602801835e-01 1.822657136245004524e-03 5.814494949494949196e+02 2.561608992119464290e+01
7.236608500653414211e-01 1.906739358311473767e-03 5.793121951219511629e+02 2.267300228727152955e+01
7.299519259881649402e-01 1.814756391122580772e-03 5.747602040816326507e+02 2.522940560381937658e+01
7.362298620906445601e-01 1.872001608046580190e-03 5.722500000000000000e+02 2.510707462207478002e+01
7.427109241448597299e-01 1.961252361706546793e-03 5.726168224299065059e+02 2.505313943631291451e+01
7.489749171607754663e-01 1.795506848231544564e-03 5.678871794871795373e+02 2.553423093369783459e+01
7.553119902396251417e-01 1.968290517240121971e-03 5.652283105022830796e+02 2.578731173481682504e+01
7.617428847945948434e-01 1.878647625832918257e-03 5.619275362318840052e+02 2.573798116205149356e+01
7.679897535333021219e-01 1.889655825210407886e-03 5.574354066985646341e+02 2.247559158756771680e+01
7.742716946001383382e-01 1.890740870187222538e-03 5.576338028169013796e+02 2.425017016759762356e+01
7.806130493972306406e-01 1.874127862848933099e-03 5.551698113207546612e+02 2.707946522386017918e+01
7.869955317179381238e-01 1.962138593108325030e-03 5.528080357142856656e+02 2.548945453966388186e+01
7.933337815560531636e-01 1.823456314192357453e-03 5.517619047619048160e+02 2.485173723379142530e+01
7.995722808394026826e-01 1.873920736445982161e-03 5.484208144796380111e+02 2.322468310407042580e+01
8.059029702364099990e-01 1.855844282913126459e-03 5.457899543378995304e+02 2.419877047462279762e+01
8.122482529694946551e-01 1.899897789708842157e-03 5.442687224669602983e+02 2.542163190101956971e+01
8.185971333973350861e-01 1.831057107996742058e-03 5.461973094170404011e+02 2.437630214482720348e+01
8.248840800988579414e-01 1.805078930334647752e-03 5.388968609865470398e+02 2.612006811118764560e+01
8.311527541867054225e-01 1.843524136775542745e-03 5.417685589519650193e+02 2.480760045030977778e+01
8.375116084758876811e-01 1.829773299230467044e-03 5.419739130434782055e+02 2.408570001431521845e+01
8.438261475186588090e-01 1.817550564165925373e-03 5.408491379310345337e+02 2.405046498990565595e+01
8.500843452560248314e-01 1.755513946144033992e-03 5.402477876106195254e+02 2.602520661054027684e+01
8.563647400134730692e-01 1.844487251387733453e-03 5.395726141078838509e+02 2.684584484312537356e+01
8.626696591174244366e-01 1.710203360544058351e-03 5.423421052631579187e+02 2.669069568933010927e+01
8.689830853488446083e-01 1.844123492424595270e-03 5.438008130081300351e+02 2.373747343169343793e+01
8.753179752476163422e-01 1.741457950302257533e-03 5.402680851063829550e+02 2.553098899030347013e+01
8.815756228481118617e-01 1.752464905610253906e-03 5.407883817427385793e+02 2.738499118347064964e+01
8.877944678552249780e-01 1.716242394594354789e-03 5.431054852320675082e+02 2.785173739207467136e+01
8.941407927930166144e-01 1.839522330085644050e-03 5.472094861660078777e+02 3.132395481314325281e+01
9.005003621585947471e-01 1.752218829319661820e-03 5.473020408163265529e+02 3.213434496942343799e+01
9.067627482844141662e-01 1.720498064613873055e-03 5.516475409836065182e+02 3.934470073184672856e+01
9.130278025298368405e-01 1.789374596252915357e-03 5.469722222222221717e+02 4.814106989078324261e+01
9.193563827426239898e-01 1.786117629316656989e-03 5.430317460317460245e+02 3.354709895541662235e+01
9.256709965929463824e-01 1.773964252230773864e-03 5.417529411764705856e+02 3.297064578190217077e+01
9.319487846442510159e-01 1.740175819907428248e-03 5.411280000000000427e+02 3.181855006124571617e+01
9.382375230166524194e-01 1.835219923763222079e-03 5.369503816793893520e+02 3.264470459281771042e+01
9.445114335627492475e-01 1.754301698834087597e-03 5.366561264822134945e+02 3.387910027285496994e+01
9.507739483173833772e-01 1.796477233495237351e-03 5.335287356321839525e+02 3.226118049793391407e+01
9.571000001339345920e-01 1.844157663989784944e-03 5.311547169811320828e+02 3.090654271092886773e+01
9.634651872700409347e-01 1.860525514413665987e-03 5.391879699248120232e+02 3.155433251198648392e+01
9.697902983397413967e-01 1.869026222830578836e-03 5.557969924812030058e+02 3.268077741931907809e+01
9.761731987705594138e-01 1.898719003246270758e-03 6.477970479704797526e+02 1.342001814040484362e+02
9.824546988499620603e-01 1.850375251942234242e-03 9.627320754716980673e+02 4.601528897251350827e+02
9.887603507672997338e-01 1.885371791598095068e-03 1.579922794117647072e+03 7.141454717246471091e+02
9.951547945742836854e-01 1.923480157877882840e-03 2.569597864768683394e+03 7.016873794598134282e+02
1.001497999719481502e+00 1.820392376112148691e-03 3.403225563909774337e+03 6.874840358822651751e+02
1.007730073445106012e+00 1.872875193246743668e-03 3.701568345323741141e+03 7.748943296950029662e+02
1.014110590476311025e+00 1.881534321868284657e-03 3.753567375886525042e+03 7.950762057843107868e+02
1.020442888611849064e+00 1.823625195420996601e-03 3.721050179211469640e+03 8.079290849227123772e+02
1.026691701700078063e+00 1.782759485576686145e-03 3.745413043478260988e+03 8.092934705478162414e+02
1.033057845114525142e+00 1.884320384582664851e-03 3.613687074829932044e+03 7.584196801359707933e+02
1.039437792018165441e+00 1.793463056649077922e-03 3.406844522968197907e+03 8.105246043693581441e+02
1.045681248368910410e+00 1.745618337461533540e-03 3.009929078014184597e+03 1.014622646744074927e+03
1.051944871571292683e+00 1.801987856022948175e-03 2.220820689655172373e+03 9.233587667083010047e+02
1.058324809813473877e+00 1.829265674919061668e-03 1.177942760942760970e+03 5.107824721980030063e+02
1.064596602572098316e+00 1.714864743882408334e-03 6.760598591549295406e+02 1.717086260543018454e+02
1.070868750588993112e+00 1.792957436204007347e-03 5.433131313131312936e+02 6.360693670531788513e+01
1.077195490251847465e+00 1.798916779777443367e-03 5.048294314381270738e+02 3.752899126542853736e+01
1.083505800573759448e+00 1.740543057611223946e-03 4.896245733788396137e+02 3.058587907496808711e+01
1.089676915900379850e+00 1.748165881083384946e-03 4.799217687074830110e+02 2.945174321492514835e+01
1.096052400832523421e+00 1.863573573199493825e-03 4.743003194888178768e+02 2.716427779527932884e+01
1.102364289960501065e+00 1.744372504095847640e-03 4.701762711864406583e+02 2.625242588755041595e+01
1.108625070827478076e+00 1.829094711995288541e-03 4.673908794788273440e+02 2.763020613416320614e+01
1.114924075445366869e+00 1.842999932655674591e-03 4.697759740259740511e+02 3.386975234581650085e+01
1.121282665432693726e+00 1.762017027877181303e-03 4.604732824427480864e+02 2.891233038547502332e+01
1.127553932619258736e+00 1.851826979229859085e-03 4.617286245353159870e+02 2.942970442699471789e+01
1.133905639228342421e+00 1.803927404845938115e-03 4.578745098039215691e+02 2.764564702277663244e+01
1.140144523104706709e+00 1.820967272376473748e-03 4.548385826771653342e+02 2.849376368241193802e+01
1.146455214771981312e+00 1.831860927088285957e-03 4.532669322709163566e+02 2.892884404550657251e+01
1.152869066430118439e+00 1.902391342003174283e-03 4.545444015444015236e+02 3.224428857772078771e+01
1.159252377890596986e+00 1.791659613503928782e-03 4.505311203319502056e+02 2.976620850820107833e+01
1.165575291556828930e+00 1.872439892399787795e-03 4.535896414342629441e+02 2.747648924067052079e+01
1.171828433925186763e+00 1.747387590499659572e-03 4.513203463203463457e+02 2.779903255336585843e+01
1.178029580193284076e+00 1.845903894892485285e-03 4.504855967078189565e+02 2.804634503634798648e+01
1.184400904434957269e+00 1.829516060217846983e-03 4.502301255230125321e+02 2.970416008660853180e+01
1.190737654720273042e+00 1.816225366119703435e-03 4.511139240506329315e+02 2.868606727297038006e+01
1.196977477342464180e+00 1.780548390738201196e-03 4.465240174672488820e+02 2.882575585357857761e+01
1.203312963818603976e+00 1.874247930763579166e-03 4.489545454545454390e+02 2.855742760956301396e+01
1.209645773529357093e+00 1.750259837788138012e-03 4.446725663716813983e+02 2.898996183285255768e+01
1.215952225700388523e+00 1.837678281197498587e-03 4.455593220338982974e+02 2.915401306893369338e+01
1.222254898926581568e+00 1.775628514659025698e-03 4.434531835205992252e+02 2.964468852877813276e+01
1.228537298751265050e+00 1.780223345631782141e-03 4.410000000000000000e+02 3.019147830628438456e+01
1.234759587745337228e+00 1.795376270296014523e-03 4.335519713261648462e+02 3.205520263115430168e+01
1.241110555825225781e+00 1.895169703334604900e-03 4.309966442953020191e+02 2.982836772441048012e+01
1.247523323486311897e+00 1.874537877840588536e-03 4.284256756756756772e+02 2.841861248565689735e+01
1.253854431820907944e+00 1.857283623330970761e-03 4.285469798657717888e+02 3.053540080334007101e+01
1.260138295168494293e+00 1.856490137450314505e-03 4.244119601328903855e+02 2.914936496881589179e+01
1.266501421045549414e+00 1.881588491645209797e-03 4.241897106109324795e+02 3.195022237666301379e+01
1.272807251993681055e+00 1.824447191781883651e-03 4.219606557377049398e+02 2.986930484982487144e+01
1.279100636071537789e+00 1.831925956271344968e-03 4.219808917197452161e+02 3.218318716042072936e+01
1.285385940199903265e+00 1.796864974607813087e-03 4.195096153846153584e+02 3.234972559474386600e+01
1.291734086560349049e+00 1.833790085687247952e-03 4.184478527607361684e+02 3.132439910996356147e+01
1.297999116585571544e+00 1.712347548001254965e-03 4.186310679611650585e+02 3.205671414435858679e+01
1.304332283077917598e+00 1.862331657852500611e-03 4.156194690265486997e+02 3.143807562084142759e+01
1.310629912671008812e+00 1.689758514739712848e-03 4.148589743589743648e+02 3.084632369350259751e+01
1.316859893871710430e+00 1.807323329610554348e-03 4.154417910447760960e+02 3.094762338505716670e+01
1.323169508333509325e+00 1.772103529485381237e-03 4.127598784194528889e+02 2.943669681490284518e+01
1.329416719622044551e+00 1.761213072716576004e-03 4.123051359516616117e+02 3.235595484469411787e+01
1.335676763851219473e+00 1.808340606324402439e-03 4.118511904761904816e+02 3.226510400804033196e+01
1.342102166253144047e+00 1.916040745002256648e-03 4.128704225352112758e+02 3.478630578296276354e+01
1.348432554966731090e+00 1.804515701739407276e-03 4.087492447129909579e+02 3.083191624082489568e+01
1.354697325729501189e+00 1.895450207138361931e-03 4.117450424929178325e+02 3.285312834595418252e+01
1.361035554581970564e+00 1.836151892644552735e-03 4.103982558139534831e+02 3.195813200407420851e+01
1.367445372286436589e+00 1.911657172750392099e-03 4.110821917808219155e+02 3.231389778782609312e+01
1.373833054624600258e+00 1.794265400870382644e-03 4.091768115942028885e+02 3.285282911093521818e+01
1.380048052911932777e+00 1.791287036868802413e-03 4.131339031339031180e+02 3.295675490102723870e+01
1.386332670155489666e+00 1.806335848089170130e-03 4.168455056179775511e+02 3.244924075541410957e+01
1.392624520144640332e+00 1.796075039907524609e-03 4.456888888888888687e+02 3.910459068121899406e+01
1.398923000198597277e+00 1.771229759338340285e-03 5.024634831460674036e+02 4.625026537318478148e+01
1.405184482923453881e+00 1.808998902686751115e-03 5.663804347826087451e+02 4.623754590149046351e+01
1.411475199677901360e+00 1.734371386327675756e-03 5.959803370786517007e+02 4.654805547226391127e+01
1.417706081410672780e+00 1.817237095201347432e-03 6.141801075268816703e+02 5.072811549183310120e+01
1.424046144262549829e+00 1.816956160244514703e-03 6.191924119241192557e+02 5.418538216174538746e+01
1.430457268966005335e+00 1.925855730949348329e-03 6.237737789203084731e+02 5.339684734837126712e+01
1.436865665354877475e+00 1.843763745384080412e-03 6.248440860215054045e+02 5.038037575241995114e+01
1.443084111958556903e+00 1.831535442318516687e-03 6.231075268817204460e+02 5.099032183237181215e+01
1.449466238371406979e+00 1.910439897345804971e-03 6.241291139240506709e+02 5.150387829329088163e+01
1.455780432464144347e+00 1.769262236301017126e-03 6.236324324324324380e+02 5.291542571912081883e+01
1.462109939136078340e+00 1.873282905934200038e-03 6.151127819548871685e+02 5.756593773189440100e+01
1.468414112563870999e+00 1.734923018383166060e-03 6.050453333333333603e+02 5.846141233706592288e+01
1.474680891373796765e+00 1.804015195942032307e-03 5.908959390862944474e+02 6.044970282959928909e+01
1.480924591063775386e+00 1.742163032935032654e-03 5.445900783289816900e+02 6.899103571345023056e+01
1.487138550370334267e+00 1.742602934721402272e-03 4.768534704370180179e+02 5.207009072180728992e+01
1.493462591150057195e+00 1.833511633313982111e-03 4.310990099009900973e+02 3.633851905163436413e+01
1.499809278721849770e+00 1.805357266360340307e-03 4.169269521410579387e+02 3.224472731639068712e+01
1.506175762378094918e+00 1.888906516140883814e-03 4.116919315403422956e+02 3.435742216697812523e+01
1.512543466733061504e+00 1.879653113941155348e-03 4.092034313725490051e+02 3.543633197844959426e+01
1.518927121842702510e+00 1.865813122140227640e-03 4.099362745098039227e+02 3.499125518947152358e+01
1.525176469146275027e+00 1.826629940430822378e-03 4.088660049627791295e+02 3.233531016637562772e+01
1.531416651941075235e+00 1.798854978931840659e-03 4.104702970297029765e+02 3.422563142137116898e+01
1.537728221615372926e+00 1.856986876758172280e-03 4.078817966903073398e+02 3.474207468280012989e+01
1.544096010846849332e+00 1.769518617434322075e-03 4.115328467153284464e+02 3.510116902192486776e+01
1.550405005344789089e+00 1.809055686031393537e-03 4.094893617021276668e+02 3.418560075571620160e+01
1.556696834359960313e+00 1.740139413919524446e-03 4.108009708737864116e+02 3.580646740757890711e+01
1.562969221032702194e+00 1.804120915253569534e-03 4.131462264150943611e+02 3.488316348590851135e+01
1.569251838380229191e+00 1.803338776033149233e-03 4.124463007159904464e+02 3.447540675327675075e+01
