# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 3.547500000000000000e+02 1.125148728830902485e+02
6.800242608866982619e-02 2.110752812487300123e-03 5.826666666666666288e+02 1.106239877543142427e+02
7.478812129850326285e-02 1.894856213165734514e-03 6.121111111111110858e+02 1.534416284237537980e+02
8.081736842982174818e-02 1.577734731020807597e-03 6.373333333333333712e+02 1.389745513607650764e+02
8.706192866790804508e-02 2.018057842609979804e-03 6.497692307692307168e+02 1.186572559041301105e+02
9.311361532868518698e-02 1.734318039620741251e-03 6.480833333333333712e+02 1.116187708228324880e+02
9.924832822165428892e-02 1.939409616079583844e-03 6.273125000000000000e+02 1.456813195814755204e+02
1.056867454532435108e-01 2.068262530006435406e-03 5.826666666666666288e+02 1.603846937834156279e+02
1.120935416356093062e-01 1.699923986068800717e-03 5.430000000000000000e+02 1.649889273674029369e+02
1.177168722532570266e-01 1.903764278506084144e-03 5.463125000000000000e+02 1.771118279770580557e+02
1.242406998858587575e-01 2.007415885574503726e-03 5.484285714285714448e+02 1.406423129932156257e+02
1.307844605212421796e-01 1.948859987027574741e-03 5.566785714285714448e+02 1.195671935587274959e+02
1.372938405551752672e-01 1.976444694498947011e-03 5.504838709677419502e+02 1.178306912489615996e+02
1.433626874055373979e-01 1.479129257371093872e-03 5.338400000000000318e+02 1.091756749463908704e+02
1.497414395840910573e-01 2.132896554945924294e-03 5.457837837837837469e+02 1.051110164789814263e+02
1.562016171858009728e-01 1.470810848565314282e-03 5.389259259259259807e+02 1.002801220614456525e+02
1.620883487451751925e-01 1.817360580555445800e-03 5.433636363636363740e+02 9.808484268038749576e+01
1.684939590642719198e-01 1.975568076388520972e-03 5.369189189189189619e+02 9.971088959962192177e+01
1.749358117034872373e-01 1.810730169671130639e-03 5.461714285714285779e+02 9.017271409548976635e+01
1.813634234827302405e-01 1.982290824745188643e-03 5.492439024390243958e+02 9.113656395601330473e+01
1.877608813777307539e-01 1.710969833005861022e-03 5.511351351351351013e+02 9.924491401761488873e+01
1.936838392192468117e-01 1.708352888559126238e-03 5.510526315789473983e+02 9.655744777189175920e+01
1.998200724089964908e-01 1.901042836663710675e-03 5.548837209302325846e+02 9.332629708984435979e+01
2.064988844748374130e-01 2.083185659227047067e-03 5.520625000000000000e+02 1.130338145386886737e+02
2.131062600015138364e-01 1.923054290541973939e-03 5.660212765957446663e+02 9.683842652100366877e+01
2.193208008558340527e-01 1.649587748772136844e-03 5.671860465116278647e+02 9.970114618482517699e+01
2.255197753110727010e-01 1.943898002345461392e-03 5.728431372549019898e+02 9.305907761299935999e+01
2.319084130262620835e-01 1.853433278599466881e-03 5.767599999999999909e+02 9.111354235238579236e+01
2.380456302514551703e-01 1.717913041466973250e-03 5.830625000000000000e+02 9.057707065900655152e+01
2.441826744061198484e-01 1.910984005326162374e-03 5.892909090909090537e+02 8.635662172469739062e+01
2.508567628905887248e-01 1.865639566994751813e-03 5.583387096774193878e+02 1.178717335815648966e+02
2.571616352083493928e-01 2.042758540577210586e-03 5.478658536585365937e+02 1.207170340923251359e+02
2.636090936505812721e-01 1.759536909171210452e-03 5.581558441558441928e+02 1.035617819063292444e+02
2.696276322290375727e-01 1.767913466712890637e-03 5.646250000000000000e+02 9.669290143283527073e+01
2.756934411426098519e-01 1.847457432374286813e-03 5.711666666666666288e+02 8.923596550540898420e+01
2.820483295007140123e-01 1.942127748479487680e-03 5.703370786516853741e+02 8.767151566937337748e+01
2.885873542857223528e-01 1.999902870285049771e-03 5.746631578947368553e+02 8.601210956423376786e+01
2.950059364807982032e-01 1.753155416080761590e-03 5.763023255813953938e+02 8.671152667807558601e+01
3.012776628394395750e-01 1.916275679195857595e-03 5.828210526315789366e+02 8.729109069793695141e+01
3.076468654533095481e-01 1.858480647863890167e-03 5.870860215053763795e+02 8.716011701679454404e+01
3.139397285054469910e-01 1.849733180513128640e-03 5.933404255319148888e+02 8.448910585750790858e+01
3.202097007249891103e-01 1.889977811219999311e-03 5.957857142857143344e+02 8.213529690142081563e+01
3.264390569218261762e-01 1.757358001834326191e-03 5.996129032258064626e+02 7.926813604220782850e+01
3.326951465344144543e-01 1.930481388006281569e-03 6.081826923076922640e+02 7.718906057522144692e+01
3.390239669727912464e-01 1.785238221274862988e-03 6.061836734693877133e+02 7.775844842549925318e+01
3.452290355408559885e-01 1.822729964848564038e-03 6.129607843137255259e+02 7.643392660648780179e+01
3.515217579766085620e-01 1.894166946962649433e-03 6.183809523809524080e+02 7.264992005744907999e+01
3.581115149106128270e-01 1.984833837990382030e-03 6.288318584070796078e+02 7.454170521021953277e+01
3.646365217867122976e-01 1.807385512883236643e-03 6.374299065420560737e+02 7.519679192585451233e+01
3.707522342694583029e-01 1.646676631311451595e-03 6.380299999999999727e+02 7.373933414399671449e+01
3.768404479121448269e-01 1.835047814059704218e-03 6.457567567567567721e+02 6.973335244447845582e+01
3.831651369708888866e-01 1.834489868729198949e-03 6.449279279279279535e+02 6.737620288259823553e+01
3.894643253735652899e-01 1.853753096359237081e-03 6.462831858407079153e+02 6.455711755409514296e+01
3.958807651630259494e-01 1.912159574900255954e-03 6.454833333333333485e+02 6.213865208815953167e+01
4.022473572087105209e-01 1.746533598099251966e-03 6.455315315315315274e+02 5.894394735229402471e+01
4.083991683103055381e-01 1.862831917861469243e-03 6.490336134453781369e+02 5.541932581338950570e+01
4.147868792651558945e-01 1.850918924272050396e-03 6.508512396694214885e+02 5.436744996913537165e+01
4.211381020132339281e-01 1.813003092898375071e-03 6.578099173553719083e+02 5.258620926721454225e+01
4.273404438934948479e-01 1.765577699919095717e-03 6.618571428571428896e+02 5.053897976206243214e+01
4.337195733954657406e-01 1.911235613422362228e-03 6.683769230769230489e+02 4.830168874992543238e+01
4.400834723796714920e-01 1.795304431444431784e-03 6.694112903225806122e+02 4.747813040553946706e+01
4.463380503116383125e-01 1.781136916513354146e-03 6.705396825396825307e+02 4.647322503333225541e+01
4.525475293404462862e-01 1.782735370135076804e-03 6.716299212598424901e+02 4.526259656057410297e+01
4.588781844142776345e-01 1.863542184770878652e-03 6.687238805970149542e+02 4.474534141203697146e+01
