# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 4.877500000000000000e+02 1.777549180912085092e+02
6.800242608866982619e-02 2.110752812487300123e-03 8.363333333333333712e+02 2.099879626179663887e+02
7.478812129850326285e-02 1.894856213165734514e-03 8.124444444444444571e+02 2.384614263394644809e+02
8.081736842982174818e-02 1.577734731020807597e-03 8.470000000000000000e+02 2.080841176063180455e+02
8.706192866790804508e-02 2.018057842609979804e-03 8.438461538461538112e+02 1.689882878193585043e+02
9.311361532868518698e-02 1.734318039620741251e-03 8.412500000000000000e+02 1.615439826590063035e+02
9.924832822165428892e-02 1.939409616079583844e-03 8.070000000000000000e+02 2.092640377609110374e+02
1.056867454532435108e-01 2.068262530006435406e-03 7.417916666666666288e+02 2.127065417815508965e+02
1.120935416356093062e-01 1.699923986068800717e-03 6.950384615384615472e+02 2.195166017902483588e+02
1.177168722532570266e-01 1.903764278506084144e-03 6.982187500000000000e+02 2.306659982190157905e+02
1.242406998858587575e-01 2.007415885574503726e-03 6.894642857142856656e+02 1.897344411625504392e+02
1.307844605212421796e-01 1.948859987027574741e-03 6.975000000000000000e+02 1.583728083623304030e+02
1.372938405551752672e-01 1.976444694498947011e-03 6.828709677419354875e+02 1.581351356398360508e+02
1.433626874055373979e-01 1.479129257371093872e-03 6.610399999999999636e+02 1.462742629446479157e+02
1.497414395840910573e-01 2.132896554945924294e-03 6.707837837837837469e+02 1.378460808346066528e+02
1.562016171858009728e-01 1.470810848565314282e-03 6.606296296296296759e+02 1.290926922116108528e+02
1.620883487451751925e-01 1.817360580555445800e-03 6.641515151515151274e+02 1.278145429601140677e+02
1.684939590642719198e-01 1.975568076388520972e-03 6.591891891891891646e+02 1.310690827609896587e+02
1.749358117034872373e-01 1.810730169671130639e-03 6.666857142857143117e+02 1.227113021423429586e+02
1.813634234827302405e-01 1.982290824745188643e-03 6.699024390243902189e+02 1.248944444267298763e+02
1.877608813777307539e-01 1.710969833005861022e-03 6.682972972972972912e+02 1.320601856062306751e+02
1.936838392192468117e-01 1.708352888559126238e-03 6.655263157894736423e+02 1.312782300467618199e+02
1.998200724089964908e-01 1.901042836663710675e-03 6.718604651162791015e+02 1.320134791616665098e+02
2.064988844748374130e-01 2.083185659227047067e-03 6.669375000000000000e+02 1.584781629278936350e+02
2.131062600015138364e-01 1.923054290541973939e-03 6.821063829787234454e+02 1.363400453550095506e+02
2.193208008558340527e-01 1.649587748772136844e-03 6.834418604651162923e+02 1.400094719812072697e+02
2.255197753110727010e-01 1.943898002345461392e-03 6.928627450980392268e+02 1.343734116703782604e+02
2.319084130262620835e-01 1.853433278599466881e-03 7.022599999999999909e+02 1.380830098165592403e+02
2.380456302514551703e-01 1.717913041466973250e-03 7.054583333333333712e+02 1.390564464974565624e+02
2.441826744061198484e-01 1.910984005326162374e-03 7.099818181818181984e+02 1.332970001460418246e+02
2.508567628905887248e-01 1.865639566994751813e-03 6.542903225806451246e+02 1.875774706413209287e+02
