# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 4.902500000000000000e+02 2.038197037086894738e+02
6.800242608866982619e-02 2.110752812487300123e-03 1.072833333333333258e+03 4.168024445439083365e+02
7.478812129850326285e-02 1.894856213165734514e-03 1.163555555555555657e+03 5.357495038394320090e+02
8.081736842982174818e-02 1.577734731020807597e-03 1.111000000000000000e+03 4.846122161068579430e+02
8.706192866790804508e-02 2.018057842609979804e-03 1.132846153846153811e+03 3.913348495815845354e+02
9.311361532868518698e-02 1.734318039620741251e-03 1.001333333333333371e+03 3.152858491379952284e+02
9.924832822165428892e-02 1.939409616079583844e-03 9.013750000000000000e+02 2.980649179499324646e+02
1.056867454532435108e-01 2.068262530006435406e-03 8.214583333333333712e+02 2.930723329847277228e+02
1.120935416356093062e-01 1.699923986068800717e-03 7.028076923076922640e+02 2.540018811373289225e+02
1.177168722532570266e-01 1.903764278506084144e-03 7.165625000000000000e+02 2.588141489020161998e+02
1.242406998858587575e-01 2.007415885574503726e-03 7.226785714285714448e+02 1.983007083153445080e+02
1.307844605212421796e-01 1.948859987027574741e-03 7.448571428571428896e+02 1.757756571105710748e+02
1.372938405551752672e-01 1.976444694498947011e-03 7.299354838709676869e+02 1.666831847520447809e+02
1.433626874055373979e-01 1.479129257371093872e-03 6.773200000000000500e+02 1.496487567606226037e+02
1.497414395840910573e-01 2.132896554945924294e-03 6.642432432432432279e+02 1.267051326904698527e+02
1.562016171858009728e-01 1.470810848565314282e-03 6.284074074074073906e+02 1.209791726681858819e+02
1.620883487451751925e-01 1.817360580555445800e-03 6.251212121212121247e+02 1.169201535837580934e+02
1.684939590642719198e-01 1.975568076388520972e-03 6.097027027027027088e+02 1.187856839622943426e+02
1.749358117034872373e-01 1.810730169671130639e-03 6.010571428571428214e+02 1.121074666631649990e+02
1.813634234827302405e-01 1.982290824745188643e-03 5.999756097560975832e+02 1.081535664330271658e+02
1.877608813777307539e-01 1.710969833005861022e-03 5.941621621621621898e+02 1.148902165981859582e+02
1.936838392192468117e-01 1.708352888559126238e-03 5.935263157894736423e+02 1.140351977057499369e+02
1.998200724089964908e-01 1.901042836663710675e-03 5.981860465116278647e+02 1.124447872445621783e+02
2.064988844748374130e-01 2.083185659227047067e-03 5.891041666666666288e+02 1.336242854154056090e+02
2.131062600015138364e-01 1.923054290541973939e-03 6.072340425531914434e+02 1.150697900697259968e+02
2.193208008558340527e-01 1.649587748772136844e-03 6.070232558139534831e+02 1.177417355021989209e+02
2.255197753110727010e-01 1.943898002345461392e-03 6.129411764705882888e+02 1.093936733936049563e+02
2.319084130262620835e-01 1.853433278599466881e-03 6.156599999999999682e+02 1.082176399668741738e+02
2.380456302514551703e-01 1.717913041466973250e-03 6.163750000000000000e+02 1.067824526198007931e+02
2.441826744061198484e-01 1.910984005326162374e-03 6.224181818181817789e+02 1.020021211900650968e+02
2.508567628905887248e-01 1.865639566994751813e-03 5.760161290322580498e+02 1.541961988569610753e+02
2.571616352083493928e-01 2.042758540577210586e-03 5.609756097560975832e+02 1.549765885871573801e+02
2.636090936505812721e-01 1.759536909171210452e-03 5.684415584415584135e+02 1.376384983033939022e+02
2.696276322290375727e-01 1.767913466712890637e-03 5.787374999999999545e+02 1.268813532892047959e+02
2.756934411426098519e-01 1.847457432374286813e-03 5.922976190476190368e+02 1.166335254191550348e+02
2.820483295007140123e-01 1.942127748479487680e-03 5.973370786516853741e+02 1.140271613966149573e+02
2.885873542857223528e-01 1.999902870285049771e-03 6.028105263157895024e+02 1.124851054467587090e+02
2.950059364807982032e-01 1.753155416080761590e-03 6.040930232558139323e+02 1.117481256716654769e+02
3.012776628394395750e-01 1.916275679195857595e-03 6.118947368421053170e+02 1.094289888517116367e+02
3.076468654533095481e-01 1.858480647863890167e-03 6.167526881720430083e+02 1.081001161068940064e+02
3.139397285054469910e-01 1.849733180513128640e-03 6.237446808510637766e+02 1.057306703334586899e+02
3.202097007249891103e-01 1.889977811219999311e-03 6.275000000000000000e+02 1.041751860461746446e+02
3.264390569218261762e-01 1.757358001834326191e-03 6.335376344086021163e+02 1.017580229017913354e+02
3.326951465344144543e-01 1.930481388006281569e-03 6.463557692307692832e+02 9.758094235377566861e+01
3.390239669727912464e-01 1.785238221274862988e-03 6.475612244897959044e+02 9.634831018913378387e+01
3.452290355408559885e-01 1.822729964848564038e-03 6.583137254901961342e+02 9.450190757021704258e+01
3.515217579766085620e-01 1.894166946962649433e-03 6.694190476190476602e+02 9.312730564495755914e+01
3.581115149106128270e-01 1.984833837990382030e-03 6.835486725663716925e+02 9.392114612817788100e+01
3.646365217867122976e-01 1.807385512883236643e-03 6.987570093457943585e+02 9.559173503026610774e+01
3.707522342694583029e-01 1.646676631311451595e-03 7.067999999999999545e+02 9.614097981610132138e+01
3.768404479121448269e-01 1.835047814059704218e-03 7.244504504504504894e+02 9.360093207782274760e+01
3.831651369708888866e-01 1.834489868729198949e-03 7.369819819819820168e+02 9.777787595637396123e+01
3.894643253735652899e-01 1.853753096359237081e-03 7.588318584070796078e+02 1.040136409182141790e+02
3.958807651630259494e-01 1.912159574900255954e-03 8.056416666666666515e+02 1.306991211821172669e+02
4.022473572087105209e-01 1.746533598099251966e-03 9.395945945945945823e+02 2.392143362359852290e+02
4.083991683103055381e-01 1.862831917861469243e-03 1.329588235294117567e+03 5.858924415283402141e+02
4.147868792651558945e-01 1.850918924272050396e-03 2.264115702479338779e+03 1.270197650058361205e+03
4.211381020132339281e-01 1.813003092898375071e-03 3.615636363636363512e+03 1.877394351412017386e+03
4.273404438934948479e-01 1.765577699919095717e-03 4.881495798319328060e+03 2.105928764234694881e+03
4.337195733954657406e-01 1.911235613422362228e-03 5.376515384615384392e+03 1.820348341526160084e+03
4.400834723796714920e-01 1.795304431444431784e-03 4.805620967741935601e+03 1.261447136217520665e+03
4.463380503116383125e-01 1.781136916513354146e-03 3.526761904761904589e+03 7.623831558617016526e+02
4.525475293404462862e-01 1.782735370135076804e-03 2.221007874015748257e+03 4.882941865294171748e+02
4.588781844142776345e-01 1.863542184770878652e-03 1.332485074626865753e+03 2.462277485245352580e+02
4.652813857520213814e-01 1.809454061223974295e-03 9.261954887218045087e+02 9.091378683928147098e+01
4.715886271752884884e-01 1.786725641485754782e-03 7.876716417910447490e+02 6.201463620458112302e+01
4.778700308571910971e-01 1.749120838384908864e-03 7.390300751879699419e+02 5.766880483359793885e+01
4.841075358786299798e-01 1.812598873705853009e-03 7.145579710144927503e+02 5.230073254418800843e+01
4.904685449060671165e-01 1.813034819841214708e-03 6.958500000000000227e+02 4.812971312728018347e+01
4.967988078032400945e-01 1.775169993053363985e-03 6.874609929078013693e+02 4.589894051944779108e+01
5.030461340587593089e-01 1.710738770771227935e-03 6.788840579710144993e+02 4.415954514520286978e+01
5.093789740337634209e-01 1.844995629980458740e-03 6.755167785234899611e+02 4.134603726515568667e+01
5.157895609665918979e-01 1.772173611217854692e-03 6.713835616438356055e+02 3.990724726553127510e+01
5.220653538623039047e-01 1.710912446064493482e-03 6.690419580419580825e+02 3.838221381227769058e+01
5.282420832211931483e-01 1.776221308977217429e-03 6.670608108108108354e+02 3.778955896783130441e+01
5.345849814872509764e-01 1.797460663252185451e-03 6.647171052631579187e+02 3.647525771269829420e+01
5.409400198384390901e-01 1.769240412124692928e-03 6.657516339869281410e+02 3.584646943221657978e+01
5.471612929737256215e-01 1.671871176479489780e-03 6.668513513513513544e+02 3.513906552860392907e+01
5.535187503546902255e-01 1.843477994232445120e-03 6.718024691358024256e+02 3.422343806295111079e+01
5.599303633336802921e-01 1.774845713676194252e-03 6.753694267515923002e+02 3.611904791290562144e+01
5.661980099607780703e-01 1.715649351238413218e-03 6.835844155844156376e+02 3.039939624880933877e+01
5.724333289920446877e-01 1.764199560704661452e-03 6.910249999999999773e+02 3.297166634020791065e+01
5.786575496797814466e-01 1.687338640378493104e-03 6.998246753246753542e+02 3.395873077006231000e+01
5.849918082512260975e-01 1.882166412490617838e-03 7.121744186046511231e+02 3.399477916999399696e+01
5.913559560974818163e-01 1.673563701773732749e-03 7.216050955414012833e+02 3.625415601206552196e+01
5.976003341774964728e-01 1.789272139650604403e-03 7.365029585798816925e+02 3.799694409070925616e+01
6.039710484280985670e-01 1.760471037718898532e-03 7.498392857142856656e+02 3.871557610747040457e+01
6.103455122609070527e-01 1.778153705054047679e-03 7.585204678362573532e+02 3.871270692383593115e+01
6.165941547084902163e-01 1.709282904712068618e-03 7.598622754491018441e+02 3.843586263623449639e+01
6.227886440901039267e-01 1.708031916550016484e-03 7.558333333333333712e+02 3.727848596540657411e+01
6.292222757675741684e-01 1.895555695838723603e-03 7.452780748663101349e+02 3.595056158083817621e+01
6.355837393651907474e-01 1.609918394456906487e-03 7.265757575757576205e+02 3.474416269157539006e+01
6.417201133152361514e-01 1.735489606861494215e-03 7.105674157303370748e+02 3.194959675388354015e+01
6.480234646877054416e-01 1.746502386866512820e-03 6.912977528089887755e+02 2.818941916946819148e+01
6.543745591304535036e-01 1.808595843625667669e-03 6.752989130434782510e+02 2.651228782950711960e+01
6.607410482875138991e-01 1.776914150084337417e-03 6.594021739130434980e+02 2.505056205482743437e+01
6.669765730033264672e-01 1.670208017253243388e-03 6.469034090909091219e+02 2.342350477468630032e+01
6.731673103258457580e-01 1.796482171393593615e-03 6.383510638297872219e+02 2.124992876722276947e+01
6.795850853652600776e-01 1.822834825668488831e-03 6.301204188481675601e+02 1.989874246669142011e+01
6.858902177354958551e-01 1.747430487391250960e-03 6.259301075268816703e+02 2.027472889459524197e+01
6.921278880332987216e-01 1.765781770802452586e-03 6.210529100529100788e+02 1.990167946563897772e+01
6.985070946107704293e-01 1.847715388967816497e-03 6.179595959595959584e+02 1.933668157574613033e+01
7.048037128132643714e-01 1.757666077632949074e-03 6.135820105820105255e+02 1.944461145232961385e+01
7.109847861020758275e-01 1.767854622430342420e-03 6.109375000000000000e+02 1.919258042132862130e+01
7.172345948602801835e-01 1.822657136245004524e-03 6.089545454545454959e+02 1.926523343921379450e+01
7.236608500653414211e-01 1.906739358311473767e-03 6.058097560975609213e+02 1.945167749288808423e+01
7.299519259881649402e-01 1.814756391122580772e-03 6.036326530612244596e+02 1.995341304668398053e+01
7.362298620906445601e-01 1.872001608046580190e-03 6.017058823529412166e+02 1.926925556214515112e+01
7.427109241448597299e-01 1.961252361706546793e-03 6.005327102803738626e+02 1.905621341728789631e+01
7.489749171607754663e-01 1.795506848231544564e-03 5.964923076923076906e+02 1.900326972799758707e+01
7.553119902396251417e-01 1.968290517240121971e-03 5.940136986301370143e+02 1.847607024510374529e+01
7.617428847945948434e-01 1.878647625832918257e-03 5.887101449275362484e+02 2.661728388025759884e+01
7.679897535333021219e-01 1.889655825210407886e-03 5.890143540669856748e+02 1.475217464982300797e+01
7.742716946001383382e-01 1.890740870187222538e-03 5.862159624413145593e+02 2.081624069037285452e+01
7.806130493972306406e-01 1.874127862848933099e-03 5.850896226415094361e+02 1.798458286197145028e+01
7.869955317179381238e-01 1.962138593108325030e-03 5.834017857142856656e+02 1.790865227234407797e+01
7.933337815560531636e-01 1.823456314192357453e-03 5.831190476190475920e+02 1.847767544351611591e+01
7.995722808394026826e-01 1.873920736445982161e-03 5.837647058823529278e+02 1.863528611910793131e+01
8.059029702364099990e-01 1.855844282913126459e-03 5.840045662100457093e+02 1.886445281233133997e+01
8.122482529694946551e-01 1.899897789708842157e-03 5.890792951541850471e+02 1.753858577855697476e+01
8.185971333973350861e-01 1.831057107996742058e-03 6.061928251121075846e+02 2.970912056250941191e+01
8.248840800988579414e-01 1.805078930334647752e-03 6.455156950672645735e+02 6.124058308729140521e+01
8.311527541867054225e-01 1.843524136775542745e-03 7.098864628820961116e+02 9.875303178139226645e+01
8.375116084758876811e-01 1.829773299230467044e-03 7.724565217391303804e+02 1.134039628503789601e+02
8.438261475186588090e-01 1.817550564165925373e-03 8.210474137931034875e+02 1.133129539925110123e+02
8.500843452560248314e-01 1.755513946144033992e-03 8.433628318584070485e+02 1.059677612232617463e+02
8.563647400134730692e-01 1.844487251387733453e-03 8.483236514522822063e+02 1.006051209860766988e+02
8.626696591174244366e-01 1.710203360544058351e-03 8.417500000000000000e+02 9.687019937171487527e+01
8.689830853488446083e-01 1.844123492424595270e-03 8.193170731707317600e+02 8.378133039421980754e+01
8.753179752476163422e-01 1.741457950302257533e-03 7.802042553191489560e+02 6.538079619152934185e+01
8.815756228481118617e-01 1.752464905610253906e-03 7.183443983402489721e+02 5.025960651495151410e+01
8.877944678552249780e-01 1.716242394594354789e-03 6.537552742616034038e+02 4.609390347404315236e+01
8.941407927930166144e-01 1.839522330085644050e-03 6.027312252964427444e+02 3.680846990437665056e+01
9.005003621585947471e-01 1.752218829319661820e-03 5.731020408163265074e+02 2.761732309216764492e+01
9.067627482844141662e-01 1.720498064613873055e-03 5.600778688524590052e+02 2.377796872232917735e+01
9.130278025298368405e-01 1.789374596252915357e-03 5.548650793650793958e+02 2.259269071450632538e+01
9.193563827426239898e-01 1.786117629316656989e-03 5.522301587301586778e+02 2.329783702682495772e+01
9.256709965929463824e-01 1.773964252230773864e-03 5.503176470588235816e+02 2.294747525394820897e+01
9.319487846442510159e-01 1.740175819907428248e-03 5.492799999999999727e+02 2.298762101653845136e+01
9.382375230166524194e-01 1.835219923763222079e-03 5.486183206106870784e+02 2.261024310041455720e+01
9.445114335627492475e-01 1.754301698834087597e-03 5.485770750988142481e+02 2.343254755724222704e+01
9.507739483173833772e-01 1.796477233495237351e-03 5.491532567049808904e+02 2.346947336504569037e+01
9.571000001339345920e-01 1.844157663989784944e-03 5.502264150943395862e+02 2.533493683757474102e+01
9.634651872700409347e-01 1.860525514413665987e-03 5.515000000000000000e+02 2.825488180588730458e+01
9.697902983397413967e-01 1.869026222830578836e-03 5.552669172932330639e+02 2.397753614969752078e+01
9.761731987705594138e-01 1.898719003246270758e-03 5.610295202952029285e+02 2.441150848899432901e+01
9.824546988499620603e-01 1.850375251942234242e-03 5.720339622641508868e+02 2.305602105306926575e+01
9.887603507672997338e-01 1.885371791598095068e-03 5.935330882352941444e+02 2.183487793562555623e+01
9.951547945742836854e-01 1.923480157877882840e-03 6.358149466192170394e+02 2.716525099861695125e+01
1.001497743307979915e+00 1.816985016266823736e-03 7.115468164794007180e+02 3.631395103454940454e+01
1.007730073445106012e+00 1.872875193246743668e-03 8.209568345323740459e+02 5.056609176263473415e+01
1.014110590476311025e+00 1.881534321868284657e-03 9.625815602836879634e+02 5.978184945002799822e+01
