# q qerr I(q) I(q)err
6.111313073595031620e-02 3.154100855865873791e-03 7.532500000000000000e+02 2.920579464230985991e+02
6.800242608866982619e-02 2.110752812487300123e-03 1.213666666666666742e+03 3.012510027645827790e+02
7.478812129850326285e-02 1.894856213165734514e-03 1.133333333333333258e+03 3.558438067675406842e+02
8.081736842982174818e-02 1.577734731020807597e-03 1.117222222222222172e+03 3.138829891284290738e+02
8.706192866790804508e-02 2.018057842609979804e-03 1.113923076923076906e+03 2.513647129867500780e+02
9.311361532868518698e-02 1.734318039620741251e-03 1.051833333333333258e+03 2.263171631435259314e+02
9.924832822165428892e-02 1.939409616079583844e-03 9.788125000000000000e+02 2.616215360496914286e+02
1.056867454532435108e-01 2.068262530006435406e-03 9.034583333333333712e+02 2.730388721307726883e+02
1.120935416356093062e-01 1.699923986068800717e-03 8.086538461538461888e+02 2.631538405324578775e+02
1.177168722532570266e-01 1.903764278506084144e-03 8.142500000000000000e+02 2.775831097392274955e+02
1.242406998858587575e-01 2.007415885574503726e-03 8.045714285714285552e+02 2.139664049540945712e+02
1.307844605212421796e-01 1.948859987027574741e-03 8.169285714285714448e+02 1.859011628445039150e+02
1.372938405551752672e-01 1.976444694498947011e-03 8.011290322580645125e+02 1.833463682182271270e+02
1.433626874055373979e-01 1.479129257371093872e-03 7.658400000000000318e+02 1.710044677778917048e+02
1.497414395840910573e-01 2.132896554945924294e-03 7.732702702702703164e+02 1.547982617026123933e+02
1.562016171858009728e-01 1.470810848565314282e-03 7.533703703703703241e+02 1.479841916815925629e+02
1.620883487451751925e-01 1.817360580555445800e-03 7.537575757575757507e+02 1.435909402668628161e+02
1.684939590642719198e-01 1.975568076388520972e-03 7.398378378378378102e+02 1.462024572634167612e+02
1.749358117034872373e-01 1.810730169671130639e-03 7.422571428571428669e+02 1.389021179368656647e+02
1.813634234827302405e-01 1.982290824745188643e-03 7.479268292682926358e+02 1.382326341862693084e+02
1.877608813777307539e-01 1.710969833005861022e-03 7.477027027027027088e+02 1.486779062116196144e+02
1.936838392192468117e-01 1.708352888559126238e-03 7.501842105263158373e+02 1.480344816461107200e+02
1.998200724089964908e-01 1.901042836663710675e-03 7.600697674418604493e+02 1.470132773995154878e+02
2.064988844748374130e-01 2.083185659227047067e-03 7.534375000000000000e+02 1.779373280352757547e+02
2.131062600015138364e-01 1.923054290541973939e-03 7.770000000000000000e+02 1.569452404841838131e+02
2.193208008558340527e-01 1.649587748772136844e-03 7.812093023255813478e+02 1.666767045832443728e+02
2.255197753110727010e-01 1.943898002345461392e-03 7.909607843137255259e+02 1.593178400675302839e+02
2.319084130262620835e-01 1.853433278599466881e-03 8.015199999999999818e+02 1.605417079764632149e+02
2.380456302514551703e-01 1.717913041466973250e-03 8.138333333333333712e+02 1.618059859317118594e+02
2.441826744061198484e-01 1.910984005326162374e-03 8.277636363636363512e+02 1.592700217702965517e+02
2.508567628905887248e-01 1.865639566994751813e-03 7.667419354838709751e+02 2.292140362230571213e+02
2.571616352083493928e-01 2.042758540577210586e-03 7.467073170731707705e+02 2.393308171458348852e+02
2.636090936505812721e-01 1.759536909171210452e-03 7.633376623376623229e+02 2.298393724378346406e+02
2.696276322290375727e-01 1.767913466712890637e-03 7.867250000000000227e+02 2.294870550543101615e+02
2.756934411426098519e-01 1.847457432374286813e-03 8.216428571428571104e+02 2.325626625380839698e+02
2.820483295007140123e-01 1.942127748479487680e-03 8.514382022471910432e+02 2.503135864352886131e+02
2.885873542857223528e-01 1.999902870285049771e-03 9.002105263157894797e+02 2.760668111355045085e+02
2.950059364807982032e-01 1.753155416080761590e-03 9.679651162790697754e+02 3.333106809050804031e+02
3.012776628394395750e-01 1.916275679195857595e-03 1.115684210526315837e+03 4.444217794005377300e+02
3.076468654533095481e-01 1.858480647863890167e-03 1.409462365591397884e+03 7.207601914335479023e+02
3.139397285054469910e-01 1.849733180513128640e-03 1.959989361702127553e+03 1.195133932576148482e+03
3.202097007249891103e-01 1.889977811219999311e-03 2.676142857142857338e+03 1.807953438037270416e+03
3.264390569218261762e-01 1.757358001834326191e-03 3.452731182795698714e+03 2.440255532650576697e+03
3.326951465344144543e-01 1.930481388006281569e-03 4.055076923076922867e+03 2.711005622496400974e+03
3.390239669727912464e-01 1.785238221274862988e-03 3.713642857142857338e+03 2.477489908426608054e+03
3.452290355408559885e-01 1.822729964848564038e-03 3.162823529411764866e+03 1.923032454242310678e+03
3.515217579766085620e-01 1.894166946962649433e-03 2.284457142857143026e+03 1.217784758971663905e+03
3.581115149106128270e-01 1.984833837990382030e-03 1.613460176991150547e+03 6.727546300914617632e+02
3.646365217867122976e-01 1.807385512883236643e-03 1.229616822429906506e+03 3.787105385697070119e+02
3.707522342694583029e-01 1.646676631311451595e-03 1.025759999999999991e+03 2.305580621015018608e+02
3.768404479121448269e-01 1.835047814059704218e-03 9.626486486486486456e+02 1.794560837628889658e+02
3.831651369708888866e-01 1.834489868729198949e-03 9.090990990990991349e+02 1.465672372534776287e+02
3.894643253735652899e-01 1.853753096359237081e-03 8.889292035398229928e+02 1.310489458933224682e+02
3.958807651630259494e-01 1.912159574900255954e-03 8.713166666666667197e+02 1.188995123109332894e+02
4.022473572087105209e-01 1.746533598099251966e-03 8.658108108108108354e+02 1.098320928926045497e+02
4.083991683103055381e-01 1.862831917861469243e-03 8.678235294117647527e+02 9.989192132807308155e+01
4.147868792651558945e-01 1.850918924272050396e-03 8.644710743801653052e+02 9.434299212937457924e+01
4.211381020132339281e-01 1.813003092898375071e-03 8.711570247933884730e+02 9.213936504748146206e+01
4.273404438934948479e-01 1.765577699919095717e-03 8.732184873949579469e+02 9.144165324416586316e+01
4.337195733954657406e-01 1.911235613422362228e-03 8.807846153846153356e+02 9.013505908213321050e+01
4.400834723796714920e-01 1.795304431444431784e-03 8.825887096774193878e+02 9.081257786015471822e+01
4.463380503116383125e-01 1.781136916513354146e-03 8.795952380952380736e+02 8.767544553097621929e+01
4.525475293404462862e-01 1.782735370135076804e-03 8.754488188976378069e+02 8.312597716632363642e+01
4.588781844142776345e-01 1.863542184770878652e-03 8.647164179104477171e+02 7.782624832022165151e+01
4.652813857520213814e-01 1.809454061223974295e-03 8.571654135338345668e+02 7.288561056846725705e+01
4.715886271752884884e-01 1.786725641485754782e-03 8.422238805970149542e+02 7.033658457956680365e+01
4.778700308571910971e-01 1.749120838384908864e-03 8.354436090225564158e+02 6.590892957383780981e+01
